,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
53,"City of Vancouver, BC, Canada",Canada,Renewable energy target,"The City of Vancouver, BC committed to increase its consumption of energy from renewable energy sources in Community by 100 MWh by 2050Current consumption of energy from renewable energy source: 31. 0 MWh 2019The target is going to be reached by activities in  sectors. The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 31. 0% 2019The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 31. 0% 2019The target is going to be reached by activities in Electricity, Transport, Heating & cooling and Industry sectors.  The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Local Government by 100% by 2040Current share of renewable energy in final energy mix: 52. 0% 2019The target is going to be reached by activities in Electricity and Heating & cooling sector.",,,,,,,
54,"City of Vancouver, BC, Canada",Canada,Energy efficiency target,"20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels. Final energy energy consumption: 13276000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels.",,,,,,,
55,"City of Victoria, BC, Canada",Canada,GHG emission reduction target," The City of Victoria, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",Community,2007,,2020,,33.0,
56,"City of Victoria, BC, Canada",Canada,GHG emission reduction target," The City of Victoria, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to 2010 emission level.",Local Government,2010,,2012,,100.0,
57,"City of Yellowknife, Canada",Canada,GHG emission reduction target, The City of Yellowknife has committed to reduce its Community emissions by 6% by 2014 compared to 2004 emission level.,Community,2004,,2014,,6.0,
58,"City of Yellowknife, Canada",Canada,GHG emission reduction target, The City of Yellowknife has committed to reduce its Local Government emissions by 20% by 2014 compared to 2004 emission level.,Local Government,2004,,2014,,20.0,
59,"District of Delta, BC, Canada",Canada,GHG emission reduction target," The District of Delta, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2007,682000.0,2020,456940.0,,225060.0
60,"District of Delta, BC, Canada",Canada,GHG emission reduction target," The District of Delta, BC has committed to reduce its Local Government emissions by 20% by 2015 compared to 2007 emission level.",Local Government,2007,682000.0,2015,456940.0,20.0,225060.0
61,"District of North Cowichan, Canada",Canada,GHG emission reduction target, The District of North Cowichan has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
62,"District of Saanich, BC, Canada",Canada,GHG emission reduction target," The District of Saanich, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",Community,2007,,2020,,33.0,
63,"District of Saanich, BC, Canada",Canada,GHG emission reduction target," The District of Saanich, BC has committed to reduce its Local Government emissions by 50% by 2020 compared to 2007 emission level.",Local Government,2007,,2020,,50.0,
64,"District of West Vancouver, Canada",Canada,GHG emission reduction target, The District of West Vancouver has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
65,"District of West Vancouver, Canada",Canada,GHG emission reduction target, The District of West Vancouver has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,Local Government,2007,,2050,,80.0,
66,"Metro Vancouver, BC, Canada",Canada,GHG emission reduction target," The Metro Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",Community,2007,,2050,,80.0,
67,"Metro Vancouver, BC, Canada",Canada,GHG emission reduction target," The Metro Vancouver, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2007,,2012,,100.0,
68,"Regional Municipality of Waterloo, ON, Canada",Canada,GHG emission reduction target," The Regional Municipality of Waterloo, ON has committed to reduce its Local Government emissions by 28% by 2019 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2009,,2019,,28.0,
69,"Town of Ajax, Canada",Canada,GHG emission reduction target, The Town of Ajax has committed to reduce its Community emissions by 6% by 2020 compared to 2005 emission level.,Community,2005,,2020,,6.0,
70,"Town of Ajax, Canada",Canada,GHG emission reduction target, The Town of Ajax has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,20.0,
71,"Town of Caledon, Canada",Canada,GHG emission reduction target, The Town of Caledon has committed to reduce its Community emissions by 83% by 2021 compared to 2006 emission level.,Community,2006,,2021,,83.0,
72,"Town of Halton Hills, ON, Canada",Canada,GHG emission reduction target," The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2012,1701.0,2019,1445.0,,255.0
73,"Municipality of Independencia, Chile",Chile,GHG emission reduction target, The Municipality of Independencia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy and Waste management sectors.,Local Government,2015,94299.0,2030,94299.0,,28289.0
74,"Municipality of Independencia, Chile",Chile,Renewable energy target,"The Municipality of Independencia committed to increase its Share of renewable energy in primary energy mix in Community by 30% by 2030The target is going to be reached by activities in Electricity, Heating & cooling and Industry sector.",,,,,,,
75,"Municipality of Independencia, Chile",Chile,Energy efficiency target,"30% Energy efficiency improvement by 2030The Municipality of Independencia committed to increase its energy efficiency in Final energy and Community energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 265000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
76,"Municipality of Lautaro, Chile",Chile,GHG emission reduction target, The Municipality of Lautaro has committed to reduce its Community emissions by 5% by 2020 compared to 2011 emission level.,Community,2011,,2020,,5.0,
77,"Municipality of Providencia, Chile",Chile,Renewable energy target,The Municipality of Providencia committed to increase its consumption of energy from renewable energy sources in Local Government by 62 MWh by 2016Current consumption of energy from renewable energy source: 477954. 0 MWh 2019The target is going to be reached by activities in Electricity and Heating & cooling sector.,,,,,,,
78,"Municipality of Providencia, Chile",Chile,Energy efficiency target,"20% Energy efficiency improvement by 2030The Municipality of Providencia committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2016 levels. Final energy energy consumption: 1256000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
79,"Municipality of Santiago, Chile",Chile,GHG emission reduction target, The Municipality of Santiago has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport and Waste management sectors.,Local Government,2015,25839483.0,2030,25839483.0,,7751844.0
80,"Municipality of Santiago, Chile",Chile,Renewable energy target,"The Municipality of Santiago committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2030The target is going to be reached by activities in Electricity, Transport, Heating & cooling and residencial, comercio, servicio y municipal sector.",,,,,,,
81,"Municipality of Santiago, Chile",Chile,Energy efficiency target,"30% Energy efficiency improvement by 2030The Municipality of Santiago committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 2016726. 0 MwhThis target will be achieved in Electricity, Transport and Heating & cooling sectors",,,,,,,
82,"Municipality of Valdivia, Chile",Chile,GHG emission reduction target," The Municipality of Valdivia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2012,2375.0,2030,2375.0,,712.0
83,"Municipality of Valdivia, Chile",Chile,Renewable energy target,The Municipality of Valdivia committed to increase its Installed capacity of Renewable energy in Community to 0 MW by 2020The target is going to be reached by activities in Heating & cooling sector.,,,,,,,
84,"Municipality of Valdivia, Chile",Chile,Energy efficiency target,0% Energy efficiency improvement by 2020The Municipality of Valdivia committed to increase its energy efficiency in Primary energy and Community energy consumption by 0% by 2020 compared to 2016 levels. This target will be achieved in Electricity sectors,,,,,,,
85,"Shenzhen Municipal People's Government, China",China,GHG emission reduction target," The Shenzhen Municipal People's Government has committed to reduce its Community emissions by 0% of per capita/ per GDP emissions by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2005,1.0,2020,1.0,,0.0
86,"Shenzhen Municipal People's Government, China",China,Renewable energy target,"The Shenzhen Municipal People's Government committed to increase its Share of renewable energy in primary energy mix in Community by 15% by 2020Current Share of renewable energy in primary energy mix: 75. 9% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sector.",,,,,,,
87,"Shenzhen Municipal People's Government, China",China,Energy efficiency target,"0% Energy efficiency improvement by 2020The Shenzhen Municipal People's Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
88,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Kaohsiung City Government has committed to reduce its Community emissions by 20% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,Community,2005,64339200.0,2020,64339200.0,,12867840.0
89,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,"The Kaohsiung City Government committed to increase its Installed capacity of Renewable energy in Community to 11 MW by 2030Current Installed capacity of Renewable energy: 3914. 0 MW The target is going to be reached by activities in  sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors.",,,,,,,
90,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors50% Energy efficiency improvement by 2025The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. Final energy energy consumption: 717894511. 71 Mwh",,,,,,,
91,"New Taipei City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The New Taipei City Government has committed to reduce its Community emissions by 20% by 2026 compared to 2006 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2006,18487331.0,2026,14789864.0,,3697466.0
92,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The New Taipei City Government committed to increase its share of renewable energy in final energy mix in Community by 15% by 2026The target is going to be reached by activities in Electricity and Transport sector.,,,,,,,
93,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2025The New Taipei City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
94,"Pingtung County Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Pingtung County Government has committed to reduce its Community emissions by 30% by 2030 compared to 2013 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2013,4632700.0,2030,3242890.0,,1389810.0
95,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors. The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors. The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors.,,,,,,,
96,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2015The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors50% Energy efficiency improvement by 2025The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors20% Energy efficiency improvement by 2025The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2025 compared to 2005 levels. Final energy energy consumption: 717894511. 71 Mwh50% Energy efficiency improvement by 2025The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors",,,,,,,
97,"Taichung City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Taichung City Government has committed to reduce its Community emissions by 10% by 2022 compared to 2011 emission level. The target is going to be reached by activities in Transport, Waste management and Agriculture, forest and other land use (AFOLU) sectors.",Community,2011,10235900.0,2022,9212310.0,,1023590.0
98,"Tainan City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Tainan City Government has committed to reduce its Community emissions by 40% by 2050 compared to Baseline scenario (BAU) reduction target emission level.,Community,2010,,2050,,40.0,
99,"Tainan City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Tainan City Government has committed to reduce its Local Government emissions by 7% by 2020 compared to 2013 emission level.,Local Government,2013,,2020,,7.0,
