,city,country,description,name,start year,status,type
10,"Autonomous City of Buenos Aires, Argentina",Argentina,"Using solar energy for heating is a tool for social inclusion. During 2010, in the neighborhood “Los Piletones”, located in the southern area of the City, and with the support of the Embassy of the Federal Republic of Germany as well as other organizations, solar collectors have been installed as a first stage of a program aiming for “Thermal solar energy in social housing”. The solar collectors provide with hot water the Community Center and five residential homes. In shanty towns undergoing urbanization, water heating, when existent, is produced by means of electric heaters, which are usually precariously connected, thus, in many cases, entailing high risk.
Solar collectors installed in this neighborhood allows for users to have hot water all year long, while at the same time reducing future energy costs. Hot water in the Community Center benefits at least 60 children. The massive incorporation of this technology may also limit construction of higher stories, a major concern given that construction in the area tends to be irregular and its ongoing development could result in higher structural risks.",Solar Energy for Urbanization - Autonomous City of Buenos Aires,2010,Completed,Technical/Infrastructure investment
11,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Environmental Protection Agency works on an Energy Efficiency Program in Public Buildings. The program requires the implementation of a number of different measures, including the creation of systems and tools to manage a building’s energy use; the conduction of energy audits; and the retrofit and improvement of a building’s maintenance to save in electricity and heating bills. Five different construction types (offices, schools, hospitals, costumer care centres and cultural centres)have been analyzed, regarding energy consumption. In this way, different types of buildings can be characterized according to their consumption and recommendations can be put forward accordingly, in order to extrapolate the findings to all of the city government’s buildings. 
Moreover, the EPA has already performed the diagnoses of 14 public buildings, some are implementing improvement measures, and other diagnoses are on their way to be completed. Besides, equipment has been purchased to monitor overall consumption in 5 buildings and assess the impact of the implementation of best practices.
In the future, the EPA project seeks to complete the 800 public buildings, with their respective energy consumption diagnosis, improvement plans and training for an Energy Manager responsible for each building.",Energy Efficiency Program in Public Buildings - Autonomous City of Buenos Aires,2010,In operation,Policy/Strategies/Action Plans
12,"Autonomous City of Buenos Aires, Argentina",Argentina,"As for the waste sector, in 2017 the City aims to achieve a 72% reduction in landfill disposal. Between 2013 and 2015, a reduction of 52% was achieved through varios actions. Wet and dry waste disposal into separate containers as well as source separation are two key elements of a strategy aimed not only at waste management but also at GHG emission reduction: -Debris recovery Plant which recovers 90% of the incoming material -More than 2,000 public green containers to facilitate source separation, -In 2013, a MBT plant (Mecanical-biological treatment plant) was inaugurated recovering 600 tn of solid waste daily. The local Government is now working with 12 urban recycling cooperatives, to which it provides transportation, uniforms, and mandatory registration cards. The collected material (4200 tons per month) is transported into 10 green centers (waste separation centers), which are operated by the cooperatives.",Improving waste management. Stage 1 - Autonomous City of Buenos Aires,2010,In operation,Technical/Infrastructure investment
13,"Autonomous City of Buenos Aires, Argentina",Argentina,"The program has already performed the diagnoses on 22 public buildings, some are implementing improvement measures. In this sense, the different types of public buildings have been characterized according to their consumption, and recommendations can be put forward accordingly. Besides, equipment has been purchased to monitor overall consumption in 5 buildings and assess the impact of the implementation of best practices.",Energy Efficiency Program in Public Buildings - stage 2 - Autonomous City of Buenos Aires,2010,In operation,Policy/Strategies/Action Plans
14,"Autonomous City of Buenos Aires, Argentina",Argentina,"For Buenos Aires, sustainability is a fundamental governing principle. Young people are crucial agents for driving cultural change in day-to-day environmental practices.  In addition to the multiple long-term benefits of good environmental stewardship and its importance in constructing good citizenship practices, green policies help schools provide healthier surroundings for their students and staff.  The Ministry of Education’s overarching Green Schools Programme (Escuelas Verdes) has a wide-ranging curriculum which incorporates a number of City sustainability policies. It is organised across four thematic areas: Integral Waste Management, Environmental Health, Power Efficiency & Renewable Energy and Climate Change.",Green School Program - Autonomous City of Buenos Aires,2010,In operation,Education/Awareness Raising
15,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Buenos Aires Bicycle Program promotes the use of bicycle through different measures, including the implementation of a public bicing system (Ecobici). This system includes free bike-lending at  stations strategically located within the City. The bicing system currently has 200 automatic stations and around 4000 available bicycles. Launched at the end of 2010, today 5% of the trips are by bicycle. The program is expected to keep growing, reaching 4000 more renting stations and 300km of bike lanes in 2019.",Bicycle Public System - Autonomous City of Buenos Aires,2010,In operation,Technical/Infrastructure investment
16,"Autonomous City of Buenos Aires, Argentina",Argentina,"The current network has six underground lines and a line of surface (Premetro), reaching a total length of 51 km in 2015. It is estimated that the subway holds a 10% of all trips are made daily in the metropolitan area of Buenos Aires, carrying 310 million passengers a year. The system has a good connection to the main railway lines, linking the major transshipment centers for the City of Buenos Aires.
In the last years, the City has worked on extending and improving these means of transport: twelve new stations have been inaugurated, and improvements in different subway stations and wagon replacements are taking place in different lines.
In the same line, works have been done in 2015 to extend 5km the network length reaching 51km previously mentioned.
For the next five years, it is planned an extensions of the subway network reaching, in 2020, 58km of length and 8 new stations, which will increase the amount of people using the system to 700.000 passengers.",Subway extension - Autonomous City of Buenos Aires,2010,In operation,Technical/Infrastructure investment
17,"Autonomous City of Buenos Aires, Argentina",Argentina,"In April 2010, the Sustainable Government Purchases program was established through Executive Order 300/2010. In accordance with the regulation, the Government gives more priority to energy efficiency when purchasing electric appliances. To this end, the government developed a database including appliances with energy labels, this has been used as a tool to promote, within the Government, sustainable acquisition of goods and services generating minimum environmental impact. By 2015, it has been achieved that 54% of the purchase agreements include sustainability criteria.",Public Procurement Decree - Autonomous City of Buenos Aires,2009,In operation,Organizational / Governance
18,"Autonomous City of Buenos Aires, Argentina",Argentina,"The development of a multimodal transportation network is enhanced by the incorporation of electric and hybrid vehicles, as well as by the use of fuels made from recycled material.
On November, 2009, the City of Buenos Aires signed a commitment charter to be a part of the Electric Vehicle Network of the C40 with the aim of facilitating the planning and design of a support system to incorporate electric vehicles and of developing a plan to launch the incorporation of electric vehicles in the local Government’s vehicle fleet. The City is therefore working in global alliances.
The hybrid electric Ecobus reduces emissions of particulate matter by 75%, of carbon monoxide by 55%, and of greenhouse gas by 40%, while it consumes 40% less of fuel.
In this first stage of the project, one prototype has been developed, expecting to include more units to the bus fleet in the future.",Hybrid Bus - stage 1 - Autonomous City of Buenos Aires,2009,Completed,Technical/Infrastructure investment
19,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Environemental and training centre, CIFA, houses the Contaminants Analysis Laboratory of the Government of the City, and is becoming an environmental information and technological innovation hub in towards the use of cleaner energies.
The CIFA consumes 20 MWh monthly, 63% is used for air conditioning and heating and the rest for lighting and energy supply in offices. It is slowly reducing its dependence on the traditional energy distribution network. Apart from the installation of two solar collectors for water heating (2 and 4 m2 wide), a state-of-the-art photovoltaic panel system has also been installed (36 ES-A series with String Ribbon technology, 215w modules), providing energy to the central hall and service area. In the same line, 20 solar and wind energy powered lights were installed for outdoor lighting within the building’s perimeters. 
Moreover, as part of the city’s Public Buildings´ Energy Efficiency program, sensors were installed to carry out an energy assessment and establish energy-use optimization targets.",Environmental Information and Training Center  - Autonomous City of Buenos Aires,2009,In operation,Education/Awareness Raising
20,"Autonomous City of Buenos Aires, Argentina",Argentina,"The trees found at the side of the road are more than a mere example of the City’s natural landscape. They also help improve air quality, reduce noise, moderate high temperatures, capture particulate matter (smoke), reduce flood risks, provide shelter for wild species, and, of course, reduce greenhouse gas emissions.
Buenos Aires is a city well known for its beautiful street trees. In order to maintain them, we have performed the first phytosanitary census, one of the most important inputs in order to make street trees maintenance part of a real State Policy. It provided with accurate knowledge regarding the diversity, specimen quantity, general state, distribution, and georeference of the different varieties.
It is from this study that the City defined the basis of the Urban Trees Master Plan. This Plan have the objetive to achieve a total of 440,000 trees by engrossing and improving linear woodland.",Management Master Plan of Public Woodland - Autonomous City of Buenos Aires,2009,In operation,Policy/Strategies/Action Plans
21,"Autonomous City of Buenos Aires, Argentina",Argentina,"Pedestrian streets humanize public space and redefine it as a meeting point. With these goals, we defined pedestrian priority streets, widen and leveled sidewalks to encourage pedestrian traffic unimpeded. 
The overall objective is the enhancement of the sector, the optimization of public space and landscape-functional development that enables leisure and recreation, continuing the policy to reverse the deterioration and degradation of the core areas, enhancing the process of recovery and improvement of environmental conditions. Besides, the program seeks to include an ecological means of transport as the bicycle, to encourage pedestrian movement, discouraging car use.",Pedestrian Priority Program - Autonomous City of Buenos Aires,2009,In operation,Policy/Strategies/Action Plans
22,"Autonomous City of Buenos Aires, Argentina",Argentina,"In order to accompany the business sector on the path to sustainability, the City´s Environmental Protection Agency launched the Cleaner Production Program. It consists of agreements between the BA Environmental Protection Agency and more than 120 private companies currently part of the program, in order to design, perform, and assess on an environmental improvement plan for each one of them. Those which have effectively implemented the commitments are granted a seal. Moreover, the City´s Bank provides financial mechanisms to support participating bussiness towards energy efficiency and include affordable loans for environmental improvement projects.
In the same line, the city is also granting nonrefundable contributions, a subsidy specifically aimed at sustainable production and energy efficiency. Between 2009 and 2011, 42 subsidies were granted for a maximum per project of 60,000 Argentine pesos.",Supporting the private sector - Autonomous City of Buenos Aires,2009,In operation,Education/Awareness Raising
23,"Autonomous City of Buenos Aires, Argentina",Argentina,"Bus transportation in our City has a long history and was pioneer in Latin America. Around 9,700 buses move around the City and the Metropolitan Area. Around 80% of our city’s air pollution is estimated to come from vehicle gas emissions.
That is why the City Government implemented a 10.7km network of exclusive lanes for bus and taxi circulation in order to reap the benefits of these forms of transportation while addressing the issues that have traditionally undercut their effectiveness.
This change in circulation implies transforming one-way avenues into two-way ones, in order to increase passenger flow. An immediate result of this program has been journey time reduction. Preferential lanes for public transportation and counter- flow lanes do account for the reduction of 10% to 35% of journey time reduction. In the same line noise has been reduced, improving life quality in many arterial roads in the City.",Preferential bus lanes - Autonomous City of Buenos Aires,2009,Completed,Technical/Infrastructure investment
24,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Buenos Aires ""Ecobici"" Bicycle Program, promotes the use of bicycles as an ecological, healthy, and fast means of transportation. This Program includes the creation of a protected bike path network and bicycle parking infrastructure, the implementation of a bicing system, the provision of road safety education, and the promotion for its use in the private sector as a real alternative for transportation.
The protected bike path network is currently 160 km long. Located at side streets, away from intense vehicular flows, the bike paths are increasingly being used by the population. The network has been designed to join strategic points of the City.","Buenos Aires ""Ecobici"" - Bicycle Program - Autonomous City of Buenos Aires",2007,In operation,Policy/Strategies/Action Plans
25,"Autonomous City of Buenos Aires, Argentina",Argentina,"The city is looking for funding to extend the network by working on a Future Lines Plan to further improve the integration of the city and vehicular traffic congestion. The plan takes into consideration the central city, gaining a significant coverage of the areas with more density of population, shops and employment.
 This subway extension is possible since the Law 2710 of Buenos Aires City was sanctioned in May, 2008. In this way, the call for bidding the construction of three new lines has been authorized. These three lines (F, G and I) will add 35.5 km to the extension of the subway, reaching a total extension of almost 100 km, with the capacity to transport 2.4 million passengers per day, doubling today’s capacity.",Subway network extension - Stage 2 - Autonomous City of Buenos Aires,,In operation,Technical/Infrastructure investment
26,"Autonomous City of Buenos Aires, Argentina",Argentina,"The city government installed the Green Agenda as a key management issue, including multiple programs and projects already at work. 
The world is ""going green"" and the City seeks to share this transformation so that citizens may realice that their daily actions are vital to generate the needed change.
Thus, the City has taken action in order to allow and facilitate sustainable practices by citizens regarding transport, waste and energy, and implement policies that seek to improve public áreas and environment quality.
In this context, within Buenos Aires EPA there is an Education Area that promote environmental education initiatives on different topics such as Matanza-Riachuelo Basin, Urban Natural Heritage and offer trainings, seeking the participation of citizens in the construction of new attitudes toward a more just, equitable and participatory environmental ethics.",Citizen awareness - Autonomous City of Buenos Aires,,In operation,Education/Awareness Raising
27,"Municipality of Chañar Ladeado, Argentina",Argentina,"Tomando como base la situación del arbolado al promediar el año 1999, la comuna en conjunto con el Ecoclub Ecovida decidió llevar a cabo el reordenamiento del arbolado público, instrumentando un plan forestal. 
Para la elaboración de dicho plan, se tomó en consideración el aumento de las napas freáticas que ocasionó la pérdida de numerosas especies arbóreas y que la especie que mejor soportó dicha inclemencia, quedando con una alta densidad de ejemplares fue el fresno americano. 
Se sancionó la ordenanza reglamentaria del arbolado público.
Se realizó relevamiento arbóreo y se elaboró base de datos informática para el procesamiento de datos. 
Se diagramó la reforestación de la localidad y se realizaron podas de formación y escamondas.
Para difundir el tema, se realizaron (y realizan) desde el Ecoclub spots, folletos, gacetillas y actividades explicativas de los trabajos que se vienen realizando.
Actualmente se firmó convenio con el Ministerio de Medio Ambiente de la Provincia de Santa Fe por Aporte No Reembolsable de $40.000 para la compra de ejemplares arbóreos.",Chañar echa raíces hoy para dar sombra mañana - Municipality of Chañar Ladeado,,In operation,Policy/Strategies/Action Plans
28,"Municipality of Chañar Ladeado, Argentina",Argentina,"El modelo de movilidad se apoyará en las formas de transporte alternativo al vehícul privado.
Para favorecer una movilidad eficiente y sustentable, que no demande trasladarse en vehículo innecesariamente y pueden utilizarse medios no contaminantes como la
bicicleta, se fomentará la diversidad de usos en el nuevo plan urbano, buscando la proximidad de los principales elementos de convivencia urbana.
Se planifica un crecimiento urbano compacto, con densidades acordes a las necesidades de la población. Lo cual permitirá un desplazamiento sustentable de la población.
Se garantizará la movilidad a pie y en bicicleta por lugares seguros y con la infraestructura necesaria, como por ejemplo bici-sendas y cruces peatonales tratados con pintura de pavimento luminiscente. Se otorgará lugar para aparcamiento de bicicletas en todos los edificios públicos y espacios de recreación.",Proyecto de Movilidad Sostenible - Municipality of Chañar Ladeado,,Planning phase,Policy/Strategies/Action Plans
29,"Municipality of Chañar Ladeado, Argentina",Argentina,"Nuestra localidad es la capital Provincial y Nacional del porcino, es por este motivo que en el año 2.015 se llevó a cabo una investigación en diferentes
establecimientos ganaderos (de cría intensiva de porcinos) de la localidad, para generar biogás a partir de los residuos pecuarios.
La estrategia es la implementación de tecnologías para el procesamiento del estiércol, reutilizar los nutrientes y el metano generado a través de la digestión anaeróbica en
biodigestores; el procesamiento permite generar biogás y abonos orgánicos que reducen las emisiones atmosféricas. Adicionalmente, el uso del gas y el abono producido
permite reducir costos de fertilización para la producción de forrajes y el consumo energético en los establecimientos; lo que a su vez contribuye a la disminución de
emisiones de óxido nitroso de los fertilizantes y dióxido de carbono de los combustibles fósiles para la generación de energía.
Al consultar sobre los números más importantes que arrojó el estudio, a pesar de ser cálculos estimativos tomados como base de datos mínimos para proyectar con mayor
precisión más adelante, la conclusión final lanzó que con lo que se genera en los 8 criaderos consultados, se podría generar energía para el doble de lo que consume la
población de Chañar Ladeado. Alcance: Energía: 5.025 m3 de biogas por día. Aproximadamente 1,7 veces el consumo de la población. Biofertilizante: 400 Kg N /día",Relevamiento de biomasa - Municipality of Chañar Ladeado,,Planning phase,Assessment/Research
30,"Municipality of Godoy Cruz, Argentina",Argentina,"Instalación de Estaciones Solares  para recarga de dispositivos móviles, agua caliente y recarga del auto y bicicletas eléctricas.",Estaciones Solares   - Municipality of Godoy Cruz,,Planning phase,Technical / Infrastructural
31,"Municipality of Godoy Cruz, Argentina",Argentina,"Se trata, en principio, de cuatro unidades Emov modelo Brina 1.0 con un motor eléctrico de tecnología brushlees/gearless de 350 y 750 watts de potencia. Estos vehículos amigables con el medio ambiente servirán para agilizar la prevención dentro del departamento y sobre todo en la Ciclovía que va del Parque Estación Benegas hasta el límite con la Capital.

Además, al comenzar a circular, se buscará concientizar a los vecinos y mostrarles que estas bicicletas pueden reemplazar a las motos, con lo que se puede lograr una baja considerable en el impacto ambiental.

Estas bicicletas, que tienen un peso de 31 kilos y una autonomía de 30 kilómetros, cuentan con tracción directa, sin cadenas, lo que la vuelve totalmente silenciosa al momento de andar con su motor, algo que reduce considerablemente la contaminación sonora.",Bicicletas  Eléctricas utilizadas  por la policía ambiental - Municipality of Godoy Cruz,,In operation,Organizational / Governance
32,"Municipality of Godoy Cruz, Argentina",Argentina,• ORDENANZA N°6488/16 Disminución Bolsas Plásticas .                                      • ORDENANZA  N°6554/16 Circulación vehículos eléctricos.                                                                            • ORDENANZA Nº 6538/16 “SISTEMA DE CONSTRUCCION SUSTENTABLE”                                                                • ORDENANZA EXPTE. N° 5693/H/2016“ESPACIOS RECREATIVOS SUSTENTABLES”,Ordenanzas municipales - Municipality of Godoy Cruz,,In operation,Regulatory
33,"Municipality of Godoy Cruz, Argentina",Argentina,"Instalación de 56  Calefones Solares en todos los Jardines Maternales y Casa Municipal. Los nueve centros educativos de la comuna ya cuentan con el sistema que proveerá de agua caliente a sus instalaciones. Además, se colocaron contenedores para el reciclado de botellas y juegos infantiles realizados con PET.",Programa de Generación de Energía Solar - Municipality of Godoy Cruz,,In operation,Technical / Infrastructural
34,"Municipality of Godoy Cruz, Argentina",Argentina,"Ciclovia Renato della Santa de 1.600 mts la cual empalmara con Ciclovia Zanjón Maure, conectando el este con el oeste del Departamento.",Ciclovia Renato della Santa  - Municipality of Godoy Cruz,,Planning phase,Technical / Infrastructural
35,"Municipality of Guaminí, Argentina",Argentina,"La ciudad de Casbas, en el partido de Guaminí, provincia de Buenos Aires, se encuentra localizada en una de las ecorregiones más transformadas del país, el pastizal
pampeano, o como se conoce más comúnmente, la “pampa”.Se trata de un ambiente donde las especies herbáceas son las dominantes, con ausencia natural de árboles y muy poca presencia de arbustos. El suelo es muy fértil, con buena cantidad de materia orgánica, lo que los vuelve aptos para que se desarrolle una importante
vegetación. Son muy buenos para la agricultura y la ganadería y han sido los principales motores en la historia económica argentina.
Sin embargo, debido a esas condiciones naturales y de uso, estos ecosistemas naturales han sido transformados por la actividad agrícola – ganadera y, en consecuencia, la sociedad, está desprovista de sitios “naturales” donde conocer, valorizar y hacer uso de los servicios ambientales del pastizal (estéticos, de recreación, de oxigenación, de avistaje de fauna, etc.). El presente trabajo tiene por objetivo determinar qué impactos (positivos y/o negativos) pueden suscitarse por la creación de una Reserva Natural Urbana (RNU)1, a modo de Parque Ecológico Municipal, en la ciudad de Casbas.",Parque Ecológico Municipal de Casbas - Municipality of Guaminí,,Planning phase,Policy/Strategies/Action Plans
36,"Municipality of Paraná, Argentina",Argentina,"Características de la medida.
 1-El procesamiento de los residuos urbanos es una medida de alcance local que propende a la reducción de los residuos desechados y dar trabajo a recicladores de la ciudad. La planta de clasificación separa y vende 106 toneladas mensuales de residuos inorgánicos. El predio tiene 2000 m2 y cuenta con maquinaria de avanzada para la clasificación y enfardado de lotes de residuos.
2-Adquisición y ubicación de un predio para  relleno sanitario de 27 Ha. en zona sur de la ciudad, con una vida útil de 10 años. Se estima que, diariamente, serán depositados allí unas 185 toneladas de residuos diariamente. Se presenta a continuación algunos datos de utilidad: 
-Kv 25% Disminución volumétrica por degradación biológica y compactación
-Kc 0,70 ton/m3 Compactación de los RSU al momento de la disposición
-Grsu 185,00 ton/día Generación diaria de RSU (promedio período 2014-2024)
3- Educación Ambiental: en pos de incrementar el porcentaje de residuos inorgánicos que se rescatan para reciclado, se realiza un trabajo constante de educación ambiental con escuelas primarias y secundarias, difundiendo la separación en origen a través de una dinámica lúdica e interactiva con juegos ambientales para las escuelas.  
1-Se trata de una planta tipo  modular para clasificar residuos inorgánicos desarrollada en Rafaela por la firma DEISA. Se compone de nicho, cinta corta, cinta larga, trommel, mangas de disposición final del material orgánico e inorgánico, compactadora y 2 balanzas de hasta 500 kgs.
La sede productiva se trata de un predio municipal, cedido a través de convenio municipio/cooperativa, compuesto de tinglado de aproximadamente 2000 m2, dos portones 1 playón lateral para volcado, 2 oficinas con baño privado y dos vestuarios con duchas para damas y caballeros, posee baño para discapacitados, depósito para herramientas. El predio está protegido por un muro perimetral  de material, conformándose un total de 7000 m2. Como posibilidad de mejora, se plantea la posibilidad de construir un SUM que conste de cocina y  sala de primeros auxilios.
2-El relleno sanitario se encuentra en etapa de procesos jurídicos para la habilitación final. Como así también, se encuentra en rediseño la logística de la llegada de camiones con los residuos desde la planta hasta el relleno final. 
Esta medida ayuda a la mitigación del cambio climático, en la medida que erradica el basural a cielo abierto que cuenta con 100 años de vida en la zona Oeste de la ciudad. Además, dignifica las condiciones de trabajo de 100 recicladores que trabajaban sin ninguna medida de prevención en manipulación de la basura y a cielo abierto en el basural.",GESTIÓN DE RESIDUOS SÓLIDOS URBANOS (GIRSU) - Municipality of Paraná,,In operation,Technical / Infrastructural
37,"Municipality of Paraná, Argentina",Argentina,"El programa “Yo Composto” trabaja en consonancia con la Secretaría de Producción y Empleo, brindando capacitaciones sobre cómo preparar compostaje en el hogar a partir de residuos orgánicos en comisiones vecinales de la ciudad. Así mismo, el programa entregará semillas para cultivar huertas propias en los barrios y hogares de la ciudad.
El proyecto apunta a trabajar con 20 comisiones vecinales a lo largo de 2017 y 2018, con un alcance de 200 hogares promedio                         
Se esperan alcanzar aproximadamente 100 kg diarios de orgánicos compostados una vez alcanzado el objetivo de los 200 domicilios.
El objetivo del compostaje es disminuir la cantidad de residuo orgánico que se desecha sin ningún fin y que son generadores de gas metano por su descomposición. 
El abono ayuda a nutrir la tierra y a disminuir el volumen de basura generado por hogar.",COMPOSTAJE DOMICILIARIO - Municipality of Paraná,,In operation,Public Participation/Stakeholder engagement
38,"Municipality of Paraná, Argentina",Argentina,"El objetivo es la plantación de 10.000 árboles nuevos en toda la ciudad entre los años 2017 y 2019.
La media apunta a mejorar la calidad del aire y de vida en el égido urbano. Los árboles disminuyen la cantidad de dióxido de carbono presente en la atmósfera y además contribuyen al paisaje urbano.
Es de considerar también, que Paraná es una ciudad con un relieve irregular y con marcadas barrancas que desembocan en el Río Paraná. Por lo tanto, la forestación urbana también contribuye a la contención de barrancas de la ciudad.
Indicadores: árboles plantados por año, toneladas de dióxido de carbono absorbidas por los árboles",PLAN DE ARBOLADO URBANO - Municipality of Paraná,,In operation,Technical / Infrastructural
