,area (km2),city,country,gdp,population,target
73,25.0,"City of Sydney, Australia",Australia,100 Billion,169505,Reduce 70% GHG emissions
74,19.0,"City of Yarra, Australia",Australia,1.6 Million,89151,Reduce 60% GHG emissions
75,36.2,"Melbourne City Council, Australia",Australia,N/A,127742,N/A
76,N/A,"Moreland City Council, Australia",Australia,N/A,147244,N/A
77,720.0,"Mornington Peninsula Shire Council, Australia",Australia,N/A,144608,N/A
78,405.0,"Penrith City Council, Australia",Australia,7.9 Billion,197922,N/A
79,20.62,"Port Phillip City Council, Australia",Australia,0,91372,Reduce 7505000tCO2e GHG emissions
80,1307.4,"Tweed Shire Council, Australia",Australia,2.9 Billion,96033,Reduce 20% GHG emissions
81,542.0,"Wyndham City Council, Australia",Australia,N/A,241902,N/A
82,128.0,"City of Graz, Austria",Austria,20 Thousand,269997,Reduce 30% GHG emissions
83,161.38,"Brussels Capital Region, Belgium",Belgium,110 Billion,1175173,Reduce 30% GHG emissions
84,204.51,"City of Antwerp, Belgium",Belgium,N/A,502604,Reduce 100% GHG emissions
85,158.0,"City of Ghent, Belgium",Belgium,13 Billion,248242,Reduce 20% GHG emissions
86,33.71,"City of Mechelen, Belgium",Belgium,N/A,82325,N/A
87,40.08,"City of Mouscron, Belgium",Belgium,N/A,56011,Reduce 21% GHG emissions
88,175.69,"City of Namur, Belgium",Belgium,N/A,110096,Reduce 20% GHG emissions
89,33.0,"City of Belmopan, Belize",Belize,N/A,16451,N/A
90,26.0,"City of Thimphu, Bhutan",Bhutan,N/A,104000,N/A
91,472.0,"Autonomous Municipal Government of La Paz, Bolivia",Bolivia,26 Thousand,877363,N/A
92,181.0,"Municipality of Aracaju, Brazil",Brazil,14 Billion,626194,N/A
93,333.0,"Municipality of Belo Horizonte, Brazil",Brazil,81 Billion,2513451,Reduce 20% GHG emissions
94,347.0,"Municipality of Betim, Brazil",Brazil,25 Million,422354,N/A
95,N/A,"Municipality of Brasília, Brazil",Brazil,170 Thousand,1409671,N/A
96,794.0,"Municipality of Campinas, Brazil",Brazil,51 Billion,1186160,N/A
97,195.0,"Municipality of Contagem, Brazil",Brazil,N/A,613815,N/A
98,434.0,"Municipality of Curitiba, Brazil",Brazil,79 Billion,1893997,N/A
99,31.0,"Municipality of Diadema, Brazil",Brazil,N/A,406718,N/A
100,467.62,"Municipality of Duque de Caxias, Brazil",Brazil,N/A,855048,N/A
101,438.0,"Municipality of Florianópolis, Brazil",Brazil,8.8 Billion,550000,N/A
102,314.93,"Municipality of Fortaleza, Brazil",Brazil,37,2452185,Reduce 15tCO2e GHG emissions
103,1135.0,"Municipality of Joinville, Brazil",Brazil,25 Million,515288,N/A
104,N/A,"Municipality of Londrina, Brazil",Brazil,16 Billion,506701,N/A
105,510655.0,"Municipality of Maceió, Brazil",Brazil,14 Million,1005319,N/A
106,11401.0,"Municipality of Manaus, Brazil",Brazil,23 Billion,1802014,N/A
107,133.919,"Municipality of Niterói, Brazil",Brazil,20 Thousand,497883,N/A
108,497000.0,"Municipality of Porto Alegre, Brazil",Brazil,57 Billion,1409351,N/A
109,218.0,"Municipality of Recife, Brazil",Brazil,51 Billion,1625583,Reduce 14% GHG emissions
110,1224.0,"Municipality of Rio de Janeiro, Brazil",Brazil,93 Million,6429923,Reduce 20% GHG emissions
111,449.0,"Municipality of Sorocaba, Brazil",Brazil,19 Billion,652481,Reduce 20% GHG emissions
112,1137.0,"Municipality of São Carlos, Brazil",Brazil,N/A,221950,N/A
113,1099.409,"Municipality of São José dos Campos, Brazil",Brazil,55 Billion,629921,N/A
114,1521.0,"Municipality of São Paulo, Brazil",Brazil,260 Billion,11253503,Reduce 30% GHG emissions
115,450.0,"Bafut Council, Cameroon",Cameroon,N/A,57930,N/A
116,825.29,"City of Calgary, AB, Canada",Canada,61 Billion,1230915,Reduce 20% GHG emissions
117,17.66,"City of Colwood, Canada",Canada,N/A,16093,Reduce 33% GHG emissions
118,684.0,"City of Edmonton, AB, Canada",Canada,45 Billion,899447,Reduce 50% GHG emissions
119,130.68,"City of Fredericton, NB, Canada",Canada,N/A,56224,Reduce 6% GHG emissions
120,3200.56,"City of Greater Sudbury, ON, Canada",Canada,6.8 Billion,160274,N/A
121,266.78,"City of Maple Ridge, Canada",Canada,N/A,76052,Reduce 80% GHG emissions
122,431.5,"City of Montréal, QC, Canada",Canada,120 Billion,1649519,Reduce 30% GHG emissions
123,11.8333,"City of North Vancouver, Canada",Canada,1,52346,Reduce 25% GHG emissions
124,129.27,"City of Richmond, BC, Canada",Canada,N/A,190473,Reduce 100% GHG emissions
125,316.0,"City of Surrey, Canada",Canada,N/A,508404,Reduce 20% GHG emissions
126,447.0,"City of Thunder Bay, ON, Canada",Canada,N/A,108359,Reduce 20% GHG emissions
127,115.0,"City of Vancouver, BC, Canada",Canada,51 Billion,631486,Reduce 50% GHG emissions
128,19.47,"City of Victoria, BC, Canada",Canada,N/A,80032,Reduce 100% GHG emissions
129,136.22,"City of Yellowknife, Canada",Canada,2 Billion,19234,Reduce 6% GHG emissions
130,183.0,"District of Delta, BC, Canada",Canada,N/A,99863,Reduce 20% GHG emissions
131,195.54,"District of North Cowichan, Canada",Canada,1.2 Billion,28807,Reduce 80% GHG emissions
132,103.44,"District of Saanich, BC, Canada",Canada,0,109752,Reduce 33% GHG emissions
133,87.26,"District of West Vancouver, Canada",Canada,N/A,44000,Reduce 80% GHG emissions
134,2877.36,"Metro Vancouver, BC, Canada",Canada,N/A,2463700,Reduce 100% GHG emissions
135,1368.94,"Regional Municipality of Waterloo, ON, Canada",Canada,N/A,507096,Reduce 28% GHG emissions
136,67.07,"Town of Ajax, Canada",Canada,630 Thousand,109600,Reduce 6% GHG emissions
137,688.15,"Town of Caledon, Canada",Canada,N/A,59460,Reduce 83% GHG emissions
138,276.26,"Town of Halton Hills, ON, Canada",Canada,2.8 Billion,61161,Reduce 15% GHG emissions
139,139.0,"Town of Oakville, ON, Canada",Canada,7.4 Billion,186400,N/A
140,7.4,"Municipality of Independencia, Chile",Chile,67 Billion,65479,Reduce 30% GHG emissions
141,901.0,"Municipality of Lautaro, Chile",Chile,N/A,35236,Reduce 5% GHG emissions
142,14.0,"Municipality of Providencia, Chile",Chile,N/A,130000,Reduce 50% GHG emissions
143,536.9,"Municipality of Quilpue, Chile",Chile,N/A,149500,N/A
144,22.0,"Municipality of Santiago, Chile",Chile,250 Billion,311415,Reduce 30% GHG emissions
145,1015.6,"Municipality of Valdivia, Chile",Chile,2.5 Trillion,172000,Reduce 30% GHG emissions
146,15403.2,"Santiago Metropolitan Region, Chile",Chile,N/A,7314176,N/A
147,2050.0,"Shenzhen Municipal People's Government, China",China,1.6 Trillion,10628900,Reduce 0% GHG emissions
148,60.03,"Chiayi City Government, Chinese Taipei",Chinese Taipei,23 Thousand,270883,Reduce 465000tCO2e GHG emissions
149,2946.616,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,520 Billion,2778729,Reduce 20% GHG emissions
150,153.0,"Kinmen County Government, Chinese Taipei",Chinese Taipei,720 Million,127723,N/A
151,2052.6,"New Taipei City Government, Chinese Taipei",Chinese Taipei,530 Billion,3966818,Reduce 20% GHG emissions
152,2775.6,"Pingtung County Government, Chinese Taipei",Chinese Taipei,1.3 Trillion,835792,Reduce 30% GHG emissions
153,2214.9,"Taichung City Government, Chinese Taipei",Chinese Taipei,23 Thousand,2731056,Reduce 10% GHG emissions
154,2191.64,"Tainan City Government, Chinese Taipei",Chinese Taipei,340 Billion,1885252,Reduce 7% GHG emissions
155,272.0,"Taipei City Government, Chinese Taipei",Chinese Taipei,17 Trillion,2683257,Reduce 50% GHG emissions
156,1220.55,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,17 Trillion,2188017,Reduce 50% GHG emissions
157,1637.0,"Capital District of Bogotá, Colombia",Colombia,36 Trillion,7980000,Reduce 56% GHG emissions
158,165.0,"City of Bucaramanga, Colombia",Colombia,N/A,525119,Reduce 30% GHG emissions
159,11640.0,"City of Puerto Leguízamo, Colombia",Colombia,38 Million,15445,N/A
160,3142.0,"City of San Jerónimo de Montería, Colombia",Colombia,4 Thousand,441301,Reduce 20tCO2e GHG emissions
161,140.0,"Municipality of Armenia, Colombia",Colombia,2.1 Billion,296683,N/A
162,166.0,"Municipality of Barranquilla, Colombia",Colombia,19 Billion,1148506,N/A
163,630.0,"Municipality of Cartagena de Indias, Colombia",Colombia,N/A,978600,N/A
164,279.0,"Municipality of Cartago, Colombia",Colombia,120 Million,133652,N/A
165,1439.0,"Municipality of Ibagué, Colombia",Colombia,3.9,553524,N/A
166,380.64,"Municipality of Medellín, Colombia",Colombia,26 Billion,2441123,N/A
167,1181.0,"Municipality of Pasto, Colombia",Colombia,910 Thousand,480000,Reduce 550tCO2e GHG emissions
168,N/A,"Municipality of Pereira, Colombia",Colombia,12 Thousand,468000,N/A
169,564.0,"Municipality of Santiago de Cali, Colombia",Colombia,29 Trillion,2394925,N/A
170,4192.0,"Municipality of Valledupar, Colombia",Colombia,6.2 Trillion,453212,Reduce 14% GHG emissions
171,1428.0,"Municipality of Villavicencio, Colombia",Colombia,38 Billion,489,N/A
172,44.62,"Municipality of San José, Costa Rica",Costa Rica,N/A,288054,N/A
173,48.0,"Municipality of San Rafael de Heredia, Costa Rica",Costa Rica,N/A,45965,N/A
174,91.0,"City of Koprivnica, Croatia",Croatia,N/A,30854,N/A
175,88.0,"City of Copenhagen, Denmark",Denmark,54 Billion,559440,Reduce 100% GHG emissions
176,78.0,"Hoeje-Taastrup Municipality, Denmark",Denmark,N/A,48853,N/A
177,70.59,"Municipality of Cuenca, Ecuador",Ecuador,N/A,400000,N/A
178,30.3,"Municipality of Santa Cruz, Ecuador",Ecuador,97 Million,18070,N/A
179,4230.0,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,23 Billion,2671191,Reduce 5% GHG emissions
180,9536.0,"Province of Pichincha, Ecuador",Ecuador,N/A,29945,N/A
181,72.25,"Municipality of the City of San Salvador, El Salvador",El Salvador,N/A,567698,N/A
182,400.0,"Municipality of the City of Santa Ana, El Salvador",El Salvador,N/A,274830,N/A
183,528.14,"City of Espoo, Finland",Finland,N/A,267906,N/A
184,716.75,"City of Helsinki, Finland",Finland,47 Thousand,626305,Reduce 30% GHG emissions
185,154.58,"City of Lahti, Finland",Finland,N/A,103725,Reduce 50% GHG emissions
186,1723.5,"City of Lappeenranta, Finland",Finland,2.7 Billion,72495,Reduce 30% GHG emissions
187,689.59,"City of Tampere, Finland",Finland,N/A,223238,Reduce 40% GHG emissions
188,579.27,"Bordeaux Metropolis, France",France,N/A,246586,Reduce 0% GHG emissions
189,218.37,"Brest Metropolis, France",France,N/A,206719,N/A
190,65.05,"City of Besançon, France",France,N/A,116353,Reduce 40% GHG emissions
191,18.13,"City of Grenoble, France",France,N/A,158346,Reduce 75% GHG emissions
192,27.48,"City of Orléans, France",France,N/A,114286,N/A
193,105.0,"City of Paris, France",France,150 Billion,2265886,Reduce 30% GHG emissions
194,611.45,"Lille European Metropolis, France",France,N/A,1119877,Reduce 30% GHG emissions
195,533.68,"Lyon Metropolis, France",France,730 Billion,1324637,Reduce 20% GHG emissions
196,26.38,"Municipality of Mellac, France",France,N/A,2764,N/A
197,465.96,"Toulouse Metropolis, France",France,36 Billion,725091,Reduce 20% GHG emissions
198,523.36,"Urban Community of Nantes Métropole, France",France,21 Billion,602923,Reduce 30% GHG emissions
199,47.4,"Urban Community of Plaine Commune, France",France,N/A,411367,N/A
200,153.0,"City of Freiburg im Breisgau, Germany",Germany,N/A,220286,N/A
201,204.0,"City of Hannover, Germany",Germany,29 Million,523642,Reduce 40% GHG emissions
202,141.0,"Federal City of Bonn, Germany",Germany,25 Billion,313958,Reduce 20% GHG emissions
203,891.68,"Federal State of Berlin, Germany",Germany,N/A,3469849,Reduce -85% GHG emissions
204,228.0,"Municipality of Guatemala, Guatemala",Guatemala,N/A,2110100,Reduce 35% GHG emissions
205,78.0,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,6.1 Million,82072,Reduce 47% GHG emissions
206,100.0,"Municipality of Pachalum, Guatemala",Guatemala,N/A,15000,N/A
207,N/A,"Municipality of Villa Nueva, Guatemala",Guatemala,N/A,1200000,N/A
208,1514.72,"Tegucigalpa, Municipality of the Central District, Honduras",Honduras,N/A,1149923,Reduce 406556tCO2e GHG emissions
209,464.0,"Ahmadabad Municipal Corporation, India",India,N/A,5570585,N/A
210,709.0,"Bengaluru Municipal Corporation, India",India,14 Billion,9621551,N/A
211,135.0,"Bhubaneswar Municipal Corporation, India",India,N/A,837737,N/A
212,95.0,"Cochin Municipal Corporation, India",India,2.3 Million,601574,N/A
213,247.92,"Coimbatore City Municipal Corporation, India",India,3 Billion,1850000,N/A
214,36.0,"Corporation of the City of Panaji, India",India,92 Million,59066,Reduce 19tCO2e GHG emissions
215,52.0,"Dehradun Municipal Corporation, India",India,N/A,447808,N/A
216,177.0,"Gandhinagar Municipal Corporation, India",India,N/A,208299,N/A
217,650.0,"Greater Hyderabad Municipal Corporation, India",India,N/A,6731790,N/A
218,780.0,"Gwalior Municipal Corporation, India",India,8.5 Billion,1069276,N/A
219,276.0,"Indore Municipal Corporation, India",India,N/A,2197447,N/A
220,645.0,"Jaipur Municipal Corporation, India",India,N/A,3073350,N/A
221,94.0,"Kochi Municipal Corporation, India",India,2.3 Million,602046,N/A
222,318.0,"Kota Municipal Corporation, India",India,N/A,1001365,N/A
223,228.0,"Nagpur Municipal Corporation, India",India,N/A,2405421,N/A
224,482.0,"Nashik City Corporation, India",India,N/A,1862769,Reduce 62% GHG emissions
225,43.0,"New Delhi Municipal Council, India",India,13 Billion,249998,N/A
226,297.9,"Patna Municipal Corporation, India",India,2.4 Billion,1684222,N/A
227,181.0,"Pimpri Chinchwad Municipal Corporation, India",India,N/A,1729320,N/A
228,250.56,"Pune Municipal Corporation, India",India,0,3115431,Reduce 10% GHG emissions
229,129.0,"Rajkot Municipal Corporation, India",India,2.3 Billion,1432734,Reduce 25% GHG emissions
230,25.0,"Shimla Municipal Corporation, India",India,0,169758,N/A
231,327.0,"Surat Municipal Corporation, India",India,N/A,4466826,N/A
232,147.0,"Thane Municipal Corporation, India",India,N/A,1886941,Reduce 623763tCO2e GHG emissions
233,159.95,"Vadodara Municipal Corporation, India",India,18 Billion,1666495,Reduce 550tCO2e GHG emissions
234,503.33,"City of Balikpapan, Indonesia",Indonesia,70 Million,762492,Reduce 19% GHG emissions
235,61.36,"City of Banda Aceh, Indonesia",Indonesia,12 Trillion,354214,N/A
236,167.7,"City of Bandung, Indonesia",Indonesia,41 Trillion,2483977,Reduce 30% GHG emissions
237,210.49,"City of Bekasi, Indonesia",Indonesia,N/A,2663011,N/A
238,118.0,"City of Bogor, Indonesia",Indonesia,29 Trillion,1039465,Reduce 2087226tCO2e GHG emissions
239,40.0,"City of Cimahi, Indonesia",Indonesia,16 Million,561386,Reduce 9% GHG emissions
240,110.0,"City of Malang, Indonesia",Indonesia,52 Billion,881794,Reduce 24% GHG emissions
241,56.667,"City of Probolinggo, Indonesia",Indonesia,N/A,224229,Reduce 12% GHG emissions
242,374.0,"City of Semarang, Indonesia",Indonesia,N/A,1500000,Reduce 4% GHG emissions
243,164.5,"City of Tangerang, Indonesia",Indonesia,N/A,2047105,N/A
244,7639.0,"Special Capital Region of Jakarta, Indonesia",Indonesia,440 Billion,10277628,Reduce 30% GHG emissions
245,125.0,"Jerusalem Municipality, Israel",Israel,N/A,890428,Reduce 20% GHG emissions
246,140.7,"City of Bologna, Italy",Italy,37 Billion,384202,Reduce 20% GHG emissions
247,228.0,"City of Forlì, Italy",Italy,N/A,118652,Reduce 25% GHG emissions
248,1285.0,"City of Rome, Italy",Italy,N/A,2869461,N/A
249,102.0,"Metropolitan City of Florence, Italy",Italy,N/A,383083,Reduce 50% GHG emissions
250,6829.0,"Metropolitan City of Turin, Italy",Italy,N/A,2308409,Reduce 20% GHG emissions
251,2467.0,"Metropolitan City of Venice, Italy",Italy,N/A,858455,N/A
252,124.0,"Municipality of Ancona, Italy",Italy,N/A,102997,Reduce 20% GHG emissions
253,4.6,"Municipality of Villa di Serio, Italy",Italy,N/A,6118,Reduce 20% GHG emissions
254,3821.0,"Province of Siena, Italy",Italy,N/A,273305,Reduce 100% GHG emissions
255,53.0,"Adachi City, Japan",Japan,N/A,669143,Reduce 9% GHG emissions
256,5165.0,"Aichi Prefecture, Japan",Japan,36 Trillion,7507553,Reduce 15% GHG emissions
257,49.0,"Akashi City, Japan",Japan,N/A,290776,Reduce 25% GHG emissions
258,906.0,"Akita City, Japan",Japan,N/A,320909,Reduce 4% GHG emissions
259,11636.0,"Akita Prefecture, Japan",Japan,N/A,1026983,Reduce 11% GHG emissions
260,308.15,"Amami City, Japan",Japan,N/A,44561,Reduce 9% GHG emissions
261,825.0,"Aomori City, Japan",Japan,N/A,298866,N/A
262,9606.26,"Aomori Prefecture, Japan",Japan,N/A,1373164,Reduce 5% GHG emissions
263,748.0,"Asahikawa City, Japan",Japan,N/A,349316,N/A
264,94.0,"Atsugi City, Japan",Japan,N/A,224462,Reduce 25% GHG emissions
265,5157.0,"Chiba Prefecture, Japan",Japan,N/A,6192351,Reduce 1% GHG emissions
266,36.0,"Chigasaki City, Japan",Japan,N/A,236177,Reduce 8% GHG emissions
267,12.0,"Chiyoda City, Japan",Japan,N/A,53821,Reduce 29% GHG emissions
268,10.0,"Chuo City, Japan",Japan,N/A,141454,Reduce 5% GHG emissions
269,49.0,"Edogawa City, Japan",Japan,N/A,682418,Reduce 14% GHG emissions
270,5679.0,"Ehime Prefecture, Japan",Japan,N/A,1405620,Reduce 6% GHG emissions
271,245.0,"Fuji City, Japan",Japan,N/A,259077,Reduce 10% GHG emissions
272,389.0,"Fujinomiya City, Japan",Japan,N/A,131741,Reduce 10% GHG emissions
273,70.0,"Fujisawa City, Japan",Japan,N/A,418269,Reduce 40% GHG emissions
274,4190.0,"Fukui Prefecture, Japan",Japan,N/A,789375,Reduce 3% GHG emissions
275,342.0,"Fukuoka City, Japan",Japan,N/A,1506313,N/A
276,13782.0,"Fukushima Prefecture, Japan",Japan,N/A,1947580,N/A
277,86.0,"Funabashi City, Japan",Japan,N/A,610572,Reduce 1% GHG emissions
278,10621.0,"Gifu Prefecture, Japan",Japan,N/A,2064910,Reduce 7% GHG emissions
279,420.04,"Goto City, Nagasaki, Japan",Japan,110 Thousand,37745,N/A
280,6363.0,"Gunma Prefecture, Japan",Japan,N/A,2014608,Reduce 28% GHG emissions
281,678.0,"Hakodate City, Japan",Japan,N/A,279851,Reduce 10% GHG emissions
282,1558.0,"Hamamatsu City, Japan",Japan,N/A,793473,N/A
283,534.0,"Himeji City, Japan",Japan,N/A,535945,Reduce 16% GHG emissions
284,85.0,"Hirakata City, Japan",Japan,N/A,407465,Reduce 17% GHG emissions
285,905.0,"Hiroshima City, Japan",Japan,5.1 Trillion,1192189,Reduce 8% GHG emissions
286,8477.0,"Hiroshima Prefecture, Japan",Japan,N/A,2857990,Reduce 5% GHG emissions
287,83.0,"Hokkaido Prefecture, Japan",Japan,N/A,5507456,Reduce 11% GHG emissions
288,603.0,"Hokuto City, Japan",Japan,N/A,46559,N/A
289,8396.0,"Hyogo Prefecture, Japan",Japan,N/A,5557971,Reduce 6% GHG emissions
290,659.0,"Iida City, Japan",Japan,N/A,104921,Reduce 2% GHG emissions
291,4186.0,"Ishikawa Prefecture, Japan",Japan,N/A,1162953,Reduce 7% GHG emissions
292,32.22,"Itabashi City, Japan",Japan,N/A,546414,N/A
293,1231.0,"Iwaki City, Japan",Japan,N/A,327783,N/A
294,1877.0,"Kagawa Prefecture, Japan",Japan,N/A,985846,Reduce 8% GHG emissions
295,139.0,"Kakogawa City, Japan",Japan,N/A,268565,Reduce 24% GHG emissions
296,2416.0,"Kanagawa Prefecture, Japan",Japan,N/A,9059589,Reduce 25% GHG emissions
297,157.0,"Kasumigaura City, Japan",Japan,N/A,43616,Reduce 4% GHG emissions
298,109.0,"Kawagoe City, Japan",Japan,N/A,349907,Reduce 0% GHG emissions
299,62.0,"Kawaguchi City, Japan",Japan,N/A,583179,Reduce 8% GHG emissions
300,144.35,"Kawasaki City, Japan",Japan,N/A,1475300,Reduce 25% GHG emissions
301,21.0,"Kita City, Japan",Japan,N/A,340287,Reduce 3% GHG emissions
302,491.95,"Kitakyushu City, Japan",Japan,3.5 Trillion,956243,Reduce 50% GHG emissions
303,20.0,"Kitamoto City, Japan",Japan,N/A,69984,Reduce 4% GHG emissions
304,553.0,"Kobe City, Japan",Japan,N/A,1542230,Reduce 30% GHG emissions
305,7105.0,"Kochi Prefecture, Japan",Japan,N/A,757914,Reduce 10% GHG emissions
306,126.0,"Kochi-konan City, Japan",Japan,N/A,33721,Reduce 5% GHG emissions
307,212.0,"Kofu City, Japan",Japan,N/A,195031,Reduce 3% GHG emissions
308,99.0,"Komoro City, Japan",Japan,N/A,44270,Reduce 6% GHG emissions
309,757.0,"Koriyama City, Japan",Japan,N/A,329339,Reduce 7% GHG emissions
310,40.0,"Koto City, Japan",Japan,N/A,488632,Reduce 20% GHG emissions
311,390.0,"Kumamoto City, Japan",Japan,N/A,734029,Reduce 16% GHG emissions
312,355.0,"Kurashiki City, Japan",Japan,N/A,483265,Reduce 12% GHG emissions
313,230.0,"Kurume City, Japan",Japan,N/A,305933,N/A
314,1363.0,"Kushiro City, Japan",Japan,N/A,183757,Reduce 1% GHG emissions
315,827.9,"Kyoto City, Japan",Japan,6.5 Trillion,1470742,Reduce 25% GHG emissions
316,4613.0,"Kyoto Prefecture, Japan",Japan,N/A,2609316,Reduce 80% GHG emissions
