,action,city,country,description,start year,status,type
10,Social Management of habitat - Stage 1 - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"The Social Management of Habitat is based on three pillars: territorial presence, social urbanism and inclusion from the perspective of the habitat.
The Secretariat for Habitat & Inclusion (SECHI) works under a new paradigm for infrastructural and social interventions, one which considers the community as the protagonist in the physical and social transformation of its own habitat. Under this social management model, the Secretariat works to generate stronger relationships between the State and informal neighbourhoods, helping to empower local institutions and develop public spaces for collective participation and decision-making. In order to reach these objetives the SECHI have opened 11 Inclusive Portals and 5 NIDO (for its acronym in Spanish)  -Inclusion Core and Development Opportunities-, which are different types of Government offices and social centres that promote social inclusion, reinforce relationships and networking between the neighbors and between them and the City government.",,In operation,Public Participation/Stakeholder engagement
11,Environmental Health inside the Public System - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,"The City’s Government, from the Environmental Health Department, carries out different actions to identify early impacts on human health and therefore be able to respond rapidly and efficiently. Given the projected scenarios, more pressure over the public health system is expected.
This strategy includes the reinforcement of the Health Centers Network and the Communitarian Action Network and the implementation of the “Healthy Stations” in parks and strategic points of the City, which are increasing in number year after year, seeking to respond to emerging challenges.",,In operation,Policy/Strategies/Action Plans
12,Emergency Assistance  - Director Plan of Emergency - Autonomous City of Buenos Aires,"Autonomous City of Buenos Aires, Argentina",Argentina,The city Government have designed a Director Plan of Emergency that identifies 21 threats likely to occur in the city and structures the response to these events. The objective is to bring a rapid response optimizing time and resources. Each threat identified has an action protocol which is monitored and continuously updated.,,In operation,Policy/Strategies/Action Plans
13,Parque Ecológico Municipal de Casbas - Municipality of Guaminí,"Municipality of Guaminí, Argentina",Argentina,"La ciudad de Casbas, en el partido de Guaminí, provincia de Buenos Aires, se encuentra localizada en una de las ecorregiones más transformadas del país, el pastizal
pampeano, o como se conoce más comúnmente, la “pampa”.Se trata de un ambiente donde las especies herbáceas son las dominantes, con ausencia natural de árboles y muy poca presencia de arbustos. El suelo es muy fértil, con buena cantidad de materia orgánica, lo que los vuelve aptos para que se desarrolle una importante
vegetación. Son muy buenos para la agricultura y la ganadería y han sido los principales motores en la historia económica argentina.
Sin embargo, debido a esas condiciones naturales y de uso, estos ecosistemas naturales han sido transformados por la actividad agrícola – ganadera y, en consecuencia, la sociedad, está desprovista de sitios “naturales” donde conocer, valorizar y hacer uso de los servicios ambientales del pastizal (estéticos, de recreación, de oxigenación, de avistaje de fauna, etc.). El presente trabajo tiene por objetivo determinar qué impactos (positivos y/o negativos) pueden suscitarse por la creación de una Reserva Natural Urbana (RNU)1, a modo de Parque Ecológico Municipal, en la ciudad de Casbas.",,Planning phase,Policy/Strategies/Action Plans
14,PLAN DE ARBOLADO URBANO - Municipality of Paraná,"Municipality of Paraná, Argentina",Argentina,"El objetivo es la plantación de 10.000 árboles nuevos en toda la ciudad entre los años 2017 y 2019.
La media apunta a mejorar la calidad del aire y de vida en el égido urbano. Los árboles disminuyen la cantidad de dióxido de carbono presente en la atmósfera y además contribuyen al paisaje urbano.
Es de considerar también, que Paraná es una ciudad con un relieve irregular y con marcadas barrancas que desembocan en el Río Paraná. Por lo tanto, la forestación urbana también contribuye a la contención de barrancas de la ciudad.
Indicadores: árboles plantados por año, toneladas de dióxido de carbono absorbidas por los árboles",,In operation,Technical / Infrastructural
15,BRIGADA FORESTAL - Municipality of Potrero de los Funes,"Municipality of Potrero de los Funes, Argentina",Argentina,"Conformación de brigadas ambientales voluntarias. A raíz de los últimos  incendios forestales sufridos en nuestra localidad se vieron sensibilizados distintos sectores de nuestra comunidad. A raíz de la participación voluntaria de vecinos y especialmente de jóvenes de Potrero de los Funes se decidió llevar adelante una capacitación para  la prevención de incendios, cuidado de la naturaleza, información en general.
Esto ha generado un importante interés en la formación como guías locales.
Las capacitaciones las recibirán de parte del Municipio, de Cruz Roja Internacional, de Bomberos Voluntarios, Ministerio de Medio Ambiente y Ministerio de Turismo de la Provincia.
La duración de los cursos se será de tres meses, en un primer nivel, recibiendo capacitaciones continuas.
Direcciona la formación a que los jóvenes de la localidad desarrollen habilidades como protectores locales de la flora, fauna y paisaje,  generando en sus guardias durante las visitas de turistas conciencia en el cuidado del paisaje, previniendo incendios y desmanes.
Por otra parte esta motivación  permitirá brindarles capacitación laboral y perfeccionamiento en el rol de guías baqueanos, como una fuente laboral en futuro",,In operation,Education/Awareness Raising
16,PLAN DE FORESTACION MUNICIPAL - Municipality of Potrero de los Funes,"Municipality of Potrero de los Funes, Argentina",Argentina,"Los árboles captan el CO2 atmosférico para producir materia orgánica aprovechable mediante el proceso de fotosíntesis, por lo que son los sumideros de carbono naturales por excelencia. Además de contribuir a la mitigación del cambio climático, absorbiendo GEI, son fundamentales para la adaptación de los territorios. Considerando los efectos que se esperan para Potrero de los Funes la forestación de zonas urbanas traerá beneficios tales como la regulación de la temperatura, evitando la formación de las islas de calor, y del escurrimiento del agua de lluvia reduciendo las anegaciones. Los programas de forestación pueden integrarse junto al proyecto del Vivero Municipal ya que se puede encarar desde esta iniciativa con la producción local de especies forestales, generando a la vez empleo en la localidad. 
Alcance de la medida: implantación de 70 ejemplares arbóreos mensuales en diferentes espacios públicos.
Escala de implementación: municipal.",,In operation,Technical / Infrastructural
17,Dengue Prevention Larvae Monitoring - Municipality of Rosario,"Municipality of Rosario, Argentina",Argentina,"As part of entomological vector control, starting in 2009, a twice-yearly larva survey is realized. This year it took place in May and will be repeated in November. Controls include house, container and Breteau indices. This is a cross-category task that surveys 450 city houses in the course of the week. Focused control actions are also undertaken in high-risk zones, including awareness, manned container clearing and larvicide application.
Participating Organizations: The Universidad Nacional de Rosario and neighborhood institutions.",2012,Completed,Education/Awareness Raising
18,Bicisendas - Municipality of Rosario,"Municipality of Rosario, Argentina",Argentina,"Los viajes en transporte no motorizado representan más del 26% de los traslados realizados en la ciudad de Rosario, según datos obtenidos en la Encuesta Origen y Destino 2008 (EOD), teniendo la misma magnitud que los viajes realizados en transporte urbano o en transporte privado. Los viajes en bicicleta alcanzan el 5,3% del total de viajes realizados en la ciudad de Rosario y si incluimos el Área Metropolitana ascienden al 8,4%. Esto posiciona a Rosario como la ciudad con mayor porcentaje de uso de bicicleta entre las relevadas por el BID en América Latina.
La extensión y vinculación de las ciclovías de la ciudad en forma de red, que a partir del PIM (2011) comprenden más de 40 km de nuevos recorridos; y la readecuación de algunos tramos existentes, dotaron a la ciudad de un total de más de 100 km de recorridos ciclistas. Esta cifra permite posicionar a Rosario como la ciudad con mayor cantidad de kilómetros de ciclovías por habitante del país. Paralelamente, en 2012 comenzó la instalación de 1000 bicicleteros públicos seguros, junto a la gestión de colocación de bicicleteros gratuitos en playas de estacionamiento públicas y privadas. 
Por otro lado, con la puesta en marcha del programa Cambia el Aire! Calle Recreativa, los ciudadanos que se desplazan a pie, en bicicleta, rollers y skate cuentan con un circuito de 28 km libres de vehículos motorizados, durante todos los domingos de 8:30 a 12:30 horas. En este espacio, niños, jóvenes y adultos que eligen el transporte no motorizado como modo de movilidad, ganan su lugar en la calle. Hoy se observan picos de más de 60.000 asistentes por jornada.
Este proyecto forma parte de la Red de Ciclovías Recreativas Unidas de las Américas, iniciativa que llevan adelante varias ciudades del continente americano promoviendo un estilo de vida más saludable.
Por otro lado, a fines de marzo de 2015 se inaguraron las dos primeras estaciones del Sistema de bicicletas públicas Tu Bici Mi bici. 
Se trata de un sistema automatizado de alquiler de bicicletas públicas, que se constituye como un modo complementario al transporte urbano de pasajeros. El mismo funciona en una primera etapa con 18 estaciones y 480 bicicletas.",,In operation,Public Participation/Stakeholder engagement
19,Sistema de certificación de eficiencia energética de inmuebles destinados a vivienda - Municipality of Rosario,"Municipality of Rosario, Argentina",Argentina,"El objetivo es darle a la ciudadanía una herramienta de decisión a la hora de comprar, alquilar, construir un inmueble destinado a la vivienda, en relación al grado de eficiencia de la misma.
Para su realización, el Gobierno Provincial firmó un acta acuerdo con el Ministerio de Minería y Energía de la Nación, la Municipalidad de Rosario, el Colegio de los Profesionales de la Ingeniería Civil, el Colegio de Arquitectos, el Colegio de Maestros Mayores de Obra y Técnicos y el Colegio de Ingenieros Especialistas del Distrito II.
Este acta acuerdo tiene por objeto la colaboración y cooperación mutua entre el Gobierno Nacional -a través de su Subsecretaría de Ahorro y Eficiencia Energética- y la provincia -a través de su Secretaría de Estado de Energía-, en la elaboración y planificación de políticas públicas de eficiencia en usos finales en los siguientes puntos específicos:
• Diseño, planificación, elaboración y confección de balances energéticos en términos de energía útil.
• Institución de un sistema provincial de gestión energética de edificios públicos.
• Institución de un sistema provincial de certificación de eficiencia energética de inmuebles destinados a viviendas.
• Realización de una prueba piloto de certificación de eficiencia energética de inmuebles destinados a vivienda durante el año 2017 en la ciudad de Rosario en conjunto con el Programa de Construcciones Sustentables y Eficiencia Energética de la Municipalidad de Rosario.
Por su parte, los colegios se comprometen a prestar cooperación en la implementación de la prueba piloto, mediante la participación de sus colegiados, quienes brindarán asistencia técnica propia de sus incumbencias.",,Under construction / set up,Public Participation/Stakeholder engagement
20,2012 City Forestation Plan - Municipality of Rosario,"Municipality of Rosario, Argentina",Argentina,"The plan calls for planting 10,000 trees for public greenspace preservation, upgrade and expansion. One thousand units were dedicated to parks and promenades and nine thousand were destined for walkways, of which four thousand were planted by neighborhood and institutional organizations and another two thousand handed over to neighborhood residents. Active citizen, social organization, business and institutional participation in carrying out the project is a core characteristic. This plan’s actions supplement the Cutting and Pruning Plan
Participating Organizations: Grassroots organizations (neighborhood associations, schools and community centers)",,Completed,Policy/Strategies/Action Plans
21,"Ordenanza Nº 8757 ""Aspectos Higrotèrmicos y Demanda Energética de las Construcciones"" - Municipality of Rosario","Municipality of Rosario, Argentina",Argentina,"A partir de la ordenanza, se establecen valores máximos de transmitancia térmica, lo cual implica la incorporación de aislación térmica en techos y paredes exteriores y la colocación de protección solar en los cerramientos transparentes según las orientaciones.",,In operation,Regulatory
22,Un millón de árboles para Rosario - Municipality of Rosario,"Municipality of Rosario, Argentina",Argentina,"Actualmente la ciudad cuenta con 420 mil árboles en las veredas y espacios verdes. La meta planteada para el 2030 es llegar a vivir en una ciudad con 1 millón de árboles, es decir, un árbol por cada rosarino.  ",,Under construction / set up,Public Participation/Stakeholder engagement
23,2012 Urban Reforestation Plan Implementation - Municipality of Santa Fe de la Vera Cruz,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,"With an eye to the implementation of a reforestation plan,
a strategy was developed to determine the number of tree
individuals needed to affect a beneficial environmental impact
alongside a major climate-change adaptation advance.
A tree planted for every child born in the city in 2011 was
programmed. To date, not only have projected results been
satisfactorily achieved (a minimum of 6000 plantings) but
it is additionally estimated that projected results will be exceeded
on the course of 2012.",2011,In operation,Policy/Strategies/Action Plans
24,Plastic Bag Phase-Out - Municipality of Santa Fe de la Vera Cruz,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,"It is estimated that in the city of Santa Fe an average of 1.5 plastic bags are consumed per inhabitant per day—one of the main causes of storm sewer blockage. Therefore a timetable has been established for eliminating free distribution of plastic bags in Santa Fe’s supermarkets, big-box stores and self-service retail outlets. To date a 50% reduction in bag distribution has been achieved at checkout counters at businesses that simultaneously operate four or more such points of service",2009,In operation,Regulatory
25,PLAN INTEGRAL DE REDUCCIÓN DEL RIESGO DE DESASTRES - Municipality of Totoras,"Municipality of Totoras, Argentina",Argentina,"Elaboración participativa de un Plan que permita identificar y generar los recursos necesarios a preservar y construir para evitar desastres de diversa índole (tormentas fuertes, corte en provisión de servicios, inundaciones, interrupción de las comunicaciones, etc.)
Si bien el mismo se realizaría a nivel local, deberá incorporar en su análisis y desarrollo el resto de los niveles que impactan de diversa manera (regional, provincial y nacional).
Indicadores:
- índices de anegamientos e inundaciones
- consumo de energía
- participación de energías renovables en nivel de consumo
- perforaciones para extracción de agua
- canales de comunicación habilitados y probables
- camas y espacios disponibles.",,Planning phase,Policy/Strategies/Action Plans
26,Lake Macquarie Waterway Flooding and Tidal Inundation Policy - City of Lake Macquarie Council,"City of Lake Macquarie Council, Australia",Australia,"This policy complements Council polices regarding flood-prone
land and replaces the 2009 Sea Level Rise Preparedness
Adaptation Policy to identify and respond to emerging sea
level rise hazards and risks to foreshore properties. Council
continues to undertake flood studies, floodplain risk management
studies and plans for major catchment areas in the
City, has also reviewed its current flood information dissemination
practices, and is implementing improvements in its
flood information management system.",2012,Completed,Policy/Strategies/Action Plans
27,Lake Macquarie Waterway Flood Risk Management Study and Plan - City of Lake Macquarie Council,"City of Lake Macquarie Council, Australia",Australia,"The effects of sea level rise on lake flooding and foreshore
inundation were estimated using computer modeling
calibrated against recorded flood events. Planning to manage
increased flood risk in 2050 and 2100 was based on
maintaining current risk threshold of the 1-in-100 year
average recurrence interval flood level. The study covers
a majority of land and settlements in the City likely to be
affected by sea level rise to 2100. It sets out management
measures to ensure there is no increase in risk to
people and property from flooding and permanent tidal
inundation, and ascertained through sensitivity testing
that other possible climate changes (including increased
storm surge and rainfall) were not considered significant
when compared to the impact of sea level rise.",2011,Completed,Policy/Strategies/Action Plans
28,Lake Macquarie Coastal Hazard Study - City of Lake Macquarie Council,"City of Lake Macquarie Council, Australia",Australia,"To update an earlier 1996 study, Council completed this
study of coastal hazards in Lake Macquarie City and incorporated
the NSW Government’s sea level rise benchmarks:
a rise of 0.4m by 2050 and 0.9m by 2100. The study includes
a risk assessment, and used a more sophisticated model
to predict the effects of underlying foreshore recession,
storm cut, beach rotation, and other coastal processes. It
also provides a suite of management actions to be considered
for inclusion in the draft Lake Macquarie Coastal
Zone Management Plan",,,Assessment/Research
29,Tree Canopy - City of Mandurah,"City of Mandurah, Australia",Australia,"Increase canopy cover across the City boundaries to help prevent to effects of heat island, conserve biodiversity and increase city's liveability",,In operation,Policy/Strategies/Action Plans
30,Rosalie Mini-Park Stormwater Harvesting System - City of Subiaco,"City of Subiaco, Australia",Australia,"A stormwater harvesting system was installed within the
park in November 2011 to harvest rainwater to be used for
park irrigation. Rosalie mini-park occupies 650 m² and consumes approximately 600 kL of groundwater per annum for
irrigation purposes. The 200 kL capacity stormwater storage
cells are currently being connected to the irrigation system
and will supply the park during summer 2012/13.",2011,In operation,Technical/Infrastructure investment
31,Managing Park and Open Spaces in a Drying-Climate Policy - City of Subiaco,"City of Subiaco, Australia",Australia,"A drying-climate policy was prepared and adopted by council
in December 2011 to reduce the use of non-sustainable
water sources, where possible, within the municipality. It allows
for the City to investigate and implement alternative
water sources for irrigation, such as stormwater and treated
wastewater. It also outlines the City’s Water-Sensitive Urban
Design approach, including the development of ‘blue corridors,’
defined as vegetation areas designed to detain and
infiltrate stormwater runoff.",2011,In operation,Policy/Strategies/Action Plans
32,Key Participant in the Cities as Water Supply Catchment Programa - City of Subiaco,"City of Subiaco, Australia",Australia,"The National Cities as Water Supply Catchments program is
lead by Monash University in Melbourne. The City is one of
a consortium of 20 organizations that support the program.
The program will research ways to better manage water in a
water-sensitive city and overcome water shortages, reduce
urban temperatures, improve waterway health and improve
urban landscapes. Trial sites will be established in the City as
part of the research program",,,Policy/Strategies/Action Plans
33,ArtPlay White Roofy - Melbourne City Council,"Melbourne City Council, Australia",Australia,"The City of Melbourne has begun testing a white roof on
a council building. The white roof reflects light and keeps
the building up to 4 degrees cooler on extreme heat days.
The trial has been conducted in partnership with Melbourne
University and is being used as a showcase to encourage
other building owners to install white roofs.
Participating organizations: Melbourne University",2012,Completed,Technical/Infrastructure investment
34,Urban Forest Strategy - Melbourne City Council,"Melbourne City Council, Australia",Australia,"The City of Melbourne’s Urban Forest Strategy seeks to address
the impacts of urban heat island effect, loss of biodiversity
and protect against future vulnerability by providing a
robust strategic framework for the evolution and longevity of
Melbourne’s urban forest",2011,In operation,Policy/Strategies/Action Plans
35,Stormwater Harvesting in Fitzroy Gardens - Melbourne City Council,"Melbourne City Council, Australia",Australia,"The installation of a stormwater harvesting project in Fitzroy
Gardens is part of the City of Melbourne’s Total Watermark
strategy. The strategy is improving water security across the
city by reducing flood risks, reducing watercourse pollution,
and improving drought resilience in the city’s parks and gardens.
The Fitzroy Gardens project will see 121 million liters
of recycled water used in place of potable water per year.",2011,In operation,Technical/Infrastructure investment
36,Smart City Graz - City of Graz,"City of Graz, Austria",Austria,"Climate-change adaptation measures require farsighted, intelligent
planning for the future. The “Smart City Graz Mitte”
Project seeks to demonstrate new urban energy concepts as
part of innovative, sustainable city development. A mixeduse
400-hectare urban quarter is to be transformed into an
environmentally friendly, livable and intelligently developed
neighborhood. In 2012, task forces for key project phase-1
areas and milestones have been defined; in-detail planning
is underway.
Participant organizations: AVL, DI Markus Pernthaler Architekt
ZT GmbH, Energie Graz, Energie Steiermark AG, Holding
Graz GmbH, FIBAG, SFL, Alfen Consulting, SOT – Süd-Ost-
Treuhand, Technische Universität Graz, Cities of Darmstadt,
and Zagreb, Verein LaborStadtGraz.",2012,In operation,Education/Awareness Raising
37,Graz Rivulet Program Implementation - City of Graz,"City of Graz, Austria",Austria,"Frequent floods (e.g., 2005 and 2009) led to the assumption
that climate change in general is increasing heavy rainfall
in Austria. The “Graz Rivulet Program” seeks to provide
the best possible flood protection over a ten-year period at
the same time it sets up ecological and recreational benefits.
In 2012, the previous ten years’ flood protection work continued
on specific Graz area rivers.",2011,In operation,Policy/Strategies/Action Plans
38,Studying the impact of the peak oil on Brussels-Capital Region - Brussels Capital Region,"Brussels Capital Region, Belgium",Belgium,"This study is a response to the resolution of the Brussels Parliament of 19 December 2008 calling on the Government to consider the economic consequences of the high price of the barrel of Petroleum for regional administrative services and for the Brussels-Capital (RBC) and its inhabitants.
Anticipation of petrol peak is important and requests a transition towards competitive economy and requesting less fuel. The study shows that, if nowadays only 10% of the population are in fuel poverty, it will be 90% of the population in 2050 with conditions of high energy prices.
Buildings are first energy consumers (inhabitants, administrations and tertiary sector) and measures are essential in this sector. The transport sector is much more sensitive because alternative to fossil fuel are fewer and the study recommends to reduce demand at source.",2012,,Assessment/Research
39,Brussels-Capital Region Climate Change Adaptation plan - Brussels Capital Region,"Brussels Capital Region, Belgium",Belgium,"The Brussels region is subject to particular climate change vulnerability given its high population density as well as its urban environment. As such, a study was carried out to evaluate the most pertinent measures as well as the relevance of resilience measures Brussels has already taken. 
Regarding climate change adaptation, buildings play a capital role in terms of comfort and energy consumption. A high performance building insures a natural thermic comfort thanks to the consideration of the environment and the climate as essential for the construction, to take advantages of solar heating, thermal inertia of materials and grounds and the natural air flow. 
In order to manage cooling needs, it is important to fight against a reactive adaptation which consists in using systematically air conditioning.  
Generally, all measures related to energy performance of buildings have an interest in adaptation to climate change. The air-climate-energy plan (see dedicated measure) includes a chapter dedicated to adaptations.",2012,Completed,Policy/Strategies/Action Plans
40,Brussels-Capital Region Water-Management Plan - Brussels Capital Region,"Brussels Capital Region, Belgium",Belgium,"The water-management plan’s (July 2012) objective is to minimize human-pressure impacts on aquatic ecosystems (pollution prevention and reduction, improving aquatic ecosystem conditions, flood-effect mitigation, etc.). The fifth axis calls for the management of an active rainfall-flooding prevention policy. Given that flooding has been identified as one of the most important risk factors related to climate change in Brussels, the rainfall plan takes on crucial importance among adaptation issues. The rainfall-flooding prevention plan adopts both a preventive and palliative approach. Preventive measures can help to ensure that the built environment is better adapted to increased precipitation, both in terms of improved soil infiltration and short-term water retention on plots of land. The principal palliative measure is the construction of a network of storm drains, generally connected to the sewer network.",2012,In operation,Policy/Strategies/Action Plans
41,Adapting the Soignes Forest - Brussels Capital Region,"Brussels Capital Region, Belgium",Belgium,"The study on adaptation to climate change in the Brussels-Capital highlighted that the Soignes Forest is particularly vulnerable to expected climate change. Several risks have been identified: the first and main risk is the decline of the cathedral beech forest that covers 65% of the surface of the forest (beech represents 74% of species present) and more frequent droughts also threaten the oak tree that covers 14% of the surface. The second risk is related to changes in wind patterns and storm events, but unfortunately no projection on this aspect there is to this day.
The monitoring of the evolution of the forest has therefor been reinforced, especially in regard to the various health risks of vegetation and risks due to global warming (new parasites, extending the area of presence or virulence current parasites, parasite development on stressed trees, etc.).",2010,Completed,Assessment/Research
