,Unnamed: 0,city,country,emissions,inventory_type,year
38,38.0,"Municipality of Bragado, Argentina",Argentina,17090.44,Government operations inventory,2014.0
39,39.0,"Municipality of Camilo Aldao, Argentina",Argentina,51221.0,Community inventories,2014.0
40,40.0,"Municipality of Camilo Aldao, Argentina",Argentina,2787.76,Government operations inventory,2014.0
41,41.0,"Municipality of Carcarañá, Argentina",Argentina,96298.0,Community inventories,2014.0
42,42.0,"Municipality of Carcarañá, Argentina",Argentina,7567.82,Government operations inventory,2014.0
43,43.0,"Municipality of Carlos Tejedor, Argentina",Argentina,681927.0,Community inventories,2014.0
44,44.0,"Municipality of Carlos Tejedor, Argentina",Argentina,935.81,Government operations inventory,2014.0
45,45.0,"Municipality of Caseros, Argentina",Argentina,21243.66496,Community inventories,2014.0
46,46.0,"Municipality of Caseros, Argentina",Argentina,477.69,Government operations inventory,2014.0
47,47.0,"Municipality of Casilda, Argentina",Argentina,165749.8625,Community inventories,2014.0
48,48.0,"Municipality of Casilda, Argentina",Argentina,15300.749999999998,Government operations inventory,2014.0
49,49.0,"Municipality of Centeno, Argentina",Argentina,19004.01085,Community inventories,2014.0
50,50.0,"Municipality of Centeno, Argentina",Argentina,1556.77,Government operations inventory,2014.0
51,51.0,"Municipality of Chabas, Argentina",Argentina,71535.49507,Community inventories,2014.0
52,52.0,"Municipality of Chabas, Argentina",Argentina,2657.96,Government operations inventory,2014.0
53,53.0,"Municipality of Chacabuco, Argentina",Argentina,632438.0232,Community inventories,2014.0
54,54.0,"Municipality of Chacabuco, Argentina",Argentina,15779.12,Government operations inventory,2014.0
55,55.0,"Municipality of Chañar Ladeado, Argentina",Argentina,44338.0,Community inventories,2014.0
56,56.0,"Municipality of Chañar Ladeado, Argentina",Argentina,1102.55,Government operations inventory,2014.0
57,57.0,"Municipality of Colón, Buenos Aires, Argentina",Argentina,236244.0172,Community inventories,2014.0
58,58.0,"Municipality of Colón, Buenos Aires, Argentina",Argentina,12109.44,Government operations inventory,2014.0
59,59.0,"Municipality of Coronel Dominguez, Argentina",Argentina,4033.453623,Community inventories,2014.0
60,60.0,"Municipality of Coronel Dominguez, Argentina",Argentina,1429.14,Government operations inventory,2014.0
61,61.0,"Municipality of Correa, Argentina",Argentina,58518.34867000001,Community inventories,2014.0
62,62.0,"Municipality of Correa, Argentina",Argentina,914.95,Government operations inventory,2014.0
63,63.0,"Municipality of Cosquin, Argentina",Argentina,50827.4568,Community inventories,2014.0
64,64.0,"Municipality of Cosquin, Argentina",Argentina,13917.18,Government operations inventory,2014.0
65,65.0,"Municipality of Cruz Alta, Argentina",Argentina,28466.126010000004,Community inventories,2014.0
66,66.0,"Municipality of Cruz Alta, Argentina",Argentina,3592.9400000000005,Government operations inventory,2014.0
67,67.0,"Municipality of General Alvear, Argentina",Argentina,400144.5904,Community inventories,2014.0
68,68.0,"Municipality of General Alvear, Argentina",Argentina,28874.870000000006,Government operations inventory,2014.0
69,69.0,"Municipality of General Viamonte, Argentina",Argentina,333795.0,Community inventories,2014.0
70,70.0,"Municipality of General Viamonte, Argentina",Argentina,5560.67,Government operations inventory,2014.0
71,71.0,"Municipality of Godoy Cruz, Argentina",Argentina,533995.0,Community inventories,2014.0
72,72.0,"Municipality of Godoy Cruz, Argentina",Argentina,79396.8,Government operations inventory,2014.0
73,73.0,"Municipality of Guaminí, Argentina",Argentina,782972.0,Community inventories,2014.0
74,74.0,"Municipality of Guaminí, Argentina",Argentina,4289.38,Government operations inventory,2014.0
75,75.0,"Municipality of Guaymallén, Argentina",Argentina,826973.4391,Community inventories,2014.0
76,76.0,"Municipality of Guaymallén, Argentina",Argentina,5257.26,Government operations inventory,2014.0
77,77.0,"Municipality of Herrera, Argentina",Argentina,37907.78665,Community inventories,2014.0
78,78.0,"Municipality of Herrera, Argentina",Argentina,428.76,Government operations inventory,2014.0
79,79.0,"Municipality of Inriville, Argentina",Argentina,53054.660169999996,Community inventories,2014.0
80,80.0,"Municipality of Inriville, Argentina",Argentina,1703.19,Government operations inventory,2014.0
81,81.0,"Municipality of Juana Koslay, Argentina",Argentina,71576.2901,Community inventories,2016.0
82,82.0,"Municipality of Juana Koslay, Argentina",Argentina,15255.83,Government operations inventory,2016.0
83,83.0,"Municipality of Las Flores, Argentina",Argentina,7739.04,Government operations inventory,2014.0
84,84.0,"Municipality of Lobos, Argentina",Argentina,460911.0593,Community inventories,2014.0
85,85.0,"Municipality of Lobos, Argentina",Argentina,11521.29,Government operations inventory,2014.0
86,86.0,"Municipality of Los Molinos, Argentina",Argentina,15787.18962,Community inventories,2014.0
87,87.0,"Municipality of Los Molinos, Argentina",Argentina,275.18,Government operations inventory,2014.0
88,88.0,"Municipality of Los Reartes, Argentina",Argentina,8091.087764,Community inventories,2014.0
89,89.0,"Municipality of Los Reartes, Argentina",Argentina,853.53,Government operations inventory,2014.0
90,90.0,"Municipality of Los Surgentes, Argentina",Argentina,36599.68289,Community inventories,2013.0
91,91.0,"Municipality of Los Surgentes, Argentina",Argentina,545.5699999999998,Government operations inventory,2013.0
92,92.0,"Municipality of Malabrigo, Argentina",Argentina,53779.0,Community inventories,2014.0
93,93.0,"Municipality of Malabrigo, Argentina",Argentina,3046.75,Government operations inventory,2014.0
94,94.0,"Municipality of Mendoza, Argentina",Argentina,699892.9587,Community inventories,2014.0
95,95.0,"Municipality of Mendoza, Argentina",Argentina,56151.5,Government operations inventory,2014.0
96,96.0,"Municipality of Monte Buey, Argentina",Argentina,49438.861280000005,Community inventories,2014.0
97,97.0,"Municipality of Monte Buey, Argentina",Argentina,1226.6799999999996,Government operations inventory,2014.0
98,98.0,"Municipality of Monte Vera, Argentina",Argentina,26731.88439,Community inventories,2014.0
99,99.0,"Municipality of Monte Vera, Argentina",Argentina,2717.25,Government operations inventory,2014.0
100,100.0,"Municipality of Nogoyá, Argentina",Argentina,128272.6922,Community inventories,2014.0
101,101.0,"Municipality of Nogoyá, Argentina",Argentina,9365.37,Government operations inventory,2014.0
102,102.0,"Municipality of Olavarría, Argentina",Argentina,3355338.4080000003,Community inventories,2014.0
103,103.0,"Municipality of Olavarría, Argentina",Argentina,62880.06,Government operations inventory,2014.0
104,104.0,"Municipality of Paraná, Argentina",Argentina,828252.9462,Community inventories,2014.0
105,105.0,"Municipality of Paraná, Argentina",Argentina,128429.59,Government operations inventory,2014.0
106,106.0,"Municipality of Potrero de los Funes, Argentina",Argentina,14423.0,Community inventories,2014.0
107,107.0,"Municipality of Potrero de los Funes, Argentina",Argentina,3941.12,Government operations inventory,2014.0
108,108.0,"Municipality of Pérez, Argentina",Argentina,93846.93,Community inventories,2014.0
109,109.0,"Municipality of Pérez, Argentina",Argentina,15698590.340000002,Government operations inventory,2014.0
110,110.0,"Municipality of Rafaela, Argentina",Argentina,437276.11600000004,Community inventories,2014.0
111,111.0,"Municipality of Rafaela, Argentina",Argentina,97533.21,Government operations inventory,2014.0
112,112.0,"Municipality of Resistencia, Argentina",Argentina,850401.3089,Community inventories,2014.0
113,113.0,"Municipality of Resistencia, Argentina",Argentina,139796.22,Government operations inventory,2014.0
114,114.0,"Municipality of Rivadavia, Argentina",Argentina,580273.7364,Community inventories,2014.0
115,115.0,"Municipality of Rivadavia, Argentina",Argentina,3968.0,Government operations inventory,2014.0
116,116.0,"Municipality of Rojas, Argentina",Argentina,274101.1198,Community inventories,2014.0
117,117.0,"Municipality of Rojas, Argentina",Argentina,13670.54,Government operations inventory,2014.0
118,118.0,"Municipality of Rosario, Argentina",Argentina,3687016.0,Community inventories,2014.0
119,119.0,"Municipality of Río Cuarto, Argentina",Argentina,1060073.656,Community inventories,2014.0
120,120.0,"Municipality of Río Cuarto, Argentina",Argentina,120740.72,Government operations inventory,2014.0
121,121.0,"Municipality of Salliqueló, Argentina",Argentina,204829.0821,Community inventories,2014.0
122,122.0,"Municipality of Salliqueló, Argentina",Argentina,2137.34,Government operations inventory,2014.0
123,123.0,"Municipality of Salta, Argentina",Argentina,1865433.083,Community inventories,2014.0
124,124.0,"Municipality of Salta, Argentina",Argentina,321117.66,Government operations inventory,2014.0
125,125.0,"Municipality of San Antonio de Areco, Argentina",Argentina,185909.5512,Community inventories,2014.0
126,126.0,"Municipality of San Antonio de Areco, Argentina",Argentina,4497.52,Government operations inventory,2014.0
127,127.0,"Municipality of San Carlos Sud, Argentina",Argentina,25197.9353,Community inventories,2014.0
128,128.0,"Municipality of San Carlos Sud, Argentina",Argentina,1560.88,Government operations inventory,2014.0
129,129.0,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,505710.7089,Community inventories,2014.0
130,130.0,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,97904.23,Government operations inventory,2014.0
131,131.0,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,1379493.0,Community inventories,2014.0
132,132.0,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,329309.65,Government operations inventory,2014.0
133,133.0,"Municipality of San Martín de los Andes, Argentina",Argentina,248601.3483,Community inventories,2014.0
134,134.0,"Municipality of San Martín de los Andes, Argentina",Argentina,46712.78,Government operations inventory,2014.0
135,135.0,"Municipality of San Miguel, Argentina",Argentina,781482.5299,Community inventories,2014.0
136,136.0,"Municipality of San Miguel, Argentina",Argentina,225858.68,Government operations inventory,2014.0
137,137.0,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,1004966.517,Community inventories,2014.0
138,138.0,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,109031.31,Government operations inventory,2014.0
139,139.0,"Municipality of Soldini, Argentina",Argentina,12334.18256,Community inventories,2014.0
140,140.0,"Municipality of Soldini, Argentina",Argentina,1313.91,Government operations inventory,2014.0
141,141.0,"Municipality of Tafi Viejo, Argentina",Argentina,148764.0786,Community inventories,2014.0
142,142.0,"Municipality of Tafi Viejo, Argentina",Argentina,34538.58,Government operations inventory,2014.0
143,143.0,"Municipality of Totoras, Argentina",Argentina,93250.0,Community inventories,2014.0
144,144.0,"Municipality of Totoras, Argentina",Argentina,3937.23,Government operations inventory,2014.0
145,145.0,"Municipality of Uranga, Argentina",Argentina,10060.61238,Community inventories,2014.0
146,146.0,"Municipality of Uranga, Argentina",Argentina,571.61,Government operations inventory,2014.0
147,147.0,"Municipality of Venado Tuerto, Argentina",Argentina,431340.4858,Community inventories,2014.0
148,148.0,"Municipality of Venado Tuerto, Argentina",Argentina,45483.63000000001,Government operations inventory,2014.0
149,149.0,"Municipality of Villa General Belgrano, Argentina",Argentina,62901.08048,Community inventories,2014.0
150,150.0,"Municipality of Villa General Belgrano, Argentina",Argentina,6791.51,Government operations inventory,2014.0
151,151.0,"Municipality of Villa Pehuenia, Argentina",Argentina,28230.0,Community inventories,2014.0
152,152.0,"Adelaide City Council, Australia",Australia,962556.0,Community inventories,2012.0
153,153.0,"Adelaide City Council, Australia",Australia,563653.0,Community inventories,2013.0
154,154.0,"Australian Capital Territory Government, Australia",Australia,40633.11,Government operations inventory,2015.0
155,155.0,"Byron Shire Council, Australia",Australia,358302.0,Community inventories,2015.0
156,156.0,"Byron Shire Council, Australia",Australia,0.0,Government operations inventory,2015.0
157,157.0,"City of Joondalup, Australia",Australia,0.0,Government operations inventory,2013.0
158,158.0,"City of Mandurah, Australia",Australia,780391.13,Community inventories,2009.0
159,159.0,"City of Mandurah, Australia",Australia,3094.0,Government operations inventory,2009.0
160,160.0,"City of Melville, Australia",Australia,1181090.025,Community inventories,2015.0
161,161.0,"City of Sydney, Australia",Australia,5766936.0,Community inventories,2011.0
162,162.0,"City of Sydney, Australia",Australia,8369.0,Government operations inventory,2013.0
163,163.0,"City of Yarra, Australia",Australia,136105505.9,Community inventories,2017.0
164,164.0,"City of Yarra, Australia",Australia,39.0,Government operations inventory,2017.0
165,165.0,"Mornington Peninsula Shire Council, Australia",Australia,0.0,Government operations inventory,2013.0
166,166.0,"Penrith City Council, Australia",Australia,2240177.485,Community inventories,2015.0
167,167.0,"Port Phillip City Council, Australia",Australia,911.0,Government operations inventory,2014.0
168,168.0,"Tweed Shire Council, Australia",Australia,879948.0,Community inventories,2016.0
169,169.0,"City of Graz, Austria",Austria,1218740.0,Community inventories,1994.0
170,170.0,"Brussels Capital Region, Belgium",Belgium,4057300.0,Community inventories,1990.0
171,171.0,"Brussels Capital Region, Belgium",Belgium,4222500.0,Community inventories,2000.0
172,172.0,"Brussels Capital Region, Belgium",Belgium,4260500.0,Community inventories,2005.0
173,173.0,"Brussels Capital Region, Belgium",Belgium,4119100.0,Community inventories,2006.0
174,174.0,"Brussels Capital Region, Belgium",Belgium,3763400.0,Community inventories,2007.0
175,175.0,"Brussels Capital Region, Belgium",Belgium,4008000.0,Community inventories,2008.0
176,176.0,"Brussels Capital Region, Belgium",Belgium,3803900.0,Community inventories,2009.0
177,177.0,"Brussels Capital Region, Belgium",Belgium,4055800.0,Community inventories,2010.0
178,178.0,"Brussels Capital Region, Belgium",Belgium,3293000.0,Community inventories,2011.0
179,179.0,"City of Antwerp, Belgium",Belgium,3567239.0,Community inventories,2010.0
180,180.0,"City of Antwerp, Belgium",Belgium,9318.0,Government operations inventory,2010.0
181,181.0,"City of Ghent, Belgium",Belgium,11020048.0,Community inventories,2007.0
182,182.0,"City of Ghent, Belgium",Belgium,9106743.0,Community inventories,2009.0
183,183.0,"City of Ghent, Belgium",Belgium,1600.0,Government operations inventory,2007.0
184,184.0,"City of Ghent, Belgium",Belgium,2173.0,Government operations inventory,2009.0
185,185.0,"City of Mechelen, Belgium",Belgium,0.0,Government operations inventory,2012.0
186,186.0,"City of Mouscron, Belgium",Belgium,191596.0,Community inventories,2012.0
187,187.0,"City of Mouscron, Belgium",Belgium,38846684.0,Government operations inventory,2012.0
188,188.0,"Municipality of Belo Horizonte, Brazil",Brazil,2978584.0,Community inventories,2007.0
189,189.0,"Municipality of Belo Horizonte, Brazil",Brazil,3253559.0,Community inventories,2010.0
190,190.0,"Municipality of Belo Horizonte, Brazil",Brazil,8793150.0,Community inventories,2013.0
191,191.0,"Municipality of Belo Horizonte, Brazil",Brazil,4578864.0,Community inventories,2015.0
192,192.0,"Municipality of Belo Horizonte, Brazil",Brazil,189756.0,Government operations inventory,2007.0
193,193.0,"Municipality of Belo Horizonte, Brazil",Brazil,10759.77,Government operations inventory,2013.0
194,194.0,"Municipality of Betim, Brazil",Brazil,3702749.0,Community inventories,2012.0
195,195.0,"Municipality of Betim, Brazil",Brazil,1716901.0,Community inventories,2013.0
196,196.0,"Municipality of Curitiba, Brazil",Brazil,4132817.0,Community inventories,2012.0
197,197.0,"Municipality of Duque de Caxias, Brazil",Brazil,1454654.0,Community inventories,2014.0
198,198.0,"Municipality of Fortaleza, Brazil",Brazil,3827165.0,Community inventories,2012.0
199,199.0,"Municipality of Fortaleza, Brazil",Brazil,1187898874.0,Community inventories,2014.0
200,200.0,"Municipality of Fortaleza, Brazil",Brazil,5595.0,Government operations inventory,2012.0
201,201.0,"Municipality of Fortaleza, Brazil",Brazil,131977885.0,Government operations inventory,2014.0
202,202.0,"Municipality of Londrina, Brazil",Brazil,0.0,Government operations inventory,2013.0
203,203.0,"Municipality of Porto Alegre, Brazil",Brazil,0.0,Government operations inventory,2013.0
204,204.0,"Municipality of Porto Alegre, Brazil",Brazil,2032605.0,Government operations inventory,2013.0
205,205.0,"Municipality of Recife, Brazil",Brazil,2207153.13,Community inventories,2012.0
206,206.0,"Municipality of Recife, Brazil",Brazil,2923354.0,Community inventories,2015.0
207,207.0,"Municipality of Recife, Brazil",Brazil,2923381.0,Community inventories,2015.0
208,208.0,"Municipality of Recife, Brazil",Brazil,0.0,Government operations inventory,2012.0
209,209.0,"Municipality of Recife, Brazil",Brazil,0.0,Government operations inventory,2015.0
210,210.0,"Municipality of Rio de Janeiro, Brazil",Brazil,10718100.40987,Community inventories,2005.0
211,211.0,"Municipality of Rio de Janeiro, Brazil",Brazil,11127970.0,Community inventories,2005.0
212,212.0,"Municipality of Rio de Janeiro, Brazil",Brazil,44343362.0,Community inventories,2012.0
213,213.0,"Municipality of Rio de Janeiro, Brazil",Brazil,0.0,Government operations inventory,2012.0
214,214.0,"Municipality of Rio de Janeiro, Brazil",Brazil,554.6600000000002,Government operations inventory,2012.0
215,215.0,"Municipality of Sorocaba, Brazil",Brazil,9178321.473,Community inventories,2012.0
216,216.0,"Municipality of Sorocaba, Brazil",Brazil,1262061.0,Community inventories,2014.0
217,217.0,"Municipality of Sorocaba, Brazil",Brazil,1231087.0,Community inventories,2015.0
218,218.0,"Municipality of Sorocaba, Brazil",Brazil,0.0,Government operations inventory,2012.0
219,219.0,"Municipality of Sorocaba, Brazil",Brazil,809485.0,Government operations inventory,2012.0
220,220.0,"Municipality of São Paulo, Brazil",Brazil,14848722.0,Community inventories,2003.0
221,221.0,"Municipality of São Paulo, Brazil",Brazil,15880130.359,Community inventories,2011.0
222,222.0,"Municipality of São Paulo, Brazil",Brazil,554.6600000000002,Government operations inventory,2003.0
223,223.0,"City of Calgary, AB, Canada",Canada,16508131.0,Community inventories,2009.0
224,224.0,"City of Calgary, AB, Canada",Canada,110917.0,Government operations inventory,2009.0
225,225.0,"City of Colwood, Canada",Canada,65518.0,Community inventories,2007.0
226,226.0,"City of Colwood, Canada",Canada,298.0,Government operations inventory,2007.0
227,227.0,"City of Colwood, Canada",Canada,291.0,Government operations inventory,2008.0
228,228.0,"City of Colwood, Canada",Canada,233.0,Government operations inventory,2009.0
229,229.0,"City of Colwood, Canada",Canada,227.0,Government operations inventory,2010.0
230,230.0,"City of Colwood, Canada",Canada,231.0,Government operations inventory,2011.0
231,231.0,"City of Edmonton, AB, Canada",Canada,15201661.0,Community inventories,2008.0
232,232.0,"City of Edmonton, AB, Canada",Canada,15891273.0,Community inventories,2012.0
233,233.0,"City of Edmonton, AB, Canada",Canada,16712028.0,Community inventories,2014.0
234,234.0,"City of Edmonton, AB, Canada",Canada,16665736.0,Community inventories,2016.0
235,235.0,"City of Edmonton, AB, Canada",Canada,143803.0,Government operations inventory,2008.0
236,236.0,"City of Edmonton, AB, Canada",Canada,156409.0,Government operations inventory,2012.0
237,237.0,"City of Edmonton, AB, Canada",Canada,162767.0,Government operations inventory,2013.0
238,238.0,"City of Edmonton, AB, Canada",Canada,168317.0,Government operations inventory,2014.0
239,239.0,"City of Edmonton, AB, Canada",Canada,42179.0,Government operations inventory,2016.0
240,240.0,"City of Fredericton, NB, Canada",Canada,0.0,Government operations inventory,2000.0
241,241.0,"City of Fredericton, NB, Canada",Canada,0.0,Government operations inventory,2004.0
242,242.0,"City of Fredericton, NB, Canada",Canada,0.0,Government operations inventory,2008.0
243,243.0,"City of Greater Sudbury, ON, Canada",Canada,2297000.0,Community inventories,1990.0
244,244.0,"City of Greater Sudbury, ON, Canada",Canada,2172000.0,Community inventories,1998.0
245,245.0,"City of Maple Ridge, Canada",Canada,325181.0,Community inventories,2007.0
246,246.0,"City of Maple Ridge, Canada",Canada,337192.0,Community inventories,2010.0
247,247.0,"City of Maple Ridge, Canada",Canada,969.0,Government operations inventory,2007.0
248,248.0,"City of Maple Ridge, Canada",Canada,1008.0,Government operations inventory,2008.0
249,249.0,"City of Maple Ridge, Canada",Canada,952.0,Government operations inventory,2009.0
250,250.0,"City of Maple Ridge, Canada",Canada,895.0,Government operations inventory,2010.0
251,251.0,"City of Maple Ridge, Canada",Canada,960.0,Government operations inventory,2011.0
252,252.0,"City of Maple Ridge, Canada",Canada,1040.0,Government operations inventory,2012.0
253,253.0,"City of Maple Ridge, Canada",Canada,1301.0,Government operations inventory,2013.0
254,254.0,"City of Maple Ridge, Canada",Canada,1313.0,Government operations inventory,2014.0
255,255.0,"City of Montréal, QC, Canada",Canada,13235586.0,Community inventories,2009.0
256,256.0,"City of Montréal, QC, Canada",Canada,98785.0,Government operations inventory,2010.0
257,257.0,"City of North Vancouver, Canada",Canada,220415.0,Community inventories,2005.0
258,258.0,"City of North Vancouver, Canada",Canada,222146.0,Community inventories,2006.0
259,259.0,"City of North Vancouver, Canada",Canada,224211.0,Community inventories,2007.0
260,260.0,"City of North Vancouver, Canada",Canada,225763.0,Community inventories,2007.0
261,261.0,"City of North Vancouver, Canada",Canada,223475.0,Community inventories,2008.0
262,262.0,"City of North Vancouver, Canada",Canada,217523.0,Community inventories,2009.0
263,263.0,"City of North Vancouver, Canada",Canada,207433.0,Community inventories,2010.0
264,264.0,"City of North Vancouver, Canada",Canada,209721.0,Community inventories,2015.0
265,265.0,"City of North Vancouver, Canada",Canada,958.0,Government operations inventory,2005.0
266,266.0,"City of North Vancouver, Canada",Canada,875.0,Government operations inventory,2006.0
267,267.0,"City of North Vancouver, Canada",Canada,852.0,Government operations inventory,2007.0
268,268.0,"City of North Vancouver, Canada",Canada,913.0,Government operations inventory,2008.0
269,269.0,"City of North Vancouver, Canada",Canada,888.0,Government operations inventory,2009.0
270,270.0,"City of North Vancouver, Canada",Canada,853.0,Government operations inventory,2010.0
271,271.0,"City of North Vancouver, Canada",Canada,829.0,Government operations inventory,2011.0
272,272.0,"City of North Vancouver, Canada",Canada,821.0,Government operations inventory,2012.0
273,273.0,"City of North Vancouver, Canada",Canada,858.0,Government operations inventory,2013.0
274,274.0,"City of North Vancouver, Canada",Canada,197.0,Government operations inventory,2015.0
275,275.0,"City of Richmond, BC, Canada",Canada,1155438.0,Community inventories,2007.0
276,276.0,"City of Richmond, BC, Canada",Canada,4356.0,Government operations inventory,1995.0
277,277.0,"City of Richmond, BC, Canada",Canada,3885.0,Government operations inventory,1999.0
278,278.0,"City of Richmond, BC, Canada",Canada,4342.0,Government operations inventory,2007.0
279,279.0,"City of Surrey, Canada",Canada,1991089.0,Community inventories,2007.0
280,280.0,"City of Surrey, Canada",Canada,2117723.0,Community inventories,2010.0
281,281.0,"City of Surrey, Canada",Canada,2570120.0,Community inventories,2014.0
282,282.0,"City of Surrey, Canada",Canada,9751.0,Government operations inventory,2009.0
283,283.0,"City of Surrey, Canada",Canada,9809.0,Government operations inventory,2010.0
284,284.0,"City of Surrey, Canada",Canada,10538.0,Government operations inventory,2011.0
285,285.0,"City of Surrey, Canada",Canada,9815.0,Government operations inventory,2012.0
286,286.0,"City of Surrey, Canada",Canada,7897.0,Government operations inventory,2013.0
287,287.0,"City of Thunder Bay, ON, Canada",Canada,1050992.456,Community inventories,2016.0
288,288.0,"City of Vancouver, BC, Canada",Canada,2842740.0,Community inventories,2008.0
289,289.0,"City of Vancouver, BC, Canada",Canada,2657000.0,Community inventories,2012.0
290,290.0,"City of Vancouver, BC, Canada",Canada,2585000.0,Community inventories,2013.0
291,291.0,"City of Vancouver, BC, Canada",Canada,2542110.0,Community inventories,2014.0
292,292.0,"City of Vancouver, BC, Canada",Canada,4960223.0,Community inventories,2015.0
293,293.0,"City of Vancouver, BC, Canada",Canada,472950.0,Government operations inventory,2008.0
294,294.0,"City of Vancouver, BC, Canada",Canada,411808.0,Government operations inventory,2012.0
295,295.0,"City of Vancouver, BC, Canada",Canada,353651.0,Government operations inventory,2013.0
296,296.0,"City of Vancouver, BC, Canada",Canada,352208.0,Government operations inventory,2014.0
297,297.0,"City of Vancouver, BC, Canada",Canada,209707.0,Government operations inventory,2015.0
298,298.0,"City of Yellowknife, Canada",Canada,1038.0,Government operations inventory,2004.0
299,299.0,"City of Yellowknife, Canada",Canada,860.0,Government operations inventory,2009.0
300,300.0,"District of Delta, BC, Canada",Canada,861535.0,Community inventories,2007.0
301,301.0,"District of Delta, BC, Canada",Canada,846216.0,Community inventories,2010.0
302,302.0,"District of Delta, BC, Canada",Canada,2283.0,Government operations inventory,2007.0
303,303.0,"District of Delta, BC, Canada",Canada,2329.0,Government operations inventory,2008.0
304,304.0,"District of Delta, BC, Canada",Canada,2154.0,Government operations inventory,2009.0
305,305.0,"District of Delta, BC, Canada",Canada,2681.0,Government operations inventory,2012.0
306,306.0,"District of Delta, BC, Canada",Canada,2587.0,Government operations inventory,2013.0
307,307.0,"District of Delta, BC, Canada",Canada,2219.0,Government operations inventory,2015.0
308,308.0,"District of North Cowichan, Canada",Canada,289801.0,Community inventories,2007.0
