,city,country,commitment_type,commitment,ghg_subtype,baseline_year,baseline_year_emissions,target_year,target_year_emissions,percent_reduction,emissions_reduction_by_target_year
86,"Yarra City Council, Australia",Australia,GHG emission reduction target," The Yarra City Council has committed to reduce its Local Government emissions by 60% by 2020 compared to 2001 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2001,16820.0,2020,6728.0,,10092.0
87,"Yarra City Council, Australia",Australia,Renewable energy target,The Yarra City Council committed to increase its Installed capacity of Renewable energy in Community to 2 MW by 2017Current Installed capacity of Renewable energy: 3. 7 MW 2018The target is going to be reached by activities in Electricity sector.,,,,,,,
89,"City of Graz, Austria",Austria,GHG emission reduction target, The City of Graz has committed to reduce its Community emissions by 80% by 2050 compared to 2008 emission level.,Community,2008,,2050,,80.0,
90,"City of Graz, Austria",Austria,GHG emission reduction target, The City of Graz has committed to reduce its Local Government emissions by 30% by 2020 compared to 2008 emission level.,Local Government,2008,,2020,,30.0,
93,"Brussels Capital Region, Belgium",Belgium,GHG emission reduction target, The Brussels Capital Region has committed to reduce its Community emissions by 30% by 2025 compared to 1990 emission level.,Community,1990,,2025,,30.0,
96,"City of Antwerp, Belgium",Belgium,GHG emission reduction target, The City of Antwerp has committed to reduce its Community emissions by 100% by 2050 compared to 2005 emission level.,Community,2005,,2050,,100.0,
97,"City of Antwerp, Belgium",Belgium,GHG emission reduction target, The City of Antwerp has committed to reduce its Local Government emissions by 100% by 2050 compared to 2005 emission level.,Local Government,2005,,2050,,100.0,
100,"City of Ghent, Belgium",Belgium,GHG emission reduction target, The City of Ghent has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,Community,2007,,2020,,20.0,
101,"City of Ghent, Belgium",Belgium,GHG emission reduction target, The City of Ghent has committed to reduce its Local Government emissions by 60% by 2020 compared to 2003 emission level.,Local Government,2003,,2020,,60.0,
106,"City of Mouscron, Belgium",Belgium,GHG emission reduction target, The City of Mouscron has committed to reduce its Community emissions by 21% by 1990 compared to 1990 emission level.,Community,1990,,1990,,21.0,
107,"City of Mouscron, Belgium",Belgium,GHG emission reduction target, The City of Mouscron has committed to reduce its Local Government emissions by 21% by 1990 compared to 1990 emission level.,Local Government,1990,,1990,,21.0,
110,"City of Namur, Belgium",Belgium,GHG emission reduction target, The City of Namur has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.,Community,1990,,2020,,20.0,
121,"Municipality of Belo Horizonte, Brazil",Brazil,GHG emission reduction target," The Municipality of Belo Horizonte has committed to reduce its Community emissions by 20% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2007,3176966.0,2030,3176966.0,,635393.0
122,"Municipality of Belo Horizonte, Brazil",Brazil,Renewable energy target,"The Municipality of Belo Horizonte committed to increase its share of renewable energy in final energy mix in Community by 0% by 2030The target is going to be reached by activities in Electricity, Heating & cooling, Transport, Industry and Resíduos sector.",,,,,,,
123,"Municipality of Belo Horizonte, Brazil",Brazil,Energy efficiency target,"0% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors20% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
140,"Municipality of Fortaleza, Brazil",Brazil,Renewable energy target,The Municipality of Fortaleza committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by 2030Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 0% by 2030The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 0% by 2030The target is going to be reached by activities in Electricity sectors.,,,,,,,
141,"Municipality of Fortaleza, Brazil",Brazil,Energy efficiency target,60% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 60% by 2030 compared to 2012 levels. Final energy energy consumption: 3473943056. 0 MwhThis target will be achieved in Electricity and Industry sectors0% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2030 compared to 2012 levels. This target will be achieved in Electricity sectors,,,,,,,
152,"Municipality of Porto Alegre, Brazil",Brazil,Renewable energy target,The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors. The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in  sectors.,,,,,,,
153,"Municipality of Porto Alegre, Brazil",Brazil,Energy efficiency target,100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels. This target will be achieved in Electricity sectors100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels.,,,,,,,
154,"Municipality of Recife, Brazil",Brazil,GHG emission reduction target, The Municipality of Recife has committed to reduce its Community emissions by 14% by 2017 compared to Baseline scenario (BAU) reduction target emission level.,Community,2012,3120426.0,2017,3120426.0,,436859.0
157,"Municipality of Rio de Janeiro, Brazil",Brazil,GHG emission reduction target, The Municipality of Rio de Janeiro has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,Community,2005,,2020,,20.0,
160,"Municipality of Sorocaba, Brazil",Brazil,GHG emission reduction target, The Municipality of Sorocaba has committed to reduce its Community emissions by 20% by 2030 compared to 2012 emission level.,Community,2012,1061141.0,2030,848912.0,,212228.0
167,"Municipality of São Paulo, Brazil",Brazil,GHG emission reduction target, The Municipality of São Paulo has committed to reduce its Community emissions by 30% by 2020 compared to 2005 emission level.,Community,2005,,2020,,30.0,
172,"City of Calgary, AB, Canada",Canada,GHG emission reduction target," The City of Calgary, AB has committed to reduce its Community emissions by 50% by 2036 compared to 1990 emission level.",Community,1990,,2036,,50.0,
173,"City of Calgary, AB, Canada",Canada,GHG emission reduction target," The City of Calgary, AB has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.",Local Government,2005,,2020,,20.0,
176,"City of Colwood, Canada",Canada,GHG emission reduction target, The City of Colwood has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
177,"City of Colwood, Canada",Canada,GHG emission reduction target, The City of Colwood has committed to reduce its Local Government emissions by 33% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,33.0,
180,"City of Edmonton, AB, Canada",Canada,GHG emission reduction target," The City of Edmonton, AB has committed to reduce its Community emissions by 35% by 2035 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2005,14954000.0,2035,14954000.0,,5233900.0
181,"City of Edmonton, AB, Canada",Canada,GHG emission reduction target," The City of Edmonton, AB has committed to reduce its Local Government emissions by 50% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2008,308000.0,2020,154000.0,,154000.0
182,"City of Edmonton, AB, Canada",Canada,Renewable energy target,"The City of Edmonton, AB committed to increase its Installed capacity of Renewable energy in Community to 10 MW by 2035Current Installed capacity of Renewable energy: 2. 54 MW 2018The target is going to be reached by activities in Electricity, Industry and All sectors capable of generating electricity could participate in achieving this target sector.",,,,,,,
183,"City of Edmonton, AB, Canada",Canada,Energy efficiency target,"0% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2035 compared to 2009 levels. Final energy energy consumption: 44980628. 0 MwhThis target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors25% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 25% by 2035 compared to 2009 levels. Final energy energy consumption: 29962422. 0 MwhThis target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors",,,,,,,
184,"City of Fredericton, NB, Canada",Canada,GHG emission reduction target," The City of Fredericton, NB has committed to reduce its Community emissions by 6% by 2010 compared to 1990 emission level.",Community,1990,,2010,,6.0,
185,"City of Fredericton, NB, Canada",Canada,GHG emission reduction target," The City of Fredericton, NB has committed to reduce its Local Government emissions by 20% by 2010 compared to 2000 emission level.",Local Government,2000,,2010,,20.0,
190,"City of Maple Ridge, Canada",Canada,GHG emission reduction target, The City of Maple Ridge has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
191,"City of Maple Ridge, Canada",Canada,GHG emission reduction target, The City of Maple Ridge has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,Local Government,2007,,2050,,80.0,
194,"City of Montréal, QC, Canada",Canada,GHG emission reduction target," The City of Montréal, QC has committed to reduce its Community emissions by 30% by 2020 compared to 1990 emission level.",Community,1990,,2020,,30.0,
195,"City of Montréal, QC, Canada",Canada,GHG emission reduction target," The City of Montréal, QC has committed to reduce its Local Government emissions by 30% by 2020 compared to 2002 emission level.",Local Government,2002,,2020,,30.0,
198,"City of North Vancouver, Canada",Canada,GHG emission reduction target, The City of North Vancouver has committed to reduce its Community emissions by 50% by 2050 compared to 2007 emission level.,Community,2007,,2050,,50.0,
199,"City of North Vancouver, Canada",Canada,GHG emission reduction target, The City of North Vancouver has committed to reduce its Local Government emissions by 25% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,25.0,
202,"City of Richmond, BC, Canada",Canada,GHG emission reduction target," The City of Richmond, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",Community,2007,,2020,,33.0,
203,"City of Richmond, BC, Canada",Canada,GHG emission reduction target," The City of Richmond, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to 2007 emission level.",Local Government,2007,,2012,,100.0,
206,"City of Surrey, Canada",Canada,GHG emission reduction target, The City of Surrey has committed to reduce its Local Government emissions by 20% by 2020 compared to 2009 emission level.,Local Government,2009,,2020,,20.0,
209,"City of Thunder Bay, ON, Canada",Canada,GHG emission reduction target," The City of Thunder Bay, ON has committed to reduce its Community emissions by 20% by 2020 compared to 2009 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2009,1002364.0,2020,801891.0,,200472.0
212,"City of Vancouver, BC, Canada",Canada,GHG emission reduction target," The City of Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",Community,2007,2850000.0,2050,570000.0,,2280000.0
213,"City of Vancouver, BC, Canada",Canada,GHG emission reduction target," The City of Vancouver, BC has committed to reduce its Local Government emissions by 50% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Local Government,2008,495950.0,2020,247975.0,,247975.0
214,"City of Vancouver, BC, Canada",Canada,Renewable energy target,"The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 5300000. 0% 2018The target is going to be reached by activities in Electricity, Transport, Heating & cooling and Industry sectors. The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 5300000. 0% 2018The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The City of Vancouver, BC committed to increase its consumption of energy from renewable energy sources in Community by 100 MWh by 2050Current consumption of energy from renewable energy source: 5300000. 0 MWh 2018The target is going to be reached by activities in  sectors.  The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Local Government by 100% by 2040Current share of renewable energy in final energy mix: 52. 0% 2018The target is going to be reached by activities in Electricity and Heating & cooling sector.",,,,,,,
215,"City of Vancouver, BC, Canada",Canada,Energy efficiency target,"20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels. 20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels. Final energy energy consumption: 13276000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors",,,,,,,
216,"City of Victoria, Canada",Canada,GHG emission reduction target, The City of Victoria has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.,Community,2007,,2020,,33.0,
217,"City of Victoria, Canada",Canada,GHG emission reduction target, The City of Victoria has committed to reduce its Local Government emissions by 100% by 2012 compared to 2010 emission level.,Local Government,2010,,2012,,100.0,
220,"City of Yellowknife, Canada",Canada,GHG emission reduction target, The City of Yellowknife has committed to reduce its Community emissions by 6% by 2014 compared to 2004 emission level.,Community,2004,,2014,,6.0,
221,"City of Yellowknife, Canada",Canada,GHG emission reduction target, The City of Yellowknife has committed to reduce its Local Government emissions by 20% by 2014 compared to 2004 emission level.,Local Government,2004,,2014,,20.0,
224,"District of Delta, BC, Canada",Canada,GHG emission reduction target," The District of Delta, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",Community,2007,682000.0,2020,456940.0,,225060.0
225,"District of Delta, BC, Canada",Canada,GHG emission reduction target," The District of Delta, BC has committed to reduce its Local Government emissions by 20% by 2015 compared to 2007 emission level.",Local Government,2007,682000.0,2015,456940.0,20.0,225060.0
228,"District of North Cowichan, Canada",Canada,GHG emission reduction target, The District of North Cowichan has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
231,"District of Saanich, Canada",Canada,GHG emission reduction target, The District of Saanich has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.,Community,2007,,2020,,33.0,
232,"District of Saanich, Canada",Canada,GHG emission reduction target, The District of Saanich has committed to reduce its Local Government emissions by 50% by 2020 compared to 2007 emission level.,Local Government,2007,,2020,,50.0,
235,"District of West Vancouver, Canada",Canada,GHG emission reduction target, The District of West Vancouver has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,Community,2007,,2050,,80.0,
236,"District of West Vancouver, Canada",Canada,GHG emission reduction target, The District of West Vancouver has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,Local Government,2007,,2050,,80.0,
239,"Metro Vancouver, BC, Canada",Canada,GHG emission reduction target," The Metro Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",Community,2007,,2050,,80.0,
240,"Metro Vancouver, BC, Canada",Canada,GHG emission reduction target," The Metro Vancouver, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to Baseline scenario (BAU) reduction target emission level.",Local Government,2007,,2012,,100.0,
243,"Regional Municipality of Waterloo, Canada",Canada,GHG emission reduction target, The Regional Municipality of Waterloo has committed to reduce its Local Government emissions by 28% by 2019 compared to Baseline scenario (BAU) reduction target emission level.,Local Government,2009,,2019,,28.0,
246,"Town of Ajax, Canada",Canada,GHG emission reduction target, The Town of Ajax has committed to reduce its Community emissions by 6% by 2020 compared to 2005 emission level.,Community,2005,,2020,,6.0,
247,"Town of Ajax, Canada",Canada,GHG emission reduction target, The Town of Ajax has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.,Local Government,2005,,2020,,20.0,
250,"Town of Caledon, Canada",Canada,GHG emission reduction target, The Town of Caledon has committed to reduce its Community emissions by 83% by 2021 compared to 2006 emission level.,Community,2006,,2021,,83.0,
253,"Town of Halton Hills, ON, Canada",Canada,GHG emission reduction target," The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Community,2012,1701.0,2019,1445.0,,255.0
258,"Municipality of Independencia, Chile",Chile,GHG emission reduction target, The Municipality of Independencia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy and Waste management sectors.,Local Government,2015,94299.0,2030,94299.0,,28289.0
259,"Municipality of Independencia, Chile",Chile,Renewable energy target,"The Municipality of Independencia committed to increase its Share of renewable energy in primary energy mix in Community by 30% by 2030The target is going to be reached by activities in Electricity, Heating & cooling and Industry sector.",,,,,,,
260,"Municipality of Independencia, Chile",Chile,Energy efficiency target,"30% Energy efficiency improvement by 2030The Municipality of Independencia committed to increase its energy efficiency in Final energy and Community energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 265000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
261,"Municipality of Lautaro, Chile",Chile,GHG emission reduction target, The Municipality of Lautaro has committed to reduce its Community emissions by 5% by 2020 compared to 2011 emission level.,Community,2011,,2020,,5.0,
264,"Municipality of Providencia, Chile",Chile,Renewable energy target,The Municipality of Providencia committed to increase its consumption of energy from renewable energy sources in Local Government by 62 MWh by 2016Current consumption of energy from renewable energy source: 477954. 0 MWh 2018The target is going to be reached by activities in Electricity and Heating & cooling sector.,,,,,,,
265,"Municipality of Providencia, Chile",Chile,Energy efficiency target,"20% Energy efficiency improvement by 2030The Municipality of Providencia committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2016 levels. Final energy energy consumption: 1256000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",,,,,,,
268,"Municipality of Santiago, Chile",Chile,GHG emission reduction target, The Municipality of Santiago has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport and Waste management sectors.,Local Government,2015,25839483.0,2030,25839483.0,,7751844.0
269,"Municipality of Santiago, Chile",Chile,Renewable energy target,"The Municipality of Santiago committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2030The target is going to be reached by activities in Electricity, Transport, Heating & cooling and residencial, comercio, servicio y municipal sector.",,,,,,,
270,"Municipality of Santiago, Chile",Chile,Energy efficiency target,"30% Energy efficiency improvement by 2030The Municipality of Santiago committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 2016726. 0 MwhThis target will be achieved in Electricity, Transport and Heating & cooling sectors",,,,,,,
271,"Municipality of Valdivia, Chile",Chile,GHG emission reduction target," The Municipality of Valdivia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",Local Government,2012,2375.0,2030,2375.0,,712.0
272,"Municipality of Valdivia, Chile",Chile,Renewable energy target,The Municipality of Valdivia committed to increase its Installed capacity of Renewable energy in Community to 0 MW by 2020The target is going to be reached by activities in Heating & cooling sector.,,,,,,,
273,"Municipality of Valdivia, Chile",Chile,Energy efficiency target,0% Energy efficiency improvement by 2020The Municipality of Valdivia committed to increase its energy efficiency in Primary energy and Community energy consumption by 0% by 2020 compared to 2016 levels. This target will be achieved in Electricity sectors,,,,,,,
276,"Shenzhen Municipal People's Government, China",China,GHG emission reduction target," The Shenzhen Municipal People's Government has committed to reduce its Community emissions by 0% of per capita/ per GDP emissions by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2005,1.0,2020,1.0,,0.0
277,"Shenzhen Municipal People's Government, China",China,Renewable energy target,"The Shenzhen Municipal People's Government committed to increase its Share of renewable energy in primary energy mix in Community by 15% by 2020Current Share of renewable energy in primary energy mix: 75. 9% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sector.",,,,,,,
278,"Shenzhen Municipal People's Government, China",China,Energy efficiency target,"0% Energy efficiency improvement by 2020The Shenzhen Municipal People's Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
281,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Kaohsiung City Government has committed to reduce its Community emissions by 20% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport and Industrial processes and product use (IPPU) sectors.",Community,2005,64339200.0,2020,64339200.0,,12867840.0
282,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,"The Kaohsiung City Government committed to increase its Installed capacity of Renewable energy in Community to 11 MW by 2030Current Installed capacity of Renewable energy: 3914. 0 MW The target is going to be reached by activities in  sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors.",,,,,,,
283,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors50% Energy efficiency improvement by 2025The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. Final energy energy consumption: 717894511. 71 Mwh",,,,,,,
284,"New Taipei City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The New Taipei City Government has committed to reduce its Community emissions by 20% by 2026 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",Community,2006,,2026,,20.0,
285,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The New Taipei City Government committed to increase its share of renewable energy in final energy mix in Community by 15% by 2026The target is going to be reached by activities in Electricity and Transport sector.,,,,,,,
286,"New Taipei City Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2025The New Taipei City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",,,,,,,
287,"Pingtung County Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Pingtung County Government has committed to reduce its Community emissions by 30% by 2030 compared to 2013 emission level.,Community,2013,4632700.0,2030,3242890.0,,1389810.0
288,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Renewable energy target,The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2018The target is going to be reached by activities in Electricity sectors. The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2018The target is going to be reached by activities in Electricity sectors.,,,,,,,
289,"Pingtung County Government, Chinese Taipei",Chinese Taipei,Energy efficiency target,"0% Energy efficiency improvement by 2015The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors20% Energy efficiency improvement by 2025The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2025 compared to 2005 levels. Final energy energy consumption: 717894511. 71 Mwh50% Energy efficiency improvement by 2025The Pingtung County Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors",,,,,,,
290,"Taichung City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target," The Taichung City Government has committed to reduce its Community emissions by 10% by 2022 compared to 2011 emission level. The target is going to be reached by activities in Transport, Waste management and Agriculture, forest and other land use (AFOLU) sectors.",Community,2011,10235900.0,2022,9212310.0,,1023590.0
293,"Tainan City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Tainan City Government has committed to reduce its Community emissions by 40% by 2050 compared to Baseline scenario (BAU) reduction target emission level.,Community,2010,,2050,,40.0,
294,"Tainan City Government, Chinese Taipei",Chinese Taipei,GHG emission reduction target, The Tainan City Government has committed to reduce its Local Government emissions by 7% by 2020 compared to 2013 emission level.,Local Government,2013,,2020,,7.0,
