,Unnamed: 0,area (km2),city,country,gdp,population,target
38,38.0,7.2,"Municipality of Nogoyá, Argentina",Argentina,290 Million,23702,
39,39.0,7715.0,"Municipality of Olavarría, Argentina",Argentina,1.4 Billion,111708,
40,40.0,137.0,"Municipality of Paraná, Argentina",Argentina,3.1 Billion,247863,
41,41.0,31.0,"Municipality of Potrero de los Funes, Argentina",Argentina,,1698,
42,42.0,68.0,"Municipality of Pérez, Argentina",Argentina,350 Million,30188,
43,43.0,156.0,"Municipality of Rafaela, Argentina",Argentina,1.1 Billion,92945,
44,44.0,190.0,"Municipality of Resistencia, Argentina",Argentina,3.6 Billion,290723,
45,45.0,3954.92,"Municipality of Rivadavia, Argentina",Argentina,220 Million,17143,
46,46.0,1978.87,"Municipality of Rojas, Argentina",Argentina,290 Million,23432,
47,47.0,179.0,"Municipality of Rosario, Argentina",Argentina,100 Billion,948312,
48,48.0,260.4,"Municipality of Río Cuarto, Argentina",Argentina,1.9 Billion,158298,
49,49.0,794.0,"Municipality of Salliqueló, Argentina",Argentina,110 Million,8644,
50,50.0,261.66,"Municipality of Salta, Argentina",Argentina,6.8 Billion,521483,
51,51.0,857.59,"Municipality of San Antonio de Areco, Argentina",Argentina,130 Million,23138,
52,52.0,95.0,"Municipality of San Carlos Sud, Argentina",Argentina,27 Million,2102,
53,53.0,399.0,"Municipality of San Fernando del Valle de Catamarca, Argentina",Argentina,2.1 Billion,159703,
54,54.0,51.44,"Municipality of San Isidro, Buenos Aires, Argentina",Argentina,,292878,
55,55.0,144.31,"Municipality of San Martín de los Andes, Argentina",Argentina,380 Million,28554,
56,56.0,82.8,"Municipality of San Miguel, Argentina",Argentina,3.5 Billion,276190,
57,57.0,268.0,"Municipality of Santa Fe de la Vera Cruz, Argentina",Argentina,4.9 Billion,391231,
58,58.0,58.24,"Municipality of Soldini, Argentina",Argentina,42 Million,3212,
59,59.0,72.0,"Municipality of Tafi Viejo, Argentina",Argentina,730 Million,56407,
60,60.0,414.0,"Municipality of Totoras, Argentina",Argentina,130 Million,10292,
61,61.0,20.0,"Municipality of Uranga, Argentina",Argentina,11 Million,913,
62,62.0,47.0,"Municipality of Venado Tuerto, Argentina",Argentina,980 Million,76432,
63,63.0,137.1,"Municipality of Villa General Belgrano, Argentina",Argentina,40 Million,8257,
64,64.0,155.4,"Municipality of Villa Pehuenia, Argentina",Argentina,,1611,
65,65.0,,"Adelaide City Council, Australia",Australia,,22393,
66,66.0,2358.0,"Australian Capital Territory Government, Australia",Australia,,400000,
67,67.0,556.0,"Byron Shire Council, Australia",Australia,1.5 Billion,32723,
68,68.0,98.9,"City of Joondalup, Australia",Australia,5.8 Billion,167623,
69,69.0,648.0,"City of Lake Macquarie Council, Australia",Australia,,189006,
70,70.0,220.0,"City of Mandurah, Australia",Australia,3 Billion,82700,
71,71.0,52.8,"City of Melville, Australia",Australia,1.6 Million,106956,
72,72.0,7.0,"City of Subiaco, Australia",Australia,,19693,
73,73.0,25.0,"City of Sydney, Australia",Australia,100 Billion,169505,Reduce 70% GHG emissions
74,74.0,19.0,"City of Yarra, Australia",Australia,1.6 Million,89151,Reduce 60% GHG emissions
75,75.0,36.2,"Melbourne City Council, Australia",Australia,,127742,
76,76.0,,"Moreland City Council, Australia",Australia,,147244,
77,77.0,720.0,"Mornington Peninsula Shire Council, Australia",Australia,,144608,
78,78.0,405.0,"Penrith City Council, Australia",Australia,7.9 Billion,197922,
79,79.0,20.62,"Port Phillip City Council, Australia",Australia,0,91372,Reduce 7505000tCO2e GHG emissions
80,80.0,1307.4,"Tweed Shire Council, Australia",Australia,2.9 Billion,96033,Reduce 20% GHG emissions
81,81.0,542.0,"Wyndham City Council, Australia",Australia,,241902,
82,82.0,128.0,"City of Graz, Austria",Austria,20 Thousand,269997,Reduce 30% GHG emissions
83,83.0,161.38,"Brussels Capital Region, Belgium",Belgium,110 Billion,1175173,Reduce 30% GHG emissions
84,84.0,204.51,"City of Antwerp, Belgium",Belgium,,502604,Reduce 100% GHG emissions
85,85.0,158.0,"City of Ghent, Belgium",Belgium,13 Billion,248242,Reduce 20% GHG emissions
86,86.0,33.71,"City of Mechelen, Belgium",Belgium,,82325,
87,87.0,40.08,"City of Mouscron, Belgium",Belgium,,56011,Reduce 21% GHG emissions
88,88.0,175.69,"City of Namur, Belgium",Belgium,,110096,Reduce 20% GHG emissions
89,89.0,33.0,"City of Belmopan, Belize",Belize,,16451,
90,90.0,26.0,"City of Thimphu, Bhutan",Bhutan,,104000,
91,91.0,472.0,"Autonomous Municipal Government of La Paz, Bolivia",Bolivia,26 Thousand,877363,
92,92.0,181.0,"Municipality of Aracaju, Brazil",Brazil,14 Billion,626194,
93,93.0,333.0,"Municipality of Belo Horizonte, Brazil",Brazil,81 Billion,2513451,Reduce 20% GHG emissions
94,94.0,347.0,"Municipality of Betim, Brazil",Brazil,25 Million,422354,
95,95.0,,"Municipality of Brasília, Brazil",Brazil,170 Thousand,1409671,
96,96.0,794.0,"Municipality of Campinas, Brazil",Brazil,51 Billion,1186160,
97,97.0,195.0,"Municipality of Contagem, Brazil",Brazil,,613815,
98,98.0,434.0,"Municipality of Curitiba, Brazil",Brazil,79 Billion,1893997,
99,99.0,31.0,"Municipality of Diadema, Brazil",Brazil,,406718,
100,100.0,467.62,"Municipality of Duque de Caxias, Brazil",Brazil,,855048,
101,101.0,438.0,"Municipality of Florianópolis, Brazil",Brazil,8.8 Billion,550000,
102,102.0,314.93,"Municipality of Fortaleza, Brazil",Brazil,37,2452185,Reduce 15tCO2e GHG emissions
103,103.0,1135.0,"Municipality of Joinville, Brazil",Brazil,25 Million,515288,
104,104.0,,"Municipality of Londrina, Brazil",Brazil,16 Billion,506701,
105,105.0,510655.0,"Municipality of Maceió, Brazil",Brazil,14 Million,1005319,
106,106.0,11401.0,"Municipality of Manaus, Brazil",Brazil,23 Billion,1802014,
107,107.0,133.91899999999998,"Municipality of Niterói, Brazil",Brazil,20 Thousand,497883,
108,108.0,497000.0,"Municipality of Porto Alegre, Brazil",Brazil,57 Billion,1409351,
109,109.0,218.0,"Municipality of Recife, Brazil",Brazil,51 Billion,1625583,Reduce 14% GHG emissions
110,110.0,1224.0,"Municipality of Rio de Janeiro, Brazil",Brazil,93 Million,6429923,Reduce 20% GHG emissions
111,111.0,449.0,"Municipality of Sorocaba, Brazil",Brazil,19 Billion,652481,Reduce 20% GHG emissions
112,112.0,1137.0,"Municipality of São Carlos, Brazil",Brazil,,221950,
113,113.0,1099.4089999999999,"Municipality of São José dos Campos, Brazil",Brazil,55 Billion,629921,
114,114.0,1521.0,"Municipality of São Paulo, Brazil",Brazil,260 Billion,11253503,Reduce 30% GHG emissions
115,115.0,450.0,"Bafut Council, Cameroon",Cameroon,,57930,
116,116.0,825.29,"City of Calgary, AB, Canada",Canada,61 Billion,1230915,Reduce 20% GHG emissions
117,117.0,17.66,"City of Colwood, Canada",Canada,,16093,Reduce 33% GHG emissions
118,118.0,684.0,"City of Edmonton, AB, Canada",Canada,45 Billion,899447,Reduce 50% GHG emissions
119,119.0,130.68,"City of Fredericton, NB, Canada",Canada,,56224,Reduce 6% GHG emissions
120,120.0,3200.56,"City of Greater Sudbury, ON, Canada",Canada,6.8 Billion,160274,
121,121.0,266.78,"City of Maple Ridge, Canada",Canada,,76052,Reduce 80% GHG emissions
122,122.0,431.5,"City of Montréal, QC, Canada",Canada,120 Billion,1649519,Reduce 30% GHG emissions
123,123.0,11.8333,"City of North Vancouver, Canada",Canada,1,52346,Reduce 25% GHG emissions
124,124.0,129.27,"City of Richmond, BC, Canada",Canada,,190473,Reduce 100% GHG emissions
125,125.0,316.0,"City of Surrey, Canada",Canada,,508404,Reduce 20% GHG emissions
126,126.0,447.0,"City of Thunder Bay, ON, Canada",Canada,,108359,Reduce 20% GHG emissions
127,127.0,115.0,"City of Vancouver, BC, Canada",Canada,51 Billion,631486,Reduce 50% GHG emissions
128,128.0,19.47,"City of Victoria, BC, Canada",Canada,,80032,Reduce 100% GHG emissions
129,129.0,136.22,"City of Yellowknife, Canada",Canada,2 Billion,19234,Reduce 6% GHG emissions
130,130.0,183.0,"District of Delta, BC, Canada",Canada,,99863,Reduce 20% GHG emissions
131,131.0,195.54,"District of North Cowichan, Canada",Canada,1.2 Billion,28807,Reduce 80% GHG emissions
132,132.0,103.44,"District of Saanich, BC, Canada",Canada,0,109752,Reduce 33% GHG emissions
133,133.0,87.26,"District of West Vancouver, Canada",Canada,,44000,Reduce 80% GHG emissions
134,134.0,2877.36,"Metro Vancouver, BC, Canada",Canada,,2463700,Reduce 100% GHG emissions
135,135.0,1368.94,"Regional Municipality of Waterloo, ON, Canada",Canada,,507096,Reduce 28% GHG emissions
136,136.0,67.07,"Town of Ajax, Canada",Canada,630 Thousand,109600,Reduce 6% GHG emissions
137,137.0,688.15,"Town of Caledon, Canada",Canada,,59460,Reduce 83% GHG emissions
138,138.0,276.26,"Town of Halton Hills, ON, Canada",Canada,2.8 Billion,61161,Reduce 15% GHG emissions
139,139.0,139.0,"Town of Oakville, ON, Canada",Canada,7.4 Billion,186400,
140,140.0,7.4,"Municipality of Independencia, Chile",Chile,67 Billion,65479,Reduce 30% GHG emissions
141,141.0,901.0,"Municipality of Lautaro, Chile",Chile,,35236,Reduce 5% GHG emissions
142,142.0,14.0,"Municipality of Providencia, Chile",Chile,,130000,Reduce 50% GHG emissions
143,143.0,536.9,"Municipality of Quilpue, Chile",Chile,,149500,
144,144.0,22.0,"Municipality of Santiago, Chile",Chile,250 Billion,311415,Reduce 30% GHG emissions
145,145.0,1015.6,"Municipality of Valdivia, Chile",Chile,2.5 Trillion,172000,Reduce 30% GHG emissions
146,146.0,15403.2,"Santiago Metropolitan Region, Chile",Chile,,7314176,
147,147.0,2050.0,"Shenzhen Municipal People's Government, China",China,1.6 Trillion,10628900,Reduce 0% GHG emissions
148,148.0,60.03,"Chiayi City Government, Chinese Taipei",Chinese Taipei,23 Thousand,270883,Reduce 465000tCO2e GHG emissions
149,149.0,2946.616,"Kaohsiung City Government, Chinese Taipei",Chinese Taipei,520 Billion,2778729,Reduce 20% GHG emissions
150,150.0,153.0,"Kinmen County Government, Chinese Taipei",Chinese Taipei,720 Million,127723,
151,151.0,2052.6,"New Taipei City Government, Chinese Taipei",Chinese Taipei,530 Billion,3966818,Reduce 20% GHG emissions
152,152.0,2775.6,"Pingtung County Government, Chinese Taipei",Chinese Taipei,1.3 Trillion,835792,Reduce 30% GHG emissions
153,153.0,2214.9,"Taichung City Government, Chinese Taipei",Chinese Taipei,23 Thousand,2731056,Reduce 10% GHG emissions
154,154.0,2191.64,"Tainan City Government, Chinese Taipei",Chinese Taipei,340 Billion,1885252,Reduce 7% GHG emissions
155,155.0,272.0,"Taipei City Government, Chinese Taipei",Chinese Taipei,17 Trillion,2683257,Reduce 50% GHG emissions
156,156.0,1220.55,"Taoyuan City Government, Chinese Taipei",Chinese Taipei,17 Trillion,2188017,Reduce 50% GHG emissions
157,157.0,1637.0,"Capital District of Bogotá, Colombia",Colombia,36 Trillion,7980000,Reduce 56% GHG emissions
158,158.0,165.0,"City of Bucaramanga, Colombia",Colombia,,525119,Reduce 30% GHG emissions
159,159.0,11640.0,"City of Puerto Leguízamo, Colombia",Colombia,38 Million,15445,
160,160.0,3142.0,"City of San Jerónimo de Montería, Colombia",Colombia,4 Thousand,441301,Reduce 20tCO2e GHG emissions
161,161.0,140.0,"Municipality of Armenia, Colombia",Colombia,2.1 Billion,296683,
162,162.0,166.0,"Municipality of Barranquilla, Colombia",Colombia,19 Billion,1148506,
163,163.0,630.0,"Municipality of Cartagena de Indias, Colombia",Colombia,,978600,
164,164.0,279.0,"Municipality of Cartago, Colombia",Colombia,120 Million,133652,
165,165.0,1439.0,"Municipality of Ibagué, Colombia",Colombia,3.9,553524,
166,166.0,380.64,"Municipality of Medellín, Colombia",Colombia,26 Billion,2441123,
167,167.0,1181.0,"Municipality of Pasto, Colombia",Colombia,910 Thousand,480000,Reduce 550tCO2e GHG emissions
168,168.0,,"Municipality of Pereira, Colombia",Colombia,12 Thousand,468000,
169,169.0,564.0,"Municipality of Santiago de Cali, Colombia",Colombia,29 Trillion,2394925,
170,170.0,4192.0,"Municipality of Valledupar, Colombia",Colombia,6.2 Trillion,453212,Reduce 14% GHG emissions
171,171.0,1428.0,"Municipality of Villavicencio, Colombia",Colombia,38 Billion,489,
172,172.0,44.62,"Municipality of San José, Costa Rica",Costa Rica,,288054,
173,173.0,48.0,"Municipality of San Rafael de Heredia, Costa Rica",Costa Rica,,45965,
174,174.0,91.0,"City of Koprivnica, Croatia",Croatia,,30854,
175,175.0,88.0,"City of Copenhagen, Denmark",Denmark,54 Billion,559440,Reduce 100% GHG emissions
176,176.0,78.0,"Hoeje-Taastrup Municipality, Denmark",Denmark,,48853,
177,177.0,70.59,"Municipality of Cuenca, Ecuador",Ecuador,,400000,
178,178.0,30.3,"Municipality of Santa Cruz, Ecuador",Ecuador,97 Million,18070,
179,179.0,4230.0,"Municipality of the Metropolitan District of Quito, Ecuador",Ecuador,23 Billion,2671191,Reduce 5% GHG emissions
180,180.0,9536.0,"Province of Pichincha, Ecuador",Ecuador,,29945,
181,181.0,72.25,"Municipality of the City of San Salvador, El Salvador",El Salvador,,567698,
182,182.0,400.0,"Municipality of the City of Santa Ana, El Salvador",El Salvador,,274830,
183,183.0,528.14,"City of Espoo, Finland",Finland,,267906,
184,184.0,716.75,"City of Helsinki, Finland",Finland,47 Thousand,626305,Reduce 30% GHG emissions
185,185.0,154.58,"City of Lahti, Finland",Finland,,103725,Reduce 50% GHG emissions
186,186.0,1723.5,"City of Lappeenranta, Finland",Finland,2.7 Billion,72495,Reduce 30% GHG emissions
187,187.0,689.59,"City of Tampere, Finland",Finland,,223238,Reduce 40% GHG emissions
188,188.0,579.27,"Bordeaux Metropolis, France",France,,246586,Reduce 0% GHG emissions
189,189.0,218.37,"Brest Metropolis, France",France,,206719,
190,190.0,65.05,"City of Besançon, France",France,,116353,Reduce 40% GHG emissions
191,191.0,18.13,"City of Grenoble, France",France,,158346,Reduce 75% GHG emissions
192,192.0,27.48,"City of Orléans, France",France,,114286,
193,193.0,105.0,"City of Paris, France",France,150 Billion,2265886,Reduce 30% GHG emissions
194,194.0,611.45,"Lille European Metropolis, France",France,,1119877,Reduce 30% GHG emissions
195,195.0,533.68,"Lyon Metropolis, France",France,730 Billion,1324637,Reduce 20% GHG emissions
196,196.0,26.38,"Municipality of Mellac, France",France,,2764,
197,197.0,465.96,"Toulouse Metropolis, France",France,36 Billion,725091,Reduce 20% GHG emissions
198,198.0,523.36,"Urban Community of Nantes Métropole, France",France,21 Billion,602923,Reduce 30% GHG emissions
199,199.0,47.4,"Urban Community of Plaine Commune, France",France,,411367,
200,200.0,153.0,"City of Freiburg im Breisgau, Germany",Germany,,220286,
201,201.0,204.0,"City of Hannover, Germany",Germany,29 Million,523642,Reduce 40% GHG emissions
202,202.0,141.0,"Federal City of Bonn, Germany",Germany,25 Billion,313958,Reduce 20% GHG emissions
203,203.0,891.68,"Federal State of Berlin, Germany",Germany,,3469849,Reduce -85% GHG emissions
204,204.0,228.0,"Municipality of Guatemala, Guatemala",Guatemala,,2110100,Reduce 35% GHG emissions
205,205.0,78.0,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,6.1 Million,82072,Reduce 47% GHG emissions
206,206.0,100.0,"Municipality of Pachalum, Guatemala",Guatemala,,15000,
207,207.0,,"Municipality of Villa Nueva, Guatemala",Guatemala,,1200000,
208,208.0,1514.72,"Tegucigalpa, Municipality of the Central District, Honduras",Honduras,,1149923,Reduce 406556tCO2e GHG emissions
209,209.0,464.0,"Ahmadabad Municipal Corporation, India",India,,5570585,
210,210.0,709.0,"Bengaluru Municipal Corporation, India",India,14 Billion,9621551,
211,211.0,135.0,"Bhubaneswar Municipal Corporation, India",India,,837737,
212,212.0,95.0,"Cochin Municipal Corporation, India",India,2.3 Million,601574,
213,213.0,247.92,"Coimbatore City Municipal Corporation, India",India,3 Billion,1850000,
214,214.0,36.0,"Corporation of the City of Panaji, India",India,92 Million,59066,Reduce 19tCO2e GHG emissions
215,215.0,52.0,"Dehradun Municipal Corporation, India",India,,447808,
216,216.0,177.0,"Gandhinagar Municipal Corporation, India",India,,208299,
217,217.0,650.0,"Greater Hyderabad Municipal Corporation, India",India,,6731790,
218,218.0,780.0,"Gwalior Municipal Corporation, India",India,8.5 Billion,1069276,
219,219.0,276.0,"Indore Municipal Corporation, India",India,,2197447,
220,220.0,645.0,"Jaipur Municipal Corporation, India",India,,3073350,
221,221.0,94.0,"Kochi Municipal Corporation, India",India,2.3 Million,602046,
222,222.0,318.0,"Kota Municipal Corporation, India",India,,1001365,
223,223.0,228.0,"Nagpur Municipal Corporation, India",India,,2405421,
224,224.0,482.0,"Nashik City Corporation, India",India,,1862769,Reduce 62% GHG emissions
225,225.0,43.0,"New Delhi Municipal Council, India",India,13 Billion,249998,
226,226.0,297.9,"Patna Municipal Corporation, India",India,2.4 Billion,1684222,
227,227.0,181.0,"Pimpri Chinchwad Municipal Corporation, India",India,,1729320,
228,228.0,250.56,"Pune Municipal Corporation, India",India,0,3115431,Reduce 10% GHG emissions
229,229.0,129.0,"Rajkot Municipal Corporation, India",India,2.3 Billion,1432734,Reduce 25% GHG emissions
230,230.0,25.0,"Shimla Municipal Corporation, India",India,0,169758,
231,231.0,327.0,"Surat Municipal Corporation, India",India,,4466826,
232,232.0,147.0,"Thane Municipal Corporation, India",India,,1886941,Reduce 623763tCO2e GHG emissions
233,233.0,159.95,"Vadodara Municipal Corporation, India",India,18 Billion,1666495,Reduce 550tCO2e GHG emissions
234,234.0,503.33,"City of Balikpapan, Indonesia",Indonesia,70 Million,762492,Reduce 19% GHG emissions
235,235.0,61.36,"City of Banda Aceh, Indonesia",Indonesia,12 Trillion,354214,
236,236.0,167.7,"City of Bandung, Indonesia",Indonesia,41 Trillion,2483977,Reduce 30% GHG emissions
237,237.0,210.49,"City of Bekasi, Indonesia",Indonesia,,2663011,
238,238.0,118.0,"City of Bogor, Indonesia",Indonesia,29 Trillion,1039465,Reduce 2087226tCO2e GHG emissions
239,239.0,40.0,"City of Cimahi, Indonesia",Indonesia,16 Million,561386,Reduce 9% GHG emissions
240,240.0,110.0,"City of Malang, Indonesia",Indonesia,52 Billion,881794,Reduce 24% GHG emissions
241,241.0,56.667,"City of Probolinggo, Indonesia",Indonesia,,224229,Reduce 12% GHG emissions
242,242.0,374.0,"City of Semarang, Indonesia",Indonesia,,1500000,Reduce 4% GHG emissions
243,243.0,164.5,"City of Tangerang, Indonesia",Indonesia,,2047105,
244,244.0,7639.0,"Special Capital Region of Jakarta, Indonesia",Indonesia,440 Billion,10277628,Reduce 30% GHG emissions
245,245.0,125.0,"Jerusalem Municipality, Israel",Israel,,890428,Reduce 20% GHG emissions
246,246.0,140.7,"City of Bologna, Italy",Italy,37 Billion,384202,Reduce 20% GHG emissions
247,247.0,228.0,"City of Forlì, Italy",Italy,,118652,Reduce 25% GHG emissions
248,248.0,1285.0,"City of Rome, Italy",Italy,,2869461,
249,249.0,102.0,"Metropolitan City of Florence, Italy",Italy,,383083,Reduce 50% GHG emissions
250,250.0,6829.0,"Metropolitan City of Turin, Italy",Italy,,2308409,Reduce 20% GHG emissions
251,251.0,2467.0,"Metropolitan City of Venice, Italy",Italy,,858455,
252,252.0,124.0,"Municipality of Ancona, Italy",Italy,,102997,Reduce 20% GHG emissions
253,253.0,4.6,"Municipality of Villa di Serio, Italy",Italy,,6118,Reduce 20% GHG emissions
254,254.0,3821.0,"Province of Siena, Italy",Italy,,273305,Reduce 100% GHG emissions
255,255.0,53.0,"Adachi City, Japan",Japan,,669143,Reduce 9% GHG emissions
256,256.0,5165.0,"Aichi Prefecture, Japan",Japan,36 Trillion,7507553,Reduce 15% GHG emissions
257,257.0,49.0,"Akashi City, Japan",Japan,,290776,Reduce 25% GHG emissions
258,258.0,906.0,"Akita City, Japan",Japan,,320909,Reduce 4% GHG emissions
259,259.0,11636.0,"Akita Prefecture, Japan",Japan,,1026983,Reduce 11% GHG emissions
260,260.0,308.15,"Amami City, Japan",Japan,,44561,Reduce 9% GHG emissions
261,261.0,825.0,"Aomori City, Japan",Japan,,298866,
262,262.0,9606.26,"Aomori Prefecture, Japan",Japan,,1373164,Reduce 5% GHG emissions
263,263.0,748.0,"Asahikawa City, Japan",Japan,,349316,
264,264.0,94.0,"Atsugi City, Japan",Japan,,224462,Reduce 25% GHG emissions
265,265.0,5157.0,"Chiba Prefecture, Japan",Japan,,6192351,Reduce 1% GHG emissions
266,266.0,36.0,"Chigasaki City, Japan",Japan,,236177,Reduce 8% GHG emissions
267,267.0,12.0,"Chiyoda City, Japan",Japan,,53821,Reduce 29% GHG emissions
268,268.0,10.0,"Chuo City, Japan",Japan,,141454,Reduce 5% GHG emissions
269,269.0,49.0,"Edogawa City, Japan",Japan,,682418,Reduce 14% GHG emissions
270,270.0,5679.0,"Ehime Prefecture, Japan",Japan,,1405620,Reduce 6% GHG emissions
271,271.0,245.0,"Fuji City, Japan",Japan,,259077,Reduce 10% GHG emissions
272,272.0,389.0,"Fujinomiya City, Japan",Japan,,131741,Reduce 10% GHG emissions
273,273.0,70.0,"Fujisawa City, Japan",Japan,,418269,Reduce 40% GHG emissions
274,274.0,4190.0,"Fukui Prefecture, Japan",Japan,,789375,Reduce 3% GHG emissions
275,275.0,342.0,"Fukuoka City, Japan",Japan,,1506313,
276,276.0,13782.0,"Fukushima Prefecture, Japan",Japan,,1947580,
277,277.0,86.0,"Funabashi City, Japan",Japan,,610572,Reduce 1% GHG emissions
278,278.0,10621.0,"Gifu Prefecture, Japan",Japan,,2064910,Reduce 7% GHG emissions
279,279.0,420.04,"Goto City, Nagasaki, Japan",Japan,110 Thousand,37745,
280,280.0,6363.0,"Gunma Prefecture, Japan",Japan,,2014608,Reduce 28% GHG emissions
281,281.0,678.0,"Hakodate City, Japan",Japan,,279851,Reduce 10% GHG emissions
282,282.0,1558.0,"Hamamatsu City, Japan",Japan,,793473,
283,283.0,534.0,"Himeji City, Japan",Japan,,535945,Reduce 16% GHG emissions
284,284.0,85.0,"Hirakata City, Japan",Japan,,407465,Reduce 17% GHG emissions
285,285.0,905.0,"Hiroshima City, Japan",Japan,5.1 Trillion,1192189,Reduce 8% GHG emissions
286,286.0,8477.0,"Hiroshima Prefecture, Japan",Japan,,2857990,Reduce 5% GHG emissions
287,287.0,83.0,"Hokkaido Prefecture, Japan",Japan,,5507456,Reduce 11% GHG emissions
288,288.0,603.0,"Hokuto City, Japan",Japan,,46559,
289,289.0,8396.0,"Hyogo Prefecture, Japan",Japan,,5557971,Reduce 6% GHG emissions
290,290.0,659.0,"Iida City, Japan",Japan,,104921,Reduce 2% GHG emissions
291,291.0,4186.0,"Ishikawa Prefecture, Japan",Japan,,1162953,Reduce 7% GHG emissions
292,292.0,32.22,"Itabashi City, Japan",Japan,,546414,
293,293.0,1231.0,"Iwaki City, Japan",Japan,,327783,
294,294.0,1877.0,"Kagawa Prefecture, Japan",Japan,,985846,Reduce 8% GHG emissions
295,295.0,139.0,"Kakogawa City, Japan",Japan,,268565,Reduce 24% GHG emissions
296,296.0,2416.0,"Kanagawa Prefecture, Japan",Japan,,9059589,Reduce 25% GHG emissions
297,297.0,157.0,"Kasumigaura City, Japan",Japan,,43616,Reduce 4% GHG emissions
298,298.0,109.0,"Kawagoe City, Japan",Japan,,349907,Reduce 0% GHG emissions
299,299.0,62.0,"Kawaguchi City, Japan",Japan,,583179,Reduce 8% GHG emissions
300,300.0,144.35,"Kawasaki City, Japan",Japan,,1475300,Reduce 25% GHG emissions
301,301.0,21.0,"Kita City, Japan",Japan,,340287,Reduce 3% GHG emissions
302,302.0,491.95,"Kitakyushu City, Japan",Japan,3.5 Trillion,956243,Reduce 50% GHG emissions
303,303.0,20.0,"Kitamoto City, Japan",Japan,,69984,Reduce 4% GHG emissions
304,304.0,553.0,"Kobe City, Japan",Japan,,1542230,Reduce 30% GHG emissions
305,305.0,7105.0,"Kochi Prefecture, Japan",Japan,,757914,Reduce 10% GHG emissions
306,306.0,126.0,"Kochi-konan City, Japan",Japan,,33721,Reduce 5% GHG emissions
307,307.0,212.0,"Kofu City, Japan",Japan,,195031,Reduce 3% GHG emissions
308,308.0,99.0,"Komoro City, Japan",Japan,,44270,Reduce 6% GHG emissions
309,309.0,757.0,"Koriyama City, Japan",Japan,,329339,Reduce 7% GHG emissions
