,city,country,plan_name,plan_type,start year
92,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate adaptation /resilience plan,2016
93,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2014
94,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2012
95,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate mitigation plan,2017
96,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Integrated climate plan,2016
97,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Climate mitigation plan,2014
98,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Integrated climate plan,2014
99,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",,2015
100,"City of Bekasi, Indonesia",Indonesia,"City of Bekasi, Indonesia",Climate mitigation plan,2014
101,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2017
102,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2011
103,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Climate mitigation plan,2013
104,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",Integrated climate plan,2012
105,"City of Bogor, Indonesia",Indonesia,"City of Bogor, Indonesia",,2014
106,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Integrated climate plan,2017
107,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Integrated climate plan,2017
108,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Climate adaptation /resilience plan,2015
109,"City of Malang, Indonesia",Indonesia,"City of Malang, Indonesia",Climate mitigation plan,2017
110,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Climate adaptation /resilience plan,2013
111,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Integrated climate plan,2013
112,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",,2013
113,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",,2013
114,"City of Probolinggo, Indonesia",Indonesia,"City of Probolinggo, Indonesia",Integrated climate plan,2013
115,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2010
116,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2004
117,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2011
118,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,
119,"Special Capital Region of Jakarta, Indonesia",Indonesia,"Special Capital Region of Jakarta, Indonesia",Climate mitigation plan,2008
120,"Tangerang City, Indonesia",Indonesia,"Tangerang City, Indonesia",Climate mitigation plan,2017
121,"Tangerang City, Indonesia",Indonesia,"Tangerang City, Indonesia",Climate mitigation plan,2017
122,"Tangerang City, Indonesia",Indonesia,"Tangerang City, Indonesia",Climate mitigation plan,2017
123,"Tangerang City, Indonesia",Indonesia,"Tangerang City, Indonesia",Climate mitigation plan,2017
124,"Tangerang City, Indonesia",Indonesia,"Tangerang City, Indonesia",Climate mitigation plan,2017
125,"Aichi Prefecture, Japan",Japan,"Aichi Prefecture, Japan",Integrated climate plan,2012
126,"Aichi Prefecture, Japan",Japan,"Aichi Prefecture, Japan",Climate mitigation plan,2016
127,"Kawasaki City, Japan",Japan,"Kawasaki City, Japan",Climate mitigation plan,2010
128,"Kitakyushu City, Japan",Japan,"Kitakyushu City, Japan",Climate mitigation plan,2016
129,"Sapporo City, Japan",Japan,"Sapporo City, Japan",Climate mitigation plan,2015
130,"Tokyo Metropolitan Government, Japan",Japan,"Tokyo Metropolitan Government, Japan",Integrated climate plan,2016
131,"Yokohama City, Japan",Japan,"Yokohama City, Japan",Climate mitigation plan,2011
132,"Alor Gajah Municipal Council, Malaysia",Malaysia,"Alor Gajah Municipal Council, Malaysia",Climate mitigation plan,2014
133,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,
134,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2011
135,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2010
136,"City of Kota Kinabalu, Malaysia",Malaysia,"City of Kota Kinabalu, Malaysia",Climate mitigation plan,2012
137,"Hang Tuah Jaya Municipal Council, Malaysia",Malaysia,"Hang Tuah Jaya Municipal Council, Malaysia",Climate mitigation plan,
138,"Jasin Municipal Council, Malaysia",Malaysia,"Jasin Municipal Council, Malaysia",Integrated climate plan,2014
139,"Melaka Historic City Council, Malaysia",Malaysia,"Melaka Historic City Council, Malaysia",Climate adaptation /resilience plan,2017
140,"Melaka Historic City Council, Malaysia",Malaysia,"Melaka Historic City Council, Malaysia",Climate adaptation /resilience plan,2017
141,"City of Tuxtla Gutiérrez, Mexico",Mexico,"City of Tuxtla Gutiérrez, Mexico",,
142,"City of Tuxtla Gutiérrez, Mexico",Mexico,"City of Tuxtla Gutiérrez, Mexico",,
143,"City of Tuxtla Gutiérrez, Mexico",Mexico,"City of Tuxtla Gutiérrez, Mexico",,
144,"City of Tuxtla Gutiérrez, Mexico",Mexico,"City of Tuxtla Gutiérrez, Mexico",,
145,"City of Tuxtla Gutiérrez, Mexico",Mexico,"City of Tuxtla Gutiérrez, Mexico",,2014
146,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2017
147,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2013
148,"Guadalajara Metropolitan Area, Mexico",Mexico,"Guadalajara Metropolitan Area, Mexico",Climate mitigation plan,2012
149,"Muncipality of Banderilla, Mexico",Mexico,"Muncipality of Banderilla, Mexico",,
150,"Municipality of León de los Aldamas, Mexico",Mexico,"Municipality of León de los Aldamas, Mexico",Climate mitigation plan,2018
151,"Municipality of León de los Aldamas, Mexico",Mexico,"Municipality of León de los Aldamas, Mexico",Climate adaptation /resilience plan,
152,"Municipality of Merida, Mexico",Mexico,"Municipality of Merida, Mexico",,
153,"Municipality of Queretaro, Mexico",Mexico,"Municipality of Queretaro, Mexico",,
154,"Quelimane Municipal Council, Mozambique",Mozambique,"Quelimane Municipal Council, Mozambique",Climate adaptation /resilience plan,2018
155,"City of Windhoek, Namibia",Namibia,"City of Windhoek, Namibia",,2008
156,"Oslo Municipality, Norway",Norway,"Oslo Municipality, Norway",Climate mitigation plan,2018
157,"Oslo Municipality, Norway",Norway,"Oslo Municipality, Norway",Climate adaptation /resilience plan,2013
158,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Integrated climate plan,2017
159,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Climate adaptation /resilience plan,2017
160,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Integrated climate plan,2017
161,"Karachi City District, Pakistan",Pakistan,"Karachi City District, Pakistan",Climate adaptation /resilience plan,2007
162,"District Municipality of San Isidro, Peru",Peru,"District Municipality of San Isidro, Peru",,2016
163,"District Municipality of San Isidro, Peru",Peru,"District Municipality of San Isidro, Peru",Integrated climate plan,2016
164,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Integrated climate plan,2015
165,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate mitigation plan,2014
166,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate adaptation /resilience plan,2014
167,"Municipalidad Provincial de Tambopata, Peru",Peru,"Municipalidad Provincial de Tambopata, Peru",Climate mitigation plan,2015
168,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
169,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
170,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
171,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2016
172,"Municipalidad de Santiago de Surco, Peru",Peru,"Municipalidad de Santiago de Surco, Peru",Integrated climate plan,2015
173,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
174,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
175,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
176,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
177,"Municipality of Magdelena Del Mar, Peru",Peru,"Municipality of Magdelena Del Mar, Peru",,2016
178,"Municipality of Tahuamanu, Peru",Peru,"Municipality of Tahuamanu, Peru",Climate mitigation plan,2017
179,"Municipality of Tahuamanu, Peru",Peru,"Municipality of Tahuamanu, Peru",Climate adaptation /resilience plan,
180,"City of Batangas, Philippines",Philippines,"City of Batangas, Philippines",Climate mitigation plan,2017
181,"City of Catbalogan, Philippines",Philippines,"City of Catbalogan, Philippines",Climate adaptation /resilience plan,2016
182,"City of Catbalogan, Philippines",Philippines,"City of Catbalogan, Philippines",Climate adaptation /resilience plan,2015
183,"City of Parañaque, Philippines",Philippines,"City of Parañaque, Philippines",Climate mitigation plan,
184,"City of San Carlos, Philippines",Philippines,"City of San Carlos, Philippines",Climate adaptation /resilience plan,2016
185,"City of San Carlos, Philippines",Philippines,"City of San Carlos, Philippines",Climate adaptation /resilience plan,2012
186,"City of San Carlos, Philippines",Philippines,"City of San Carlos, Philippines",Climate adaptation /resilience plan,2016
187,"City of San Carlos, Philippines",Philippines,"City of San Carlos, Philippines",Integrated climate plan,2014
188,"City of Zamboanga, Philippines",Philippines,"City of Zamboanga, Philippines",Climate adaptation /resilience plan,2016
189,"City of Zamboanga, Philippines",Philippines,"City of Zamboanga, Philippines",Climate mitigation plan,2016
190,"City of Zamboanga, Philippines",Philippines,"City of Zamboanga, Philippines",Integrated climate plan,2015
191,"City of Zamboanga, Philippines",Philippines,"City of Zamboanga, Philippines",,2016
192,"LGU of San Jose del Monte City, Philippines",Philippines,"LGU of San Jose del Monte City, Philippines",,
193,"LGU of San Jose del Monte City, Philippines",Philippines,"LGU of San Jose del Monte City, Philippines",,2014
194,"Pasig City Government, Philippines",Philippines,"Pasig City Government, Philippines",,2010
195,"Pasig City Government, Philippines",Philippines,"Pasig City Government, Philippines",,2012
196,"Tagum City, Philippines",Philippines,"Tagum City, Philippines",Climate adaptation /resilience plan,2013
197,"Tagum City, Philippines",Philippines,"Tagum City, Philippines",Climate adaptation /resilience plan,2014
198,"Tagum City, Philippines",Philippines,"Tagum City, Philippines",Integrated climate plan,2015
199,"Tagum City, Philippines",Philippines,"Tagum City, Philippines",Climate adaptation /resilience plan,
200,"Tagum City, Philippines",Philippines,"Tagum City, Philippines",Climate adaptation /resilience plan,2017
201,"Tarlac City Local Government, Philippines",Philippines,"Tarlac City Local Government, Philippines",Climate adaptation /resilience plan,
202,"Tarlac City Local Government, Philippines",Philippines,"Tarlac City Local Government, Philippines",Integrated climate plan,2017
203,"Municipality of Almada, Portugal",Portugal,"Municipality of Almada, Portugal",Climate mitigation plan,2018
204,"Municipality of Almada, Portugal",Portugal,"Municipality of Almada, Portugal",Climate adaptation /resilience plan,2018
205,"City of Changwon, Republic of Korea",Republic of Korea,"City of Changwon, Republic of Korea",Integrated climate plan,2018
206,"Seoul Metropolitan Government, Republic of Korea",Republic of Korea,"Seoul Metropolitan Government, Republic of Korea",Climate mitigation plan,2018
207,"Seoul Metropolitan Government, Republic of Korea",Republic of Korea,"Seoul Metropolitan Government, Republic of Korea",Climate adaptation /resilience plan,2018
208,"Cape Town Metropolitan Municipality, South Africa",South Africa,"Cape Town Metropolitan Municipality, South Africa",Climate mitigation plan,2011
209,"Cape Town Metropolitan Municipality, South Africa",South Africa,"Cape Town Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2011
210,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,
211,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate mitigation plan,2012
212,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Integrated climate plan,2016
213,"City of Johannesburg Metropolitan Municipality, South Africa",South Africa,"City of Johannesburg Metropolitan Municipality, South Africa",Climate mitigation plan,2009
214,"Ekurhuleni Metropolitan Municipality, South Africa",South Africa,"Ekurhuleni Metropolitan Municipality, South Africa",Climate mitigation plan,2013
215,"Ekurhuleni Metropolitan Municipality, South Africa",South Africa,"Ekurhuleni Metropolitan Municipality, South Africa",Climate mitigation plan,2013
216,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",Climate mitigation plan,2013
217,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",,2016
218,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",,2013
219,"KwaDukuza Local Municipality, South Africa",South Africa,"KwaDukuza Local Municipality, South Africa",Integrated climate plan,2013
220,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate adaptation /resilience plan,2017
221,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate mitigation plan,2015
222,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Integrated climate plan,2010
223,"Msunduzi Local Municipality, South Africa",South Africa,"Msunduzi Local Municipality, South Africa",Climate adaptation /resilience plan,
224,"Nelson Mandela Bay Metropolitan Municipality, South Africa",South Africa,"Nelson Mandela Bay Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2017
225,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Climate mitigation plan,2014
226,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Integrated climate plan,2015
227,"eThekwini Metropolitan Municipality, South Africa",South Africa,"eThekwini Metropolitan Municipality, South Africa",Climate adaptation /resilience plan,2018
228,"Municipality of Amurrio, Spain",Spain,"Municipality of Amurrio, Spain",Climate adaptation /resilience plan,2018
229,"Municipality of Amurrio, Spain",Spain,"Municipality of Amurrio, Spain",Climate mitigation plan,2014
230,"Municipality of Areatza, Spain",Spain,"Municipality of Areatza, Spain",Climate adaptation /resilience plan,2018
231,"Municipality of Areatza, Spain",Spain,"Municipality of Areatza, Spain",Climate mitigation plan,2018
232,"Municipality of Balmaseda, Spain",Spain,"Municipality of Balmaseda, Spain",Climate mitigation plan,2013
233,"Municipality of Bilbao, Spain",Spain,"Municipality of Bilbao, Spain",Climate adaptation /resilience plan,
234,"Municipality of Bilbao, Spain",Spain,"Municipality of Bilbao, Spain",Climate mitigation plan,2018
235,"Municipality of Durango, Spain",Spain,"Municipality of Durango, Spain",Integrated climate plan,2013
236,"Municipality of Errenteria, Spain",Spain,"Municipality of Errenteria, Spain",Climate adaptation /resilience plan,2014
237,"Municipality of Errenteria, Spain",Spain,"Municipality of Errenteria, Spain",Climate mitigation plan,2018
238,"Municipality of Legazpi, Spain",Spain,"Municipality of Legazpi, Spain",Climate adaptation /resilience plan,2018
239,"Municipality of Legazpi, Spain",Spain,"Municipality of Legazpi, Spain",Climate mitigation plan,2018
240,"Municipality of Madrid, Spain",Spain,"Municipality of Madrid, Spain",Climate mitigation plan,2014
241,"Municipality of Tolosa, Spain",Spain,"Municipality of Tolosa, Spain",Climate adaptation /resilience plan,2013
242,"Municipality of Tolosa, Spain",Spain,"Municipality of Tolosa, Spain",Climate mitigation plan,2018
243,"Municipality of Vitoria-Gasteiz, Spain",Spain,"Municipality of Vitoria-Gasteiz, Spain",Climate mitigation plan,2018
244,"Municipality of Vitoria-Gasteiz, Spain",Spain,"Municipality of Vitoria-Gasteiz, Spain",Climate adaptation /resilience plan,2018
245,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate adaptation /resilience plan,2017
246,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2016
247,"City of Malmö, Sweden",Sweden,"City of Malmö, Sweden",Climate mitigation plan,2015
248,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016
249,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate adaptation /resilience plan,2016
250,"City of Stockholm, Sweden",Sweden,"City of Stockholm, Sweden",Climate mitigation plan,2016
251,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate adaptation /resilience plan,2017
252,"Kristianstad Municipality, Sweden",Sweden,"Kristianstad Municipality, Sweden",Climate mitigation plan,2017
253,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2016
254,"Lund Municipality, Sweden",Sweden,"Lund Municipality, Sweden",Climate mitigation plan,2014
255,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2008
256,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2010
257,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2009
258,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",Integrated climate plan,2012
259,"Umeå Municipality, Sweden",Sweden,"Umeå Municipality, Sweden",,2015
260,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Climate mitigation plan,2014
261,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2016
262,"Uppsala Municipality, Sweden",Sweden,"Uppsala Municipality, Sweden",Integrated climate plan,2017
