,Unnamed: 0,baseline_year,baseline_year_emissions,city,commitment,commitment_type,country,emissions_reduction_by_target_year,ghg_subtype,percent_reduction,target_year,target_year_emissions
10,10.0,2008.0,,"City of Graz, Austria", The City of Graz has committed to reduce its Community emissions by 80% by 2050 compared to 2008 emission level.,GHG emission reduction target,Austria,,Community,80.0,2050.0,
11,11.0,2008.0,,"City of Graz, Austria", The City of Graz has committed to reduce its Local Government emissions by 30% by 2020 compared to 2008 emission level.,GHG emission reduction target,Austria,,Local Government,30.0,2020.0,
12,12.0,1990.0,,"Brussels Capital Region, Belgium", The Brussels Capital Region has committed to reduce its Community emissions by 30% by 2025 compared to 1990 emission level.,GHG emission reduction target,Belgium,,Community,30.0,2025.0,
13,13.0,2005.0,,"City of Antwerp, Belgium", The City of Antwerp has committed to reduce its Community emissions by 100% by 2050 compared to 2005 emission level.,GHG emission reduction target,Belgium,,Community,100.0,2050.0,
14,14.0,2005.0,,"City of Antwerp, Belgium", The City of Antwerp has committed to reduce its Local Government emissions by 100% by 2050 compared to 2005 emission level.,GHG emission reduction target,Belgium,,Local Government,100.0,2050.0,
15,15.0,2007.0,,"City of Ghent, Belgium", The City of Ghent has committed to reduce its Community emissions by 20% by 2020 compared to 2007 emission level.,GHG emission reduction target,Belgium,,Community,20.0,2020.0,
16,16.0,2003.0,,"City of Ghent, Belgium", The City of Ghent has committed to reduce its Local Government emissions by 60% by 2020 compared to 2003 emission level.,GHG emission reduction target,Belgium,,Local Government,60.0,2020.0,
17,17.0,1990.0,,"City of Mouscron, Belgium", The City of Mouscron has committed to reduce its Community emissions by 21% by 1990 compared to 1990 emission level.,GHG emission reduction target,Belgium,,Community,21.0,1990.0,
18,18.0,1990.0,,"City of Mouscron, Belgium", The City of Mouscron has committed to reduce its Local Government emissions by 21% by 1990 compared to 1990 emission level.,GHG emission reduction target,Belgium,,Local Government,21.0,1990.0,
19,19.0,1990.0,,"City of Namur, Belgium", The City of Namur has committed to reduce its Community emissions by 20% by 2020 compared to 1990 emission level.,GHG emission reduction target,Belgium,,Community,20.0,2020.0,
20,20.0,2007.0,3176966.0,"Municipality of Belo Horizonte, Brazil", The Municipality of Belo Horizonte has committed to reduce its Community emissions by 20% by 2030 compared to Baseline scenario (BAU) reduction target emission level.,GHG emission reduction target,Brazil,635393.0,Community,,2030.0,3176966.0
21,21.0,,,"Municipality of Belo Horizonte, Brazil","The Municipality of Belo Horizonte committed to increase its share of renewable energy in final energy mix in Community by 0% by 2030The target is going to be reached by activities in Electricity, Heating & cooling, Transport, Industry and Resíduos sector.",Renewable energy target,Brazil,,,,,
22,22.0,,,"Municipality of Belo Horizonte, Brazil","0% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors20% Energy efficiency improvement by 2030The Municipality of Belo Horizonte committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2007 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",Energy efficiency target,Brazil,,,,,
23,23.0,,,"Municipality of Fortaleza, Brazil",The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its consumption of energy from renewable energy sources in Local Government by 30 MWh by 2030Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors. The Municipality of Fortaleza committed to increase its share of renewable energy in final energy mix in Local Government by 30% by 2030The target is going to be reached by activities in Electricity sectors.,Renewable energy target,Brazil,,,,,
24,24.0,,,"Municipality of Fortaleza, Brazil",0% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 0% by 2030 compared to 2012 levels. This target will be achieved in Electricity sectors60% Energy efficiency improvement by 2030The Municipality of Fortaleza committed to increase its energy efficiency in Final energy and Local Government energy consumption by 60% by 2030 compared to 2012 levels. Final energy energy consumption: 3473943056. 0 MwhThis target will be achieved in Electricity and Industry sectors,Energy efficiency target,Brazil,,,,,
25,25.0,,,"Municipality of Porto Alegre, Brazil",The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in  sectors. The Municipality of Porto Alegre committed to increase its consumption of energy from renewable energy sources in Local Government by 0 MWh by Current consumption of energy from renewable energy source:  MWh The target is going to be reached by activities in Electricity sectors.,Renewable energy target,Brazil,,,,,
26,26.0,,,"Municipality of Porto Alegre, Brazil",100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels. 100% Energy efficiency improvement by 2050The Municipality of Porto Alegre committed to increase its energy efficiency in Primary energy and Local Government energy consumption by 100% by 2050 compared to 2016 levels. This target will be achieved in Electricity sectors,Energy efficiency target,Brazil,,,,,
27,27.0,2012.0,3120426.0,"Municipality of Recife, Brazil", The Municipality of Recife has committed to reduce its Community emissions by 14% by 2017 compared to Baseline scenario (BAU) reduction target emission level.,GHG emission reduction target,Brazil,436859.0,Community,,2017.0,3120426.0
28,28.0,2005.0,,"Municipality of Rio de Janeiro, Brazil", The Municipality of Rio de Janeiro has committed to reduce its Community emissions by 20% by 2020 compared to 2005 emission level.,GHG emission reduction target,Brazil,,Community,20.0,2020.0,
29,29.0,2012.0,1061141.0,"Municipality of Sorocaba, Brazil", The Municipality of Sorocaba has committed to reduce its Community emissions by 20% by 2030 compared to 2012 emission level.,GHG emission reduction target,Brazil,212228.0,Community,,2030.0,848912.0
30,30.0,2005.0,,"Municipality of São Paulo, Brazil", The Municipality of São Paulo has committed to reduce its Community emissions by 30% by 2020 compared to 2005 emission level.,GHG emission reduction target,Brazil,,Community,30.0,2020.0,
31,31.0,1990.0,,"City of Calgary, AB, Canada"," The City of Calgary, AB has committed to reduce its Community emissions by 50% by 2036 compared to 1990 emission level.",GHG emission reduction target,Canada,,Community,50.0,2036.0,
32,32.0,2005.0,,"City of Calgary, AB, Canada"," The City of Calgary, AB has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.",GHG emission reduction target,Canada,,Local Government,20.0,2020.0,
33,33.0,2007.0,,"City of Colwood, Canada", The City of Colwood has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Community,80.0,2050.0,
34,34.0,2007.0,,"City of Colwood, Canada", The City of Colwood has committed to reduce its Local Government emissions by 33% by 2020 compared to 2007 emission level.,GHG emission reduction target,Canada,,Local Government,33.0,2020.0,
35,35.0,2005.0,15900000.0,"City of Edmonton, AB, Canada"," The City of Edmonton, AB has committed to reduce its Community emissions by 35% by 2035 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",GHG emission reduction target,Canada,5565000.0,Community,,2035.0,15900000.0
36,36.0,2008.0,309000.0,"City of Edmonton, AB, Canada"," The City of Edmonton, AB has committed to reduce its Local Government emissions by 50% by 2020 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management and Agriculture, forest and other land use (AFOLU) sectors.",GHG emission reduction target,Canada,154500.0,Local Government,,2020.0,309000.0
37,37.0,,,"City of Edmonton, AB, Canada","The City of Edmonton, AB committed to increase its Installed capacity of Renewable energy in Community to 10 MW by 2035Current Installed capacity of Renewable energy: 2. 54 MW 2019The target is going to be reached by activities in Electricity, Industry and All sectors capable of generating electricity could participate in achieving this target sector.",Renewable energy target,Canada,,,,,
38,38.0,,,"City of Edmonton, AB, Canada","25% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 25% by 2035 compared to 2009 levels. Final energy energy consumption: 29962422. 0 MwhThis target will be achieved in Electricity, Transport, Heating & cooling and Industry sectors0% Energy efficiency improvement by 2035The City of Edmonton, AB committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2035 compared to 2009 levels. Final energy energy consumption: 44980628. 0 MwhThis target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",Energy efficiency target,Canada,,,,,
39,39.0,1990.0,,"City of Fredericton, NB, Canada"," The City of Fredericton, NB has committed to reduce its Community emissions by 6% by 2010 compared to 1990 emission level.",GHG emission reduction target,Canada,,Community,6.0,2010.0,
40,40.0,2000.0,,"City of Fredericton, NB, Canada"," The City of Fredericton, NB has committed to reduce its Local Government emissions by 20% by 2010 compared to 2000 emission level.",GHG emission reduction target,Canada,,Local Government,20.0,2010.0,
41,41.0,2007.0,,"City of Maple Ridge, Canada", The City of Maple Ridge has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Community,80.0,2050.0,
42,42.0,2007.0,,"City of Maple Ridge, Canada", The City of Maple Ridge has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Local Government,80.0,2050.0,
43,43.0,1990.0,,"City of Montréal, QC, Canada"," The City of Montréal, QC has committed to reduce its Community emissions by 30% by 2020 compared to 1990 emission level.",GHG emission reduction target,Canada,,Community,30.0,2020.0,
44,44.0,2002.0,,"City of Montréal, QC, Canada"," The City of Montréal, QC has committed to reduce its Local Government emissions by 30% by 2020 compared to 2002 emission level.",GHG emission reduction target,Canada,,Local Government,30.0,2020.0,
45,45.0,2007.0,,"City of North Vancouver, Canada", The City of North Vancouver has committed to reduce its Community emissions by 50% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Community,50.0,2050.0,
46,46.0,2007.0,,"City of North Vancouver, Canada", The City of North Vancouver has committed to reduce its Local Government emissions by 25% by 2020 compared to 2007 emission level.,GHG emission reduction target,Canada,,Local Government,25.0,2020.0,
47,47.0,2007.0,,"City of Richmond, BC, Canada"," The City of Richmond, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",GHG emission reduction target,Canada,,Community,33.0,2020.0,
48,48.0,2007.0,,"City of Richmond, BC, Canada"," The City of Richmond, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to 2007 emission level.",GHG emission reduction target,Canada,,Local Government,100.0,2012.0,
49,49.0,2009.0,,"City of Surrey, Canada", The City of Surrey has committed to reduce its Local Government emissions by 20% by 2020 compared to 2009 emission level.,GHG emission reduction target,Canada,,Local Government,20.0,2020.0,
50,50.0,2009.0,1002364.0,"City of Thunder Bay, ON, Canada"," The City of Thunder Bay, ON has committed to reduce its Community emissions by 20% by 2020 compared to 2009 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Canada,200472.0,Community,,2020.0,801891.0
51,51.0,2007.0,2850000.0,"City of Vancouver, BC, Canada"," The City of Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",GHG emission reduction target,Canada,2280000.0,Community,,2050.0,570000.0
52,52.0,2008.0,495000.0,"City of Vancouver, BC, Canada"," The City of Vancouver, BC has committed to reduce its Local Government emissions by 50% by 2020 compared to 2008 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Canada,247500.0,Local Government,,2020.0,247500.0
53,53.0,,,"City of Vancouver, BC, Canada","The City of Vancouver, BC committed to increase its consumption of energy from renewable energy sources in Community by 100 MWh by 2050Current consumption of energy from renewable energy source: 31. 0 MWh 2019The target is going to be reached by activities in  sectors. The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 31. 0% 2019The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Community by 100% by 2050Current share of renewable energy in final energy mix: 31. 0% 2019The target is going to be reached by activities in Electricity, Transport, Heating & cooling and Industry sectors.  The City of Vancouver, BC committed to increase its share of renewable energy in final energy mix in Local Government by 100% by 2040Current share of renewable energy in final energy mix: 52. 0% 2019The target is going to be reached by activities in Electricity and Heating & cooling sector.",Renewable energy target,Canada,,,,,
54,54.0,,,"City of Vancouver, BC, Canada","20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels. Final energy energy consumption: 13276000. 0 MwhThis target will be achieved in Electricity and Heating & cooling sectors20% Energy efficiency improvement by 2020The City of Vancouver, BC committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2020 compared to 2007 levels.",Energy efficiency target,Canada,,,,,
55,55.0,2007.0,,"City of Victoria, BC, Canada"," The City of Victoria, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",GHG emission reduction target,Canada,,Community,33.0,2020.0,
56,56.0,2010.0,,"City of Victoria, BC, Canada"," The City of Victoria, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to 2010 emission level.",GHG emission reduction target,Canada,,Local Government,100.0,2012.0,
57,57.0,2004.0,,"City of Yellowknife, Canada", The City of Yellowknife has committed to reduce its Community emissions by 6% by 2014 compared to 2004 emission level.,GHG emission reduction target,Canada,,Community,6.0,2014.0,
58,58.0,2004.0,,"City of Yellowknife, Canada", The City of Yellowknife has committed to reduce its Local Government emissions by 20% by 2014 compared to 2004 emission level.,GHG emission reduction target,Canada,,Local Government,20.0,2014.0,
59,59.0,2007.0,682000.0,"District of Delta, BC, Canada"," The District of Delta, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level. The target is going to be reached by activities in Stationary energy, Transport and Waste management sectors.",GHG emission reduction target,Canada,225060.0,Community,,2020.0,456940.0
60,60.0,2007.0,682000.0,"District of Delta, BC, Canada"," The District of Delta, BC has committed to reduce its Local Government emissions by 20% by 2015 compared to 2007 emission level.",GHG emission reduction target,Canada,225060.0,Local Government,20.0,2015.0,456940.0
61,61.0,2007.0,,"District of North Cowichan, Canada", The District of North Cowichan has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Community,80.0,2050.0,
62,62.0,2007.0,,"District of Saanich, BC, Canada"," The District of Saanich, BC has committed to reduce its Community emissions by 33% by 2020 compared to 2007 emission level.",GHG emission reduction target,Canada,,Community,33.0,2020.0,
63,63.0,2007.0,,"District of Saanich, BC, Canada"," The District of Saanich, BC has committed to reduce its Local Government emissions by 50% by 2020 compared to 2007 emission level.",GHG emission reduction target,Canada,,Local Government,50.0,2020.0,
64,64.0,2007.0,,"District of West Vancouver, Canada", The District of West Vancouver has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Community,80.0,2050.0,
65,65.0,2007.0,,"District of West Vancouver, Canada", The District of West Vancouver has committed to reduce its Local Government emissions by 80% by 2050 compared to 2007 emission level.,GHG emission reduction target,Canada,,Local Government,80.0,2050.0,
66,66.0,2007.0,,"Metro Vancouver, BC, Canada"," The Metro Vancouver, BC has committed to reduce its Community emissions by 80% by 2050 compared to 2007 emission level.",GHG emission reduction target,Canada,,Community,80.0,2050.0,
67,67.0,2007.0,,"Metro Vancouver, BC, Canada"," The Metro Vancouver, BC has committed to reduce its Local Government emissions by 100% by 2012 compared to Baseline scenario (BAU) reduction target emission level.",GHG emission reduction target,Canada,,Local Government,100.0,2012.0,
68,68.0,2009.0,,"Regional Municipality of Waterloo, ON, Canada"," The Regional Municipality of Waterloo, ON has committed to reduce its Local Government emissions by 28% by 2019 compared to Baseline scenario (BAU) reduction target emission level.",GHG emission reduction target,Canada,,Local Government,28.0,2019.0,
69,69.0,2005.0,,"Town of Ajax, Canada", The Town of Ajax has committed to reduce its Community emissions by 6% by 2020 compared to 2005 emission level.,GHG emission reduction target,Canada,,Community,6.0,2020.0,
70,70.0,2005.0,,"Town of Ajax, Canada", The Town of Ajax has committed to reduce its Local Government emissions by 20% by 2020 compared to 2005 emission level.,GHG emission reduction target,Canada,,Local Government,20.0,2020.0,
71,71.0,2006.0,,"Town of Caledon, Canada", The Town of Caledon has committed to reduce its Community emissions by 83% by 2021 compared to 2006 emission level.,GHG emission reduction target,Canada,,Community,83.0,2021.0,
72,72.0,2012.0,1701.0,"Town of Halton Hills, ON, Canada"," The target is going to be reached by activities in Stationary energy, Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",GHG emission reduction target,Canada,255.0,Community,,2019.0,1445.0
73,73.0,2015.0,94299.0,"Municipality of Independencia, Chile", The Municipality of Independencia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy and Waste management sectors.,GHG emission reduction target,Chile,28289.0,Local Government,,2030.0,94299.0
74,74.0,,,"Municipality of Independencia, Chile","The Municipality of Independencia committed to increase its Share of renewable energy in primary energy mix in Community by 30% by 2030The target is going to be reached by activities in Electricity, Heating & cooling and Industry sector.",Renewable energy target,Chile,,,,,
75,75.0,,,"Municipality of Independencia, Chile","30% Energy efficiency improvement by 2030The Municipality of Independencia committed to increase its energy efficiency in Final energy and Community energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 265000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",Energy efficiency target,Chile,,,,,
76,76.0,2011.0,,"Municipality of Lautaro, Chile", The Municipality of Lautaro has committed to reduce its Community emissions by 5% by 2020 compared to 2011 emission level.,GHG emission reduction target,Chile,,Community,5.0,2020.0,
77,77.0,,,"Municipality of Providencia, Chile",The Municipality of Providencia committed to increase its consumption of energy from renewable energy sources in Local Government by 62 MWh by 2016Current consumption of energy from renewable energy source: 477954. 0 MWh 2019The target is going to be reached by activities in Electricity and Heating & cooling sector.,Renewable energy target,Chile,,,,,
78,78.0,,,"Municipality of Providencia, Chile","20% Energy efficiency improvement by 2030The Municipality of Providencia committed to increase its energy efficiency in Final energy and Community energy consumption by 20% by 2030 compared to 2016 levels. Final energy energy consumption: 1256000. 0 MwhThis target will be achieved in Electricity, Heating & cooling and Industry sectors",Energy efficiency target,Chile,,,,,
79,79.0,2015.0,25839483.0,"Municipality of Santiago, Chile", The Municipality of Santiago has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Transport and Waste management sectors.,GHG emission reduction target,Chile,7751844.0,Local Government,,2030.0,25839483.0
80,80.0,,,"Municipality of Santiago, Chile","The Municipality of Santiago committed to increase its Installed capacity of Renewable energy in Local Government to 0 MW by 2030The target is going to be reached by activities in Electricity, Transport, Heating & cooling and residencial, comercio, servicio y municipal sector.",Renewable energy target,Chile,,,,,
81,81.0,,,"Municipality of Santiago, Chile","30% Energy efficiency improvement by 2030The Municipality of Santiago committed to increase its energy efficiency in Final energy and Local Government energy consumption by 30% by 2030 compared to 2015 levels. Final energy energy consumption: 2016726. 0 MwhThis target will be achieved in Electricity, Transport and Heating & cooling sectors",Energy efficiency target,Chile,,,,,
82,82.0,2012.0,2375.0,"Municipality of Valdivia, Chile"," The Municipality of Valdivia has committed to reduce its Local Government emissions by 30% by 2030 compared to Baseline scenario (BAU) reduction target emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",GHG emission reduction target,Chile,712.0,Local Government,,2030.0,2375.0
83,83.0,,,"Municipality of Valdivia, Chile",The Municipality of Valdivia committed to increase its Installed capacity of Renewable energy in Community to 0 MW by 2020The target is going to be reached by activities in Heating & cooling sector.,Renewable energy target,Chile,,,,,
84,84.0,,,"Municipality of Valdivia, Chile",0% Energy efficiency improvement by 2020The Municipality of Valdivia committed to increase its energy efficiency in Primary energy and Community energy consumption by 0% by 2020 compared to 2016 levels. This target will be achieved in Electricity sectors,Energy efficiency target,Chile,,,,,
85,85.0,2005.0,1.0,"Shenzhen Municipal People's Government, China"," The Shenzhen Municipal People's Government has committed to reduce its Community emissions by 0% of per capita/ per GDP emissions by 2020 compared to 2005 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",GHG emission reduction target,China,0.0,Community,,2020.0,1.0
86,86.0,,,"Shenzhen Municipal People's Government, China","The Shenzhen Municipal People's Government committed to increase its Share of renewable energy in primary energy mix in Community by 15% by 2020Current Share of renewable energy in primary energy mix: 75. 9% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sector.",Renewable energy target,China,,,,,
87,87.0,,,"Shenzhen Municipal People's Government, China","0% Energy efficiency improvement by 2020The Shenzhen Municipal People's Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2020 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",Energy efficiency target,China,,,,,
88,88.0,2005.0,64339200.0,"Kaohsiung City Government, Chinese Taipei", The Kaohsiung City Government has committed to reduce its Community emissions by 20% by 2020 compared to Baseline scenario (BAU) reduction target emission level.,GHG emission reduction target,Chinese Taipei,12867840.0,Community,,2020.0,64339200.0
89,89.0,,,"Kaohsiung City Government, Chinese Taipei","The Kaohsiung City Government committed to increase its Installed capacity of Renewable energy in Community to 11 MW by 2030Current Installed capacity of Renewable energy: 3914. 0 MW The target is going to be reached by activities in  sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity, Heating & cooling, Transport and Industry sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors. The Kaohsiung City Government committed to increase its Share of renewable energy in primary energy mix in Community by 11% by 2030Current Share of renewable energy in primary energy mix: 3914. 0% The target is going to be reached by activities in Electricity sectors.",Renewable energy target,Chinese Taipei,,,,,
90,90.0,,,"Kaohsiung City Government, Chinese Taipei","0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors0% Energy efficiency improvement by 2015The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2015 compared to 2005 levels. This target will be achieved in Electricity, Transport and Industry sectors50% Energy efficiency improvement by 2025The Kaohsiung City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 50% by 2025 compared to 2005 levels. Final energy energy consumption: 717894511. 71 Mwh",Energy efficiency target,Chinese Taipei,,,,,
91,91.0,2006.0,18487331.0,"New Taipei City Government, Chinese Taipei"," The New Taipei City Government has committed to reduce its Community emissions by 20% by 2026 compared to 2006 emission level. The target is going to be reached by activities in Stationary energy, Transport, Waste management, Industrial processes and product use (IPPU) and Agriculture, forest and other land use (AFOLU) sectors.",GHG emission reduction target,Chinese Taipei,3697466.0,Community,,2026.0,14789864.0
92,92.0,,,"New Taipei City Government, Chinese Taipei",The New Taipei City Government committed to increase its share of renewable energy in final energy mix in Community by 15% by 2026The target is going to be reached by activities in Electricity and Transport sector.,Renewable energy target,Chinese Taipei,,,,,
93,93.0,,,"New Taipei City Government, Chinese Taipei","0% Energy efficiency improvement by 2025The New Taipei City Government committed to increase its energy efficiency in Final energy and Community energy consumption by 0% by 2025 compared to 2005 levels. This target will be achieved in Electricity, Heating & cooling, Transport and Industry sectors",Energy efficiency target,Chinese Taipei,,,,,
94,94.0,2013.0,4632700.0,"Pingtung County Government, Chinese Taipei"," The Pingtung County Government has committed to reduce its Community emissions by 30% by 2030 compared to 2013 emission level. The target is going to be reached by activities in Stationary energy, Industrial processes and product use (IPPU), Transport, Agriculture, forest and other land use (AFOLU) and Waste management sectors.",GHG emission reduction target,Chinese Taipei,1389810.0,Community,,2030.0,3242890.0
95,95.0,,,"Pingtung County Government, Chinese Taipei",The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors. The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors. The Pingtung County Government committed to increase its Share of renewable energy in primary energy mix in Community by 20% by 2025Current Share of renewable energy in primary energy mix: 4. 0% 2019The target is going to be reached by activities in Electricity sectors.,Renewable energy target,Chinese Taipei,,,,,
