,country,emissions_baseline_year,emissions_factor,energy_consumption_baseline_year,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_heat/cold,mwh_energy_consumption_from_renewables,mwh_energy_consumption_industry,mwh_energy_consumption_municipal,mwh_energy_consumption_other,mwh_energy_consumption_public lighting,mwh_energy_consumption_residential,mwh_energy_consumption_tertiary,mwh_energy_consumption_transport,mwh_per_capita,name,percent_emissions_industry,percent_emissions_municipal,percent_emissions_non-energy related,percent_emissions_other,percent_emissions_public lighting,percent_emissions_residential,percent_emissions_tertiary,percent_emissions_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,percent_energy_consumption_from_heat/cold,percent_energy_consumption_from_renewables,percent_energy_consumption_industry,percent_energy_consumption_municipal,percent_energy_consumption_other,percent_energy_consumption_public lighting,percent_energy_consumption_residential,percent_energy_consumption_tertiary,percent_energy_consumption_transport,tons_co2_industry,tons_co2_municipal,tons_co2_non-energy related,tons_co2_other,tons_co2_per_capita,tons_co2_public lighting,tons_co2_residential,tons_co2_tertiary,tons_co2_transport
16,Spain,2010,IPCC,2010,3826.48,7421.39,,313.23,,270.41,,225.8,,8465.59,2599.3,33.32,AINZÓN,,3.09,,,2.92,,73.96,20.03,33.10,64.19,,2.71,,2.34,,1.95,,73.22,22.48,,104.90512,,,9.79,99.352,,2512.67061,680.46432
17,Spain,2005,IPCC,2005,973.19,7601.3,,,,83.37,0.010000000000204,54.68,1888.28,467.93,6080.23,21.02,AJUNTAMENT D'ARGELAGUER,,0.72,8.48,-0.00,0.28,16.11,3.01,71.39,11.35,88.65,,,,0.97,0.00,0.64,22.02,5.46,70.91,,16.13256,191.28,-0.0034400000000001,5.53,6.39756,363.27338,67.88541,1609.73691
18,Spain,,,,,,,,,,,,,,,,AJUNTAMENT DE GARRIGUELLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Spain,,,,,,,,,,,,,,,,AJUNTAMENT DE TIRVIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Spain,2010,IPCC,2010,194.66,335.68,,13.34,,19.75,,29.6,360.56,,133.78,8.84,ALADREN,,5.31,,,7.96,65.38,,21.36,35.80,61.74,,2.45,,3.63,,5.44,66.32,,24.61,,8.69,,,2.73,13.024,107.01867,,34.95825
21,Spain,,,,,,,,,,,,,,,,ALAQUÀS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Spain,,,,,,,,,,,,,,,,ALBAIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spain,,,,,,,,,,,,,,,,ALBALAT DELS SORELLS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spain,2010,IPCC,2010,308.26,575.62,,23.18,,48.04,,39.03,,626.54,193.45,10.55,ALBERITE DE SAN JUAN,,5.83,,,6.37,,69.01,18.79,33.98,63.46,,2.56,,5.30,,4.30,,69.07,21.33,,15.72097,,,3.13,17.1732,,185.96472,50.62353
25,Spain,2010,IPCC,2010,438.74,865.76,,33.09,,51.1,-1.1368683772162E-13,59.6,895.23,,331.66,8.76,ALBETA,,4.27,,,6.63,67.00,,22.10,32.80,64.73,,2.47,,3.82,-0.00,4.46,66.93,,24.80,,16.908,,,2.66,26.224,265.1686,,87.465
26,Italy,2012,IPCC,2012,114431.84,451438.51,,12515.18,98599.14,6387.02,10938.17,2411.95,163841.85,58223.64,237983.76,23.96,ALBIGNASEGO,19.38,1.23,1.04,1.97,0.59,23.16,11.07,41.55,19.78,78.05,,2.16,17.05,1.10,1.89,0.42,28.33,10.07,41.15,29663.77173,1876.57538,1597,3018.36578,6.34,904.48125,35438.43108,16940.12392,63590.28128
27,Spain,,,,,,,,,,,,,,,,ALBORACHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spain,,,,,,,,,,,,,,,,ALBORAYA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Spain,,,,,,,,,,,,,,,,ALBUIXECH,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Spain,2013,IPCC,2013,617.4,1180.96,,49.64,,230.98,,25.74,1159.8,,431.46,9.32,ALCALA DE MONCAYO,,14.80,,,2.06,62.62,,20.51,33.41,63.90,,2.69,,12.50,,1.39,62.76,,23.35,,81.3744,,,2.85,11.3256,344.24088,,112.76295
31,Spain,2010,IPCC,2010,789,1423.7,,63,,68.7,,73,1705,,429,7.53,ALCALÁ DE EBRO,,3.49,,,4.77,74.95,,16.79,34.67,62.56,,2.77,,3.02,,3.21,74.92,,18.85,,23.479,,,2.29,32.12,504.97,,113.13
32,Spain,,,,,,,,,,,,,,,,ALCASSER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Spain,,,,,,,,,,,,,,,,ALCUBLAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Spain,,,,,,,,,,,,,,,,ALDAIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Greece,2011,IPCC,2011,96371.4,395269.3,,81174.12,,9473.3,,4075,258193.1,32754,268319.4,13.78,ALEXANDRIA,,2.98,,,2.20,46.45,16.76,31.62,16.82,69.00,,14.17,,1.65,,0.71,45.07,5.72,46.84,,6346.0497,,,5.13,4682.175,99068.0048,35744.7802,67446.0894
36,Spain,,,,,,,,,,,,,,,,ALFAFAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Spain,2010,IPCC,2010,5506.1,11199.2,,425,,751.98,,,11479,,,10.38,ALFAMEN,,5.86,,,2.90,67.57,,23.67,32.14,65.38,,2.48,,6.15,,,93.85,,,,295.5229,,,3.13,146.2692,3407.021,,1193.6871
38,Spain,,,,,,,,,,,,,,,,ALFARA DE LA BARONIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Spain,,,,,,,,,,,,,,,,ALFARA DEL PATRIARCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Spain,,,,,,,,,,,,,,,,ALFARRASÍ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Spain,,,,,,,,,,,,,,,,ALFAUIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Spain,2010,IPCC,2010,245.35,450.71,,18.87,,20.74,,27.88,,509.98,156.33,10.21,ALFORQUE,,3.58,,,5.78,,71.34,19.29,34.32,63.04,,2.64,,2.90,,3.90,,71.33,21.87,,7.60493,,,3.03,12.2672,,151.36668,40.92399
43,Spain,,,,,,,,,,,,,,,,ALGAR DE PALANCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Spain,2005,IPCC,2005,1417.58,5547.97,,,,419.93,,64.05,1439.22,519.25,4523.1,14.45,ALGERRI,,8.13,9.97,,1.30,21.45,8.64,50.51,20.35,79.65,,,,6.03,,0.92,20.66,7.45,64.94,,192.32637,235.69,,4.91,30.80805,507.10576,204.32769,1194.38946
45,Spain,,,,,,,,,,,,,,,,ALGIMIA DE ALFARA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Spain,,,,,,,,,,,,,,,,ALMENAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Spain,,,,,,,,,,,,,,,,ALMOINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Spain,2010,IPCC,2010,648.49,1088.2,,44.16,,112.25,,67.79,1193.42,,407.39,6.89,ALMONACID DE LA CUBA,,8.31,,,5.25,62.36,,24.08,36.41,61.11,,2.48,,6.30,,3.81,67.01,,22.88,,47.2275,,,2.25,29.8276,354.21837,,136.78862
49,Spain,2010,IPCC,2010,1767.2,3765.7,,138.88,,385.92,,76.54,3965.94,,1251.24,7.08,ALMONACID DE LA SIERRA,,7.23,,,2.03,70.83,,19.90,31.16,66.39,,2.45,,6.79,,1.35,69.83,,22.03,,119.9074,,,2.12,33.6776,1174.629,,330.048
50,Spain,,,,,,,,,,,,,,,,ALMUSSAFES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Greece,2012,IPCC,2012,58088,171630.7,30432.8,48902.2,,4902,85126,1221,129880.7,16185,71739,16.60,ALMYROS,,3.49,0.00,29.86,0.87,43.68,10.77,11.33,18.80,55.53,9.85,15.82,,1.59,27.54,0.40,42.03,5.24,23.21,,5632.398,0.322,48196.374,8.67,1402.929,70516.6795,17387.343,18290.763
52,Spain,,,,,,,,,,,,,,,,ALMÀSSERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Spain,,,,,,,,,,,,,,,,ALPUENTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Spain,,,,,,,,,,,,,,,,ALZIRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Spain,,,,,,,,,,,,,,,,ANDILLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Italy,2008,IPCC,2008,11709.9,62045.93,,,4070.07,262.56,,613.56,26741.85,2491.71,39576.08,16.23,ANGUILLARA VENETA,8.30,0.40,7.51,,1.25,30.82,4.68,47.04,15.88,84.12,,,5.52,0.36,,0.83,36.26,3.38,53.66,1823.39136,87.38667,1650,,4.83,274.87488,6769.47578,1028.22564,10334.46124
57,Spain,,,,,,,,,,,,,,,,ANNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Belgium,2006,IPCC,2006,93041,654386,,6565,54602,11272,1542,1708,243565,72328,368975,27.60,ANS,7.59,1.28,,0.22,0.25,29.59,9.80,51.27,12.34,86.79,,0.87,7.24,1.49,0.20,0.23,32.30,9.59,48.94,14469.53,2444.442,,413.301,6.98,473.116,56392.044,18677.027,97717.56
59,Italy,2011,IPCC,2011,8680.05,20326.14,,3982.99,,901.67,,615.09,19032.52,8114.99,4324.91,7.68,APPIGNANO,,2.98,,,2.56,50.15,28.43,15.88,26.31,61.61,,12.07,,2.73,,1.86,57.69,24.60,13.11,,205.57439,,,1.61,176.53083,3455.99246,1959.04918,1094.29229
60,Spain,,,,,,,,,,,,,,,,ARAS DE LOS OLMOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Italy,2007,IPCC,2007,95839.93,319223.61,,34451.47,110957.33,3794.06,,1007.15,138690.33,35877.82,159188.32,23.54,AREA SAN PIETRO DI FELETTO - PIEVE DI SOLIGO - REFRONTOLO,30.21,0.90,1.26,,0.38,23.49,9.69,34.07,21.32,71.02,,7.66,24.68,0.84,,0.22,30.85,7.98,35.41,36780.54232,1101.38381,1532.68,,6.38,462.28185,28594.68083,11795.53866,41479.29769
62,Spain,2005,IPCC,2005,3676.59,4503.06,,70.47,124.01,340.84,1236.53,124.31,5623.03,675.48,125.92,11.85,ARENALES DE SAN GREGORIO,1.33,4.56,,13.93,2.04,70.04,6.89,1.21,44.56,54.58,,0.85,1.50,4.13,14.99,1.51,68.16,8.19,1.53,35.5958,122.3761,,373.98998,3.86,54.6964,1879.7903,184.8514,32.55666
63,Spain,,,,,,,,,,,,,,,,ARGANDA DEL REY,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Greece,,,,,,,,,,,,,,,,ARGOS ORESTIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Belgium,,,,,,,,,,,,,,,,ARLON,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Italy,2011,IPCC,2011,7574,28642,,,2528,6536,1418,194,9888,1400,14252,19.66,ARQUA' PETRARCA,10.63,12.68,1.36,3.57,0.88,29.47,6.19,35.21,20.91,79.09,,,6.98,18.05,3.92,0.54,27.30,3.87,39.35,1126.608,1344.438,144,378.606,5.75,93.702,3123.52,655.968,3732.582
67,Italy,2008,IPCC,2008,12719,34822,,,9770,627,2215,241,10716,6319,17653,22.00,ARRE,27.62,1.00,1.51,4.03,0.79,20.92,12.60,31.52,26.75,73.25,,,20.55,1.32,4.66,0.51,22.54,13.29,37.13,4054.907,147.448,222,591.405,6.79,116.403,3071.295,1849.397,4627.635
68,Italy,2008,IPCC,2008,3958,5723,,418,3769,251,,135,3413,1404,1127,11.06,ASIGLIANO VENETO,44.61,2.72,,,1.97,27.10,14.26,9.34,39.19,56.67,,4.14,37.32,2.49,,1.34,33.80,13.90,11.16,1376.123,83.931,,,3.38,60.615,836.038,439.919,288.055
69,Spain,2010,IPCC,2010,201.69,586.19,,13.53,,150.67,1.1368683772162E-13,25.91,365.62,,259.2,6.85,ASIN,,17.76,,,4.99,47.35,,29.90,25.17,73.14,,1.69,,18.80,0.00,3.23,45.62,,32.34,,40.6244,,,1.99,11.4004,108.2921,,68.369
70,Spain,,,,,,,,,,,,,,,,ASPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Greece,,IPCC,2005,10681.131575,5194.2237,1362.43333,,,4816.5,,16.481575,623.2698,809.33333,6410.54,,ASPROPYRGOS,,,,,,,,,61.96,30.13,7.90,,,38.00,,0.13,4.92,6.38,50.57,,,,,,,,,
72,Italy,2011,IPCC,2011,9835,20971,,382,,781,,738,10763,4880,14026,5.81,ASSORO,,2.20,,,2.62,31.55,16.39,47.25,31.53,67.24,,1.22,,2.50,,2.37,34.51,15.65,44.97,,169.953,,,1.44,202.95,2441.688,1268.462,3656.732
73,Spain,2011,IPCC,2011,6523.83,13334.94,,544.23,,691.87,,437.63,,14709.13,4564.37,10.11,ATECA,,3.54,,,3.23,,73.20,20.04,31.97,65.36,,2.67,,3.39,,2.14,,72.09,22.37,,210.99795,,,2.95,192.5572,,4365.81894,1195.14567
74,Italy,2011,IPCC,2011,113863,151039.8,,5925,,3080,,6487,137035,59776,64449.8,4.30,ATS ObiettivoZero - Valle degli Iblei,,1.33,,,3.03,51.04,23.42,21.18,42.04,55.77,,2.19,,1.14,,2.40,50.60,22.07,23.80,,1033.478,,,1.23,2354.781,39611.81,18175.185,16440.8656
75,Spain,,,,,,,,,,,,,,,,ATZENETA D'ALBAIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Belgium,2006,IPCC,2006,74678.06,189703.61,,8236.51,46506.22,5032.47,1757.11,425.36,159811.9,25028.46,34056.66,18.16,AUBANGE,12.69,2.05,,0.81,0.09,60.43,8.16,15.76,27.39,69.59,,3.02,17.06,1.85,0.64,0.16,58.62,9.18,12.49,6971.32098,1127.03103,,446.58978,3.66,49.76712,33197.26462,4482.33828,8660.44751
77,Italy,,,,,,,,,,,,,,,,AVERSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Italy,2006,IPCC,2006,37455,174771,,20870,,4488,,1042,119150,47561,60855,26.06,AVIANO,,1.79,,,0.73,48.83,24.95,23.70,16.07,74.98,,8.95,,1.93,,0.45,51.12,20.40,26.11,,1182.636,,,7.38,479.32,32216.713,16458.795,15638.355
79,Belgium,,,,,,,,,,,,,,,,AWANS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Spain,,,,,,,,,,,,,,,,AYORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,Spain,,,,,,,,,,,,,,,,AYUNTAMIENTO AZUQUECA DE HENARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Spain,2014,IPCC,2014,2054.84,4109.05,,169.82,,258.98,,77.97,,4589.78,1406.98,10.05,AZUARA,,4.91,,,1.85,,73.40,19.84,32.44,64.88,,2.68,,4.09,,1.23,,72.47,22.21,,91.15153,,,2.95,34.3068,,1362.29276,368.31804
83,Germany,1990,IPCC,1990,1342930.1,5548982,178979.9,4352.4,3016509.4,,-4.0E-24,7100,1680915.7,788109.2,1582609.95,21.85,Aachen,41.91,,,0.00,,20.99,7.52,29.58,18.98,78.43,2.53,0.06,42.63,,-0.00,0.10,23.76,11.14,22.37,573475.69962,,,1.4102552086115E-10,5.39,,287150.96124,102917.70252,404685.35136
84,Denmark,1990,IPCC,1990,951430,2163513,1551770,168254,673122,,830109,,1755983,401668,1174085,26.52,Aalborg,19.13,,,17.88,,31.38,10.00,21.61,19.68,44.75,32.09,3.48,13.92,,17.17,,36.32,8.31,24.28,275374.288,,,257308.12,7.90,,451655.896,143883.708,311019.275
85,Norway,2009,IPCC,2009,90000,2000,,15000,,,,,,,,0.05,Aalesund,100.00,,,,,,,,84.11,1.87,,14.02,,,,,,,,152000000,,,,"3,619.05",,,,
86,Belgium,2011,IPCC,2011,374636,1385739,2054,68613,260894,18045,33786,4197,636457,300972,576691,22.61,Aalst,13.37,0.91,,1.87,0.20,31.71,15.20,36.74,20.46,75.68,0.11,3.75,14.25,0.99,1.85,0.23,34.76,16.44,31.50,53137.666,3609.309,,7436.677,4.91,797.43,126046.197,60408.563,146056.874
87,Belgium,2011,IPCC,2011,179491,376969,,32252,148040,11923,15550,1844,259254,88066,64035,20.55,Aarschot,24.42,2.02,,2.94,0.29,44.61,13.88,11.85,30.49,64.03,,5.48,25.15,2.03,2.64,0.31,44.04,14.96,10.88,30055.442,2485.362,,3615.184,4.30,359.58,54911.673,17087.967,14583.845
88,Italy,2003,IPCC,2003,89129.74,280302.85,,,,4365.03,331.78,2485.8,170580.61,63657.52,128011.85,19.90,Abano Terme,,1.06,,0.15,1.13,38.05,28.83,30.78,24.13,75.87,,,,1.18,0.09,0.67,46.17,17.23,34.65,,1132.54261,,160.24974,5.74,1200.6414,40574.53066,30746.58216,32824.99707
89,Spain,2007,IPCC,2007,26277.64,160284.33,,,919.38,4115.97,7.2759576141834E-12,1670.25,24376.67,15109.46,140370.26,19.42,Abanto-Zierbena,0.79,2.29,,,1.44,15.14,11.19,69.14,14.09,85.91,,,0.49,2.21,0.00,0.90,13.07,8.10,75.24,421.99542,1223.05226,,,5.55,766.64475,8070.85273,5966.6308,36850.91338
90,Spain,2008,IPCC,2008,37521,66255,,1004,,1656,,1270,29166,14356,58539,7.99,Abarán,,1.82,,,1.53,32.31,16.93,47.40,35.81,63.23,,0.96,,1.58,,1.21,27.78,13.67,55.76,,580.85,,,2.45,488.95,10299.66,5396.862,15107.748
91,"Palestine, State of",2010,IPCC,2010,19174.3,52935.22,,4805.44,5350.41,481.99,,718,39539.35,4283.22,26541.99,3.05,Abasan Al-Kabira,7.19,0.46,,,1.47,60.52,7.55,22.82,24.93,68.82,,6.25,6.96,0.63,,0.93,51.41,5.57,34.51,2175.39351,139.89191,,,1.20,445.16,18320.35996,2285.26661,6907.04173
92,Italy,2005,IPCC,2005,8354.19,32421.85,,8170,,685.28,,252.67,33168.83,6220.56,8618.71,12.65,Abbadia Lariana,,1.69,,,1.09,55.27,22.20,19.75,17.07,66.24,,16.69,,1.40,,0.52,67.77,12.71,17.61,,189.32848,,,3.48,122.03961,6198.02765,2489.64393,2215.26338
93,Italy,2008,IPCC,2008,837,6543,,,,114,,34,6418,,814,16.66,Abbateggio,,1.47,,,1.02,85.91,,11.61,11.34,88.66,,,,1.54,,0.46,86.96,,11.03,,25.9981,,,4.00,18.054,1521.5602,,205.566
94,Italy,2010,IPCC,2010,107819.79,403893.61,,7038.23,63543.86,9900.14,-4.6E-25,2465.83,289540.91,71294.12,82006.78,16.14,Abbiategrasso,15.86,1.77,,-0.00,0.83,49.63,16.77,15.15,20.78,77.86,,1.36,12.25,1.91,-0.00,0.48,55.81,13.74,15.81,21749.55549,2421.37868,,-1.1861175153172E-11,4.28,1134.2818,68070.31469,23007.21297,20781.6816
95,United Kingdom,2005,IPCC,2005,1413668,4800798,,,1263680,175753,,15968,2199600,931364,1625101,30.71,Aberdeen,21.85,2.55,4.92,0.05,0.46,32.20,16.54,21.43,22.75,77.25,,,20.34,2.83,,0.26,35.41,14.99,26.16,400606.073,46794.306,90228,834,9.06,8510.944,590172.6,303133.987,392818.397
96,United Kingdom,,IPCC,2007,,,,,,180617.786,,15303.896,,,,0.00,Aberdeenshire,,,,,,,,,,,,,,92.19,,7.81,,,,,,,,0.00,,,,
97,Spain,2007,IPCC,2007,4712,16318.17,,460.77,,,8086.52,,,,13404.42,13.41,Abla,7.38,5.85,3.75,8.65,,12.86,7.17,54.33,21.93,75.93,,2.14,,,37.63,,,,62.37,470.7,373.05,239,551.5848,4.22,,819.45,457.2,3463.1224
98,Portugal,2010,IPCC,2010,156397,374847,,26949,83580,20986,0.99999999998822,6967,77253,32890,336516,14.09,Abrantes,16.78,4.11,,-0.00,1.64,15.96,7.45,54.04,28.02,67.15,,4.83,14.97,3.76,0.00,1.25,13.84,5.89,60.29,26318.688,6451.157,,-0.08370000000005,3.96,2570.823,25031.069,11687.8827,84741.267
99,Spain,2005,IPCC,2005,82641,113416.2,,999.9,,4000.8,,1631.5,35066.8,70447.9,85910.1,20.03,Abrera,,1.27,5.27,,1.08,16.30,44.39,31.70,41.94,57.55,,0.51,,2.03,,0.83,17.80,35.75,43.60,,916.9843,3819,,7.36,784.7515,11807.055,32157.9982,22963.0163
100,Italy,2009,LCA,2009,4854.99,17591.64,,4137.14,,5308.46,3.6379788070917E-12,489.6,8056.1,4340,8390,16.43,Abriola,,23.56,2.25,-0.00,2.96,17.48,18.82,34.93,18.26,66.17,,15.56,,19.97,0.00,1.84,30.30,16.33,31.56,,1668.48213,159.12,-3.8926373235881E-13,4.38,209.5488,1237.9211,1332.997,2473.475
101,Spain,2007,IPCC,2007,2804,20159.3,,1082.83,,,9510.65,,,,16452.68,16.72,Abrucena,0.35,1.89,3.24,21.59,,10.50,6.08,56.35,11.66,83.84,,4.50,,,36.63,,,,63.37,23.4,126.45,217.39,1447.9878,4.88,,704.25,407.7,3779.2248
102,Italy,2011,IPCC,2011,35431.4,36553.3,,397.1,6166.9,858.3,22674.6,942.9,18217.6,4372,19149.5,7.56,Acate,10.11,0.42,,15.13,,20.12,1.75,52.46,48.95,50.50,,0.55,8.52,1.19,31.33,1.30,25.17,6.04,26.46,948.4741,39.5427,,1419.2336,0.98,,1887.0561,164.2988,4920.2891
103,Italy,2005,IPCC,2005,3808.86,14055.98,,,1502.99,216.78,,400.2,13756.36,2111.82,1549.39,6.85,Accadia,7.12,1.24,,0.00,4.00,62.76,16.66,8.23,21.32,78.68,,,7.69,1.11,,2.05,70.41,10.81,7.93,344.29646,59.77066,,4.3928594095633E-13,1.85,193.2966,3035.65045,805.58702,398.20875
104,Italy,2009,LCA,2009,3230.6,14921.9,,805.5,58.1,200.1,25.6,63,6779.9,1404.9,10426.4,9.42,Accettura,0.36,0.91,3.10,0.18,0.45,33.36,9.30,52.33,17.04,78.71,,4.25,0.31,1.06,0.14,0.33,35.76,7.41,55.00,21.4049,53.8415,183.61,10.9312,2.94,26.901,1973.8348,550.0108,3096.2618
