,name,country,action_description,language,action_start_year,action_end_year,action_cost,action_website,action_co2_reduction
10,ALBAIDA,Spain,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales. ,,2020,2030,40000,,
11,ALBAIDA,Spain,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,,2020,2030,5000,,
12,ALBAIDA,Spain,La contratación de obras y servicios por parte del Ayuntamiento para que se ejecuten por empresas externas es un ámbito de actuación municipal muy propicio para la promoción de actuaciones de lucha contra el Cambio Climático,,2020,2030,3000,,
13,ALMENAR,Spain,"Perform a hydrogeological study of the municipality in order to assess the availability of groundwater, the opportunities to take advantage of its quality.
The study may consider measures and proposals to obtain available uses for agriculture, livestock or other uses.",,2018,2020,,,
14,ANNA,Spain,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",es,2020,2022,8000,,
15,ANNA,Spain,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios. Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",es,2020,2024,1334,,
16,ANNA,Spain,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",es,2020,2027,406800,,
17,ANNA,Spain,Cuando el municipio sufre episodios de precipitaciones torrenciales pueden existir problemas de drenaje y alcantarillo. En materia de adaptación al Cambio Climático es relevante estudiar el uso de infraestructuras existentes para las descargas de sistemas de pluviales,,2020,2030,40000,,
18,ANNA,Spain,"Para fomentar un uso eficiente del agua en el sector agrícola, se promueve el estudio de incentivos para la implantación de una gestión sostenible del recurso en cultivos de regadío",,2020,2030,25.92,,
19,ANNA,Spain,Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival.,,2020,2030,5000,,
20,AREA SAN PIETRO DI FELETTO - PIEVE DI SOLIGO - REFRONTOLO,Italy,"Installazione di 12 impianti fotovoltaici sulle coperture degli edifici pubblici (3 a San Pietro, 6 aPieve di soligo e 3 a Reforntolo)",it,2007,2020,1145912,,125.65
21,ASPA,Spain,,,2018,2020,,,
22,ASPA,Spain,,,1990,1990,,,
23,ASPA,Spain,,,2018,2020,,,
24,ASPA,Spain,,,2020,2025,,,
25,Administration communale d'Estinnes,Belgium,Mise en place d'actions afin de lutter contre l'érosion : Agro-foresterie / Techniques agricoles	,,2020,2030,555000,,
26,Aggregazione Dro-Roc-Vil,Italy,"Nella P.A. viene istituita una struttura che si relaziona con enti di livello superiore a fini di incentivazione/regolamentazione degli interventi, monitora la realizzazione delle attività programmate all’interno del PAES e svolge funzione di interfaccia verso cittadini ed utenti finali portatori di interessi. Gli obiettivi principali sono:
• Creare un soggetto pubblico innovativo in ambito energetico ambientale che si autofinanzi e che sopperisca alla carenza di risorse umane in forza nei piccoli Comuni;
• Gestire in modo efficace il PAES;
• Gestire in modo oculato gli impianti di produzione energetica da fonti rinnovabili di proprietà pubblica;
• Promuovere interventi di efficientamento con meccanismi di autofinanziamento; 
• Direzionare le politiche energetico-ambientali fino al 2020.

",it,2014,2020,340000,,
27,Ala,Italy,,,2010,2023,,,
28,Ala,Italy,,,2010,2030,,,
29,Ala,Italy,,,2010,2030,,,
30,Ala,Italy,,,2020,2023,,,
31,Albergaria-a-Velha,Portugal,Este projeto constitui um caminho para a construção de um Modelo de Uso Eficiente da Água ajustado às características e especificidades do município,pt,2008,2020,9100,,23
32,Albergaria-a-Velha,Portugal,"Os percursos turísticos, ecológicos e pistas cicláveis na margem do Rio Vouga fazem a ligação entre quatro espaços de convívio e lazer, o Parque do Areal, em Angeja, o Parque da Boca do Carreiro, em Frossos, e o Parque dos Plátanos e Poço do Barreiro, em São João do Loure, num percurso de cerca de 14 Km de extensão.",pt,2008,2020,398432,,25
33,Albergaria-a-Velha,Portugal,No âmbito do projeto de regeneração urbana da Alameda 5 de Outubro foi requalificada a rede de iluminação pública do centro da cidade de Albergaria-a-Velha recorrendo a tecnologia LED.,pt,2008,2020,173834,,190
34,Alken,Belgium,An adviser comes to citizens at home and looks where you can save energy . Finally he gives advise on possible improvements. Afterwards you can get guidance in the implementation of these steps . ,en,2012,2020,,,
35,Alken,Belgium,The town Alken gives grants for the installation of sunboilers and heat pumps.,en,2012,2017,60000,,
36,Alken,Belgium,"""Belgerinkel"" is a yearly evenement in may and the goal is to encourage people to take the bike more often when doing groceries in local shops. The evenement has many local partners. Its good for health but also for the environment. ",en,2012,2016,3000,,
37,Alliste,Italy,,,2007,2019,,,1926
38,Andújar,Spain, Installation of sidewalks.,en,2008,2020,150000,,359.72
39,Andújar,Spain, Installation of a Photovoltaic Power Plant,en,2008,2009,15000000,,1353.93
40,Andújar,Spain,Replacing street lighting luminaire for greater efficiency and other measuresset out in Municipal POE,en,2008,2020,180000,,477.15
41,Annone Veneto,Italy,ED.03: Implementation and execution of PICIL (Public lighting plan redaction)  (40% reduction of electrical consumptions),en,2013,2016,163843,,64
42,Annone Veneto,Italy,CO.03: Green Energy acquisition implementation,en,2013,2015,,,181
43,Annone Veneto,Italy,PT.01: Integrated measures for sustainable mobility ( 5% reduction of consumptions),en,2013,2020,108250,,308
44,Aradippou,Cyprus,The cooperation of 20 local authorities of Cyprus along with the Cyprus Energy Agency for the join procurement of Energy Performance Contracting for the replacement of the existing light fixtures with new more efficient.,en,2016,2017,,,1043
45,Aradippou,Cyprus,An energy audit carried out to the Town Hall and the identified energy efficiency measures were planed for implementation,el,2016,2018,14000,,16
46,Aradippou,Cyprus,"""Smart Industrial City Aradippou"" is an Investment Strategy which focuses on economic development of the territory, simultaneously with the effort to reduce pollutants in order to make the municipality an Intelligent City with almost zero energy balance. This strategy includes three main priorities for investment activity which are Energy, Trade and Land Development.
These priorities are applied in both Residential and Industrial Area of the Municipality",en,2016,2020,, http://www.energy-cities.eu/ ,717
47,Arenys de Munt,Spain,Substitució de l'enllumenat públic a les directrius Llei 6/2001,en,2012,2020,250000,,32.86
48,Arenys de Munt,Spain,Redacció d'un Pla d'Adequació de l'enllumenat públic.,en,2012,2020,5000,,
49,Arenys de Munt,Spain,Projecte EURONET 50-50. Escola Sobirans i Escola Sant Martí,en,2016,2020,14,,9.41
50,Arzignano,Italy,The introduction of new green areas in urban areas can be one of the most effective methods to face the problem of the heat island effect and at the same time improve the quality of urban space by increasing its biodiversity. This can be done with interventions of greater or lesser extent and with a,,2019,2030,,,
51,Arzignano,Italy,"Agriculture is very exposed to the effects of climate change; changes in temperature, prolonged periods of rain or drought, a decrease in water resources and a change in soil quality lead to a decrease in productivity and product quality.
The agricultural sector will therefore increasingly need to i",,2019,2030,,,
52,Arzignano,Italy,"The presence of urban planning instruments that act in view of the reduction of land consumption are functional to the improvement of the quality of urban spaces and to reduce the effects of climate change as it reduces the spread of heat islands, the impoverishment of green or free areas protecting",,2013,2030,,,
53,Arzignano,Italy,"In recent years there has been an increase in extreme rainfall events and an increasing trend is expected in the coming decades. Increased rainfall leads to the manifestation of increasingly frequent flooding.
The Municipality will therefore have to commit itself to reducing the effects of the water",,2017,2030,,,
54,Arzignano,Italy,"The Municipality will undertake to carry out information campaigns on the issue of citizens' health, with the aim of making the population aware of the impacts that climate change can have on urban life and involving local actors to propose new adaptation initiatives.
Awareness campaigns include com",,2017,2030,,,
55,As,Belgium,"Infrax is the grid system operator for 43 cities in Limburg. Since 2010 they provide an Energy Service Company Operation for lokal governments. ESCO is a total package of energy services to improve energy efficiency for buildings owned by local governments. Within these energy services we can address: study to and for implementation for energy saving measures, including pre-financing of these measurements. the different steps in this plan are: attainability study, detailed study, (preliminary design, concept, public tender) implementation, and pre-financing (option). The local authority does not only save money and CO2, but also demonstrates to being a good example for its local people. the energy saving measures will be approached out of broad vision, relighting, building envelope, renewable energy and energy monitoring. ",en,2008,2020,275000, www.infrax.be/nl/over-infrax-energiesector/esco + www.escolimburg2020.be ,
56,As,Belgium,"The city of As promotes the replacement of old Fuel oil tanks with more energy efficient heating systems with a grant they give to remove or fill up inhabitants old Fuel oil tanks. 
And not only does this promote the purchase of a more energy efficient system, it also helps protect the soil and environment as it is obliged to make sure the old tank is either completely cleaned and removed or filled up to environmental friendly standards. ",en,2010,2020,11715.01, www.as.be/leefomgeving/premies_en_subsidies/werwijderen_en_opvullen_van_stookolietanks ,
57,As,Belgium,"Each private owner from Limburg can lend up to 10.000 euro for a variety of energy-efficient material. e.g. (placing high-efficiency glass and windowprofiles, replacing your current heating installation for a more efficient model, improving roof/wall insulation, etc.)

Payback is due within 5 years at the interest rate of 2%. For financially vulnerable families, interest rate is 0%.

Duwolim is the organisation who grants the loans. you do not only get a cheap loan, you also get appropriate, professional advice. 
Until this point, Duwolim has granted about 2000 of these loans.",en,2010,2018,, www.duwolim.be ,
58,Assenede,Belgium,Make climate adaptation an explicit part of the long-term plan,,2019,2030,,,
59,Assenede,Belgium,Systematic use of a climate and sustainability test,,2020,2025,,,
60,Assenede,Belgium,Encouraging more sustainable water use trough standars and frameworks,,2020,2030,,,
61,Assenede,Belgium,Continuation of knowledge acquisition on climate adaptation at het municipal services,,2020,2030,,,
62,Assenede,Belgium,Find new locations for landscaping an study the planting of future trees,,2020,2021,,,
63,Assenede,Belgium,Choose study bureaus based on their references and visions in the context of climate adaption,,2020,2030,,,
64,Assenede,Belgium,Include adaptation concepts in tendering specifications,,2020,2030,,,
65,Assenede,Belgium,Publication of concepts and benefits of adaptation measures among farmers,,2020,2030,,,
66,Assenede,Belgium,Urge water managers to conduct further research and structual measures,,2020,2030,,,
67,Assenede,Belgium,Set guidelines or target values for new of thoroughly renovated municipal buildings,,2019,2030,,,
68,Avigliano,Italy,"La buona esposizione solare del territorio di Avigliano ha consentito un elevato numero di installazioni di impianti fotovoltaici da parte di privati. Complessivamente, al netto degli impianti di proprietà dell’Ente Locale, la potenza installata sul territorio è pari a 5,6 MWp.",it,2010,2012,,,2144
69,Avigliano,Italy,Dai dati acquisti presso l’Ente Locale risulta che sul territorio di Avigliano sono in esercizio degli aerogeneratori dalla fine del 2012 per una potenza complessiva installata sul territorio di ben 6.012 kWp.,it,2010,2012,,,3942
70,Avigliano,Italy,"Il Comune di Avigliano sensibile alla problematica ambientale vuole coinvolgere attivamente la cittadinanza a dare il proprio contributo nella lotta ai cambiamenti climatici, programmando l’intensificazione della raccolta differenziata (al 14% all’anno 2009). Nell’ottica della riqualificazione dei servizi è stato sottoscritto il contratto di appalto del nuovo servizio di smaltimento dei rifiuti solidi urbani.
Al 2014 la percentuale raggiunta dalla raccolta differenziata è del 67% del totale RSU.",it,2011,2020,,,737.1
71,Azzano Mella,Italy,Istituzione Pedibus,en,2011,2020,,,14.342867858275
72,Azzano Mella,Italy,Installazione di impianti fotovoltaici su edifici residenziali,en,2009,2013,832000,,118.716032
73,Azzano Mella,Italy,Sostituzione delle vecchie lampadine ad incandescenza con nuove tecnologie più avanzate,en,2006,2009,16100,,46.7178823496
74,Ašmiany,Belarus,"The PV
pilot plants on municipal buildings will be used as demonstrator for private
investors and citizens to increase the quota of solar thermal and PV panels in
Ashmyany.

Thanks to
the first sub-action, it is planned to support and facilitate the realization
of PV plants by private investors, thanks also to national incentives.",en,2013,2020,, http://e4em.eu/ ,1492
75,BELL-LLOC D'URGELL,Spain,"The creation of the figure of an energetic manager of the equipments answers
to the need to carry a greater control of the energetic consumptions with
the aim to do more efficient in energetic matter the different
municipal equipments. The managing energetic will be the manager to control
the operation of the teams consumers in accordance with the real needs,
fruit of his utilisation and will apply political of saving and reduction of consumptions
where consider that can act .",ca,2018,2020,,,
76,BENIGÁNIM,Spain,"Este programa es la aplicación de la metodología 50/50 en los colegios. Debe ir destinado a sensibilizar a todos los miembros de la comunidad educativa sobre la problemática ambiental de su entorno inmediato, concienciarlos de su responsabilidad individual y colectiva, y buscar la resolución de estos problemas estimulando su participación directa en la mejora de la gestión ambiental de los centros.",es,2020,2022,12500,,
77,BENIGÁNIM,Spain,"Se llevarán a cabo campañas puntuales, que informen sobre la posibilidad de contratación de energía ""verde"" por parte de los usuarios.
Se pretende que el Ayuntamiento beneficie con una reducción parcial de los impuestos municipales para los comercios que compren electricidad procedente de fuentes de energía renovables certificada.",es,2020,2024,1879,,
78,BENIGÁNIM,Spain,"La redacción de un Plan de Movilidad Urbana Sostenible (PMUS) es la herramienta básica de la planificación futura y desarrollo de la gestión de la movilidad sostenible dentro del término municipal. Los objetivos principales son potenciar el transporte sostenible y promover el desplazamiento eficiente, en detrimento del vehículo privado.",es,2020,2027,918000,,
79,BENIGÁNIM,Spain,La contratación de obras y servicios por parte del Ayuntamiento para que se ejecuten por empresas externas es un ámbito de actuación municipal muy propicio para la promoción de actuaciones de lucha contra el Cambio Climático. ,,2020,2030,3000,,
80,BENIGÁNIM,Spain,"Se trata de diseñar un municipio amable que implique mejora de la calidad de vida para la ciudadanía a la vez que atractivo para el visitante. 
Es muy necesario por tanto elaborar un Plan de Sombras en las calles más transitadas y que peor acondicionadas están para la época estival. ",,2020,2030,5000,,
81,Balatonfüred Város Önkormányzata,Hungary,"Launch of cattle breeding
",,1990,1990,2739062,,
82,Balatonfüred Város Önkormányzata,Hungary,"facility development, procurement of equipment to promote, disseminate and publicize natural sciences
",,2013,2014,995000,,
83,Balatonfüred Város Önkormányzata,Hungary,"developing a high-quality cardiology department, performing dental treatments, and performing one-day surgical interventions, adding innovative tourism services, linking them to a service chain, provides the patient with a truly experience-driven health service
",,2013,2016,3000000,,
84,Balatonfüred Város Önkormányzata,Hungary,"health assessment and education of young people through eHealth tools
",,2013,2015,689000,,
85,Balatonfüred Város Önkormányzata,Hungary,"extension of accommodation and services, improvement of health recreation services
",,2014,2015,18750,,
86,Balatonfüred Város Önkormányzata,Hungary,"Innovative generic drug development to prevent certain types of myocardial infarction and cerebrovascular accident
",,2012,2014,562500,,
87,Balatonfüred Város Önkormányzata,Hungary,"Health education and awareness lifestyle programs at the Balatonfüred City Nursery
",,2014,2015,10000,,
88,Balatonfüred Város Önkormányzata,Hungary,"A children's playground, a training course and an extreme adult course with loop training, starting from the top of the existing central building and including an extreme cycling course. The implementation of family-friendly, child-friendly and cycling-friendly services, climate-friendly, innovative",,2013,2015,418750,,
89,Balatonfüred Város Önkormányzata,Hungary,"The development is a four-star hotel with complex accessibility and high quality, attractive nationally and internationally in the Balaton region, which contributes to creating new jobs in the region, raising the quality of life and earning potential, improving the skills of the tourist industry and",,2014,2016,4993750,,
90,Balatonfüred Város Önkormányzata,Hungary,"Area directly affected by the investment: CS-1. and CS-2. drawings in Balatonfüred, due to the terrain, it is a regular problem that the construction of rainwater drainage is incomplete.
",,2015,2015,390625,,
91,Balatonfüred Város Önkormányzata,Hungary,"Implementation of solar system in the buildings of Miklós Radnóti and Loránd Eötvös Primary Schools in Balatonfüred
",,2014,2015,153000,,
92,Balatonfüred Város Önkormányzata,Hungary,"Implementation of solar system at Lóczy Lajos Secondary School
",,2014,2015,100000,,
93,Balatonfüred Város Önkormányzata,Hungary,"Bike tour in the Balaton tourist region.
",,2015,2015,10000,,
94,Balatonfüred Város Önkormányzata,Hungary,"Organization of bicycle tours and camps, geocaching
",,2015,2015,10000,,
95,Balatonfüred Város Önkormányzata,Hungary,"""Állami Szívkórház Balatonfüred
A balatonfüredi Állami Szívkórház betegellátásának fejlesztése az eszközállomány korszerűsítése által""
",,2015,2015,671875,,
96,Balatonfüred Város Önkormányzata,Hungary,"Energy renovation of buildings of Veszprém County Government Office, increase of energy efficiency
",,2015,2016,325000,,
97,Balatonfüred Város Önkormányzata,Hungary,"Hospital to provide nationwide in-patient cardiology care on a state-of-the-art basis, continuously improve the efficiency of hospital care through device development. Within the framework of this project, a total of 20 medical cardiology devices and the purchase of a mobile phone will take place in",,2010,2015,1303125,,
98,Balatonfüred Város Önkormányzata,Hungary,"conversion to farming, maintaining organic farming
",,2016,2016,5000,,
99,Balatonfüred Város Önkormányzata,Hungary,"Intermodal stops for sailing, port development, improved transport infrastructure
",,2016,2018,2201500,,
100,Balatonfüred Város Önkormányzata,Hungary,"""NIF National Infrastructure Development Limited Liability Company
Construction of the Szabadbattyán - Tapolca - Keszthely electric plant around Lake Balaton Preparation and construction of Phase I (Szabadbattyán - Balatonfüred) and phase II. preparation of the pace""
",,2016,2021,,,
101,Balatonfüred Város Önkormányzata,Hungary,"""Cycling Hungary Association
Establishment of Balaton Bicycle Tourist Network, Attractions and Stops - Phase 1""
",,2017,2019,2043751,,
102,Balatonfüred Város Önkormányzata,Hungary,"Development of the tourism infrastructure of Széchenyi Beach in Balatonfüred
",,2017,2019,662070,,
103,Balatonfüred Város Önkormányzata,Hungary,"Development of primary health care in Balatonfüred
",,2017,2020,187500,,
104,Balatonfüred Város Önkormányzata,Hungary,"""VP3-4.2.1-15 - Adding value to agricultural products and promoting resource efficiency in processing
Balatonfüred""
",,2017,2018,10980,,
105,Balatonfüred Város Önkormányzata,Hungary,"Infrastructure development of cultural and community spaces and local community organization in connection with the urban local community development strategy
",,2017,2021,117187,,
106,Balatonfüred Város Önkormányzata,Hungary,"Complex infrastructure developments aimed at improving patient safety at Balatonfüred State Heart Hospital
",,2017,2018,350000,,
107,Balatonfüred Város Önkormányzata,Hungary,"Szabó And Son Ltd. wine technology renewal
",,2017,2022,,,
108,Balatonfüred Város Önkormányzata,Hungary,"Modernization of Figula Winery
",,2017,2019,15895,,
109,Balatonfüred Város Önkormányzata,Hungary,"Product development and resource efficiency improvement at Balogh Winery
",,2017,2019,117054,,
110,Balatonfüred Város Önkormányzata,Hungary,"Starting a winery at Róbert Balogh's primary farmer
",,2017,2019,441892,,
111,Balatonfüred Város Önkormányzata,Hungary,"electric motor ship with a renewable unit charging unit
",,2018,2019,185524,,
112,Balatonfüred Város Önkormányzata,Hungary,"Development of Koronczai Winery's machineries
",,2018,2019,258750,,
113,Balatonfüred Város Önkormányzata,Hungary,"Conversion to organic farming, maintaining organic farming
",,2018,2019,30260,,
114,Balatonfüred Város Önkormányzata,Hungary,,,2017,2025,21500,,
115,Balatonfüred Város Önkormányzata,Hungary,"Conversion to organic farming, maintaining organic farming
",,2018,2019,,,
116,Balatonfüred Város Önkormányzata,Hungary,"Spa development in Balatonfüred
",,2018,2019,12000,,
117,Balatonfüred Város Önkormányzata,Hungary,"Hidden treasures in the Balaton Uplands National Park, integrated product and service development for tourist frequency areas
",,2018,2020,3125000,,
118,Balatonfüred Város Önkormányzata,Hungary,"Development of Balatonfüred Ófalu and development of a new community space
",,2018,2019,1162500,,
119,Balatonfüred Város Önkormányzata,Hungary,"Launch of cattle breeding
",,2018,2022,38791,,
120,Balatonfüred Város Önkormányzata,Hungary,"Development of Balaton bicycletourism service
",,2018,2022,,,
121,Balatonfüred Város Önkormányzata,Hungary,"Improving the climate awareness of the population in Balatonfüred - Adapting to climate change
",,2018,2019,3750000,,
122,Balatonfüred Város Önkormányzata,Hungary,"Development of Balatonfüred precipitation channel network
",,2018,2019,38281,,
123,Balatonfüred Város Önkormányzata,Hungary,"Increasing of green surfaces, water surfaces, operation of vapor gates
",,2019,2030,398437,,
124,Balatonfüred Város Önkormányzata,Hungary,"Improvement of the settlement image, utilization of environmentally friendly building materials, development of green roofs
",,2019,2030,,,
125,Balatonfüred Város Önkormányzata,Hungary,"Establishment of a sewage network capable of carrying heavy rainfall, establishment of dam reservoirs, river bed management
",,2019,2030,,,
126,Balatonfüred Város Önkormányzata,Hungary,"Utilization of renewable energy sources, development and construction of green transport facilities, recreational facilities
",,2019,2030,,,
127,Balatonfüred Város Önkormányzata,Hungary,"Further development and expansion of health services
",,2019,2030,,,
128,Balatonfüred Város Önkormányzata,Hungary,"Training, workshops, climate awareness raising specifically for different age groups in society
",,2019,2030,,,
129,Balatonfüred Város Önkormányzata,Hungary,"aims to develop social and educational institutions by improving quality and efficiency, eliminating communication problems and creating additional services
",,2013,2015,10625,,
130,Baricella,Italy,"The action foresees the construction, in the urban center, of two distributors: one for drinking water, installed in a small architectural structure called the ""House of Water"", and another that provides milk, which is also installed in a facility, the ""House of Milk"". With the activation of these services it intends to achieve several goals: 
- encourage daily use by citizens of water supplied by the aqueduct and milk at 0 km; 
- offer a service with cost € / liter particularly convenient, meeting also the economic needs of families;
- contain the production of waste plastic bottles; 
- promote the concept of sustainable world at km 0; 
- raise citizens awareness to environmental protection; 
- reduce costs for the disposal of PET;
- reduce, consequently, CO2 emissions.",en,2009,2014,40000, http://www.comune.baricella.bo.it/news/pagina158.html ,50
131,Belsito,Italy,illuminazione pubblica,it,1999,1999,1,,
132,Belsito,Italy,Sensibilizzazione,it,1999,1999,1,,
133,Belsito,Italy,Interventi Cospicui,it,1999,1999,1,,
134,Beringen,Belgium,"Elke Limburgse particuliere eigenaar kan tot 10.000 euro ontlenen voor verschillende energiebesparende maatregelen (het plaatsen van hoogrendementsglas en bijhorende raamprofielen, het vervangen van verwarmingsinstallaties door een energiezuinige verwarmingsketel of voor isolatie van dak, kelder en muren. Ook de installatie van een warmtepomp of zonneboiler is mogelijk).

De lening moet worden terugbetaald over vijf jaar, aan een interest van max. 2%. Voor financieel kwetsbare gezinnen bedraagt de interest vanaf mei 2014 0%. 

Duwolim is de organisatie waar je in Limburg voor deze Vlaamse Energielening terecht kan. Je krijgt niet alleen een goedkope lening, maar ook deskundig advies. 
Duwolim verstrekte al bijna 2000 leningen. 
",nl,2014,2020,15525.9, www.duwolim.be ,
135,Beringen,Belgium,"De provincie Limburg steunt het Vlaamse initiatief ‘Energiescans’, dat via Infrax wordt georganiseerd. Een professionele adviseur van Stebo komt bij burgers aan huis en licht de woning door. Hij gaat op zoek naar nutteloos energieverbruik, bekijkt de thermostaat, verwarmingsinstallatie het waterverbruik en de verlichting. Hierna kan de ‘energiescanner’ meteen enkele maatregelen treffen (vb. spaardouchekop). Tenslotte krijgt de burger advies over mogelijke meer ingrijpende maatregelen. Aansluitend kan men begeleiding krijgen bij de uitvoering van deze volgende stappen (o.m. in het kader van een Duwolim-lening). Een gezin kan zo makkelijk 30% besparen op de energiefactuur. De gemeente bepaalt zelf de doelgroep en de adressen waar een energiescan kan worden uitgevoerd. Hiervoor zal er samengewerkt worden met het OCMW, de SOD, de integratiedienst en de KBM die folders en brieven verspieden.",nl,2013,2020,,,
136,Beringen,Belgium,"De stad Beringen heeft vanaf 2012 een overeenkomst tot bruikleen van elektrische voertuigen afgesloten met Infrax . Het gaat hier over een Peugeot Ion en een omgebouwde Ford Transit Connect-Punch. Na een bruikleenperiode kunnen de auto’s aangekocht worden door de gemeente. Dit is al gebeurd bij de Peugeot Ion en zal ook gebeuren bij de Ford Punch in 2016. Aangezien de stroom van de stad Beringen uit 100 % groene stroom bestaat, kan dit voor een aanzienlijke CO2 reductie zorgen.",nl,2013,2020,31350,,
137,Bilzen,Belgium,De provincie Limburg organiseert een samenaankoop voor de levering van aardgas en elektriciteit voor alle Limburgse gemeentebesturen. In het contract wordt voorzien dat er 100% groene stroom wordt geleverd. Door deel te nemen aan deze samenaankoop kunnen gemeentebesturen aan gunstigere voorwaarden voorzien in de energiebehoefte van hun gemeente.,nl,2010,2020,,,
138,Bilzen,Belgium,De stad Bilzen trekt bedrijven aan die elektriciteit willen opwekken uit windenergie. In 2012 werden 2 vergunningen afgeleverd voor het plaatsen van windturbines. Deze werden gebouwd in 2014 en zijn sindsdien operationeel. ,nl,2012,2020,,,
