,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture
12,1.0,1.0,,2010.0,1.0,Water Transportation,Denmark,,Company,A.P. Moller - Maersk,30,Reduce operational CO2e emissions intensity of all business units by 30% per unit specific metric from 2010 to 2020 through increased energy efficiency and tanker retrofits,2020.0,/company/a-p-moller--maersk,,,,,,,,,,,,,,,,,
13,1.0,1.0,,2007.0,1.0,Water Transportation,Denmark,,Company,A.P. Moller - Maersk,60,Reduce the operational CO2e emissions intensity of their Maersk Line business unit by 60% per TEU/kilometer from 2007 to 2020 through increased energy efficiency and tanker retrofits,2020.0,/company/a-p-moller--maersk,,,,,,,,,,,,,,,,,
14,1.0,,1.0,2012.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,67,Reduce direct CO2e emissions at the Brindisi thermoelectric plant by 67% from 2012 to 2017 through use of renewable fuels,2017.0,/company/a2a,,,,,,,,,,,,,,,,,
15,1.0,,,2012.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,,Reduce direct CO2e emissions intensity of the Monfalcone thermoelectric plant by 14.6% per MWh from 2012 to 2020 through advanced exhaust purification technologies,2020.0,/company/a2a,,,,,,,,,,,,,,,,,
16,1.0,,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,48,Reduce CO2e emissions from fuel- and energy-related activities by 48% from 2014 to 2015 through increased energy efficiency,2015.0,/company/a2a,,,,,,,,,,,,,,,,,
17,1.0,,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,33,Reduce direct CO2e emissions from their San Filippo del Mela thermoelectric plant by 33% from 2014 to 2019,2019.0,/company/a2a,,,,,,,,,,,,,,,,,
18,,1.0,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,48,Reduce CO2e emissions from fuel- and energy-related activities by 48% from 2014 to 2015 through increased energy efficiency,2015.0,/company/a2a,,,,,,,,,,,,,,,,,
19,,,,,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,,Use an internal carbon price,,/company/a2a,1.0,,,,,,,,,,,,,,,,
20,1.0,,,1990.0,,,Germany,,City,Aachen,40,Reduce community-wide CO2 emissions by 40% from 1990 to 2020,2020.0,/city/aachen/germany,,,,,,,1.0,1.0,,,,,,,,,
21,1.0,,,2009.0,,,Norway,,City,Aalesund,20,Reduce community-wide CO2e emissions by 20% from 2009 to 2020,2020.0,/city/aalesund/norway,,,,,,,1.0,1.0,,,,,,,,,
22,,1.0,,2005.0,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,40,Reduce operational CO2e emissions by 40% per tonne of product from 2005 to 2020 through increased energy efficiency and renewable energy procurement for their offices,2020.0,/company/ab-anders-lofberg,,,,,,,,,,,,,,,,,
23,1.0,,1.0,,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,,Achieve 100% renewable energy procurement for their coffee roasting facilities in Sweden and Denmark,,/company/ab-anders-lofberg,,1.0,,,,,,,,,,,,,,,
24,1.0,,1.0,2005.0,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,40,Reduce operational CO2e emissions by 40% per tonne of product from 2005 to 2020 through increased energy efficiency and renewable energy procurement for their offices,2020.0,/company/ab-anders-lofberg,,,,,,,,,,,,,,,,,
25,1.0,,,2007.0,,,Spain,,City,Abanto-Zierbena,22,Reduce community-wide CO2e emissions by 22% from 2007 to 2020,2020.0,/city/abanto-zierbena/spain,,,,,,,1.0,1.0,,,,,,,,,
26,1.0,,,2008.0,,,Spain,,City,Abarán,22,Reduce community-wide CO2 emissions by 22% from 2008 to 2020,2020.0,/city/abaran/spain,,,,,,,1.0,1.0,,,,,,,,,
27,1.0,,,2013.0,1.0,Electrical Equipment and Machinery,Switzerland,,Company,ABB,20,Reduce CO2e emissions intensity of direct fuel consumption and use of electricity and district heating for manufacturing processes and operating buildings by 20% per unit of revenue from 2013 to 2020,2020.0,/company/abb,,,,,,,,,,,,,,,,,
28,1.0,,,2010.0,,,Italy,,City,Abbiategrasso,30,Reduce community-wide CO2 emissions by 30% from 2010 to 2020,2020.0,/city/abbiategrasso/italy,,,,,,,1.0,1.0,,,,,,,,,
29,,1.0,1.0,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,40,"Reduce operational CO2e emissions intensity by 40% per unit of revenue from 2010 to 2020 through increased energy efficiency, low-carbon fuels, and solar thermal installations",2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
30,1.0,1.0,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,48,Reduce operational CO2e emissions intensity of Nutrition business unit by 48% per unit revenue from 2010 to 2020 through increased energy efficiency ,2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
31,1.0,1.0,,2014.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,4,Reduce operational CO2e emissions of entire company by 4% from 2014 to 2015 through increased energy efficiency ,2015.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
32,1.0,1.0,,2014.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,2,Reduce operational CO2e emissions of Abbott Diagnostic division by 2% from 2014 to 2015 through increased energy efficiency ,2015.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
33,,,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,30,Reduce total water intake by 30% per unit of revenue from 2010 to 2020,2020.0,/company/abbott-laboratories,,,,,,,,,1.0,,,,,,,,
34,1.0,,,2010.0,1.0,"Healthcare Providers, Services, and Technology",United States of America,,Company,Abbott Laboratories,40,"Reduce operational CO2e emissions intensity by 40% per unit of revenue from 2010 to 2020 through increased energy efficiency, low-carbon fuels, and solar thermal installations",2020.0,/company/abbott-laboratories,,,,,,,,,,,,,,,,,
35,1.0,1.0,,2015.0,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,50,Reduce direct CO2e emissions from Barceloneta Puerto Rico facilities by 50% from 2015 to 2020 through installation of high-efficiency LNG turbines,2020.0,/company/abbvie,,,,,,,,,,,,,,,,,
36,,,1.0,,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,,Supply 50% of total electricity consumption from renewables by 2025 from 4% in 2015,2025.0,/company/abbvie,,,,,,,,,,,,,,,,,
37,1.0,1.0,,2013.0,1.0,"Pharmaceuticals, Biotechnology, and Life Sciences",United States of America,,Company,AbbVie,20,Reduce operational CO2e emissions intensity by 20% per unit of revenue from 2013 to 2020 through increased energy efficiency,2020.0,/company/abbvie,,,,,,,,,,,,,,,,,
38,1.0,1.0,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,17,Reduce biomass process emissions by 17% by 2014 through efficiency processes and investment in CO2 capturing systems in biofuel plants,2014.0,/company/abengoa,,,,,,,,,,,,,,,,,
39,1.0,1.0,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,10,Reduce emissions intensity of purchased goods and services by 10% per metric tonnes CO2e per unit revenue by 2015,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
40,1.0,,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,15,Biannual target focused on reducing biomass process emissions intensity by 15% metric tonnes CO2e per unit revenue through CO2 capturing systems,,/company/abengoa,,,,,,,,,,,,,,,,,
41,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,10,"Reduce CO2e emissions from purchased goods and services, specifically from their supplies, by 10% from 2013 to 2016",2016.0,/company/abengoa,,,,,,,,,,,,,,,,,
42,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,4,Reduce direct CO2e emissions from mobile combustion by 4% from 2013 to 2015 through reduced fuel consumption,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
43,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,3,Reduce CO2e emissions from stationary combustion by 3% from 2013 to 2015 through production process optimization,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
44,1.0,,,2012.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,15,Reduce CO2e emissions intensity of biomass stationary combustion by 15% per unit revenue from 2012 to 2017 through increased process efficiency,2017.0,/company/abengoa,,,,,,,,,,,,,,,,,
45,1.0,1.0,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,3,Reduce CO2e emissions from thermal energy consumption by 3% per unit revenue from 2013 to 2016 through optimization of bioethanol processes,2016.0,/company/abengoa,,,,,,,,,,,,,,,,,
46,1.0,1.0,,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,20,Reduce CO2e emissions across their value chain by 20% from 2013 to 2020 through increased energy efficiency,2020.0,/company/abengoa,,,,,,,,,,,,,,,,,
47,1.0,1.0,1.0,2013.0,1.0,Construction and Engineering,Spain,,Company,Abengoa,7,Reduce CO2e emissions from electricity consumption by 7% from 2013 to 2015 through increased energy efficiency and renewable energy procurement,2015.0,/company/abengoa,,,,,,,,,,,,,,,,,
48,,,,,1.0,Construction and Engineering,Spain,,Company,Abengoa,,Achieve zero deforestation and forest degradation associated with Timber from their direct operations and supply chain,,/company/abengoa,,,,,,,,,,1.0,,,,,,,
49,,,,,1.0,Construction and Engineering,Spain,10.1,Company,Abengoa,,Use an internal carbon price of  USD 10.10,,/company/abengoa,1.0,,,,,,,,,,,,,,,,
50,,1.0,1.0,,,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,630000000.0,Company,Abengoa Greenfield,,"USD 630m green bonds issued for projects in renewable energy, energy efficiency in industry, and sustainable water management internationally",,/company/abengoa-greenfield,,,1.0,1.0,1.0,,,,1.0,,,,,,,,
51,1.0,,,2008.0,,,United Kingdom of Great Britain and Northern Ireland,,City,Aberdeen,42,Reduce community-wide CO2 emissions by 42% from 2008 to 2020,2020.0,/city/aberdeen/united-kingdom-of-great-britain-and-northern-ireland,,,,,,,1.0,1.0,,,,,,,,,
52,1.0,1.0,,2010.0,1.0,"Banks, Diverse Financials, and Insurance",United Kingdom of Great Britain and Northern Ireland,,Investor,Aberdeen Asset Management,20,"Reduce operational CO2e emissions intensity of offices in Singapore, Sydney, Philadelphia, and the UK by 20% per full-time employee from 2010 to 2015 through increased energy efficiency",2015.0,/company/aberdeen-asset-management,,,,,,,,,,,,,,,,,
53,1.0,,,2007.0,,,United Kingdom of Great Britain and Northern Ireland,,Region,Aberdeenshire,20,Reduce community-wide CO2 emissions by 20% from 2007 to 2020,2020.0,/subnational-region/aberdeenshire/united-kingdom-of-great-britain-and-northern-ireland,,,,,,,1.0,1.0,,,,,,,,,
54,1.0,1.0,,2011.0,1.0,"Trading Companies, Distributors, Commercial Services and Supplies",United States of America,,Company,ABM Industries,15,Reduce operational CO2e emissions intensity by 15% per full-time employee from 2011 to 2020 through increased energy efficiency,2020.0,/company/abm-industries,,,,,,,,,,,,,,,,,
55,,,1.0,,,"Banks, Diverse Financials, and Insurance",Netherlands,1120000000.0,Investor,ABN AMRO Bank,,USD 1.12bn green bonds issued for projects in energy efficiency in buildings and renewable energy in Netherlands,,/company/abn-amro-bank,,1.0,1.0,1.0,1.0,,,,,,,,,,,,
56,1.0,,,2010.0,,,Portugal,,City,Abrantes,23,Reduce community-wide CO2 emissions by 23% from 2010 to 2020,2020.0,/city/abrantes/portugal,,,,,,,1.0,1.0,,,,,,,,,
57,1.0,,,2005.0,,,Spain,,City,Abrera,20,Reduce community-wide CO2e emissions by 20% from 2005 to 2020,2020.0,/city/abrera/spain,,,,,,,1.0,1.0,,,,,,,,,
58,1.0,,,2011.0,,,Italy,,City,Acate,20,Reduce community-wide CO2 emissions by 20% from 2011 to 2020,2020.0,/city/acate/italy,,,,,,,1.0,1.0,,,,,,,,,
59,1.0,1.0,,1990.0,1.0,Construction Materials,India,,Company,ACC,35,Reduce operational CO2e emissions intensity by 35% per tonne of product from 1990 to 2017 through increased energy efficiency,2017.0,/company/acc,,,,,,,,,,,,,,,,,
60,1.0,,,,1.0,Software and Services,Ireland,,Company,Accenture,75,Expand its key suppliers who disclose their targets and actions toward emissions reduction to 75% by 2020,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
61,1.0,,,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,50,Reduce emissions intensity across operations by 50% per employee from 2007 to 2020 through energy efficiency and renewable energy procurement,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
62,1.0,1.0,1.0,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,35,Reduce emissions intensity across operations by 35% per employee from 2007 to 2015 through energy efficiency and renewable energy procurement,2015.0,/company/accenture,,,,,,,,,,,,,,,,,
63,,1.0,1.0,2007.0,1.0,Software and Services,Ireland,,Company,Accenture,50,Reduce emissions intensity across operations by 50% per employee from 2007 to 2020 through energy efficiency and renewable energy procurement,2020.0,/company/accenture,,,,,,,,,,,,,,,,,
64,,,,,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Spain,,Company,ACCIONA S.A.,,Set an internal carbon price by 2017,2017.0,/company/acciona-s-a-,1.0,,,,,,,,,,,,,,,,
65,1.0,1.0,1.0,2011.0,1.0,"Hotels, Restaurants, Leisure, and Tourism",France,,Company,Accor,10,"Reduce operational CO2e emissions intensity of owned, leased, and managed hotels by 10% per available room from 2011 to 2015 through increased energy efficiency, building retrofits, and solar thermal installations",2015.0,/company/accor,,1.0,,,,,,,,,,,,,,,
66,,,,,1.0,Containers and Packaging,United States of America,,Company,Accurate Box,,Set an internal carbon price by 2017,2017.0,/company/accurate-box,1.0,,,,,,,,,,,,,,,,
67,1.0,1.0,,2012.0,1.0,"Banks, Diverse Financials, and Insurance",Switzerland,,Investor,Ace Ltd.,10,Reduce CO2e emissions intensity of global operations and some business travel by 10% per full-time employee from 2012 to 2020 through increased energy efficiency,2020.0,/company/ace-ltd-,,,,,,,,,,,,,,,,,
68,1.0,1.0,,2009.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,35,Reduce half of the direct CO2e emissions intensity of their Tor di Valle power plant by 35% per MWh from 2009 to 2018 through energy efficient retrofits,2018.0,/company/acea-spa,,1.0,,,,,,,,,,,,,,,
69,,1.0,,2011.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,25,Reduce CO2e emissions intensity of utilities purchased by their integrated water services business by 25% per unit of supplied water from 2011 to 2018 through increased energy efficiency,2018.0,/company/acea-spa,,,,,,,,,,,,,,,,,
70,1.0,1.0,,2011.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,12,Reduce CO2e emissions from purchased utilities by 12% from 2011 to 2018 through increased energy efficiency,2018.0,/company/acea-spa,,,,,,,,,,,,,,,,,
71,1.0,1.0,,2009.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,ACEA SpA,30,Reduce half of the direct CO2e emissions from their Tor Di Valle power plant by 30% from 2009 to 2018 through increased building energy efficiency and retrofits,2018.0,/company/acea-spa,,1.0,,,,,,,,,,,,,,,
72,1.0,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,20,Reduce emissions from operations by 20% from 2005 by 2020,2020.0,/company/acerinox,,,,,,,,,,,,,,,,,
73,1.0,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,25,Reduce emissions from operations by 25% from 2008 by 2015,2015.0,/company/acerinox,,,,,,,,,,,,,,,,,
74,1.0,1.0,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,20,Reduce emissions intensity in direct operations by 20% by per metric tonnes CO2e per tonne of steel by 2020,2020.0,/company/acerinox,,,,,,,,,,,,,,,,,
75,,,,,1.0,"Mining - Iron, Aluminum, Other Metals",Spain,,Company,ACERINOX,,Use an internal carbon price,,/company/acerinox,1.0,,,,,,,,,,,,,,,,
76,1.0,,,2011.0,,,Italy,,City,Aci Castello,25,Reduce community-wide CO2 emissions by 25% from 2011 to 2020,2020.0,/city/aci-castello/italy,,,,,,,1.0,1.0,,,,,,,,,
77,1.0,,,2011.0,,,Italy,,City,Acireale,24,Reduce community-wide CO2 emissions by 24% from 2011 to 2020,2020.0,/city/acireale/italy,,,,,,,1.0,1.0,,,,,,,,,
78,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce CO2e emissions from purchased utilities by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
79,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce CO2e emissions intensity across their value chain by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
80,1.0,,,2013.0,1.0,Construction and Engineering,Spain,,Company,ACS Actividades de Construccion y Servicios,5,Reduce direct CO2e emissions intensity by 5% per unit revenue from 2013 to 2015,2015.0,/company/acs-actividades-de-construccion-y-servicios,,,,,,,,,,,,,,,,,
81,,,,,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",United States of America,,Company,ACTIVE KNITWEAR RESOURCES INC,,Set an internal carbon price by 2017,2017.0,/company/active-knitwear-resources-inc,1.0,,,,,,,,,,,,,,,,
82,1.0,,,,,,Japan,,City,Adachi City,9,Reduce CO2 emissions from the community by 9% by 2016 based on 2007 levels,2016.0,/city/adachi-city/japan,,,,,,1.0,1.0,,,,,,,,,,
83,1.0,,,2011.0,1.0,Ground Transportation - Highways and Railtracks,United Kingdom of Great Britain and Northern Ireland,,Company,ADDISON LEE PLC,3,Reduce CO2e emissions from waste generated in operations by 3% from 2011 to 2020,2020.0,/company/addison-lee-plc,,,,,,,,,,,,,,,,,
84,1.0,1.0,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,12,Reduce direct CO2e emissions from their business cars by 12% from 2012 to 2022 through increased efficiency and vehicle fleet improvements,2022.0,/company/adecco-sa,,,,,,,,,,,1.0,,,,,,
85,1.0,1.0,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,12,Reduce CO2e emissions from purchased utilities by 12% from 2012 to 2022 through increased energy efficiency,2022.0,/company/adecco-sa,,,,,,,,,,,,,,,,,
86,1.0,,,2012.0,1.0,Professional Services,Switzerland,,Company,Adecco SA,40,Reduce total CO2e emissions across their value chain by 40% from 2012 to 2022,2022.0,/company/adecco-sa,,,,,,,,,,,,,,,,,
87,1.0,,,,1.0,,Australia,,City,Adelaide,100,"Reduce CO2e emissions from municipal stationary energy, transport, and waste by 100% by 2020",2020.0,/city/adelaide/australia,,,,,,,,,,,,,,,,,
88,,,1.0,,1.0,,Australia,,City,Adelaide,,Supply 50% of city-wide electricity demand with renewable sources by 2025,2025.0,/city/adelaide/australia,,,,,,,,,,,,,,,,,
89,1.0,1.0,,2008.0,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",Germany,,Company,adidas AG,30,"Reduce operational CO2e emissions intensity of major office, production, and distribution sites by 30% per square meter from 2008 to 2015 through increased energy efficiency and building retrofits",2015.0,/company/adidas-ag,,1.0,,,,,,,,,,,,,,,
90,1.0,1.0,,2010.0,1.0,"Textiles, Apparel, Footwear, and Luxury Goods",Germany,,Company,adidas AG,21,"Reduce operational CO2e emissions intensity of recently added office, production, and distribution sites by 21% per square meter from 2010 to 2015 through increased energy efficiency and building retrofits",2015.0,/company/adidas-ag,,1.0,,,,,,,,,,,,,,,
91,,,,,1.0,Oil and Gas,United Kingdom of Great Britain and Northern Ireland,,Company,ADLER & ALLAN,,Use an internal carbon price,,/company/adler-allan,1.0,,,,,,,,,,,,,,,,
92,,,,,1.0,Automobiles and Components,Italy,,Company,ADLER PLASTIC SPA,,Set an internal carbon price by 2017,2017.0,/company/adler-plastic-spa,1.0,,,,,,,,,,,,,,,,
93,1.0,,,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",80,Reduce emissions in transportation and product logistics by 80% by 2016 by transitioning to digital distribution of products,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,1.0,,,,,,
94,1.0,1.0,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,"Attain carbon neutrality by 2015 in North American facilitates through energy efficiency, renewable energy procurement and offsets ",2015.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
95,,,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,Acquire 100% of total energy consumption from renewable sources by 2035,2035.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
96,,,1.0,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,Produce 10% of electricity at San Jose headquarters from renewable sources by 2020 from 6% in 2010,2020.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
97,1.0,,,2012.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",20,"Reduce operational CO2e emissions, energy, water, and waste for their large California facilities by 20% from 2012 to 2015 through energy efficient building retrofits, increased waste diversion to landfills, and low-carbon energy purchases",2015.0,"/company/adobe-systems,-inc-",,1.0,,,,,,,,,,1.0,,,,,
98,1.0,,,2013.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",10,Reduce CO2e emissions from employee business travel by 10% from 2013 to 2016,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
99,1.0,,,2015.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",3,Reduce direct CO2e emissions from natural gas at select owned and managed sites by 3% from 2015 to 2016 ,2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
100,1.0,,,2015.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,"Reduce direct CO2e emissions from purchased electricity in select owned and managed sites, excluding data centers, by 3.8% from 2015 to 2016 ",2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
101,1.0,,,2013.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",80,"Reduce CO2e emissions from existing product inventories by 80% from 2013 to 2016 through dematerialization of supply chain and the adoption of a cloud strategy for their products, transitioning to digital downloads",2016.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
102,,1.0,,2012.0,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",20,"Reduce operational CO2e emissions, energy, water, and waste for their large California facilities by 20% from 2012 to 2015 through energy efficient building retrofits, increased waste diversion to landfills, and low-carbon energy purchases",2015.0,"/company/adobe-systems,-inc-",,,,,,,,,,,,,,,,,
103,,,,,1.0,Software and Services,United States of America,,Company,"Adobe Systems, Inc.",,Use an internal carbon price,,"/company/adobe-systems,-inc-",1.0,,,,,,,,,,,,,,,,
104,1.0,,,2009.0,1.0,Air Transportation - Airport Services,France,,Company,ADP (Aeroports de Paris),, Reduce operational CO2e emissions intensity of their facilities by 12.5% per square meter from 2009 to 2015 through increased energy efficiency and renewable energy procurement,2015.0,/company/adp-aeroports-de-paris-,,1.0,,,,,,,,,,,,,,,
105,1.0,,,2009.0,1.0,Air Transportation - Airport Services,France,,Company,ADP (Aeroports de Paris),50,"Reduce CO2e emissions from their airport infrastructures by 50% from 2009 to 2020 , while developing traffic",2020.0,/company/adp-aeroports-de-paris-,,,,,,,,,,,,,,,,,
106,,1.0,,,1.0,Air Transportation - Airport Services,France,,Company,ADP (Aeroports de Paris),,"Improve energy efficiency by 1.5% per year from a base year of 2016 to 2020, which will represent a reduction of about 15% between 2009 and 2020",,/company/adp-aeroports-de-paris-,,,,,,,,,,,,,,,,,
107,,,1.0,,1.0,Air Transportation - Airport Services,France,,Company,ADP (Aeroports de Paris),,Establish the share of renewable energy in final energy consumption of their airports at  15% in 2020,,/company/adp-aeroports-de-paris-,,,,,,,,,,,,,,,,,
