name,country,commitments,submission,year,region,population,sectors,target
Agullana,Spain,2020,2018-11-13				,2016			,"",900,Others; Public lighting; Residential buildings; Transport; Municipal buildings equipment facilities,24%
Agência de energia MédioTejo21,Portugal,2020,2016-10-28				,2014			,"",219465,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,23%
Aielli,Italy,2020,2015-12-03				,2015			,L'Aquila,1448,Transport; Municipal buildings equipment facilities; Residential buildings,22%
Aiguafreda,Spain,2020,2017-11-30				,2013			,"",2505,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others; Local electricity production; Tertiary buildings equipment facilities; Local heat cold production,20%
Airuno,Italy,2020,2016-05-10				,2014			,"",2994,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local heat cold production; Others,20%
Aiud,Romania,2020,2016-05-09				,2012			,Alba,28934,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Local electricity production,20%
Ajuntament d'Espinelves,Spain,2020,2018-01-26				,2015			,"",201,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others; Local electricity production,20%
Akmene district municipality,Lithuania,2020,2016-05-03				,2012			,"",25729,Tertiary buildings equipment facilities; Local heat cold production; Industry; Others; Public lighting; Residential buildings; Local electricity production,22%
Alameda,Spain,2020,2017-10-20				,2011			,"",5426,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Alanis de la Sierra,Spain,2020,2016-07-27				,2012			,"",1900,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,21%
Alba,Italy,2020,2018-08-31				,2014			,Cuneo,31531,Others; Transport; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Industry,21%
Alba Iulia,Romania,2020;2030;ADAPT,2015-02-23				,2011			,Alba,66369,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,24%
Albano Laziale,Italy,2020,2017-02-14				,2013			,"",38997,Others; Transport; Residential buildings; Municipal buildings equipment facilities; Industry; Public lighting,20%
Albano Sant'Alessandro,Italy,2020,2015-10-24				,2012			,"",8075,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings,20%
Albatera,Spain,2020;2030;ADAPT,2016-07-19				,2012			,Alicante / Alacant,12042,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Albiate,Italy,2020,2015-02-10				,2012			,"",5216,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting,20%
Albino,Italy,2020,2017-09-19				,2011			,"",17807,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Local heat cold production; Others,25%
Alboloduy,Spain,2020,2018-11-27				,2011			,"",745,Others; Municipal buildings equipment facilities; Transport; Residential buildings,23%
Albolote,Spain,2020,2018-09-27				,2011			,Granada,18088,Others; Transport; Industry; Residential buildings; Municipal buildings equipment facilities; Local electricity production; Public lighting,25%
Albosaggia,Italy,2020,2015-01-20				,2012			,"",3188,Others; Transport; Residential buildings; Local electricity production; Municipal buildings equipment facilities,20%
Albox,Spain,2020,2018-10-20				,2011			,"",11271,Others; Residential buildings; Transport; Municipal buildings equipment facilities; Local electricity production; Industry; Tertiary buildings equipment facilities; Public lighting,21%
Albuñol,Spain,2020,2018-09-27				,2011			,"",6270,Others; Transport; Municipal buildings equipment facilities; Public lighting; Local electricity production; Local heat cold production,21%
Alcalalí,Spain,2020,2015-11-18				,2011			,Alicante / Alacant,1350,Residential buildings; Municipal buildings equipment facilities; Public lighting; Tertiary buildings equipment facilities; Transport,35%
Alcalá de Guadaíra,Spain,2020,2016-08-02				,2011			,"",72100,Others; Transport; Local electricity production; Residential buildings; Public lighting,20%
Alcalá de los Gazules,Spain,2020,2017-12-14				,2011			,Cádiz,5619,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,65%
Alcalá del Río,Spain,2020,2016-07-27				,2012			,"",9317,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Alcalá del Valle,Spain,2020,2017-12-14				,2011			,Cádiz,5300,Municipal buildings equipment facilities; Residential buildings; Others; Public lighting; Local electricity production,24%
Alcaudete,Spain,2020,2017-11-29				,2011			,"",11164,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,34%
Alcocer de Planes,Spain,2020,2018-01-25				,2011			,Alicante / Alacant,238,Local electricity production; Municipal buildings equipment facilities; Others; Residential buildings; Tertiary buildings equipment facilities; Transport; Public lighting,20%
Alcolea,Spain,2020,2018-10-16				,2011			,"",966,Others; Municipal buildings equipment facilities; Local electricity production; Public lighting; Transport; Residential buildings,20%
Alcolea del Río,Spain,2020,2016-07-27				,2012			,"",3331,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,26%
Alcoleja,Spain,2020,2018-01-25				,2011			,Alicante / Alacant,191,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Alcóntar,Spain,2020,2018-10-16				,2011			,"",647,Others; Transport; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Local electricity production,25%
Aldeire,Spain,2020,2018-10-01				,2012			,"",696,Local electricity production; Transport; Public lighting; Others; Residential buildings; Municipal buildings equipment facilities,20%
Aldeno,Italy,2020,2016-07-25				,2014			,"",3053,Public lighting; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local heat cold production; Others,22%
Alella,Spain,2020,2016-05-05				,2011			,"",9397,Transport; Others; Local electricity production; Municipal buildings equipment facilities; Public lighting; Residential buildings,20%
Alento Montestella,Italy,2020,2016-09-20				,2013			,"",15104,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,28%
Alessandria,Italy,2020;2030;ADAPT,2017-08-11				,2011			,"",85438,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local heat cold production; Public lighting; Others,37%
Alexandroupolis,Greece,2020,2016-11-30				,2013			,"",72750,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Local heat cold production,20%
Alfacar,Spain,2020,2018-09-27				,2012			,"",5508,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities,20%
Alfafara,Spain,2020;2030;ADAPT,2015-11-18				,2012			,Alicante / Alacant,407,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Alfarnatejo,Spain,2020,2017-10-23				,2011			,"",404,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Industry; Others; Public lighting,20%
Alfedena,Italy,2020,2015-12-03				,2015			,L'Aquila,791,Transport; Municipal buildings equipment facilities; Residential buildings; Others,21%
Alfonsine,Italy,2020;2030;ADAPT,2018-11-27				,2013			,"",12411,Local heat cold production; Transport; Public lighting; Municipal buildings equipment facilities; Industry; Residential buildings; Tertiary buildings equipment facilities; Others; Local electricity production,61%
Algar,Spain,2020,2017-12-14				,2011			,Cádiz,1540,Residential buildings; Others; Municipal buildings equipment facilities; Transport; Public lighting,20%
Algarinejo,Spain,2020,2018-09-21				,2011			,"",4184,Others; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities; Local electricity production,21%
Algarrobo,Spain,2020,2017-10-23				,2011			,"",6144,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others,25%
Algatocín,Spain,2020,2017-10-24				,2012			,"",951,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Algeciras,Spain,2020,2017-12-14				,2011			,Cádiz,115333,Tertiary buildings equipment facilities; Others; Municipal buildings equipment facilities; Public lighting; Industry; Local electricity production; Residential buildings; Transport,20%
Algua,Italy,2020,2016-08-04				,2012			,"",722,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Residential buildings; Local heat cold production,73%
Algueña,Spain,2020;2030;ADAPT,2015-11-18				,2012			,Alicante / Alacant,1341,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Algámitas,Spain,2020,2016-07-27				,2012			,"",1330,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,23%
Alhama de Almería,Spain,2020,2018-11-18				,2011			,"",3587,Others; Transport; Residential buildings; Municipal buildings equipment facilities,22%
Alhama de Granada,Spain,2020,2018-09-27				,2011			,"",6214,Others; Local electricity production; Public lighting; Municipal buildings equipment facilities; Transport,20%
Alhaurin el Grande,Spain,2020,2017-10-24				,2011			,"",21776,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Alhaurín de la Torre,Spain,2020,2017-10-24				,2011			,"",37446,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,23%
Alhendín,Spain,2020,2018-09-27				,2011			,"",5200,Others; Local electricity production; Transport; Municipal buildings equipment facilities; Public lighting,21%
Alijó,Portugal,2020,2018-02-16				,2015			,Douro,11840,Municipal buildings equipment facilities; Transport; Local electricity production; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Aljaraque,Spain,2020,2017-07-28				,2011			,"",17960,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Alken,Belgium,2020;2030;ADAPT,2015-05-23				,2012			,"",11242,Municipal buildings equipment facilities; Transport; Tertiary buildings equipment facilities; Others; Industry; Local electricity production; Residential buildings; Public lighting,21%
Alkmaar,Netherlands,2020,2018-12-14				,2018			,Alkmaar en omgeving,288000,Local heat cold production; Others; Tertiary buildings equipment facilities; Residential buildings; Industry; Municipal buildings equipment facilities; Local electricity production,20%
Almada,Portugal,2020;ADAPT,2016-08-25				,2011			,Grande Lisboa,165991,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry,22%
Almadén de la Plata,Spain,2020,2016-07-27				,2012			,"",1696,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Industry; Local heat cold production; Others; Residential buildings,46%
Almargen,Spain,2020,2017-10-24				,2011			,"",2106,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Almegíjar,Spain,2020,2018-09-27				,2011			,"",435,Others; Residential buildings; Municipal buildings equipment facilities; Local electricity production; Transport,20%
Almenno San Bartolomeo,Italy,2020,2015-10-26				,2013			,"",5388,Others; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Local heat cold production; Residential buildings; Public lighting; Transport; Local electricity production,21%
Almenno San Salvatore,Italy,2020,2015-02-27				,2012			,"",5789,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,23%
Almensilla,Spain,2020,2016-08-02				,2011			,"",5096,Others; Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local electricity production,22%
Almería,Spain,2020,2018-10-15				,2011			,"",175000,Others; Local electricity production; Municipal buildings equipment facilities,23%
Almese,Italy,2020,2015-02-03				,2011			,Torino,6378,Transport; Local electricity production; Municipal buildings equipment facilities; Others; Public lighting; Tertiary buildings equipment facilities; Residential buildings,29%
Almonte,Spain,2020,2017-07-28				,2011			,"",21782,Others; Transport; Local electricity production; Tertiary buildings equipment facilities; Public lighting; Municipal buildings equipment facilities; Industry,21%
Almoradí,Spain,2020;2030;ADAPT,2016-03-15				,2011			,Alicante / Alacant,20542,Municipal buildings equipment facilities; Residential buildings; Public lighting; Transport; Others; Tertiary buildings equipment facilities; Local electricity production,20%
Almáchar,Spain,2020,2017-10-24				,2011			,"",1898,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,23%
Almè,Italy,2020,2015-05-22				,2013			,"",5631,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,21%
Almócita,Spain,2020,2018-08-28				,2011			,"",158,Local electricity production; Others; Transport; Residential buildings; Public lighting; Municipal buildings equipment facilities,22%
Alozaina,Spain,2020,2017-10-24				,2011			,"",2236,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,21%
Alpandeire,Spain,2020,2017-11-03				,2011			,"",271,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Alpens,Spain,2020,2015-11-17				,2011			,"",311,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others; Local electricity production,20%
Alquería de Aznar,Spain,2020,2015-11-18				,2011			,Alicante / Alacant,527,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Alter do Chão,Portugal,2020,2015-06-19				,2013			,"",3591,Transport; Residential buildings; Public lighting; Municipal buildings equipment facilities,33%
Altivole,Italy,2020,2018-12-18				,2016			,Treviso,6828,Local electricity production; Municipal buildings equipment facilities; Public lighting; Residential buildings; Transport; Tertiary buildings equipment facilities; Others,25%
Alto Agordino,Italy,2020,2018-08-30				,2016			,Belluno,3869,Local electricity production; Transport; Residential buildings; Public lighting; Municipal buildings equipment facilities; Tertiary buildings equipment facilities,20%
Alto e Medio Metauro,Italy,2020,2017-12-28				,2015			,"",8337,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,30%
Alvaiázere,Portugal,2020,2015-02-12				,2011			,Pinhal Litoral,8112,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Residential buildings; Local electricity production,20%
Alvesta,Sweden,2020,2015-01-30				,2011			,"",18757,Others; Local electricity production; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting,34%
Alzano Lombardo,Italy,2020,2015-01-30				,2012			,"",13757,Others; Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Tertiary buildings equipment facilities; Local heat cold production,20%
Amaroussion,Greece,2020;2030;ADAPT,2015-10-19				,2012			,"",72480,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Ambivere,Italy,2020,2016-02-09				,2013			,"",2371,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Amiens,France,2030;ADAPT,2018-11-28				,2018			,Somme,132727,Others; Local heat cold production; Local electricity production; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Industry; Public lighting,40%
Amurrio,Spain,2020,2015-12-17				,2013			,"",10121,Local heat cold production; Others; Municipal buildings equipment facilities; Residential buildings; Transport; Public lighting; Tertiary buildings equipment facilities; Local electricity production,26%
Anadia ,Portugal,2020;ADAPT,2017-10-11				,2015			,Baixo Vouga,29150,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,21%
Angera,Italy,2020,2015-02-23				,2013			,"",5694,Public lighting; Local heat cold production; Industry; Others; Local electricity production; Tertiary buildings equipment facilities; Transport; Municipal buildings equipment facilities; Residential buildings,20%
Anguillara Sabazia,Italy,2020,2014-11-27				,2012			,"",18256,Transport; Others; Industry; Local electricity production; Public lighting; Residential buildings; Municipal buildings equipment facilities,20%
Annicco,Italy,2020,2015-02-23				,2013			,"",2097,Local electricity production; Transport; Others; Residential buildings; Municipal buildings equipment facilities; Public lighting; Local heat cold production; Industry; Tertiary buildings equipment facilities,20%
Anogia,Greece,2020,2017-03-08				,2014			,"",2507,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,20%
Antas de Almería,Spain,2020,2018-10-15				,2011			,"",3223,Others; Municipal buildings equipment facilities; Transport; Public lighting; Residential buildings,23%
Antequera,Spain,2020,2017-11-03				,2011			,"",44032,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Antwerp,Belgium,2020;2030;ADAPT,2019-04-09				,2011			,"",512000,Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Local electricity production; Public lighting; Industry; Transport; Local heat cold production; Others,20%
Anversa degli Abruzzi,Italy,2020,2015-12-03				,2015			,L'Aquila,368,Local electricity production; Residential buildings; Public lighting,22%
Aprilia,Italy,2020,2016-05-26				,2013			,Latina,70349,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,28%
Aracena,Spain,2020,2018-09-28				,2011			,"",7612,Municipal buildings equipment facilities; Residential buildings; Transport; Others; Local heat cold production; Public lighting; Tertiary buildings equipment facilities; Local electricity production,29%
Arad,Romania,2020,2017-02-23				,2012			,"",172827,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,23%
Arahal,Spain,2020;2030;ADAPT,2015-04-23				,2011			,Sevilla,19585,Public lighting; Others; Municipal buildings equipment facilities; Transport; Local electricity production,21%
Aranjuez,Spain,2020,2016-12-22				,2014			,"",58000,Others; Public lighting; Residential buildings; Municipal buildings equipment facilities; Transport; Industry,20%
Arboleas,Spain,2020,2018-10-16				,2011			,"",3904,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities,27%
Arbúcies,Spain,2020,2016-04-05				,2014			,"",6713,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,22%
Arcene,Italy,2020,2017-11-28				,2013			,"",4767,Transport; Residential buildings; Public lighting; Others; Municipal buildings equipment facilities; Local electricity production; Tertiary buildings equipment facilities,20%
Archidona,Spain,2020,2017-11-08				,2011			,"",8500,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,27%
Arcore,Italy,2020,2019-02-13				,2013			,"",17838,Municipal buildings equipment facilities; Residential buildings; Public lighting; Transport; Local electricity production; Others,22%
Arcos de Valdevez,Portugal,2020,2015-02-23				,2012			,"",22586,Others; Tertiary buildings equipment facilities; Residential buildings; Municipal buildings equipment facilities; Transport; Public lighting; Industry,20%
Arcos de la Frontera,Spain,2020,2018-02-07				,2011			,Cádiz,29905,Transport; Municipal buildings equipment facilities; Others; Local electricity production; Public lighting,31%
Ardales,Spain,2020,2017-11-09				,2011			,"",2600,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Areatza,Spain,2020,2015-11-24				,2012			,"",1036,Others; Residential buildings; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Local electricity production; Transport; Public lighting,39%
Arenas,Spain,2020,2017-11-09				,2011			,"",1411,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,20%
Arenas del Rey,Spain,2020,2018-09-27				,2011			,"",2202,Others; Local electricity production; Transport; Public lighting; Residential buildings; Municipal buildings equipment facilities,21%
Arendonk,Belgium,2020,2018-08-23				,2015			,Arr. Turnhout,12894,Others; Industry; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Municipal buildings equipment facilities; Local electricity production; Transport,20%
Arenys de Mar,Spain,2020,2017-03-24				,2011			,"",14685,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Arese,Italy,2020,2015-02-20				,2011			,"",19056,Municipal buildings equipment facilities; Others; Tertiary buildings equipment facilities; Industry; Residential buildings; Public lighting; Local heat cold production,20%
Argentona,Spain,2020,2017-03-27				,2014			,"",11944,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,21%
Ariccia,Italy,2020,2015-03-10				,2012			,"",18381,Transport; Municipal buildings equipment facilities; Residential buildings; Public lighting; Industry; Others,26%
Arluno,Italy,2020,2017-02-06				,2013			,"",9815,Others; Public lighting; Municipal buildings equipment facilities; Transport; Local electricity production,22%
Armamar,Portugal,2020,2018-02-16				,2015			,Douro,6258,Others; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry,20%
Armilla,Spain,2020;2030;ADAPT,2018-10-01				,2011			,Granada,15404,Others; Local electricity production; Transport; Public lighting; Municipal buildings equipment facilities,20%
Armuña de Almanzora,Spain,2020,2018-10-15				,2011			,"",333,Others; Local electricity production; Transport; Public lighting; Municipal buildings equipment facilities; Residential buildings,30%
Arosio,Italy,2020,2016-02-12				,2014			,"",4964,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Others,20%
Arsago Seprio,Italy,2020,2015-02-11				,2013			,"",4888,Residential buildings; Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Industry; Local heat cold production; Others,20%
Artés,Spain,2020,2015-11-23				,2012			,"",5433,Transport; Residential buildings; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Local electricity production; Public lighting; Others; Local heat cold production,25%
Arzago d’Adda,Italy,2020,2015-11-06				,2012			,"",2811,Transport; Residential buildings; Others; Tertiary buildings equipment facilities; Public lighting; Municipal buildings equipment facilities; Local electricity production,23%
As,Belgium,2020;2030;ADAPT,2015-05-12				,2013			,"",7785,Others; Residential buildings; Transport; Public lighting; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Local electricity production,21%
Ascó,Spain,2020,2015-11-23				,2011			,"",1602,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,20%
Asenovgrad,Bulgaria,2020,2015-11-06				,2013			,"",59953,Municipal buildings equipment facilities; Residential buildings; Others; Local electricity production; Industry; Local heat cold production; Public lighting; Transport,28%
Asolo,Italy,2020,2017-07-21				,2013			,"",9311,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting,22%
Aspe,Spain,2020;2030;ADAPT,2015-11-23				,2012			,Alicante / Alacant,20537,Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Public lighting; Others; Residential buildings,20%
Associazione Intercomunale Conca Tolmezzina,Italy,2020,2015-03-02				,2014			,Udine,13510,Local heat cold production; Public lighting; Others; Municipal buildings equipment facilities; Local electricity production; Residential buildings; Transport; Tertiary buildings equipment facilities,20%
Associazione Intercomunale Terre Estensi,Italy,2020;2030;ADAPT,2016-05-17				,2013			,Ferrara,141673,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Local heat cold production; Others,25%
Atajate,Spain,2020,2017-11-09				,2011			,"",154,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Ateleta,Italy,2020,2015-12-03				,2015			,L'Aquila,1157,Transport; Local electricity production; Municipal buildings equipment facilities; Residential buildings; Public lighting; Others,22%
Averara,Italy,2020,2016-08-05				,2012			,"",196,Transport; Local electricity production; Municipal buildings equipment facilities; Public lighting; Residential buildings; Local heat cold production,97%
Avezzano,Italy,2020,2016-10-18				,2015			,L'Aquila,41239,Transport; Local electricity production; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Others; Public lighting,20%
Avigliana,Italy,2020,2014-07-29				,2010			,"",11908,Others; Transport; Municipal buildings equipment facilities; Tertiary buildings equipment facilities; Residential buildings; Public lighting; Industry; Local electricity production,20%
Avio,Italy,2020,2016-04-08				,2014			,"",4160,Local electricity production; Public lighting; Residential buildings; Tertiary buildings equipment facilities; Transport; Municipal buildings equipment facilities; Industry,21%
Avis,Portugal,2020,2015-06-22				,2012			,"",4559,Transport; Municipal buildings equipment facilities; Public lighting,28%
