,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency
11,"Advocates for the Environment, Inc.",1.2036233783874195e-05,2.956751586680184e-06,3.0175112897268264e-06,0.2129519283771515,2.3008446078165434e-05,4.3524291868379805e-06,6.241326627787203e-05,0.0925854966044426,0.01913132704794407,0.04354928806424141,6.636998296016827e-05,1.2372022865747567e-05,0.0002511426864657551,0.583631694316864,0.03136197850108147,0.016283493489027023,2.9328305117815034e-06,6.417487747967243e-05,14,Non-governmental organizations,Mr. Dean Wallraff,Shadow Hills,United States of America,Constituency - Environmental
12,Africa Centre for Citizens Orientation,1.5511264791712165e-05,3.810407179116737e-06,3.888709215971176e-06,0.002079132478684187,0.0059903389774262905,5.609036634268705e-06,0.00901193916797638,0.00017838671919889748,0.07348398864269257,0.3034426271915436,0.08715403825044632,0.007259655743837357,0.11606631428003311,0.28002089262008667,0.08714127540588379,0.02805611677467823,3.7795798562001437e-06,8.270787657238543e-05,10,Non-governmental organizations,Mr. Peter Olugbenga Adeleye,Kurudu,Nigeria,Constituency - Environmental
13,Africa Youths International Development Foundation,1.9293187506264076e-05,4.739452833746327e-06,4.836846073885681e-06,0.0003439899592194706,3.6880828702123836e-05,6.976620170462411e-06,0.22301115095615387,0.00022111821454018354,0.025936106219887733,0.22674478590488434,0.06257327646017075,1.9831431927741505e-05,0.035410527139902115,0.3097171187400818,0.11115497350692749,0.004686818458139896,4.701108991866931e-06,0.0001028719125315547,14,Non-governmental organizations,Mr. Tunji John Asaolu,Abuja,Nigeria,Constituency - Youth
14,African Centre for Technology Studies,0.03629862889647484,1.7790607671486214e-06,1.81561961198895e-06,0.000126276834635064,1.3844052773492876e-05,2.6188322408415843e-06,0.003857366507872939,8.35144892334938e-05,0.08732832223176956,0.007440896704792976,0.14069701731204987,7.444176844728645e-06,0.00015270579024218023,0.18966293334960938,0.5212833881378174,0.002718455856665969,1.764667558745714e-06,0.010321258567273617,15,Non-governmental organizations,Mr. Kennedy Liti Mbeva,Nairobi,Kenya,Constituency - Environmental
15,African Centre of Meteorological Application for Development,1.2065694136254024e-05,2.9639884360221913e-06,3.024897068826249e-06,0.00021563537302426994,0.0009674489847384393,4.363082098279847e-06,6.25688408035785e-05,0.01371804904192686,0.03628537803888321,0.0020693333353847265,0.09896542131900787,1.2402304491843097e-05,0.14344751834869385,0.26145440340042114,0.14023275673389435,0.3000762164592743,2.9400089260889217e-06,0.0024675149470567703,16,Intergovernmental organizations,Ms. Safia Alfa,Niamey,Niger,
16,African Climate Change Research Centre,6.844919425930129e-06,1.6814833543321583e-06,1.7160369907287532e-06,0.03071288950741291,1.3084738384350203e-05,2.4751950604695594e-06,0.09594982117414474,0.0166285689920187,0.053463853895664215,0.0023292386904358864,0.058937426656484604,7.0358805714931805e-06,0.00016411276010330766,0.42564406991004944,0.2913439869880676,0.024754993617534637,1.6678795873303898e-06,3.649627979029901e-05,14,Non-governmental organizations,Mr. Nura Jibo,Dutse,Nigeria,Constituency - Research and independent
17,African Development Bank Group,1.100561894418206e-05,2.703576456042356e-06,2.7591336220211815e-06,0.016323519870638847,2.1038324121036567e-05,3.979747816629242e-06,0.005729293916374445,0.004250902216881514,0.00023215627879835665,0.03705282136797905,0.36742058396339417,1.1312655260553584e-05,0.021143976598978043,0.147640198469162,0.21296824514865875,0.07150476425886154,2.6817037905857433e-06,0.11567801982164383,11,Intergovernmental organizations,Ms. Louise Helen Brown,Tunis,Tunisia,
18,African Forest Forum,7.763506800984032e-06,1.9071381984758773e-06,1.946329120983137e-06,0.00013504258822649717,1.4840708900010213e-05,2.807366172419279e-06,0.26571422815322876,9.019641584018245e-05,0.00017161024152301252,0.04801950603723526,0.1014750599861145,7.98009477875894e-06,0.034994952380657196,0.0398026742041111,0.40182363986968994,0.10769257694482803,1.891708848233975e-06,4.139335214858875e-05,15,Non-governmental organizations,Mr. Godwin Kowero,Nairobi,Kenya,Constituency - Environmental
19,African Union Commission,2.5037095383595442e-06,6.150468152554822e-07,6.276857220655074e-07,0.02603050321340561,0.001036216737702489,9.053678127202147e-07,0.00830658059567213,0.016256099566817284,0.0038938713259994984,0.11878753453493118,0.2708481550216675,2.5735585040820297e-06,0.1862681806087494,0.09629172831773758,0.027627915143966675,0.2446320503950119,6.100708560552448e-07,1.3350335393624846e-05,11,Intergovernmental organizations,Mr. Harsen Nyambe Nyambe,Addis Ababa,Ethiopia,
20,African Wildlife Foundation,0.03966853767633438,1.167611003438651e-06,1.1916049516003113e-06,0.15576985478401184,9.085956662602257e-06,1.718759335744835e-06,0.07571994513273239,5.514394069905393e-05,0.0643119290471077,0.01863209344446659,0.10760703682899475,4.8856695684662554e-06,0.002176125766709447,0.4117349088191986,0.0064601111225783825,0.10994615405797958,1.1581646504055243e-06,0.007898952811956406,14,Non-governmental organizations,Mr. Charly Facheux,Nairobi,Kenya,Constituency - Environmental
21,"African, Caribbean and Pacific Group of States",0.002558482810854912,1.0176441946896375e-06,1.0385563200543402e-06,0.11822295188903809,7.918964911368676e-06,1.498003484812216e-06,2.1482355805346742e-05,0.005496982019394636,0.0018255808390676975,0.03654734045267105,0.3545795977115631,4.258158696757164e-06,0.026545418426394463,0.03434750437736511,0.05978749319911003,0.3567502796649933,1.0094111075886758e-06,0.003300088457763195,16,Intergovernmental organizations,Mr. Israel Olusola Ojo,Brussels,Belgium,
22,Agriconsulting S.p.A.,8.468647138215601e-06,2.080358626699308e-06,2.123109197782469e-06,0.00015547277871519327,1.6188652807613835e-05,3.062352107008337e-06,0.061250485479831696,0.01745862513780594,0.031395699828863144,0.08881717920303345,0.007096169050782919,8.704906576895155e-06,0.0001729992509353906,0.15179656445980072,0.11807128041982651,0.3993135690689087,2.063527972495649e-06,0.12442924827337265,16,Non-governmental organizations,Mr. Giorgio Andreoli,Rome,Italy,Constituency - Business and Industry
23,Air and Waste Management Association,9.024344763020054e-06,2.216868324467214e-06,2.2624237772106426e-06,0.012045487761497498,1.725092442939058e-05,3.2632981401548022e-06,4.6792756620561704e-05,0.06876625120639801,0.15030576288700104,9.351802873425186e-05,4.9760179535951465e-05,9.276107448386028e-06,0.25796744227409363,0.32116755843162537,0.13416332006454468,0.05430677533149719,2.1989330889482517e-06,0.0010418030433356762,14,Non-governmental organizations,Ms. Stephanie Glyptis,Pittsburgh,United States of America,Constituency - Environmental
24,All China Environment Federation,7.940826435515191e-06,1.950697424035752e-06,1.9907831756427186e-06,0.0001423905632691458,1.5179671208898071e-05,2.871486458388972e-06,0.025848405435681343,0.015334868803620338,0.0032309137750416994,0.04338288679718971,0.006806140299886465,8.162361154973041e-06,0.0016089249402284622,0.11082307994365692,0.17204628884792328,0.6206937432289124,1.934915644596913e-06,4.234064545016736e-05,16,Non-governmental organizations,Ms. Xiaoyi Gao,Beijing,China,Constituency - Environmental
25,All India Women’s Conference,0.011471429839730263,5.9342019085306674e-06,6.056146958144382e-06,0.1202952116727829,4.6177963668014854e-05,8.735327355680056e-06,0.00012526201317086816,0.010927855037152767,0.027461180463433266,0.1235148012638092,0.00013320923608262092,2.483065691194497e-05,0.5489116311073303,0.14821377396583557,0.008147388696670532,0.0005718658794648945,5.886191956960829e-06,0.00012879868154413998,13,Non-governmental organizations,Mrs. Sheela Kakde,Delhi,India,
26,Alliance to Save Energy,5.4219935918808915e-06,1.3319354366103653e-06,1.359306111226033e-06,9.628107363823801e-05,1.0364674380980432e-05,1.9606500245572533e-06,2.811275771819055e-05,0.5804747343063354,0.01637996733188629,0.012088160961866379,2.9897651984356344e-05,5.573257112700958e-06,0.000116031696961727,0.3514419496059418,0.0391666553914547,0.00012191963469376788,1.3211597433837596e-06,2.8910773835377768e-05,8,Non-governmental organizations,Ms. Laura Van Wie McGrory,Washington,United States of America,Constituency - Business and Industry
27,Amazon Environmental Research Institute,2.5678677047835663e-05,6.308075171546079e-06,6.43770317765302e-06,0.027465438470244408,4.9087320803664625e-05,9.28568078961689e-06,0.10209118574857712,0.0326245054602623,0.00618936400860548,0.29214245080947876,0.00014161902072373778,2.639506601553876e-05,0.0032388227991759777,0.15426868200302124,0.37393707036972046,0.007634495850652456,6.257040695345495e-06,0.00013693698565475643,15,Non-governmental organizations,Ms. Gabriela Savian,Belem,Brazil,Constituency - Environmental
28,Amazon Institute of People and the Environment,2.5367160560563207e-05,6.231549832591554e-06,6.35960532235913e-06,0.000476539513329044,4.8491827328689396e-05,0.18042100965976715,0.16371457278728485,0.00029372473363764584,0.05271150544285774,0.10182205587625504,0.00013989863509777933,2.607485839689616e-05,0.21137501299381256,0.17258107662200928,0.06677800416946411,0.03918774425983429,6.181134267535526e-06,0.010380154475569725,13,Non-governmental organizations,Sra. Brenda Brito do Carmo,Belém,Brazil,Constituency - Research and independent
29,Amazon Watch,5.653019343299093e-06,1.3886880196878337e-06,1.4172248938848497e-06,0.255731999874115,1.0806303180288523e-05,2.0441914330149302e-06,0.012538600713014603,0.037249621003866196,0.0017396898474544287,0.16827616095542908,3.1172505259746686e-05,5.810727998323273e-06,0.00014009566802997142,0.5130847692489624,0.00011672497930703685,0.003981651738286018,1.3774530316368327e-06,0.007080993615090847,14,Non-governmental organizations,Mr. Andrew Miller,San Francisco,United States of America,Constituency - Environmental
30,American Anthropological Association,8.995772986963857e-06,2.2098492991062813e-06,2.2552608243131544e-06,0.06727882474660873,1.7196305634570308e-05,3.2529662803426618e-06,4.6643621317343786e-05,0.00010367730283178389,0.30134761333465576,0.19795101881027222,4.9609709094511345e-05,9.246738045476377e-06,0.2350032478570938,0.14914782345294952,0.02661757357418537,0.022360675036907196,2.19197090700618e-06,4.796545545104891e-05,9,Non-governmental organizations,Ms. Julie Raymond,Arlington,United States of America,Constituency - Environmental
31,American Chemical Society,5.618330760626122e-06,1.3801665090795723e-06,1.408528305546497e-06,0.00010106407717103139,1.0739992831076961e-05,2.031647682088078e-06,2.9132821509847417e-05,0.01399469655007124,0.3649882674217224,5.839360164827667e-05,3.0980503652244806e-05,5.775071713287616e-06,0.022118275985121727,0.3583252429962158,0.06241185590624809,0.1539834439754486,1.3690005289390683e-06,0.023930322378873825,9,Non-governmental organizations,Mr. James C. Maxwell,Washington DC,United States of America,Constituency - Research and independent
32,American Federation of Labor and Congress of Industrial Organizations,5.2340437832754105e-06,1.2857648243880249e-06,1.3121867823429056e-06,0.3731992840766907,1.000539032247616e-05,1.8926854181700037e-06,0.008225459605455399,0.05747804790735245,0.09349699318408966,0.04025932028889656,2.8863176339655183e-05,5.380064067139756e-06,0.19969119131565094,0.20650061964988708,0.00010831611143657938,0.010326684452593327,1.2753625924233347e-06,0.010658820159733295,4,Non-governmental organizations,Mr. Brad Markell,Washington,United States of America,Constituency - ENGO
33,American Sustainable Business Council,4.3390832615841646e-06,1.0659140343705076e-06,1.0878180773943313e-06,0.07697772979736328,8.294585313706193e-06,1.5690583268224145e-06,2.2501082639792003e-05,0.04748006537556648,0.04035994037985802,4.504161552176811e-05,2.3926877474877983e-05,4.460135642148089e-06,0.0449172779917717,0.37622177600860596,0.2842884361743927,0.00011213014659006149,1.0572904329819721e-06,0.12952937185764313,14,Non-governmental organizations,Mr. Michael Green,Washington DC,United States of America,Constituency - Business and Industry
34,American University,3.6259370972402394e-06,8.907267101676553e-07,9.090307457881863e-07,0.18910162150859833,6.931335974513786e-06,1.3111771295371e-06,1.8801285477820784e-05,0.009016809053719044,0.6125630736351013,0.005088071804493666,0.06322356313467026,3.7270940538292052e-06,0.004072208423167467,0.0668439194560051,7.547659333795309e-05,0.03960195556282997,8.835204425849952e-07,0.010376226156949997,9,Non-governmental organizations,Ms. Sikina Jinnah,Washington,United States of America,Constituency - Research and independent
35,American University of Beirut,7.863204700697679e-06,1.931629412865732e-06,1.9713233996299095e-06,0.03412836045026779,1.5031290786282625e-05,2.8434178602765314e-06,0.004176246467977762,0.00283952453173697,0.5189670920372009,0.006535083521157503,0.03913304954767227,8.082573913270608e-06,0.31454774737358093,0.01252326462417841,0.00015778343367855996,0.06298377364873886,1.916001792778843e-06,0.003968475852161646,9,Non-governmental organizations,Ms. Rana El Hajj,Beirut,Lebanon,Constituency - Research and independent
36,Amnesty International,4.456058377400041e-06,1.0946495194730232e-06,1.117144051931973e-06,0.18242032825946808,0.006622314453125,1.6113577885334962e-06,0.0018737096106633544,5.148850323166698e-05,0.005677890498191118,0.25040435791015625,0.01097610779106617,4.580374479701277e-06,0.18255768716335297,0.2882545292377472,9.552561823511496e-05,0.07102836668491364,1.085793428501347e-06,2.375867188675329e-05,14,Non-governmental organizations,Mr. Ashfaq Khalfan,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent
37,An Organization for Socio-Economic Development,0.024708377197384834,1.2238657518537366e-06,1.2490155540945125e-06,0.01521442923694849,9.523711923975497e-06,1.801568032533396e-06,2.5835335691226646e-05,0.014417266473174095,0.012971245683729649,0.1845305860042572,0.11235380172729492,5.1210577112215105e-06,0.015481492504477501,0.39852792024612427,0.19011282920837402,0.023734988644719124,1.2139641967223724e-06,0.007901090197265148,14,Non-governmental organizations,Mr. Shamim Arfeen,Khulna,Bangladesh,Constituency - Environmental CAN
38,Antarctic and Southern Ocean Coalition,0.24772389233112335,5.821473223477369e-06,5.941101790085668e-06,0.18180832266807556,4.530074875219725e-05,8.569388228352182e-06,0.014093201607465744,0.006337359081953764,0.04441189020872116,0.052514076232910156,0.02085283026099205,2.4358963855775073e-05,0.0005130842910148203,0.3996502757072449,0.00046253702021203935,0.03141045942902565,5.77437594984076e-06,0.00012634975428227335,14,Non-governmental organizations,Ms. Claire Christian,"Washington, DC",United States of America,Constituency - Environmental
39,Architecture 2030 Inc.,4.518379682849627e-06,1.109959043787967e-06,1.1327681477268925e-06,0.031744685024023056,8.637328392069321e-06,1.6338938166882144e-06,2.34289782383712e-05,0.32883888483047485,0.07713247090578079,4.6789991756668314e-05,2.4915521862567402e-05,4.644434284273302e-06,0.038466453552246094,0.10583090782165527,0.34125953912734985,0.07658501714468002,1.1009790341631742e-06,2.409251464996487e-05,15,Non-governmental organizations,Mr. Tighe Glennon Lanning,Santa Fe,United States of America,Constituency - Environmental
40,Arizona State University,3.0467529086308787e-06,7.484476896024717e-07,7.638279271304782e-07,0.22357946634292603,5.824168511026073e-06,1.1017380074918037e-06,0.0012473879614844918,0.007088061422109604,0.5962425470352173,0.012650931254029274,0.002344252075999975,3.1317517823481467e-06,0.008669877424836159,0.12370752543210983,7.051241846056655e-05,0.02436785027384758,7.423925012517429e-07,1.6245419828919694e-05,9,Non-governmental organizations,Mr. Daniel Bodansky,Glendale,United States of America,Constituency - Research and independent
41,"Asheville-Buncombe Sustainable Community Initiatives, Inc.",6.6020766098517925e-06,1.6218278915403062e-06,1.6551556427657488e-06,0.12495499104261398,1.2620519555639476e-05,2.387380618529278e-06,3.42382954841014e-05,0.08864708989858627,0.08756754547357559,0.006600955035537481,3.640792419901118e-05,6.786262474633986e-06,0.0003563373757060617,0.5387856364250183,0.10388229787349701,0.017100704833865166,1.6087067251646658e-06,0.032000500708818436,14,Non-governmental organizations,Ms. Virginie Fayolle,Asheville,United States of America,Constituency - Environmental
42,Asia Indigenous Peoples Pact Foundation,9.673252861830406e-06,2.3762752334732795e-06,2.425106458758819e-06,0.0001718456478556618,1.849137515819166e-05,3.4979502743226476e-06,0.03820011392235756,0.00011111973435617983,0.00023223832249641418,0.5195663571357727,0.04322689771652222,9.943119039235171e-06,0.13788938522338867,0.1239534392952919,0.13470187783241272,0.00184638483915478,2.3570503344672034e-06,5.1578263082774356e-05,10,Non-governmental organizations,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,Constituency - Indigenous peoples
43,"Asia Pacific Forum on Women, Law and Development",2.1157793526072055e-05,5.197500740905525e-06,5.304307251208229e-06,0.0003629376005847007,4.0445207559969276e-05,7.650881343579385e-06,0.00010970680887112394,0.000240844048676081,0.00042615190614014864,0.5223739743232727,0.05554338917136192,2.174805740651209e-05,0.030840501189231873,0.25048962235450745,0.12026076763868332,0.01913263276219368,5.155451162863756e-06,0.00011281600018264726,10,Non-governmental organizations,Ms. Kavita Naidu,Chiangmai,Thailand,Constituency - Women and Gender
44,Asia-Europe Foundation,5.439098913484486e-06,1.3361375295062317e-06,1.36359449243173e-06,9.346400474896654e-05,1.0397373443993274e-05,1.966835498024011e-06,2.8201426175655797e-05,6.218402268132195e-05,0.016459887847304344,0.00940049160271883,0.05659082159399986,5.590839919022983e-06,0.15550754964351654,0.15366172790527344,0.21350347995758057,0.39463573694229126,1.3253277302283095e-06,2.9001077564316802e-05,16,Non-governmental organizations,Ms. Grazyna Pulawska,Singapore,Singapore,Constituency - Research and independent
45,Asian Development Bank,0.0018868513870984316,2.010826392506715e-06,2.0521479200397152e-06,0.08991120755672455,1.5647576219635084e-05,2.959998255391838e-06,0.001084695104509592,0.029182353988289833,0.07151281833648682,0.004367079120129347,0.18768873810768127,8.413960131292697e-06,0.23671109974384308,0.06499964743852615,0.011167950928211212,0.04840262234210968,1.994558033402427e-06,0.25305184721946716,18,Intergovernmental organizations,Ms. Preety Malhotra Bhandari,Mandaluyong City,Philippines,
46,Asian Institute of Technology,9.399750524607953e-06,2.3090883587428834e-06,2.3565389710711315e-06,0.010256686247885227,1.7968550309888087e-05,3.399049091967754e-06,4.874400110566057e-05,0.00010857742745429277,0.414378821849823,0.05327827110886574,0.03855089843273163,9.661986950959545e-06,0.005371677223592997,0.07959224283695221,0.23287183046340942,0.15602360665798187,2.290407110194792e-06,0.009471273049712181,9,Non-governmental organizations,Mr. Said Irandoust,"Pathumthani, Bangkok",Thailand,Constituency - ENGO
47,Asian Pacific Resource and Resource Centre for Women,1.9460072508081794e-05,4.780448762176093e-06,4.878684649156639e-06,0.0003593779110815376,3.7199846701696515e-05,7.036967417661799e-06,0.00010091601143358275,0.00022255582734942436,0.03709923103451729,0.4307010769844055,0.07835797220468521,2.00029735424323e-05,0.10341012477874756,0.2479672133922577,0.09215754270553589,0.009422085247933865,4.741773409477901e-06,0.00010375960118835792,10,Non-governmental organizations,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia,Constituency - Women and Gender
48,Asian Resource Foundation,0.0020890701562166214,4.497930149227614e-06,4.590360731526744e-06,0.0028662653639912605,0.19104932248592377,6.621091415581759e-06,9.494701953371987e-05,0.0002088641922455281,0.047653015702962875,0.2855437994003296,0.07375133037567139,1.882082324300427e-05,0.12169976532459259,0.22228598594665527,0.023708811029791832,0.028912244364619255,4.461540356714977e-06,9.763117122929543e-05,10,Non-governmental organizations,Mr. Mohammad Abdus Sabur,Bangkok,Thailand,Constituency - Research and independent
49,Asociacion para la Naturaleza y Desarrollo Sostenible,4.267105759936385e-05,1.0482325706107076e-05,1.069773225026438e-05,0.0007333559333346784,8.156993135344237e-05,1.5430305211339146e-05,0.30669233202934265,0.00048721343046054244,0.05551436170935631,0.2049240916967392,0.00023529253667220473,4.3861506128450856e-05,0.0009240953950211406,0.3339785933494568,0.06236698850989342,0.03370107337832451,1.039751987264026e-05,0.00022750945936422795,14,Non-governmental organizations,Mr. Alejandro Argumedo,Cusco,Peru,Constituency - Indigenous peoples
50,Asociación AK Tenamit,6.942043000890408e-06,1.7053420151569298e-06,1.740385982884618e-06,0.06979967653751373,1.3270398994791321e-05,2.5103158804995473e-06,0.08804026991128922,0.004725833423435688,0.13161732256412506,0.25201529264450073,3.8280526496237144e-05,7.13571353117004e-06,0.05794409289956093,0.3953736126422882,0.0001458971091778949,0.00022771861404180527,1.6915453215915477e-06,3.7015262932982296e-05,14,Non-governmental organizations,Mr. Stephen Dudenhoefer,Izabal,Guatemala,Constituency - Indigenous peoples
51,Asociación Ambientalista SUSTENTA,7.977806490089279e-06,1.9597816844907356e-06,2.0000543372589163e-06,0.07706785947084427,0.0017402202356606722,2.884858986362815e-06,4.137035284657031e-05,0.03589813783764839,0.05115214362740517,0.22755828499794006,0.005145533476024866,8.200372576538939e-06,0.0021548389922827482,0.370572030544281,0.10429244488477707,0.11374679207801819,1.943926463354728e-06,0.010605351068079472,14,Non-governmental organizations,Mr. Jesus Martinez Linares,Chiclana,Spain,Constituency - Environmental
52,Asociación Ambiente y Sociedad,7.397883109661052e-06,1.8173210492022918e-06,1.8546661522123031e-06,0.00613298499956727,1.4141782230581157e-05,2.6751524728751974e-06,0.007272056769579649,8.581738802604377e-05,0.0505460761487484,0.49160149693489075,4.0797462133923545e-05,7.604270194860874e-06,0.0011718273162841797,0.1500183641910553,0.2510717809200287,0.018858537077903748,1.802618385227106e-06,0.02316298894584179,10,Non-governmental organizations,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,Constituency - Environmental CAN
53,Asociación Civil Oikos,0.00018875146633945405,4.636759331333451e-05,4.7320423618657514e-05,0.05308894068002701,0.11839575320482254,6.825452146586031e-05,0.0009787158342078328,0.002141412114724517,0.0042581274174153805,0.48616841435432434,0.0010412202682346106,0.00019401729514356703,0.19584760069847107,0.12759771943092346,0.0044036684557795525,0.004481406882405281,4.599246312864125e-05,0.0010062918299809098,10,Non-governmental organizations,Mr. Eric Chavez,Lima,Peru,Constituency - Environmental
54,Asociación Cluster de Industrias de Medio Ambiente de Euskadi,1.9623097614385188e-05,4.82049654237926e-06,4.919555522064911e-06,0.019368553534150124,0.011647436767816544,7.095919045241317e-06,0.00010174828639719635,0.2015705108642578,0.027766814455389977,0.26275867223739624,0.00010820040915859863,2.017054612224456e-05,0.00528777064755559,0.05098668485879898,0.09468867629766464,0.31180858612060547,4.781496954819886e-06,0.013844928704202175,16,Non-governmental organizations,Sra. Begoña Castillo,Bilbao,Spain,Constituency - Business and Industry
