name,entity_type
Office of the United Nations High Commissioner for Refugees,United Nations Secretariat units and bodies
Secretariat of the Convention on Biological Diversity,United Nations Secretariat units and bodies
Secretariat of the United Nations Convention to Combat Desertification,United Nations Secretariat units and bodies
UN Global Compact,United Nations Secretariat units and bodies
UNEP/AEWA Secretariat,United Nations Secretariat units and bodies
UNEP/EUROBATS,United Nations Secretariat units and bodies
United Nations Capital Development Fund,United Nations Secretariat units and bodies
United Nations Children's Fund,United Nations Secretariat units and bodies
United Nations Conference on Trade and Development,United Nations Secretariat units and bodies
United Nations Department of Public Information,United Nations Secretariat units and bodies
United Nations Development Programme,United Nations Secretariat units and bodies
United Nations Economic Commission for Europe,United Nations Secretariat units and bodies
United Nations Economic Commission for Latin America and the Caribbean,United Nations Secretariat units and bodies
United Nations Entity for Gender Equality and the Empowerment of Women,United Nations Secretariat units and bodies
United Nations Environment Programme,United Nations Secretariat units and bodies
United Nations Human Settlements Programme,United Nations Secretariat units and bodies
United Nations Institute for Training and Research,United Nations Secretariat units and bodies
United Nations Joint Inspection Unit,United Nations Secretariat units and bodies
United Nations Office for Disaster Risk Reduction,United Nations Secretariat units and bodies
United Nations Office for Outer Space Affairs,United Nations Secretariat units and bodies
United Nations Office for Project Services,United Nations Secretariat units and bodies
United Nations Regional Information Centre,United Nations Secretariat units and bodies
United Nations System Staff College,United Nations Secretariat units and bodies
United Nations University - Institute for Environment and Human Security,United Nations Secretariat units and bodies
United Nations Volunteers,United Nations Secretariat units and bodies
World Food Programme,United Nations Secretariat units and bodies
Comprehensive Nuclear-Test-Ban Treaty Organization,Specialized agencies and related organizations
Food and Agriculture Organization of the United Nations,Specialized agencies and related organizations
Global Environment Facility,Specialized agencies and related organizations
Green Climate Fund,Specialized agencies and related organizations
Intergovernmental Oceanographic Commission,Specialized agencies and related organizations
International Atomic Energy Agency,Specialized agencies and related organizations
International Civil Aviation Organization,Specialized agencies and related organizations
International Fund for Agricultural Development,Specialized agencies and related organizations
International Labour Organization,Specialized agencies and related organizations
International Maritime Organization,Specialized agencies and related organizations
International Monetary Fund,Specialized agencies and related organizations
International Organization for Migration,Specialized agencies and related organizations
International Telecommunication Union,Specialized agencies and related organizations
"United Nations Educational, Scientific and Cultural Organization",Specialized agencies and related organizations
United Nations Industrial Development Organization,Specialized agencies and related organizations
WMO/UNEP Intergovernmental Panel on Climate Change,Specialized agencies and related organizations
World Bank,Specialized agencies and related organizations
World Health Organization,Specialized agencies and related organizations
World Intellectual Property Organization,Specialized agencies and related organizations
World Meteorological Organization,Specialized agencies and related organizations
World Trade Organization,Specialized agencies and related organizations
Adaptation Fund Board,Intergovernmental organizations
African Centre of Meteorological Application for Development,Intergovernmental organizations
African Development Bank Group,Intergovernmental organizations
African Union Commission,Intergovernmental organizations
"African, Caribbean and Pacific Group of States",Intergovernmental organizations
Amazon Cooperation Treaty Organization,Intergovernmental organizations
Asian Development Bank,Intergovernmental organizations
Black Sea Trade and Development Bank,Intergovernmental organizations
CAB International,Intergovernmental organizations
Caribbean Community Climate Change Centre,Intergovernmental organizations
Caribbean Community Secretariat,Intergovernmental organizations
Caribbean Development Bank,Intergovernmental organizations
Center for International Forestry Research,Intergovernmental organizations
Centro del Agua del Trópico Húmedo para América Latina y el Caribe,Intergovernmental organizations
CGIAR System,Intergovernmental organizations
Comité permanent inter-états de lutte contre la sécheresse au Sahel,Intergovernmental organizations
Commonwealth Secretariat,Intergovernmental organizations
Convention on Wetlands of International Importance especially as Waterfowl Habitat,Intergovernmental organizations
Cooperation Council for The Arab States of the Gulf,Intergovernmental organizations
Corporación Andina de Fomento,Intergovernmental organizations
Council of Europe,Intergovernmental organizations
East African Community,Intergovernmental organizations
Economic Community of Central Africa States,Intergovernmental organizations
Economic Community of West African States,Intergovernmental organizations
ECOWAS Regional Centre for Renewable Energy and Energy Efficiency,Intergovernmental organizations
Energy Charter Conference,Intergovernmental organizations
European Bank for Reconstruction and Development,Intergovernmental organizations
European Forest Institute,Intergovernmental organizations
European Investment Bank,Intergovernmental organizations
European Patent Office,Intergovernmental organizations
European Space Agency,Intergovernmental organizations
European University Institute,Intergovernmental organizations
Global Green Growth Institute,Intergovernmental organizations
IGAD Climate Prediction and Applications Centre,Intergovernmental organizations
Institut International du Froid,Intergovernmental organizations
Inter-American Development Bank,Intergovernmental organizations
Inter-American Institute for Global Change Research,Intergovernmental organizations
International Centre for Integrated Mountain Development,Intergovernmental organizations
International Centre for Research in Agroforestry,Intergovernmental organizations
International Energy Agency,Intergovernmental organizations
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations
International Network for Bamboo and Rattan,Intergovernmental organizations
International Potato Center,Intergovernmental organizations
International Renewable Energy Agency,Intergovernmental organizations
"International Transport Forum, Organisation for Economic Co-operation and Development",Intergovernmental organizations
International Tropical Timber Organization,Intergovernmental organizations
International Union for Conservation of Nature,Intergovernmental organizations
International Water Management Institute,Intergovernmental organizations
Islamic Development Bank,Intergovernmental organizations
ITER International Fusion Energy Organization,Intergovernmental organizations
League of Arab States,Intergovernmental organizations
Nordic Council,Intergovernmental organizations
Nordic Council of Ministers,Intergovernmental organizations
Nordic Development Fund,Intergovernmental organizations
Nordic Environment Finance Corporation,Intergovernmental organizations
Nordic Investment Bank,Intergovernmental organizations
Observatoire du Sahara et du Sahel,Intergovernmental organizations
OPEC Fund for International Development,Intergovernmental organizations
Organisation for Economic Co-operation and Development,Intergovernmental organizations
Organisation Internationale de la Francophonie,Intergovernmental organizations
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations
Organization of the Petroleum Exporting Countries,Intergovernmental organizations
Pacific Islands Forum Secretariat,Intergovernmental organizations
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations
Permanent Court of Arbitration,Intergovernmental organizations
Permanent Secretariat of the Alpine Convention,Intergovernmental organizations
Secrétariat général de l'union du Maghreb Arabe,Intergovernmental organizations
Secretariat of the Pacific Community,Intergovernmental organizations
Secretariat of the Union for the Mediterranean,Intergovernmental organizations
South Asia Co-operative Environment Programme,Intergovernmental organizations
South Centre,Intergovernmental organizations
Technical Centre for Agricultural and Rural Cooperation EU-ACP,Intergovernmental organizations
The Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden,Intergovernmental organizations
Union Economique et Monétaire Ouest Africaine,Intergovernmental organizations
University for Peace,Intergovernmental organizations
A SEED Europe,Non-governmental organizations
Abibimman Foundation,Non-governmental organizations
Academy for Mountain Environics,Non-governmental organizations
ACT Alliance - Action by Churches Together,Non-governmental organizations
Action Against Hunger,Non-governmental organizations
Action Planéterre,Non-governmental organizations
Action Solidarité Tiers-Monde a.s.b.l.,Non-governmental organizations
ActionAid International,Non-governmental organizations
African Centre for Technology Studies,Non-governmental organizations
African Climate Change Research Centre,Non-governmental organizations
African Forest Forum,Non-governmental organizations
African Wildlife Foundation,Non-governmental organizations
Agriconsulting S.p.A.,Non-governmental organizations
Albertine Rift Conservation Society,Non-governmental organizations
All India Women's Conference,Non-governmental organizations
Alliance for Responsible Atmospheric Policy,Non-governmental organizations
Alliance for Rural Electrification,Non-governmental organizations
Alliance to Save Energy,Non-governmental organizations
Amazon Environmental Research Institute,Non-governmental organizations
Amazon Watch,Non-governmental organizations
American Anthropological Association,Non-governmental organizations
American Chemical Society,Non-governmental organizations
American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations
American Meteorological Society,Non-governmental organizations
American Nuclear Society,Non-governmental organizations
American Sustainable Business Council,Non-governmental organizations
American University,Non-governmental organizations
American University of Beirut,Non-governmental organizations
An Organization for Socio-Economic Development,Non-governmental organizations
Antarctic and Southern Ocean Coalition,Non-governmental organizations
Aotearoa Youth Leadership Institute,Non-governmental organizations
Arab Network for Environment and Development,Non-governmental organizations
Arizona State University,Non-governmental organizations
"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations
Asia Indigenous Peoples Pact Foundation,Non-governmental organizations
"Asia Pacific Forum on Women, Law and Development",Non-governmental organizations
Asian Institute of Technology,Non-governmental organizations
Asociación AK Tenamit,Non-governmental organizations
Asociación Ambiente y Sociedad,Non-governmental organizations
Asociación Civil Oikos,Non-governmental organizations
Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations
Asociación de Comunidades Forestales de Petén,Non-governmental organizations
Asociación Española de la Industria Eléctrica,Non-governmental organizations
Asociación Española del Gas,Non-governmental organizations
Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations
Asociación La Ruta del Clima,Non-governmental organizations
Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations
Asociación Proteger,Non-governmental organizations
Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations
Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations
Association Climate-KIC,Non-governmental organizations
Association Democratique des Femmes du Maroc,Non-governmental organizations
Association des communautés urbaines de France,Non-governmental organizations
Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations
Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations
Association Française des Entreprises pour l'Environnement,Non-governmental organizations
Association La Voûte Nubienne,Non-governmental organizations
Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations
Association of American Geographers,Non-governmental organizations
Association of Consulting Engineers,Non-governmental organizations
Association of Sustainable Ecological Engineering Development,Non-governmental organizations
Ateneo de Manila University,Non-governmental organizations
Avaaz Foundation,Non-governmental organizations
Avelife (Ltd.),Non-governmental organizations
Bangladesh Centre for Advanced Studies,Non-governmental organizations
Barcelona Centre for International Affairs,Non-governmental organizations
Basel Agency for Sustainable Energy,Non-governmental organizations
Basque Centre for Climate Change,Non-governmental organizations
Bay Area Council,Non-governmental organizations
Beijing Greenovation Hub for Public Welfare Development,Non-governmental organizations
Beijing NGO Association for International Exchanges,Non-governmental organizations
Bellona Foundation,Non-governmental organizations
Bianca Jagger Human Rights Foundation,Non-governmental organizations
"Bill, Hillary & Chelsea Clinton Foundation",Non-governmental organizations
Biovision - Foundation for Ecological Development,Non-governmental organizations
BirdLife International,Non-governmental organizations
Blue Green Alliance Foundation,Non-governmental organizations
Boston University,Non-governmental organizations
Both ENDS Foundation,Non-governmental organizations
Boticário Group Foundation for Nature Protection,Non-governmental organizations
Brahma Kumaris World Spiritual University,Non-governmental organizations
Bread for the World,Non-governmental organizations
"Brighter Green, Inc.",Non-governmental organizations
British Columbia Council for International Cooperation,Non-governmental organizations
Brown University - Watson Institute,Non-governmental organizations
Buddhist Tzu Chi Foundation,Non-governmental organizations
Business Council for Sustainable Energy,Non-governmental organizations
Business for Social Responsibility,Non-governmental organizations
Business Unity South Africa,Non-governmental organizations
BusinessEurope,Non-governmental organizations
C40 Cities Climate Leadership Group,Non-governmental organizations
"Ca' Foscari University, Venice",Non-governmental organizations
Canadian Electricity Association,Non-governmental organizations
Canadian Foodgrains Bank Association Inc.,Non-governmental organizations
Canadian Nuclear Association,Non-governmental organizations
Carbon Capture and Storage Association,Non-governmental organizations
Carbon Emission (Greenhouse Gas) Reduction and Control Association,Non-governmental organizations
Carbon Market Institute Limited,Non-governmental organizations
Carbon Market Watch - Centre of Development & Environment,Non-governmental organizations
Carbon Tracker Initiative Limited,Non-governmental organizations
Cardiff University,Non-governmental organizations
"Care About Climate, Inc",Non-governmental organizations
CARE International,Non-governmental organizations
Caritas Internationalis,Non-governmental organizations
Carnegie Institution for Washington,Non-governmental organizations
Carnegie Mellon University,Non-governmental organizations
Carre Geo & Environnement,Non-governmental organizations
CDP Worldwide,Non-governmental organizations
CEE Bankwatch Network,Non-governmental organizations
CEMBUREAU,Non-governmental organizations
Center for American Progress,Non-governmental organizations
Center for Biological Diversity,Non-governmental organizations
Center for Carbon Removal,Non-governmental organizations
Center for Clean Air Policy,Non-governmental organizations
Center for Climate and Energy Solutions,Non-governmental organizations
"Center for Climate Strategies, Inc.",Non-governmental organizations
Center for Environment and Sustainable Development Studies and Application,Non-governmental organizations
Center for International Climate and Environmental Research,Non-governmental organizations
Center for International Environmental Law,Non-governmental organizations
Center for Natural Resource Studies,Non-governmental organizations
Center of Life Institute,Non-governmental organizations
Central Ashaninka del Río Ene,Non-governmental organizations
Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Non-governmental organizations
Centre de développement de la région de Tensift,Non-governmental organizations
Centre for 21st Century Issues,Non-governmental organizations
Centre for Climate Change and Environmental Studies,Non-governmental organizations
Centre for Community Economics and Development Consultants Society,Non-governmental organizations
Centre for Environmental Justice,Non-governmental organizations
Centre for European Economic Research,Non-governmental organizations
Centre for European Policy Studies,Non-governmental organizations
Centre for International Governance Innovation,Non-governmental organizations
Centre for International Sustainable Development Law,Non-governmental organizations
Centre for Science and Environment,Non-governmental organizations
Centre International de droit Comparé de l'Environnement,Non-governmental organizations
Centre international de recherche sur l'environnement et le développement,Non-governmental organizations
Centre National de la Recherche Scientifique,Non-governmental organizations
Centre pour l'Environnement et le Développement,Non-governmental organizations
Centro Alexander von Humboldt,Non-governmental organizations
Centro de Apoyo a la Gestión Sustentable del Agua y el Medio Ambiente,Non-governmental organizations
Centro de Planificación y Estudio Social,Non-governmental organizations
Centro Internacional de Agricultura Tropical,Non-governmental organizations
"Ceres, Inc.",Non-governmental organizations
Chamber of Commerce of the United States of America,Non-governmental organizations
Chatham House,Non-governmental organizations
Children and Youth International,Non-governmental organizations
China Association for NGO Cooperation,Non-governmental organizations
China Association for Science and Technology,Non-governmental organizations
China Green Carbon Foundation,Non-governmental organizations
China New Energy Chamber of Commerce,Non-governmental organizations
China NGO Network for International Exchanges,Non-governmental organizations
Chinese Renewable Energy Industry Association,Non-governmental organizations
CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations
Christian Aid,Non-governmental organizations
Citizens Alliance for Saving the Atmosphere and the Earth,Non-governmental organizations
Citizens' Climate Education Corp.,Non-governmental organizations
Civic Exchange,Non-governmental organizations
"Clean Air Initiative for Asian Cities Center, Inc.",Non-governmental organizations
Clean Air Task Force,Non-governmental organizations
ClientEarth,Non-governmental organizations
Climate Action Network - Europe,Non-governmental organizations
Climate Action Network Australia,Non-governmental organizations
Climate Action Network Canada,Non-governmental organizations
Climate Action Network International,Non-governmental organizations
Climate Action Reserve,Non-governmental organizations
Climate Aid Initiative,Non-governmental organizations
Climate Alliance (Klima-Bündnis),Non-governmental organizations
Climate Alliance Austria,Non-governmental organizations
Climate Alliance Italy,Non-governmental organizations
Climate Analytics GmbH,Non-governmental organizations
Climate and Health Alliance Inc.,Non-governmental organizations
Climate and Health Limited,Non-governmental organizations
Climate and Sustainable Development Network of Nigeria,Non-governmental organizations
Climate Bonds Initiative,Non-governmental organizations
Climate Business Network,Non-governmental organizations
Climate Change Center,Non-governmental organizations
Climate Change Forum,Non-governmental organizations
Climate Change Research Institute of Korea,Non-governmental organizations
Climate Generation: A Will Steger Legacy,Non-governmental organizations
Climate Justice Program,Non-governmental organizations
Climate Leadership Council,Non-governmental organizations
Climate Markets and Investment Association Limited,Non-governmental organizations
Climate Outreach Information Network,Non-governmental organizations
Climate Policy Center,Non-governmental organizations
"Climate Policy Initiative, Inc",Non-governmental organizations
Climate Strategies,Non-governmental organizations
ClimateNet,Non-governmental organizations
Climatepolicy.net e.V.,Non-governmental organizations
CliMates,Non-governmental organizations
ClimateWorks Foundation,Non-governmental organizations
CO2GeoNet - The European Network of Excellence on Geological Storage of CO2,Non-governmental organizations
Coalition for Our Common Future,Non-governmental organizations
Coalition on Agricultural Greenhouse Gases,Non-governmental organizations
Coastal Association for Social Transformation Trust,Non-governmental organizations
Coastal Development Partnership,Non-governmental organizations
"COBASE, Cooperativa Tecnico Scientifica di Base",Non-governmental organizations
Colegio de Abogados Especialistas en Derecho Ambiental de Colombia,Non-governmental organizations
College of Saint Benedict,Non-governmental organizations
College of the Atlantic,Non-governmental organizations
Cologne Institute for Economic Research,Non-governmental organizations
Colorado State University,Non-governmental organizations
Columbia University,Non-governmental organizations
Comité 21 / Club France Développement Durable,Non-governmental organizations
Committee for a Constructive Tomorrow,Non-governmental organizations
Competitive Enterprise Institute,Non-governmental organizations
Concordia University,Non-governmental organizations
Confederación Española de Organizaciones Empresariales,Non-governmental organizations
Confédération Générale des Entreprises du Maroc,Non-governmental organizations
Confederation of Danish Industry,Non-governmental organizations
Confederation of European Paper Industries,Non-governmental organizations
Confederation of Indian Industry,Non-governmental organizations
Confédération Paysanne,Non-governmental organizations
Congregation of Our Lady of Mount Carmel,Non-governmental organizations
Congrès Mondial Amazigh,Non-governmental organizations
Conseil de la Jeunesse de la Communauté Française de Belgique,Non-governmental organizations
Conseil des Communes et Régions d'Europe,Non-governmental organizations
"Consejo Civil Mexicano para la Silvicultura Sostinible, A. C.",Non-governmental organizations
Conservation International,Non-governmental organizations
Cooperation for the Development of Emerging Countries Onlus,Non-governmental organizations
Cooperation Internationale pour le Développement et la Solidarité,Non-governmental organizations
Coopération pour le développement et l'amélioration des transports urbains et périurbains,Non-governmental organizations
Coordinadora Andina de Organizaciones Indígenas,Non-governmental organizations
Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations
Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations
"Corn Refiners Association, Inc.",Non-governmental organizations
Cornell University,Non-governmental organizations
Corporación Fiscalía del Medio Ambiente,Non-governmental organizations
Corporate Accountability International,Non-governmental organizations
Corporate Europe Observatory Foundation,Non-governmental organizations
"Council on Energy, Environment and Water",Non-governmental organizations
"Cultural Survival, Inc.",Non-governmental organizations
CUTS International,Non-governmental organizations
Dalhousie University - Marine and Environmental Law Institute,Non-governmental organizations
Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations
Danish District Heating Association,Non-governmental organizations
Danish Energy Association,Non-governmental organizations
Danish Society of Engineers,Non-governmental organizations
Dartmouth College,Non-governmental organizations
David and Lucile Packard Foundation,Non-governmental organizations
De Montfort University,Non-governmental organizations
Delta Electronics Foundation,Non-governmental organizations
Demand Response and Smart Grid Coalition,Non-governmental organizations
Derecho Ambiente y Recursos Naturales,Non-governmental organizations
DesertNet International,Non-governmental organizations
Designated Operational Entities and Independent Entities Association,Non-governmental organizations
Deutsche Gesellschaft für Internationale Zusammenarbeit,Non-governmental organizations
Deutsche Gesellschaft für Vereinten Nationen e.V.,Non-governmental organizations
Development Alternatives,Non-governmental organizations
Dharma Drum Mountain Buddhist Association,Non-governmental organizations
Diakonia,Non-governmental organizations
Dickinson College,Non-governmental organizations
Domestic and Foreign Missionary Society of the Protestant Episcopal Church in the USA,Non-governmental organizations
Drexel University,Non-governmental organizations
Duke University,Non-governmental organizations
Earth Child Institute,Non-governmental organizations
Earth Council,Non-governmental organizations
Earth Day Network,Non-governmental organizations
Earth Innovation Institute,Non-governmental organizations
"Earth Island Institute, Inc.",Non-governmental organizations
Earth Savers Movement,Non-governmental organizations
Earthjustice,Non-governmental organizations
Eberhard Karls Universitat Tubingen,Non-governmental organizations
EcoArts Connections,Non-governmental organizations
Ecole Nationale Supérieure des Mines de Paris,Non-governmental organizations
Ecolo Info,Non-governmental organizations
Ecologic Institute,Non-governmental organizations
Economic Research Institute for Northeast Asia,Non-governmental organizations
Ecumenical Advocacy Alliance,Non-governmental organizations
Edison Electric Institute,Non-governmental organizations
Ejecutor de Contrato de Administración de la Reserva Comunal Amarakaeri,Non-governmental organizations
Emory University,Non-governmental organizations
Energiaklub Climate Policy Institute and Applied Communications Association,Non-governmental organizations
Energies 2050,Non-governmental organizations
Energy and Climate Intelligence Unit Limited,Non-governmental organizations
Energy Research Centre of the Netherlands,Non-governmental organizations
Environment-People-Law,Non-governmental organizations
Environmental Defense Fund,Non-governmental organizations
Environmental Investigation Agency,Non-governmental organizations
Environmental Law Research Institute LTD/GTE,Non-governmental organizations
Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations
Environmental Quality Protection Foundation,Non-governmental organizations
Environnement et Developpement du Tiers-Monde,Non-governmental organizations
Environnement Jeunesse,Non-governmental organizations
Equiterre,Non-governmental organizations
Erklärung von Bern,Non-governmental organizations
"ETC Group (Action Group on Erosion, Technology and Concentration)",Non-governmental organizations
EURELECTRIC,Non-governmental organizations
Euro-Mediterranean Center on Climate Change,Non-governmental organizations
Eurocities A.S.B.L.,Non-governmental organizations
European Association for Solar Energy,Non-governmental organizations
European Bureau for Conservation and Development,Non-governmental organizations
European Business Council for Sustainable Energy,Non-governmental organizations
European Chemical Industry Council,Non-governmental organizations
European Climate Foundation,Non-governmental organizations
European Federation for Transport and Environment,Non-governmental organizations
European Forum European Energy Award e.V.,Non-governmental organizations
European Heat Pump Association,Non-governmental organizations
European Network for Community-Led Initiatives on Climate Change and Sustainability,Non-governmental organizations
European Nuclear Society,Non-governmental organizations
European Round Table of Industrialists,Non-governmental organizations
European Union Chamber of Commerce in China,Non-governmental organizations
European Wind Energy Association,Non-governmental organizations
European Youth Forum,Non-governmental organizations
Ev-K2-CNR Committee,Non-governmental organizations
FACE Foundation,Non-governmental organizations
Fachhochschule Muenster,Non-governmental organizations
Fairtrade Labelling Organizations International e.V.,Non-governmental organizations
Fairwatch Association,Non-governmental organizations
Farm Africa Limited,Non-governmental organizations
Fauna & Flora International,Non-governmental organizations
Federación de Pueblos Indígenas Kechwas de la Región de San Martín,Non-governmental organizations
Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations
Federación Regional Indígena Shawi de San Martín,Non-governmental organizations
"Federation of American Women's Clubs Overseas, Inc.",Non-governmental organizations
Federation of Canadian Municipalities,Non-governmental organizations
Federation of Electric Power Companies,Non-governmental organizations
Federation of German Industries,Non-governmental organizations
Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations
Federation of Young European Greens,Non-governmental organizations
FERN,Non-governmental organizations
Fia Foundation for the Automobile and Society,Non-governmental organizations
Finnish Institute of International Affairs,Non-governmental organizations
Fondation BNP Paribas,Non-governmental organizations
Fondation Deserts du Monde,Non-governmental organizations
Fondation Jean-Jaurès,Non-governmental organizations
Fondation Nicolas Hulot,Non-governmental organizations
Fondation pour le Développement Durable des Régions de Montagne,Non-governmental organizations
Fondazione Centro Studi Enel,Non-governmental organizations
Fondazione Eni Enrico Mattei,Non-governmental organizations
Fondo de Promoción de la Areas Naturales Protegidas del Perú,Non-governmental organizations
Food & Water Watch,Non-governmental organizations
Ford Foundation,Non-governmental organizations
Forest Stewardship Council,Non-governmental organizations
Forest Trends Association,Non-governmental organizations
Forestry and Forest Products Research Institute,Non-governmental organizations
Forests of the World,Non-governmental organizations
Forests Philanthropy Action Network,Non-governmental organizations
Foro Ciudades para la Vida,Non-governmental organizations
Foro Soria 21 para el desarrollo sostenible,Non-governmental organizations
Forum Atomique Européen,Non-governmental organizations
Forum des Alternatives Maroc,Non-governmental organizations
Forum for Environment,Non-governmental organizations
Forum for Reforms and Entrepreneurship,Non-governmental organizations
Foundation 2°,Non-governmental organizations
Foundation DLO,Non-governmental organizations
Foundation Environment - Law Society,Non-governmental organizations
Foundation for Environmental Education,Non-governmental organizations
Foundation for Promoting Personal Mobility and Ecological Transportation,Non-governmental organizations
