Official Name,City,Country,Constituency,Phone,Fax,Email,Coordinator
Akatu Institute (AKATU),São Paulo,Brazil,Constituency - Environmental,(55-11) 3141-0177,(55-11) 3141-0208,akatu@akatu.org.br,Mr. Eduardo Schubert
Albertine Rift Conservation Society (ARCOS Network),Cambridge,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,+441223277318,,skanyamibwa@arcosnetwork.org,Mr. Samuel Kanyamibwa
Aleut International Association (AIA),Anchorage,United States of America,Constituency - Indigenous peoples,(1-907)332-5388,(1-907)332-5380,liza.mack@aleut-international.org,Ms. Liza Mack
All Africa Conference of Churches (AACC),Nairobi,Kenya,Constituency - Environmental,(254-20) 444-1483/1338/9,(254-20) 444-3241/5835,secretariat@aacc-ceta.org,Mr. Arthur Ndengerio Shoo
All China Environment Federation (ACEF),Beijing,China,Constituency - Environmental,,,gxy830302@163.com,Ms. Xiaoyi Gao
All India Women's Conference (AIWC),New Delhi,India,Constituency - Women and Gender,(91) 11 233 89680,(91) 23388567,info@aiwc.org.in,Ms. Rakesch Dhawan
All India Women's Education Fund Association (AIWEFA),New Delhi,India,Constituency - Women and Gender,91-11-23318376,91-1123736922,aiwefa29@gmail.com,Ms. Asha Chandra
Alliance de Badinga du Congo (ABADIC),Kinshasa,Democratic Republic of the Congo,Constituency - Environmental,(243-8) 1881-1805,,badingac@yahoo.fr,Mr. Blaise Kayiba Tshimanga
Alliance for Climate Education (ACE),Oakland,United States of America,Constituency - Environmental CAN,011 262880 8661,,leah@acespace.org,Ms. Leah Qusba
Alliance for Responsible Atmospheric Policy,Arlington,United States of America,Constituency - Business and Industry,(1-703) 243-0344,(1-703) 243-2874,fay@alliancepolicy.org,Mr. Stephen Van Maren
Alliance for Rural Electrification (ARE),Brussels,Belgium,Constituency - Business and Industry,(32-2) 709 5542,,are@ruralelec.org,Mr. David Lecoque
Alliance froid climatisation environnement (AFCE),L'Aigle,France,Constituency - Business and Industry,(33-2)3334-2940,(33-2)3334-2943,dg@afce.asso.fr,Mr. François Heyndrickx
Alliance internationale de tourisme (AIT),Paris,France,Constituency - ENGO,(33-1)4312-4455,(33-1)4312-4467,merindol@fia.imaginet.fr,
Alliance of European Voluntary Service Organisations,Copenhagen,Denmark,Constituency - Youth,,,vper@alliance-network.eu,Ms. Jannika Mumme
"Alliance pour la Biodiversité, le Climat et la Durabilité dans les Alpes (ABCD Alpes)",Talloires,France,Constituency - Environmental,+33 963 47 80 30,,abcd-alpes@orange.fr,M. Jean-Loup Bertez
Alliance to End Childhood Lead Poisoning (AECLP),Washington DC,United States of America,Constituency - ENGO,(1-202)543-1147,(1-202)543-4466,aeclp@aeclp.org,Ms. Maria Rapuano
Alliance to Save Energy (ASE),Washington,United States of America,Constituency - Business and Industry,(1-202) 857-0666,(1-202) 331-9588,Lvanwie@ase.org,Ms. Laura Van Wie McGrory
Alofa Tuvalu (ATv),Paris,France,Constituency - Environmental CAN,,,alofatuvalu@alofatuvalu.tv,Ms. Fanny Heros
Alternative Information and Development Centre Trust (AIDC),Cape Town,South Africa,Constituency - Research and independent,(27-21) 447-5770,,info@aidc.org.za,Mr. Dominic Brown
Amazon Aid Foundation (AAF),Charlottesville,United States of America,Constituency - Environmental,,,info@amazonaid.org,Ms. Heather Mytelka
Amazon Alliance,Washington,United States of America,Constituency - Indigenous peoples,(1-202) 785-3334,(1-202) 785-8701,juancarlos@amazonalliance.org,Mr. Juan Carlos Jintiach Arcos
Amazon Association (AA),Manaus-AM,Brazil,Constituency - Environmental,(55-92) 9197-0949,(55-92) 3248-4286,emanuela@amazonia.org,Ms. Emanuela Evangelista
Amazon Center for Environmental Education and Research Foundation (ACEER),Westchester,United States of America,Constituency - Environmental,(1 610) 738 0477,(1 610) 436 2860,winden@aceerfoundation.org,Mr. Paul Alan Morgan
Amazon Conservation Association (ACA),Washington DC,United States of America,Constituency - Environmental,(1 202) 234 2356,(1 202) 234 2358,info@amazonconservation.org,Ms. Megan MacDowell
Amazon Conservation Team (ACT),Arlington,United States of America,Constituency - Environmental,(1-703) 522-4684,(1-703) 522-4464,info@amazonteam.org,Mr. Isidoro Hazbun
Amazon Environmental Research Institute (IPAM),Belem,Brazil,Constituency - Environmental,(55-91)2121-0776,(55-61) 2109-4150,faleconosco@ipam.org.br,Ms. Gabriela Savian
Amazon Institute of People and the Environment (Imazon),Belém,Brazil,Constituency - Research and independent,(55-91) 3182-4000,(55-91) 3182-4027,imazon@imazon.org.br,Sra. Brenda Brito do Carmo
Amazon Watch,San Francisco,United States of America,Constituency - Environmental,(1-415) 487-9600,(1-415) 487-9601,amazon@amazonwatch.org,Mr. Andrew Miller
Amazónicos por la Amazonía Association (AMPA),Moyobamba,Peru,,(51 042) 342698,,ampa@ampaperu.info,Sra. Rosa Karina Pinasco Vela
American Anthropological Association (AAA),Arlington,United States of America,Constituency - Environmental,00-1-109-528-1902,00-1-703-528-3546,akelsey@aaanet.org,Ms. Julie Raymond
American Chemical Society (ACS),Washington DC,United States of America,Constituency - Research and independent,(1-202)872-4600,(1-202)872-4615,c_maxwell@acs.org,Mr. James C. Maxwell
American Council on Renewable Energy (ACORE),Washington D.C,United States of America,Constituency - Business and Industry,(1-202) 393-0001,(1-202) 393-0606,edelman@acore.org,Mr. Todd Foley
American Farm Bureau Federation (AFBF),Washington,United States of America,Constituency - Business and Industry,(1-202) 406-3600,(1-202) 406-3606,russelw@fb.org,Mr. Kevin Richards
American Federation of Labor and Congress of Industrial Organizations (AFL-CIO),Washington,United States of America,Constituency - ENGO,(1-202)637-5000,(1-202)508-6967,bmarkell@aflcio.org,Mr. Brad Markell
American Intellectual Property Law Association (AIPLA),Arlington,United States of America,Constituency - Business and Industry,(1-703) 415-0780,(1-703) 415-0786,aipla@aipla.org,Ms. Chen Wang
American Lung Association (ALA),Washington DC,United States of America,Constituency - Environmental,(1-202)785-3355,(1-202)452-1805,fdumelle@lungasadc.org,Mr. Fran Du Melle
American Meteorological Society (AMS),Boston,United States of America,Constituency - Research and independent,1-617) 227-2425,(1-617) 742-8718,phiggins@ametsoc.org,Mr. Paul Higgins
American Nuclear Society (ANS),La Grange Park,United States of America,Constituency - Research and independent,(1-708)352-6611,(1-708)579-8238,outreach@ans.org,Ms. Aubrey Whittington
"American Society of Heating, Refrigerating and Air-Conditioning Engineers, Inc. (ASHRAE)",Peachtree Corners,United States of America,Constituency - Business and Industry,(1-404)636-8400,(1-404)321-5478,ashrae@ashrae.org,Mr. Jeff Littleton
American Society of International Law (ASIL),Washington DC,United States of America,Constituency - ENGO,(1-202) 939-6000,(1-202) 797-7133,eandersen@attglobal.net,Ms. Elizabeth Andersen
American Sustainable Business Council (ASBC),Washington DC,United States of America,Constituency - Business and Industry,(202) 595-9302,,michael.green@techboston.com,Mr. Michael Green
American University (AU),Washington,United States of America,Constituency - Research and independent,(1-202) 885-1600,(1-202) 885-2494,sisdeansoffice@american.edu,Ms. Sikina Jinnah
American University of Beirut (AUB-IFI),Beirut,Lebanon,Constituency - Research and independent,(961) 135-0000 ext. 4138,(961) 173-7627,re15@aub.edu.lb,Ms. Rana El Hajj
Amigos de la Tierra Asociación Civil (ATAC),Puebla,Mexico,Constituency - Environmental CAN,(52-222) 240-6536,(52-222) 243-6676,lopeztl_79@yahoo.com.mx,Ms. Laura Guadalupe Lopez Torres
Amnesty International (AI),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,(44-20) 7413-5500,(44-20) 7956-1157,contactus@amnesty.org,Mr. Ashfaq Khalfan
Amour developpement environnement - Benin (ADE-Benin),Glazoue,Benin,Constituency - Farmers,(229) 9563-5001,,ong.adebenin@yahoo.fr,M. Saturnin Azonkpin
AMPLA Limited,Melbourne,Australia,Constituency - Research and independent,(61-3) 9670-2544,(61-3) 9670-2616,c.johnston@ampla.org,Ms. Georgie Smibert
An Organization for Socio-Economic Development (AOSED),Khulna,Bangladesh,Constituency - Environmental CAN,(88) 0-4181-3574,(88) 0-4173-1931,aosed_khulna@yahoo.com,Mr. Shamim Arfeen
Antarctic and Southern Ocean Coalition (ASOC),"Washington, DC",United States of America,Constituency - Environmental,(1-202) 234-2480,(1-202) 387-4823,secretariat@asoc.org,Ms. Claire Christian
Aotearoa Youth Leadership Institute (AYLI),Auckland,New Zealand,Constituency - Youth,,,contact@ayli.org.nz,Mr. Benjamin Brooking
AQUADEV (AD),Brussels,Belgium,Constituency - Business and Industry,(32-2)347-7000,(32-2)347-0036,contact@aquadev.org,M. Eric Driesen
Arab Forum for Environment and Development (AFED),Beirut,Lebanon,Constituency - Environmental,(961-1) 32-1800,(961-1) 32-1900,info@afedonline.org,Mr. Najib Saab
Arab Network for Environment and Development (RAED),Cairo,Egypt,Constituency - Environmental,(202) 2516-1519 /245,(202) 2516-2961,info@raednetwork.org,Ms. Ghada Ahmadein
Arbeitsgemeinschaft für Umweltfragen e.V.,Berlin,Germany,Constituency - ENGO,(49-30)3434-6590,(49-30)3-4346-5913,info@ag-umweltfragen.de,Mr. Wendelin Wilhelm
Arbeitsgruppe für Luft- und Raumfahrt (ALR),Zürich,Switzerland,Constituency - ENGO,(41-1)202-9388/87,(41-1)202-2400,hagena-bonn@t-online.de,Mr. Hermann Hagena
Arbeitskreis Energie der Deutschen Physikalischen Gesellschaft e.V. (AKE of the DPG),Bad Honnef,Germany,Constituency - ENGO,(49-2206)91-0941,(49-2206)91-0941,dpg@dpg-physik.de,Mr. Werner Nahm
Architecture 2030 Inc.,Santa Fe,United States of America,Constituency - Environmental,505-988-5309,505-983-9526,mazria@architecture2030.org,Mr. Tighe Glennon Lanning
Architectures Sans Frontiers - Sweden (AST-Swe),Stockholm,Sweden,Constituency - Environmental,,,kristinasahlestrom@hotmail.com,Ms. Kristina Sahlestrom
Arctic Athabaskan Council (AAC),Whitehorse,Canada,Constituency - Indigenous peoples,(1-867)335 6030,,cdickson@mac.com,Ms. Cynthia Rose Dickson
"AREKET, Environmental Public Union",Astana,Kazakhstan,Constituency - Environmental,(7-3172)71-7173,(7-3172)32-4738,areket@climate.kz,Ms. Ainash Koshpanova
Arizona State University (ASU),Glendale,United States of America,Constituency - Research and independent,+1 480 965 2100,+1 480 965 0865,denise.quiroz@asu.edu,Mr. Daniel Bodansky
Art of Change 21,Paris,France,Constituency - Environmental,,,info@artofchange21.com,Ms. Marguerite Courtel
Article 19 Research Information Centre on Censorship (Article 19),London,United Kingdom of Great Britain and Northern Ireland,Constituency - ENGO,(44-20) 7324-2509,(44-20) 7490-0566,info@article19.org,Ms. Agnes Callamard
Artists Project Earth (APE),Oxfordshire,United Kingdom of Great Britain and Northern Ireland,Constituency - Environmental,(44-1608) 68-5360,(44-1608) 68-5269,ariadne@apeuk.org,Ms. Ariadne Los
Asabe Shehu Yar'adua Foundation (ASYARF),Abuja,Nigeria,Constituency - Indigenous peoples,"2347041003525, 2348033057029",8665718392,asabeshehuyaraduafoundation@gmail.com,Ms. Aisha Mohammed
Asagyam Help for the Needy (ASAHN),Accra,Ghana,Constituency - Indigenous peoples,(233)2141-2860,(233)2140-0750,asltd@idngh.com,Ms. Rose Asare
Asahi Glass Foundation (AF),Tokyo,Japan,Constituency - Environmental,(81-3) 5275-0620,(81-3) 5275-0871,yasuda@af-info.or.jp,Mr. Junichi Shimizu
"Asheville-Buncombe Sustainable Community Initiatives, Inc. (The Collider)",Asheville,United States of America,Constituency - Environmental,+1 828 254 6283,,jmcmahon@thecollider.org,Ms. Virginie Fayolle
Ashoka Trust for Research in Ecology and the Environment (ATREE),Bangalore,India,Constituency - Environmental,+91-80-23635555,+91-80-23530070,info@atree.org,Ms. Karishma Shelar
Asia Indigenous Peoples Pact Foundation (AIPP),Chiang Mai,Thailand,Constituency - Indigenous peoples,(66-53) 38-0168,(66-53) 38-0752,aippmail@aippnet.org,Mr. Lakpa Nuri Sherpa
"Asia Pacific Forum on Women, Law and Development (APWLD)",Chiangmai,Thailand,Constituency - Women and Gender,(66-53) 28-4527,(66-53) 28-0847,apwld@apwld.org,Ms. Kavita Naidu
Asia Society,New York,United States of America,Constituency - Research and independent,(1-212) 327-9339,(1-212) 327-2280,sdimaggio@asiasociety.org,Ms. Debra Rachel Eisenman
Asia-Europe Foundation (ASEF),Singapore,Singapore,Constituency - Research and independent,(65) 6874-9700,(65) 6872-1207,info@asef.org,Ms. Grazyna Pulawska
Asian Institute of Technology (AIT),"Pathumthani, Bangkok",Thailand,Constituency - ENGO,(66-2) 5-1601-1044,(66-2) 516-2126,president@ait.ac.th,Mr. Said Irandoust
Asian Pacific Resource and Resource Centre for Women (ARROW),Kuala Lumpur,Malaysia,Constituency - Women and Gender,+603 22739913,+603 22739916,nalini@arrow.org.my,Ms. Biplabi Shrestha
Asian Resource Foundation (ARF),Bangkok,Thailand,Constituency - Research and independent,(66-2) 913-0196,(66-2) 913-0197,arf@arf-asia.org,Mr. Mohammad Abdus Sabur
Asociación AK Tenamit (AAT),Izabal,Guatemala,Constituency - Indigenous peoples,(502) 2254-1560,(502) 2254-3346,duden@aktenamit.org,Mr. Stephen Dudenhoefer
Asociación Ambientalista SUSTENTA (SUSTENTA),Chiclana,Spain,Constituency - Environmental,(34) 9 5649 7540,,info@sustenta.org,Mr. Jesus Martinez Linares
Asociación Ambiente y Sociedad (AAS),Bogotá,Colombia,Constituency - Environmental CAN,00571 4910395,,comunicaciones@ambienteysociedad.org.co,Ms. Astrid Milena Bernal Rubio
Asociación Argentina de Tecnología Nuclear,Buenos Aires,Argentina,Constituency - Business and Industry,,(54-11-4)704-1123,afernand@sede.arn.gov.ar,Sr. Arturo Fernandez
Asociación Civil Oikos (OIKOS),Lima,Peru,Constituency - Environmental,(511) 990 284459,,contacto@oikos.pe,Mr. Eric Chavez
Asociación Civil Sustentar para el Desarrollo Sostenible (Sustentar),Ciudad Autonoma de Buenos Aires,Argentina,Constituency - Environmental,,,rpiana2001@yahoo.com.ar,Sra. Romina Piana
Asociación Cluster de Industrias de Medio Ambiente de Euskadi (ACLIMA),Bilbao,Spain,Constituency - Business and Industry,944706443,,aclima@aclima.eus,Sra. Begoña Castillo
Asociación CONCIENCIA,Buenos Aires,Argentina,Constituency - Local government and Municipal authorities,(54-11)4790-9316,(54-114)322-3878,conciencia@conciencia.org,
Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo (CLAC),San Salvador,El Salvador,Constituency - Business and Industry2,(503) 2278 8482,(503) 2278 8482,info@claconline.com,Ms. Xiomara J. Paredes
Asociación Cubana de las Naciones Unidas (ACNU),La Habana,Cuba,Constituency - Environmental,(53-7)838 1580,(53-7)832-0377,acnu@acnu.org.cu,Ms. Soraya Elena Alvarez Nuñez
Asociación Cubana de Producción Animal (ACPA),La Habana,Cuba,Constituency - Environmental,(53-7) 833-7802,(53-7) 836-5366,lien@acpa.cu,Sra. Lien Alfonso Pérez
Asociación Cultural para el Desarrollo Integral (ACDI),Santa Fé,Argentina,Constituency - Environmental,(54-342)456-6049,(54-342)456-6049,acdi@acdi.org.ar,Mr. Mauricio Nelson Moresco
Asociación de Comunidades Forestales de Petén (ACOFOP),Petén,Guatemala,,(502) 7926-3572,(502) 7926-3571,direccion@acofop.org,Mr. Marcedonio Cortave
Asociación de Empresas de Energía Eléctrica (aelec),Madrid,Spain,Constituency - Business and Industry,0034 915674800,,info@aelec.es,Mr. Luis Alberca Carpintero
Asociación Española del Gas (SEDIGAS),Barcelona,Spain,Constituency - Business and Industry2,0034934172804,0034934186219,sedbcn@sedigas.es,Ms. Naiara Ortiz de Mendíbil
Asociación Interamericana para la Defensa del Ambiente (AIDA),Oakland,United States of America,Constituency - Environmental CAN,(1-510) 550-6734q,(1-510) 550-6740,aida@aida-americas.org,Sra. Florencia Ortúzar
Asociación Interétnica de Desarrollo de la Selva Peruana (AIDESEP),Lima,Peru,Constituency - Indigenous peoples,(511) 471-7118,(511) 472-4605,aidesep@aidesep.net.pe,Mr. Roberto Alfonso Espinoza Llanos
Asociación La Ruta del Clima,San José,Costa Rica,Constituency - Environmental,+506 87055253,+506 22280933,adrian.martinez@climate4change.org,Mr. Adrian Alberto Martinez Blanco
Asociación Ministerio Diaconal Paz y Esperanza,Lima,Peru,Constituency - Indigenous peoples,(511) 463 3300,(511) 463 3300,aspazes@pazyesperanza.org,Mr. Roger Alfonso Mendoza Contreras
Asociación Nacional de Empresas de Agua y Saneamiento (ANEAS),Distrito Federal,Mexico,Constituency - Business and Industry,(52-55) 5543-6600,(52-55) 5543-6600,aneas@aneas.com.mx,Mr. Roberto Olivares
Asociación Nacional de Productores Ecológicos del Perú (ANPE PERU),Lima,Peru,Constituency - Women and Gender,(511) 4724 828,,contacto@anpeperu.org,Mr. Moises Quispe Quispe
Asociación Nacional para la Conservación de la Naturaleza (ANCON),Panama,Panama,Constituency - Environmental,(507)314-0060,(507)314-0052,ancon@ancon.org,Sra. Rita Spadafora Mejía
Asociación para la Conservación de la Cuenca Amazónica (ACCA),Lima,Peru,Constituency - Environmental,(511) 2514 513,,dpogliani@conservacionamazonica.org,Sra. Daniela Pogliani
Asociación para la Investigación y Desarrollo Integral (AIDER),Lima,Peru,Constituency - Environmental,(511) 4215 835,,lima@aider.com.pe,Mr. Jaime Nalvarte Armas
Asociacion para la Naturaleza y Desarrollo Sostenible (ANDES),Cusco,Peru,Constituency - Indigenous peoples,(51-84) 245021,(51-84) 23-2603,andes@andes.org.pe,Mr. Alejandro Argumedo
Asociación Proteger (PAC),Buenos Aires,Argentina,Constituency - Environmental,(54-11) 4931-6092,(54-11)4373-5499,a_proteger@yahoo.com.ar,Sr. Juan H. Ortiz Burgos
Asociación Regional de Empresas de Petróleo y Gas Natural en Latinoamérica y el Caribe (ARPEL),Montevideo,Uruguay,Constituency - Business and Industry,+(598) 2623 6993,(598-2)410-9207,info@arpel.org.uy,Sra. Irene Alfaro Barrios
Asociación Regional de Pueblos Indígenas de la Selva Central (ARPI-SC),Satipo,Peru,Constituency - Indigenous peoples,(51 64) 545175,(51 64) 545175,arpiselvacentral@yahoo.es,Sr. Lyndon Pishagua Chinchuya
Assemblée des départements de France (ADF),Paris,France,Constituency - Local government and Municipal authorities,0145496020,0145496021,benjamin.eloire@departements.fr,M. Benjamin Eloire
Assemblée des Régions d'Europe (AER),Strasbourg,France,Constituency - Local government and Municipal authorities,+32 (0)476 05 59 60,,info@aer.eu,Ms. Vania Freitas
Assembly of First Nations (AFN),Ottawa,Canada,Constituency - Indigenous peoples,(1-613) 241-6789,(1-613) 241-5808,wdavid@afn.ca,Ms. Regina Toulouse
Associacao de Protecao a Ecossistemas Costeiros (APREC),Rio de Janeiro,Brazil,Constituency - Research and independent,(55-21)8161-6346,(55-21)2609-8573,aprec@aprec.org.br,Mr. Sergio Mattos Fonseca
Association Actions Vitales Pour Le Développement Durable (AVD),Yaounde,Cameroon,Constituency - Youth,+237 2267 0387,,avd.organisation@yahoo.fr,Mr. Jean Paul Brice Affana Affana
Association BLEU-BLANC-COEUR (BBC),Combourtillé,France,Constituency - Farmers,0299976054,,contact@bleu-blanc-coeur.com,Ms. Nathalie Kerhoas
Association Climate-KIC (CKIC),London,United Kingdom of Great Britain and Northern Ireland,Constituency - Business and Industry,,,julia.franchi.scarselli@climate-kic.org,Ms. Julia Franchi Scarselli
Association Congolaise d'Education et de Prévention Contre les Maladies et la Drogue (ONG ACEPMD-CONGO),Brazzaville,Congo,Constituency - Environmental,(242) 678-6598/592-4280,,asso_cepmdhepvih@yahoo.fr,Ms. N'songa Reine
