iso,doc_name,doc_type
KWT,KWT-revised_first_ndc-EN.html,NDC
LAO,LAO-revised_first_ndc-EN.html,NDC
LBN,LBN-revised_first_ndc-EN.html,NDC
LBR,LBR-revised_first_ndc-EN.html,NDC
LCA,LCA-revised_first_ndc-EN.html,NDC
LKA,LKA-revised_first_ndc-EN.html,NDC
LTU,LTU-revised_first_ndc-EN.html,NDC
LUX,LUX-revised_first_ndc-EN.html,NDC
LVA,LVA-revised_first_ndc-EN.html,NDC
MAR,MAR-revised_first_ndc-EN_TR.html,NDC
MCO,MCO-revised_first_ndc-EN_TR.html,NDC
MDA,MDA-revised_first_ndc-EN.html,NDC
MDV,MDV-revised_first_ndc-EN.html,NDC
MEX,MEX-revised_first_ndc-EN.html,NDC
MHL,MHL-revised_second_ndc-EN.html,NDC
MKD,MKD-revised_first_ndc-EN.html,NDC
MLT,MLT-revised_first_ndc-EN.html,NDC
MMR,MMR-revised_first_ndc-EN.html,NDC
MNE,MNE-revised_first_ndc-EN.html,NDC
MNG,MNG-revised_first_ndc-EN.html,NDC
MUS,MUS-revised_first_ndc-EN.html,NDC
MWI,MWI-revised_first_ndc-EN.html,NDC
MYS,MYS-revised_first_ndc-EN.html,NDC
NAM,NAM-revised_first_ndc-EN.html,NDC
NIC,NIC-revised_first_ndc-EN_TR.html,NDC
NLD,NLD-revised_first_ndc-EN.html,NDC
NOR,NOR-revised_first_ndc-EN.html,NDC
NZL,NZL-revised_first_ndc-EN.html,NDC
PAN,PAN-revised_first_ndc-EN_TR.html,NDC
PER,PER-revised_first_ndc-EN_TR.html,NDC
POL,POL-revised_first_ndc-EN.html,NDC
PRT,PRT-revised_first_ndc-EN.html,NDC
PRY,PRY-revised_first_ndc-EN_TR.html,NDC
PSE,PSE-revised_first_ndc-EN.html,NDC
QAT,QAT-revised_first_ndc-EN.html,NDC
ROU,ROU-revised_first_ndc-EN.html,NDC
RWA,RWA-revised_first_ndc-EN.html,NDC
SAU,SAU-revised_first_ndc-EN.html,NDC
SGP,SGP-revised_first_ndc-EN.html,NDC
SLB,SLB-revised_first_ndc-EN.html,NDC
SLE,SLE-revised_first_ndc-EN.html,NDC
SOM,SOM-revised_first_ndc-EN.html,NDC
STP,STP-revised_first_ndc-EN.html,NDC
SVK,SVK-revised_first_ndc-EN.html,NDC
SVN,SVN-revised_first_ndc-EN.html,NDC
SWE,SWE-revised_first_ndc-EN.html,NDC
SWZ,SWZ-revised_first_ndc-EN.html,NDC
SYC,SYC-revised_first_ndc-EN.html,NDC
THA,THA-revised_first_ndc-EN.html,NDC
TJK,TJK-revised_first_ndc-EN.html,NDC
TZA,TZA-revised_first_ndc-EN.html,NDC
UGA,UGA-revised_first_ndc-EN.html,NDC
UKR,UKR-revised_first_ndc-EN.html,NDC
USA,USA-revised_first_ndc-EN.html,NDC
UZB,UZB-revised_first_ndc-EN.html,NDC
VNM,VNM-revised_first_ndc-EN.html,NDC
VUT,VUT-revised_first_ndc-EN.html,NDC
ZAF,ZAF-revised_first_ndc-EN.html,NDC
ZMB,ZMB-archived_revised_first_ndc-EN.html,NDC
ZMB,ZMB-revised_first_ndc-EN.html,NDC
ZWE,ZWE-revised_first_ndc-EN.html,NDC
MHL,180924 rmi 2050 climate strategy final_0.txt,LTS
MHL,180924 RMI press release 2050 Strategy FINAL.txt,LTS
FRA,2020-02-19_lts_be_fr_TRANSLATED.txt,LTS
AND,AND_LTS_Nov2021.txt,LTS
BEL,Australias_LTS_WEB.txt,LTS
BEN,benin_long-term_strategy_TRANSLATED.txt,LTS
CAN,Canada's Mid-Century Long-Term Low-GHG Strategy.txt,LTS
CHN,China s Mid-Century Long-Term Low Greenhouse Gas Emission Development Strategy.txt,LTS
CHL,CHL_LTS_2021_TRANSLATED.txt,LTS
GBR,clean-growth-strategy-amended-april-2018.txt,LTS
DNK,ClimateProgramme2020-Denmarks-LTS-under-the ParisAgreement_December2020_.txt,LTS
COL,COL_LTS_Nov2021_TRANSLATED.txt,LTS
CZE,cze_climate_protection_policy_summary.txt,LTS
FRA,en_SNBC-2_complete.txt,LTS
FRA,en_SNBC-2_summary_4-pages.txt,LTS
FRA,en_SNBC-2_summary_compl.txt,LTS
FJI,Fiji_Low Emission Development  Strategy 2018 - 2050.txt,LTS
HRV,HR-03-06-2020 EU Submission on Long term strategy.txt,LTS
ISL,Iceland_LTS1_2021.txt,LTS
IND,Indonesia_LTS-LCCR_2021.txt,LTS
JPN,Japan_LTS2021.txt,LTS
KHM,KHM_LTS_Dec2021.txt,LTS
DEU,Klimaschutzplan_2050_eng_bf.txt,LTS
SVK,LTS SK eng.txt,LTS
HUN,LTS_1_Hungary_2021_EN.txt,LTS
BEL,LTS_BE_EN_summary.txt,LTS
FIN,LTS_Finland_Oct2020.txt,LTS
AUT,LTS1_Austria.txt,LTS
GTM,LTS1_Guatemala_TRANSLATED.txt,LTS
LVA,LTS1_Latvia.txt,LTS
NLD,LTS1_Netherlands.txt,LTS
NOR,LTS1_Norway_Oct2020.txt,LTS
KOR,LTS1_RKorea.txt,LTS
SVN,LTS1_SLOVENIA_EN.txt,LTS
ESP,LTS1_Spain_Annexes_TRANSLATED.txt,LTS
SWE,LTS1_Sweden.txt,LTS
CHE,LTS1_Switzerland.txt,LTS
LUX,LUX_LTS_2021_TRANSLATED.txt,LTS
MAR,MAR_LTS_Dec2021_TRANSLATED.txt,LTS
MEX,mexico_mcs_final_cop22nov16_red.txt,LTS
MKD,MKD_LTS_Nov2021.txt,LTS
MLT,MLT_LTS_Nov2021.txt,LTS
FRA,National_Low_Carbon_Strategy_v2_EN.txt,LTS
CRI,NationalDecarbonizationPlan.txt,LTS
NPL,NepalLTLEDS.txt,LTS
NGA,Nigeria_LTS1.txt,LTS
NZL,NZL_LTS_2021.txt,LTS
PRT,RNC2050_EN_PT Long Term Strategy.txt,LTS
SGP,SingaporeLongtermlowemissionsdevelopmentstrategy.txt,LTS
ZAF,South Africa's Low Emission Development Strategy.txt,LTS
THA,Thailand_LTS1.txt,LTS
JPN,The Long-term Strategy under the Paris Agreement.txt,LTS
TON,TON_LTS_Nov2021.txt,LTS
GBR,UK Mid Century Strategy cover note.txt,LTS
GBR,UK Net Zero Strategy - Build Back Greener.txt,LTS
UKR,Ukraine_LEDS_en.txt,LTS
URY,URY_LTS_Dec2021_TRANSLATED.txt,LTS
USA,US_accessibleLTS2021.txt,LTS
USA,us_mcs_documentation_and_output.txt,LTS
