,name,entity_type,TotalMembers,MaleMembers,FemaleMembers,constituency,coordinator,city,country,const
43,Asian Pacific Resource and Resource Centre for Women,Non-governmental organizations,2,0,2,Constituency - Women and Gender,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia,Women and Gender
44,Asian Resource Foundation,Non-governmental organizations,3,1,2,Constituency - Research and independent,Mr. Mohammad Abdus Sabur,Bangkok,Thailand,RINGO
45,Asociación AK Tenamit,Non-governmental organizations,5,4,1,Constituency - Indigenous peoples,Mr. Stephen Dudenhoefer,Izabal,Guatemala,IPO
46,Asociación Ambientalista SUSTENTA,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Jesus Martinez Linares,Chiclana,Spain,ENGO
47,Asociación Ambiente y Sociedad,Non-governmental organizations,4,0,4,Constituency - Environmental CAN,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,ENGO
48,Asociación Civil Oikos,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru,ENGO
49,Asociación Cluster de Industrias de Medio Ambiente de Euskadi,Non-governmental organizations,4,1,3,Constituency - Business and Industry,Sra. Begoña Castillo,Bilbao,Spain,BINGO
50,Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,2,2,0,Constituency - Business and Industry2,Ms. Xiomara J. Paredes,San Salvador,El Salvador,BINGO
51,Asociación Cubana de Producción Animal,Non-governmental organizations,1,0,1,Constituency - Environmental,Sra. Lien Alfonso Pérez,La Habana,Cuba,ENGO
52,Asociación Española de la Industria Eléctrica,Non-governmental organizations,17,11,6,,,Madrid,Spain,not yet affiliated/no data
53,Asociación Española del Gas,Non-governmental organizations,17,11,6,Constituency - Business and Industry2,Ms. Naiara Ortiz de Mendíbil,Barcelona,Spain,BINGO
54,Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Sra. Florencia Ortúzar,Oakland,United States of America,ENGO
55,Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,8,3,5,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru,IPO
56,Asociación La Ruta del Clima,Non-governmental organizations,4,0,4,Constituency - Environmental,Mr. Adrian Alberto Martinez Blanco,San José,Costa Rica,ENGO
57,Asociación para la Investigación y Desarrollo Integral,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Jaime Nalvarte Armas,Lima,Peru,ENGO
58,Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,3,1,2,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru,IPO
59,Asociación Proteger,Non-governmental organizations,4,1,3,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina,ENGO
60,Asociación Regional de Empresas de Petróleo y Gas Natural en Latinoamérica y el Caribe,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Sra. Irene Alfaro Barrios,Montevideo,Uruguay,BINGO
61,Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations,1,1,0,Constituency - Indigenous peoples,Sr. Lyndon Pishagua Chinchuya,Satipo,Peru,IPO
62,Assemblée des Régions d’Europe,Non-governmental organizations,1,1,0,Constituency - Local government and Municipal authorities,Ms. Vania Freitas,Brussels,Belgium,LGMA
63,Assembly of First Nations,Non-governmental organizations,2,1,1,Constituency - Indigenous peoples,Ms. Regina Toulouse,Ottawa,Canada,IPO
64,Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations,43,18,25,Constituency - Youth,Mr. Jean Paul Brice Affana Affana,Yaounde,Cameroon,Youth
65,Association Climate-KIC,Non-governmental organizations,10,4,6,Constituency - Business and Industry,Ms. Julia Franchi Scarselli,London,United Kingdom of Great Britain and Northern Ireland,BINGO
66,Association des Distributeurs Conditionneurs Récupérateurs Retraiteurs de Réfrigérants,Non-governmental organizations,2,2,0,Constituency - Business and Industry2,Mr. Laurent Guégan,Puteaux,France,BINGO
67,Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations,4,4,0,Constituency - Environmental,Mr. Mohamed Chaouki,Casablanca,Morocco,ENGO
68,Association des Femmes Peules et Peuples Autochtones du Tchad,Non-governmental organizations,1,1,0,Constituency - Indigenous peoples,Ms. Hindou Oumarou Ibrahim,N'Djamena,Chad,IPO
69,Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Mohamed-Awali Ouro-Djeri Djobo,Lome,Togo,ENGO
70,Association du Gharb pour la Protection de l’Environnement,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Mohammed Benyakhlef,Kenitra,Morocco,ENGO
71,Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations,9,4,5,Constituency - Environmental,Ms. Samia El Baouchi,Sefrou,Morocco,ENGO
72,Association Française des Entreprises pour l’Environnement,Non-governmental organizations,6,5,1,Constituency - Environmental,Mr. David Laurent,Paris,France,ENGO
73,Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations,9,7,2,Constituency - Environmental,Mr. Abdechahid Loukili,Berrechid,Morocco,ENGO
74,Association of American Geographers,Non-governmental organizations,10,3,7,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America,RINGO
75,Association of Overseas Countries and Territories of the European Union,Non-governmental organizations,1,1,0,Constituency - Local government and Municipal authorities,Mr. Nicolas Ferellec,Brussels,Belgium,LGMA
76,Association of Sustainable Ecological Engineering Development,Non-governmental organizations,6,4,2,Constituency - Environmental,Mr. JuiWen Chen,New Taipei City,China,ENGO
77,Ateneo de Manila University,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines,RINGO
78,atmosfair gGmbH,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Cathleen Herrich,Berlin,Germany,ENGO
79,Australian Conservation Foundation,Non-governmental organizations,3,1,2,Constituency - Environmental CAN,Ms. Kelly-Ann O'Shanassy,Carlton,Australia,ENGO
80,Australian Industry Greenhouse Network,Non-governmental organizations,2,1,1,Constituency - Business and Industry,Ms. Susan Smith,Kingston,Australia,BINGO
81,Australian Industry Group,Non-governmental organizations,1,1,0,Constituency - Business and Industry,Mr. Peter Burn,Sydney,Australia,BINGO
82,Australian National University,Non-governmental organizations,4,3,1,Constituency - Research and independent,Mr. Mark Howden,Acton,Australia,RINGO
83,Australian Rainforest Conservation Society Inc.,Non-governmental organizations,1,1,0,Constituency - Environmental,Ms. Aila Keto,Milton,Australia,ENGO
84,Bangladesh Centre for Advanced Studies,Non-governmental organizations,3,2,1,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh,RINGO
85,Barcelona Centre for International Affairs,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Clara Creixams,Barcelona,Spain,RINGO
86,Basel Agency for Sustainable Energy,Non-governmental organizations,7,5,2,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland,ENGO
87,Basque Centre for Climate Change,Non-governmental organizations,3,2,1,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain,RINGO
88,Beijing Greenovation Hub for Public Welfare Development,Non-governmental organizations,6,3,3,Constituency - Environmental,Ms. Hongyu Guo,Beijing,China,ENGO
89,Beijing NGO Association for International Exchanges,Non-governmental organizations,5,4,1,,Ms. Pu Jin,Beijing,China,not yet affiliated/no data
90,Bellona Foundation,Non-governmental organizations,20,14,6,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway,ENGO
91,BHP Billiton SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. doing business as International CCS Knowledge Centre,Non-governmental organizations,2,0,2,Constituency - Business and Industry,Ms. C. Beth Hardy,Regina,Canada,BINGO
92,Biovision - Foundation for Ecological Development,Non-governmental organizations,3,3,0,Constituency - Environmental,Mr. Martin Herren,Zurich,Switzerland,ENGO
93,BirdLife International,Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Ms. Julie Hammer-Monart,Cambridge,United Kingdom of Great Britain and Northern Ireland,ENGO
94,Boston University,Non-governmental organizations,11,5,6,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America,RINGO
95,Both ENDS Foundation,Non-governmental organizations,6,1,5,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands,ENGO
96,Boticário Group Foundation for Nature Protection,Non-governmental organizations,8,6,2,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil,ENGO
97,Brahma Kumaris World Spiritual University,Non-governmental organizations,8,3,5,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Rajasthan,India,RINGO
98,Brazilian Biodiversity Fund,Non-governmental organizations,3,2,1,Constituency - Environmental,Mr. Fabio Heuseler Ferreira Leite,Rio de Janeiro,Brazil,ENGO
99,Brazilian Business Council for Sustainable Development,Non-governmental organizations,24,14,10,Constituency - Business and Industry,Ms. Luana Maia,Rio de Janiero,Brazil,BINGO
100,Brazilian Tree Industry,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Ms. Nathalia Granato Loures,Sao Paulo,Brazil,BINGO
101,Bread for the World,Non-governmental organizations,8,3,5,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany,ENGO
102,"Brighter Green, Inc.",Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America,ENGO
103,British Columbia Council for International Cooperation,Non-governmental organizations,6,1,5,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada,ENGO
104,Brown University - Watson Institute,Non-governmental organizations,3,1,2,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America,RINGO
105,Buddhist Tzu Chi Foundation,Non-governmental organizations,23,14,9,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America,ENGO
106,Buildings Performance Institute Europe A.S.B.L.,Non-governmental organizations,1,1,0,Constituency - Research and independent,Ms. Anne-Sophie Nollet,Brussels,Belgium,RINGO
107,Business Council for Sustainable Energy,Non-governmental organizations,11,4,7,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America,BINGO
108,Business for Social Responsibility,Non-governmental organizations,10,5,5,Constituency - Business and Industry,Ms. Samantha Harris,San Francisco,United States of America,BINGO
109,Business Unity South Africa,Non-governmental organizations,3,1,2,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa,BINGO
110,BusinessEurope,Non-governmental organizations,17,13,4,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium,BINGO
111,C Team,Non-governmental organizations,6,2,4,Constituency - Business and Industry,Mr. Qi Gao,Bejing,China,BINGO
112,C40 Cities Climate Leadership Group,Non-governmental organizations,15,6,9,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,LGMA
113,"Ca’ Foscari University, Venice",Non-governmental organizations,7,2,5,Constituency - Research and independent,Ms. Martina Marian,Venice ,Italy,RINGO
114,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Non-governmental organizations,9,6,3,Constituency - Business and Industry,Mr. Andres Pereda,MADRID,Spain,BINGO
115,Canadian Association of Petroleum Producers,Non-governmental organizations,3,2,1,Constituency - Business and Industry,Mr. Cole Schulz,Calgary,Canada,BINGO
116,Canadian Electricity Association,Non-governmental organizations,6,6,0,Constituency - Business and Industry,Mr. Channa Perera,Ottawa,Canada,BINGO
117,Canadian Foodgrains Bank Association Inc.,Non-governmental organizations,1,1,0,Constituency - Farmers,Ms. Adella Mueni Mutinda,Winnipeg,Canada,Farmers
118,Canadian Hydrogen and Fuel Cell Association,Non-governmental organizations,2,2,0,Constituency - Business and Industry,Mr. Nicolas Hilario,Vancouver,Canada,BINGO
119,Canadian Nuclear Association,Non-governmental organizations,3,3,0,Constituency - Business and Industry,Mr. John Gorman,Ottawa,Canada,BINGO
120,Carbon Capture and Storage Association,Non-governmental organizations,3,1,2,Constituency - Business and Industry,Ms. Judith Shapiro-Kønigshøfer,London,United Kingdom of Great Britain and Northern Ireland,BINGO
121,Carbon Emission (Greenhouse Gas) Reduction and Control Association,Non-governmental organizations,5,4,1,Constituency - Environmental,Mr. Ali Özcem Kilic,Istanbul,Turkey,ENGO
122,Carbon Market Institute Limited,Non-governmental organizations,12,8,4,Constituency - Business and Industry,Mr. Bradley Kerin,Melbourne,Australia,BINGO
123,Carbon Market Watch - Centre of Development & Environment,Non-governmental organizations,10,3,7,,Ms. Sabine Frank,Brussels,Belgium,not yet affiliated/no data
124,Carbon Tracker Initiative Limited,Non-governmental organizations,4,3,1,Constituency - Business and Industry2,Ms. Margherita Gagliardi,London,United Kingdom of Great Britain and Northern Ireland,BINGO
125,CarbonCare InnoLab Limited,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Debby Yi Yi Cheng,Hong Kong,China,ENGO
126,"Carbonfund.org Foundation, Inc.",Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Brian McFarland,Washington,United States of America,ENGO
127,"Care About Climate, Inc",Non-governmental organizations,25,7,18,Constituency - Environmental,Ms. Natalie Lucas,Flagstaff,United States of America,ENGO
128,CARE International,Non-governmental organizations,5,1,4,Constituency - Environmental CAN,Mr. Sven Harmeling,Copenhagen N,Denmark,ENGO
129,"Care of Creation, Inc.",Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Brian Webb,Madison,United States of America,ENGO
130,Caritas Internationalis,Non-governmental organizations,6,3,3,Constituency - Research and independent,Ms. Martina Liebsch,Citta del Vaticano,Holy See,RINGO
131,Carnegie Council for Ethics in International Affairs Inc.,Non-governmental organizations,7,5,2,Constituency - Research and independent,Mr. Joel Rosenthal,New York,United States of America,RINGO
132,Carre Geo & Environnement,Non-governmental organizations,6,1,5,Constituency - Environmental CAN,Mr. Ibrahim Mfondoun Mbamoko,Douala,Cameroon,ENGO
133,Catholic Rural Youth Movement Germany e.V.,Non-governmental organizations,8,4,4,Constituency - Youth,Ms. Julia Wäger,Bad Honnef,Germany,Youth
134,Catholic Youth Network for Environmental Sustainability in Africa,Non-governmental organizations,4,2,2,Constituency - Youth,Mr. David Munene,Nairobi,Kenya,Youth
135,CDP Worldwide,Non-governmental organizations,18,5,13,Constituency - Business and Industry,Ms. Jennifer Verity Gleed,London,United Kingdom of Great Britain and Northern Ireland,BINGO
136,CEE Bankwatch Network,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Petr Hlobil,Prague 9,Czechia,ENGO
137,Center for Biological Diversity,Non-governmental organizations,5,2,3,Constituency - Environmental CAN,Ms. Andrea Weber,Tucson,United States of America,ENGO
138,Center for Carbon Removal,Non-governmental organizations,2,1,1,Constituency - Environmental,Mr. Noah Deich,Berkeley,United States of America,ENGO
139,Center for Clean Air Policy,Non-governmental organizations,2,0,2,Constituency - Research and independent,Ms. Carolina Aguirre Echeverri,Washington D.C,United States of America,RINGO
140,Center for Climate and Energy Solutions,Non-governmental organizations,8,5,3,Constituency - Research and independent,Ms. Jennifer Huang,Arlington,United States of America,RINGO
141,"Center for Environmental Information, Inc.",Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Elizabeth Thorndike,Rochester,United States of America,ENGO
142,Center for Indigenous Peoples’ Research and Development,Non-governmental organizations,5,1,4,Constituency - Indigenous peoples,Ms. Pasang Dolma Sherpa,Kathmandu,Nepal,IPO
143,Centre for International Climate and Environmental Research,Non-governmental organizations,4,2,2,,Ms. Kristin Halvorsen,Oslo,Norway,not yet affiliated/no data
144,Center for International Environmental Law,Non-governmental organizations,8,3,5,Constituency - Environmental CAN,Mr. Sébastien Duyck,Washington,United States of America,ENGO
145,Center for Management and Strategic Studies,Non-governmental organizations,4,2,2,Constituency - Research and independent,Mr. Marcelo Poppe,Brasilia,Brazil,RINGO
146,Center for Natural Resource Studies,Non-governmental organizations,4,4,0,Constituency - Environmental,Mr. Anisul M. Islam,Dhaka,Bangladesh,ENGO
147,Center for Participatory Research and Development,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mr. Md Shamsuddoha,Dhaka,Bangladesh,RINGO
148,Center for Support of Indigenous Peoples of the North,Non-governmental organizations,4,2,2,Constituency - Indigenous peoples,Ms. Polina Shulbaeva Shulbaeva,Moscow,Russian Federation,IPO
149,Center of Life Institute,Non-governmental organizations,14,2,12,Constituency - Environmental,Ms. Alice Thuault,Cuiabá,Brazil,ENGO
150,Central University of Finance and Economics,Non-governmental organizations,9,3,6,Constituency - Research and independent,Ms. Ying Cui,Beijing,China,RINGO
151,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Non-governmental organizations,3,3,0,Constituency - Research and independent,Mr. Bruno Locatelli,Montpellier Cedex 5,France,RINGO
152,Centre de développement de la région de Tensift,Non-governmental organizations,6,6,0,Constituency - Environmental,M. Mohammed Mesouli,Marrakech,Morocco,ENGO
153,Centre for 21st Century Issues,Non-governmental organizations,10,9,1,Constituency - Women and Gender,Ms. Titilope Ngozi Akosa,Lagos,Nigeria,Women and Gender
154,Centre for Climate Change and Environmental Studies,Non-governmental organizations,9,8,1,Constituency - Environmental,Mr. Aminu Zakari,Abuja,Nigeria,ENGO
155,Centre for Environmental Justice,Non-governmental organizations,6,3,3,Constituency - Environmental CJN,Mr. Hemantha Withanage,Colombo,Sri Lanka,ENGO
156,Centre for Human Rights and Climate Change Research,Non-governmental organizations,2,0,2,Constituency - Environmental,Ms. Omoyemen Lucia Odigie-Emmanuel,Yenagoa,Nigeria,ENGO
157,Centre for International Sustainable Development Law,Non-governmental organizations,15,4,11,Constituency - Research and independent,Mr. Patrick Reynaud,Montreal,Canada,RINGO
158,Centre Hélios,Non-governmental organizations,5,4,1,Constituency - Research and independent,Mr. Philip Raphals,Montréal,Canada,RINGO
159,Centre International de droit Comparé de l’Environnement,Non-governmental organizations,4,1,3,Constituency - Environmental,Mr. Kablan Jean-Michel Atta,Limoges,France,ENGO
160,Centre International de Recherche sur l’Environnement et le Développement,Non-governmental organizations,2,2,0,Constituency - Research and independent,Mr. Cassen Christophe,Nogent-sur-Marne Cedex,France,RINGO
161,Centre National de la Recherche Scientifique,Non-governmental organizations,2,1,1,Constituency - Research and independent,Mme Agathe Euzen,Paris,France,RINGO
162,Centro Alexander von Humboldt,Non-governmental organizations,11,6,5,Constituency - Environmental CAN,Mr. Victor Manuel Campos Cubas,Managua,Nicaragua,ENGO
163,Centro de Planificación y Estudio Social,Non-governmental organizations,5,2,3,Constituency - Research and independent,Ms. María de Lourdes Barragán Alvarado,Quito,Ecuador,RINGO
164,Centro de Transporte Sustentable de México Asociacion Civil,Non-governmental organizations,2,1,1,Constituency - Environmental,Ms. Adriana de Almeida Lobo,Mexico City,Mexico,ENGO
165,Centro Internacional de Agricultura Tropical,Non-governmental organizations,6,5,1,Constituency - Research and independent,Mr. Andrew James Jarvis,Cali,Colombia,RINGO
166,Centro Mexicano de Derecho Ambiental,Non-governmental organizations,6,3,3,Constituency - Environmental CAN,Ms. Anaid Paola Velasco Ramirez,Mexico,Mexico,ENGO
167,"Ceres, Inc.",Non-governmental organizations,8,5,3,Constituency - Business and Industry,Mr. Christopher Fox,Boston,United States of America,BINGO
168,Chamber of Commerce of the United States of America,Non-governmental organizations,1,1,0,Constituency - Local government and Municipal authorities,Ms. Suzanne P. Clark,Washington D.C,United States of America,LGMA
169,Chant du Guépard dans le Désert,Non-governmental organizations,1,0,1,Constituency - Environmental,Mr. Hamed Ghazi,Karaj,Iran (Islamic Republic of),ENGO
170,Chatham House,Non-governmental organizations,2,0,2,Constituency - Research and independent,Mr. Robert Bailey,London,United Kingdom of Great Britain and Northern Ireland,RINGO
171,Children and Youth International,Non-governmental organizations,8,2,6,Constituency - Youth,Mr. Nhattan Nguyen,,United Kingdom of Great Britain and Northern Ireland,Youth
172,Children’s Investment Fund Foundation,Non-governmental organizations,1,0,1,Constituency - Environmental,Ms. Sonia Medina,London,United Kingdom of Great Britain and Northern Ireland,ENGO
173,China Association for NGO Cooperation,Non-governmental organizations,9,3,6,Constituency - Environmental CAN,Ms. Wang Xiang Yi,Beijing,China,ENGO
174,China Association for Science and Technology,Non-governmental organizations,9,6,3,Constituency - Research and independent,Mr. Jiuyi Qin,Beijing,China,RINGO
175,China Dialogue Trust,Non-governmental organizations,3,1,2,Constituency - ENGO,Ms. Laura Ann Woodbury,London,United Kingdom of Great Britain and Northern Ireland,ENGO
176,China Green Carbon Foundation,Non-governmental organizations,10,9,1,Constituency - Environmental,Mr. Yeyun He,Beijing,China,ENGO
177,China New Energy Chamber of Commerce,Non-governmental organizations,26,17,9,Constituency - Business and Industry,Ms. Dan Wu,Beijing,China,BINGO
178,China Science and Technology Exchange Center,Non-governmental organizations,7,3,4,Constituency - Research and independent,Ms. Jiying Chen,Beijing,China,RINGO
179,China South Low Carbon Academy,Non-governmental organizations,3,3,0,Constituency - Environmental,Ms. Weihong Li,Beijing,China,ENGO
180,Chinese People’s Association for Friendship with Foreign Countries,Non-governmental organizations,2,1,1,Constituency - Local government and Municipal authorities,Ms. Lan Deng,Beijing,China,LGMA
181,CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations,1,0,1,Constituency - Indigenous peoples,Ms. Celia Acasio Rodriguez,Lima,Peru,IPO
182,Christian Aid,Non-governmental organizations,11,3,8,Constituency - Environmental CAN,Ms. Katherine Kramer,London,United Kingdom of Great Britain and Northern Ireland,ENGO
183,Christian Commission for Development in Bangladesh,Non-governmental organizations,2,2,0,Constituency - Environmental,Mr. Sheikh Imran Kibria,Dhaka,Bangladesh,ENGO
