,name,entity_type,constituency,coordinator,city,country,remarks,const
37,Asociación AK Tenamit,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Stephen Dudenhoefer,Izabal,Guatemala,,IPO
38,Asociación Ambiente y Sociedad,Non-governmental organizations,Constituency - Environmental CAN,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,,ENGO
39,Asociación Civil Oikos,Non-governmental organizations,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru,,ENGO
40,Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,Constituency - Business and Industry2,Ms. Xiomara J. Paredes,San Salvador,El Salvador,,BINGO
41,Asociación de Comunidades Forestales de Petén,Non-governmental organizations,,Mr. Marcedonio Cortave,Petén,Guatemala,,not yet affiliated/no data
42,Asociación Española de la Industria Eléctrica,Non-governmental organizations,,Ms. Marina Serrano,Madrid,Spain,completed manually,not yet affiliated/no data
43,Asociación Española del Gas,Non-governmental organizations,Constituency - Business and Industry2,Ms. Naiara Ortiz de Mendíbil,Barcelona,Spain,,BINGO
44,Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru,,IPO
45,Asociación La Ruta del Clima,Non-governmental organizations,Constituency - Environmental,Mr. Adrian Alberto Martinez Blanco,San José,Costa Rica,,ENGO
46,Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru,,IPO
47,Asociación Proteger,Non-governmental organizations,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina,,ENGO
48,Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Lyndon Pishagua Chinchuya,Satipo,Peru,,IPO
49,Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations,Constituency - Youth,Mr. Jean Paul Brice Affana Affana,Yaounde,Cameroon,,Youth
50,Association Climate-KIC,Non-governmental organizations,Constituency - Business and Industry,Ms. Julia Franchi Scarselli,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
51,Association Democratique des Femmes du Maroc,Non-governmental organizations,Constituency - Women and Gender,Ms. Dalila Loudyi,Casablanca,Morocco,,Women and Gender
52,Association des communautés urbaines de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Philippe Angotti,Paris,France,,LGMA
53,Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed Chaouki,Casablanca,Morocco,,ENGO
54,Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations,Constituency - Environmental,Ms. Samia El Baouchi,Sefrou,Morocco,,ENGO
55,Association Française des Entreprises pour l'Environnement,Non-governmental organizations,Constituency - Environmental,Mr. David Laurent,Paris,France,,ENGO
56,Association La Voûte Nubienne,Non-governmental organizations,Constituency - Environmental,Mme Cécilia Rinaudo,Carrieres Sur Seine,France,,ENGO
57,Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations,Constituency - Environmental,Mr. Abdechahid Loukili,Berrechid,Morocco,,ENGO
58,Association of American Geographers,Non-governmental organizations,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America,,RINGO
59,Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Clemens Marcel Kremer,Berlin,Germany,,BINGO
60,Association of Sustainable Ecological Engineering Development,Non-governmental organizations,Constituency - Environmental,Mr. JuiWen Chen,New Taipei City,China,,ENGO
61,Ateneo de Manila University,Non-governmental organizations,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines,,RINGO
62,Avaaz Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Risalat Khan,New York,United States of America,,ENGO
63,Avelife (Ltd.),Non-governmental organizations,Constituency - Youth,Mr. Jin Quan Mark Cheng,Singapore,Singapore,,Youth
64,Bangladesh Centre for Advanced Studies,Non-governmental organizations,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh,,RINGO
65,Barcelona Centre for International Affairs,Non-governmental organizations,Constituency - Research and independent,Ms. Clara Creixams,Barcelona,Spain,,RINGO
66,Basel Agency for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland,,ENGO
67,Basque Centre for Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain,,RINGO
68,Bay Area Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Adrian Joseph Covert,San Francisco,United States of America,,BINGO
69,Beijing Greenovation Hub for Public Welfare Development,Non-governmental organizations,Constituency - Environmental,Ms. Hongyu Guo,Beijing,China,,ENGO
70,Beijing NGO Association for International Exchanges,Non-governmental organizations,,Ms. Pu Jin,Beijing,China,,not yet affiliated/no data
71,Bellona Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway,,ENGO
72,Bianca Jagger Human Rights Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Bianca Jagger,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
73,"Bill, Hillary & Chelsea Clinton Foundation",Non-governmental organizations,Constituency - Environmental,Mr. Jesse Gerstin,New York,United States of America,,ENGO
74,Biovision - Foundation for Ecological Development,Non-governmental organizations,Constituency - Environmental,Mr. Martin Herren,Zurich,Switzerland,,ENGO
75,BirdLife International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Julie Hammer-Monart,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
76,Blue Green Alliance Foundation,Non-governmental organizations,Constituency - Trade Unions,Ms. Kelly Marie Schwinghammer,Minneapolis,United States of America,,TUNGO
77,Boston University,Non-governmental organizations,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America,,RINGO
78,Both ENDS Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands,,ENGO
79,Boticário Group Foundation for Nature Protection,Non-governmental organizations,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil,,ENGO
80,Brahma Kumaris World Spiritual University,Non-governmental organizations,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Rajasthan,India,,RINGO
81,Bread for the World,Non-governmental organizations,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany,,ENGO
82,"Brighter Green, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America,,ENGO
83,British Columbia Council for International Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada,,ENGO
84,Brown University - Watson Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America,,RINGO
85,Buddhist Tzu Chi Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America,,ENGO
86,Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America,,BINGO
87,Business for Social Responsibility,Non-governmental organizations,Constituency - Business and Industry,Ms. Samantha Harris,San Francisco,United States of America,,BINGO
88,Business Unity South Africa,Non-governmental organizations,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa,,BINGO
89,BusinessEurope,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium,,BINGO
90,C40 Cities Climate Leadership Group,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,,LGMA
91,"Ca' Foscari University, Venice",Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Venice,Italy,,RINGO
92,Canadian Electricity Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Channa Perera,Ottawa,Canada,,BINGO
93,Canadian Foodgrains Bank Association Inc.,Non-governmental organizations,Constituency - Farmers,Ms. Adella Mueni Mutinda,Winnipeg,Canada,,Farmers
94,Canadian Nuclear Association,Non-governmental organizations,Constituency - Business and Industry,Mr. John Gorman,Ottawa,Canada,,BINGO
95,Carbon Capture and Storage Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Judith Shapiro-Kønigshøfer,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
96,Carbon Emission (Greenhouse Gas) Reduction and Control Association,Non-governmental organizations,Constituency - Environmental,Mr. Ali Özcem Kilic,Istanbul,Turkey,,ENGO
97,Carbon Market Institute Limited,Non-governmental organizations,Constituency - Business and Industry,Mr. Bradley Kerin,Melbourne,Australia,,BINGO
98,Carbon Market Watch - Centre of Development & Environment,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sabine Frank,Brussels,Belgium,completed manually from UNFCCC website,ENGO
99,Carbon Tracker Initiative Limited,Non-governmental organizations,Constituency - Business and Industry2,Ms. Margherita Gagliardi,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
100,Cardiff University,Non-governmental organizations,Constituency - Youth,Ms. Hannah Rachel Hughes,Cardiff,United Kingdom of Great Britain and Northern Ireland,,Youth
101,"Care About Climate, Inc",Non-governmental organizations,Constituency - Environmental,Ms. Natalie Lucas,Flagstaff,United States of America,,ENGO
102,CARE International,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sven Harmeling,Copenhagen N,Denmark,,ENGO
103,Caritas Internationalis,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Liebsch,Citta del Vaticano,Holy See,,RINGO
104,Carnegie Institution for Washington,Non-governmental organizations,Constituency - Research and independent,Mr. Christopher Bower Field,Washington,United States of America,,RINGO
105,Carnegie Mellon University,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Stine,Pittsburgh,United States of America,,RINGO
106,Carre Geo & Environnement,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ibrahim Mfondoun Mbamoko,Douala,Cameroon,,ENGO
107,CDP Worldwide,Non-governmental organizations,Constituency - Business and Industry,Ms. Jennifer Verity Gleed,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
108,CEE Bankwatch Network,Non-governmental organizations,Constituency - Environmental,Mr. Petr Hlobil,Prague 9,Czechia,,ENGO
109,CEMBUREAU,Non-governmental organizations,Constituency - Business and Industry,Mr. James Edward Rushworth,Brussels,Belgium,,BINGO
110,Center for American Progress,Non-governmental organizations,Constituency - Research and independent,Mr. Alan Yu,Washington,United States of America,,RINGO
111,Center for Biological Diversity,Non-governmental organizations,Constituency - Environmental CAN,Ms. Andrea Weber,Tucson,United States of America,,ENGO
112,Center for Carbon Removal,Non-governmental organizations,Constituency - Environmental,Mr. Noah Deich,Berkeley,United States of America,,ENGO
113,Center for Clean Air Policy,Non-governmental organizations,Constituency - Research and independent,Ms. Carolina Aguirre Echeverri,Washington D.C,United States of America,,RINGO
114,Center for Climate and Energy Solutions,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Huang,Arlington,United States of America,,RINGO
115,"Center for Climate Strategies, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,,ENGO
116,Center for Environment and Sustainable Development Studies and Application,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Razavi,Tehran,Iran (Islamic Republic of),,ENGO
117,Center for International Climate and Environmental Research,Non-governmental organizations,Constituency - Research and independent,Mr. Christian Bjornaes,Oslo,Norway,,RINGO
118,Center for International Environmental Law,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sébastien Duyck,Washington,United States of America,,ENGO
119,Center for Natural Resource Studies,Non-governmental organizations,Constituency - Environmental,Mr. Anisul M. Islam,Dhaka,Bangladesh,,ENGO
120,Center of Life Institute,Non-governmental organizations,Constituency - Environmental,Ms. Alice Thuault,Cuiabá,Brazil,,ENGO
121,Central Ashaninka del Río Ene,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Paula Mercedes Acevedo Llenque,Satipo,Peru,,IPO
122,Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Non-governmental organizations,Constituency - Research and independent,Mr. Bruno Locatelli,Montpellier Cedex 5,France,,RINGO
123,Centre de développement de la région de Tensift,Non-governmental organizations,Constituency - Environmental,M. Mohammed Mesouli,Marrakech,Morocco,,ENGO
124,Centre for 21st Century Issues,Non-governmental organizations,Constituency - Women and Gender,Ms. Titilope Ngozi Akosa,Lagos,Nigeria,,Women and Gender
125,Centre for Climate Change and Environmental Studies,Non-governmental organizations,Constituency - Environmental,Mr. Aminu Zakari,Abuja,Nigeria,,ENGO
126,Centre for Community Economics and Development Consultants Society,Non-governmental organizations,Constituency - Farmers,Mr. Sharad Joshi,Jaipur,India,,Farmers
127,Centre for Environmental Justice,Non-governmental organizations,Constituency - Environmental CJN,Mr. Hemantha Withanage,Colombo,Sri Lanka,,ENGO
128,Centre for European Economic Research,Non-governmental organizations,Constituency - Research and independent,Mr. Martin Kesternich,Mannheim,Germany,,RINGO
129,Centre for European Policy Studies,Non-governmental organizations,Constituency - Research and independent,Ms. Monica Alessi,Brussels,Belgium,,RINGO
130,Centre for International Governance Innovation,Non-governmental organizations,Constituency - Research and independent,Ms. Oonagh Fitzgerald,Waterloo,Canada,,RINGO
131,Centre for International Sustainable Development Law,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Reynaud,Montreal,Canada,,RINGO
132,Centre for Science and Environment,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sunita Narain,New Delhi,India,,ENGO
133,Centre International de droit Comparé de l'Environnement,Non-governmental organizations,Constituency - Environmental,Mr. Kablan Jean-Michel Atta,Limoges,France,,ENGO
134,Centre international de recherche sur l'environnement et le développement,Non-governmental organizations,Constituency - Research and independent,Mr. Cassen Christophe,Nogent-sur-Marne Cedex,France,completed manually from UNFCCC website,RINGO
135,Centre National de la Recherche Scientifique,Non-governmental organizations,Constituency - Research and independent,Mme Agathe Euzen,Paris,France,,RINGO
136,Centre pour l'Environnement et le Développement,Non-governmental organizations,,Mr. Samuel Nguiffo,Yaounde,Cameroon,completed manually,not yet affiliated/no data
137,Centro Alexander von Humboldt,Non-governmental organizations,Constituency - Environmental CAN,Mr. Victor Manuel Campos Cubas,Managua,Nicaragua,,ENGO
138,Centro de Apoyo a la Gestión Sustentable del Agua y el Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Paula Lady Pacheco Mollinedo,La Paz,Bolivia (Plurinational State of),,ENGO
139,Centro de Planificación y Estudio Social,Non-governmental organizations,Constituency - Research and independent,Ms. María de Lourdes Barragán Alvarado,Quito,Ecuador,,RINGO
140,Centro Internacional de Agricultura Tropical,Non-governmental organizations,Constituency - Research and independent,Mr. Andrew James Jarvis,Cali,Colombia,,RINGO
141,"Ceres, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Christopher Fox,Boston,United States of America,,BINGO
142,Chamber of Commerce of the United States of America,Non-governmental organizations,,Ms. Suzanne P. Clark,Washington DC,United States of America,completed manually,not yet affiliated/no data
143,Chatham House,Non-governmental organizations,Constituency - Research and independent,Mr. Robert Bailey,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
144,Children and Youth International,Non-governmental organizations,Constituency - Youth,Mr. Nhattan Nguyen,,United Kingdom of Great Britain and Northern Ireland,,Youth
145,China Association for NGO Cooperation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Wang Xiang Yi,Beijing,China,,ENGO
146,China Association for Science and Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Jiuyi Qin,Beijing,China,,RINGO
147,China Green Carbon Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Yeyun He,Beijing,China,,ENGO
148,China New Energy Chamber of Commerce,Non-governmental organizations,Constituency - Business and Industry,Ms. Dan Wu,Beijing,China,,BINGO
149,China NGO Network for International Exchanges,Non-governmental organizations,Constituency - Environmental,Ms. Fan Gui Fen,Beijing,China,,ENGO
150,Chinese Renewable Energy Industry Association,Non-governmental organizations,Constituency - Business and Industry2,Ms. Nan Li,Bei Jing,China,,BINGO
151,CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Celia Acasio Rodriguez,Lima,Peru,,IPO
152,Christian Aid,Non-governmental organizations,Constituency - Environmental CAN,Ms. Katherine Kramer,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
153,Citizens Alliance for Saving the Atmosphere and the Earth,Non-governmental organizations,Constituency - Environmental CAN,Ms. Michiyo Tsuchida,Osaka,Japan,,ENGO
154,Citizens' Climate Education Corp.,Non-governmental organizations,Constituency - ENGO,Mr. Joseph Robertson,Coronado,United States of America,,ENGO
155,Civic Exchange,Non-governmental organizations,Constituency - Environmental,Mr. John So,Hong Kong,China,,ENGO
156,"Clean Air Initiative for Asian Cities Center, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Maria Glynda Bathan-Baterina,Pasig City,Philippines,,ENGO
157,Clean Air Task Force,Non-governmental organizations,Constituency - Research and independent,Mr. Jonathan Lewis,Boston,United States of America,,RINGO
158,ClientEarth,Non-governmental organizations,Constituency - Environmental CAN,Ms. Eleanor Gold,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
159,Climate Action Network - Europe,Non-governmental organizations,Constituency - Environmental CAN,Mr. Tom Boyle,Brussels,Belgium,,ENGO
160,Climate Action Network Australia,Non-governmental organizations,Constituency - Environmental CAN,Mr. Oliver Paget Toohey,Ultimo,Australia,,ENGO
161,Climate Action Network Canada,Non-governmental organizations,Constituency - Environmental CAN,Mr. Christian Holz,Ottawa,Canada,,ENGO
162,Climate Action Network International,Non-governmental organizations,Constituency - Environmental CAN,Mme Tashneem Essop,Beirut,Lebanon,,ENGO
163,Climate Action Reserve,Non-governmental organizations,Constituency - Environmental,Mr. Craig Douglas Ebert,Los Angeles,United States of America,,ENGO
164,Climate Aid Initiative,Non-governmental organizations,Constituency - Environmental,Mr. Oluwatosin Kolawole,Ikeja,Nigeria,,ENGO
165,Climate Alliance (Klima-Bündnis),Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Silke Lunnebach,Frankfurt am Main,Germany,,LGMA
166,Climate Alliance Austria,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Markus Hafner-Auinger,Vienna,Austria,,LGMA
167,Climate Alliance Italy,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Karl-Ludwig Schibel,Città di Castello,Italy,,LGMA
168,Climate Analytics GmbH,Non-governmental organizations,Constituency - Research and independent,Ms. Mavis Durowaa Mainu,Berlin,Germany,,RINGO
169,Climate and Health Alliance Inc.,Non-governmental organizations,Constituency - Research and independent,Ms. Fiona Armstrong,Melbourne,Australia,,RINGO
170,Climate and Health Limited,Non-governmental organizations,Constituency - Research and independent,Ms. Maya Tickell-Painter,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
171,Climate and Sustainable Development Network of Nigeria,Non-governmental organizations,Constituency - Environmental,Mr. Atayi Ezekiel Opaluwah,Ibadan,Nigeria,,ENGO
172,Climate Bonds Initiative,Non-governmental organizations,Constituency - Business and Industry2,Mr. Sean Stafford Kidney,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
173,Climate Business Network,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Noel Pembleton,Svartzjö,Sweden,,BINGO
174,Climate Change Center,Non-governmental organizations,Constituency - ENGO,Ms. Hyeji Shin,Seoul,Republic of Korea,,ENGO
175,Climate Change Forum,Non-governmental organizations,Constituency - Environmental,Mr. Sungjo Lee,Seoul,Republic of Korea,,ENGO
176,Climate Change Research Institute of Korea,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Gi Jeung Um,Chuncheon-si,Republic of Korea,,LGMA
177,Climate Generation: A Will Steger Legacy,Non-governmental organizations,Constituency - Environmental CAN,Ms. Nicole Barbara Rom,Minneapolis,United States of America,,ENGO
178,Climate Justice Program,Non-governmental organizations,Constituency - Environmental CAN,Mr. Stephen Leonard,Stanwell Tops,Australia,,ENGO
179,Climate Leadership Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Wynn Tucker,Washington,United States of America,,BINGO
180,Climate Markets and Investment Association Limited,Non-governmental organizations,Constituency - Business and Industry,Ms. Margaret-Ann Splawn,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
181,Climate Outreach Information Network,Non-governmental organizations,Constituency - Environmental,Mr. James William Charles Clarke,Oxford,United Kingdom of Great Britain and Northern Ireland,,ENGO
182,Climate Policy Center,Non-governmental organizations,Constituency - Environmental,Ms. Pamela Jean Pearson,Washington DC,United States of America,,ENGO
183,"Climate Policy Initiative, Inc",Non-governmental organizations,Constituency - Research and independent,Ms. Kaye Michelle Bettney,San Francisco,United States of America,,RINGO
184,Climate Strategies,Non-governmental organizations,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,,ENGO
185,ClimateNet,Non-governmental organizations,Constituency - Research and independent,Mr. Björn Dransfeld,Hamburg,Germany,,RINGO
186,Climatepolicy.net e.V.,Non-governmental organizations,Constituency - Research and independent,M. Niklas Eberhard Hohne,Cologne,Germany,,RINGO
187,CliMates,Non-governmental organizations,Constituency - Youth,Ms. Sarah Bittner,Paris,France,,Youth
188,ClimateWorks Foundation,Non-governmental organizations,Constituency - ENGO,Mr. Charles McElwee,San Francisco,United States of America,,ENGO
189,CO2GeoNet - The European Network of Excellence on Geological Storage of CO2,Non-governmental organizations,Constituency - Research and independent,Mr. Sergio Persoglia,Orleans,France,,RINGO
190,Coalition for Our Common Future,Non-governmental organizations,Constituency - Business and Industry2,Ms. Sung-Yeon Kweon,Seoul,Republic of Korea,,BINGO
191,Coalition on Agricultural Greenhouse Gases,Non-governmental organizations,Constituency - Environmental,Ms. Shiva Scotti,Falls Church,United States of America,,ENGO
192,Coastal Association for Social Transformation Trust,Non-governmental organizations,Constituency - Environmental CAN,Mr. Syed Aminul Hoque,Dhaka,Bangladesh,,ENGO
193,Coastal Development Partnership,Non-governmental organizations,Constituency - Environmental CAN,Mr. Md. Atiqurrahman Tipu,Dhaka,Bangladesh,,ENGO
194,"COBASE, Cooperativa Tecnico Scientifica di Base",Non-governmental organizations,Constituency - Environmental,Mr. Massimo Pieri,Rome,Italy,,ENGO
195,Colegio de Abogados Especialistas en Derecho Ambiental de Colombia,Non-governmental organizations,Constituency - Research and independent,Mr. Gilberto Rincon,Bogotá,Colombia,,RINGO
196,College of Saint Benedict,Non-governmental organizations,Constituency - Research and independent,Ms. Corrie Grosse,St. Joseph,United States of America,,RINGO
197,College of the Atlantic,Non-governmental organizations,Constituency - Research and independent,Ms. Doreen Stabinsky,Bar Harbor,United States of America,,RINGO
198,Cologne Institute for Economic Research,Non-governmental organizations,Constituency - Research and independent,Mr. Hubertus Bardt,Cologne,Germany,,RINGO
199,Colorado State University,Non-governmental organizations,Constituency - Research and independent,Ms. Aleta Rudeen Weller,Fort Collins,United States of America,,RINGO
