,name,entity_type,constituency,coordinator,city,country,remarks,const
35,Alana,Non-governmental organizations,Constituency - Environmental,Mr. JP Amaral,São Paulo,Brazil,,ENGO
36,Aldersgate Group,Non-governmental organizations,Constituency - Business and Industry,Ms. Signe Norberg,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
37,All Africa Conference of Churches,Non-governmental organizations,Constituency - Environmental,Mr. Fidon Mwombeki,Nairobi,Kenya,,ENGO
38,All China Environment Federation,Non-governmental organizations,Constituency - Environmental,Ms. Xiaoyi Gao,Beijing,China,,ENGO
39,All India Women’s Conference,Non-governmental organizations,Constituency - Women and Gender,Ms. Rakesch Dhawan,New Delhi,India,completed manually from the UNFCCC website,Women and Gender
40,AllForClimate,Non-governmental organizations,Constituency - Environmental,Ms. Leen Schelfhout,Brussels,Belgium,,ENGO
41,Alliance for Climate Education,Non-governmental organizations,Constituency - Environmental CAN,Ms. Leah Qusba,Oakland,United States of America,,ENGO
42,Alliance for Global Water Adaptation,Non-governmental organizations,Constituency - Research and independent,Ms. Ingrid Timboe,Corvallis,United States of America,,RINGO
43,Alliance for Responsible Atmospheric Policy,Non-governmental organizations,Constituency - Business and Industry,Mr. Kevin Fay,Arlington,United States of America,,BINGO
44,Alliance for Rural Electrification,Non-governmental organizations,Constituency - Business and Industry,Mr. David Lecoque,Brussels,Belgium,,BINGO
45,Alliance of Nurses for Healthy Environments,Non-governmental organizations,Constituency - Environmental,Ms. Cara Cook,"Mt. Rainier, MD",United States of America,,ENGO
46,Alliance to Save Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Susanna McElroy,Washington,United States of America,,BINGO
47,Alziras Institute,Non-governmental organizations,Constituency - Women and Gender,Sra. Marina Barros,Rio de Janeiro,Brazil,,Women and Gender
48,Amazon Center for Environmental Education and Research Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Paul Alan Morgan,Westchester,United States of America,,ENGO
49,Amazon Environmental Research Institute,Non-governmental organizations,Constituency - Environmental,Ms. Gabriela Savian,Belem,Brazil,,ENGO
50,Amazon Institute of People and the Environment,Non-governmental organizations,Constituency - Research and independent,Sra. Brenda Brito do Carmo,Belém,Brazil,,RINGO
51,Amazon Watch,Non-governmental organizations,Constituency - Environmental,Mr. Andrew Miller,San Francisco,United States of America,,ENGO
52,American Anthropological Association,Non-governmental organizations,Constituency - Environmental,Ms. Julie Raymond,Arlington,United States of America,,ENGO
53,American Bar Association,Non-governmental organizations,,Ms. Amy Eggert,Chicago,United States of America,,not yet affiliated/no data
54,American Chemical Society,Non-governmental organizations,Constituency - Research and independent,Mr. James C. Maxwell,Washington DC,United States of America,,RINGO
55,American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,Constituency - ENGO,Mr. Brad Markell,Washington,United States of America,,ENGO
56,American Forests,Non-governmental organizations,Constituency - Environmental,Ms. Rebecca Turner,Washington,United States of America,,ENGO
57,American Nuclear Society,Non-governmental organizations,Constituency - Research and independent,Ms. Aubrey Whittington,La Grange Park,United States of America,,RINGO
58,American Psychological Association,Non-governmental organizations,Constituency - Research and independent,Mr. Gabriel Twose,Washington,United States of America,,RINGO
59,"American Society of Heating, Refrigerating and Air-Conditioning Engineers, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Jeff Littleton,Peachtree Corners,United States of America,,BINGO
60,American Sustainable Business Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Green,Washington DC,United States of America,,BINGO
61,American University,Non-governmental organizations,Constituency - Research and independent,Ms. Sikina Jinnah,Washington,United States of America,,RINGO
62,Amnesty International,Non-governmental organizations,Constituency - Research and independent,Mr. Ashfaq Khalfan,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
63,An Organization for Socio-Economic Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Shamim Arfeen,Khulna,Bangladesh,,ENGO
64,Angel Support Foundation,Non-governmental organizations,Constituency - Environmental,Mme Mary Ugbaa,Makurdi,Nigeria,,ENGO
65,Anglican Consultative Council,Non-governmental organizations,,Mr. Jack Palmer-White,London,United Kingdom of Great Britain and Northern Ireland,,not yet affiliated/no data
66,Antarctic and Southern Ocean Coalition,Non-governmental organizations,Constituency - Environmental,Ms. Claire Christian,"Washington, DC",United States of America,,ENGO
67,Aotearoa Youth Leadership Institute,Non-governmental organizations,Constituency - Youth,Mr. Benjamin Brooking,Auckland,New Zealand,,Youth
68,Appalachian State University,Non-governmental organizations,Constituency - Research and independent,Mr. David McEvoy,Boone,United States of America,,RINGO
69,AQOCI,Non-governmental organizations,Constituency - Women and Gender,Mr. Denis Côté,Montréal,Canada,,Women and Gender
70,Arab Network for Environment and Develoment,Non-governmental organizations,Constituency - Environmental,Ms. Ghada Ahmadein,Cairo,Egypt,completed manually from the UNFCCC website,ENGO
71,Arapyaú Institute,Non-governmental organizations,Constituency - Environmental,Ms. Renata Piazzon,Sao Paulo,Brazil,,ENGO
72,Architecture 2030 Inc.,Non-governmental organizations,Constituency - Environmental,Mr. Edward Mazria,Santa Fe,United States of America,,ENGO
73,Arctic Athabaskan Council,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Cynthia Rose Dickson,Whitehorse,Canada,,IPO
74,Arizona State University,Non-governmental organizations,Constituency - Research and independent,Mr. Daniel Bodansky,Glendale,United States of America,,RINGO
75,Asabe Shehu Yar’adua Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Aisha Mohammed,Abuja,Nigeria,completed manually from the UNFCCC website,IPO
76,"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Virginie Fayolle,Asheville,United States of America,,ENGO
77,Ashoka Trust for Research in Ecology and the Environment,Non-governmental organizations,Constituency - Environmental,Ms. Karishma Shelar,Bangalore,India,,ENGO
78,Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,,IPO
79,Asia Society,Non-governmental organizations,Constituency - Research and independent,Ms. Debra Rachel Eisenman,New York,United States of America,,RINGO
80,Asia-Europe Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Grazyna Pulawska,Singapore,Singapore,,RINGO
81,Asian Pacific Resource and Research Centre for Women,Non-governmental organizations,Constituency - Women and Gender,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia,,Women and Gender
82,Asociación AK Tenamit,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Stephen Dudenhoefer,Izabal,Guatemala,,IPO
83,Asociación Ambiente y Sociedad,Non-governmental organizations,Constituency - Environmental CAN,Sra. Blanca Maria Margarita Florez Alonso,Bogotá,Colombia,,ENGO
84,Asociación Civil Oikos,Non-governmental organizations,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru,,ENGO
85,Asociación Civil Sustentar para el Desarrollo Sostenible,Non-governmental organizations,Constituency - Environmental,Sra. Giselle Quintenla,Ciudad Autonoma de Buenos Aires,Argentina,,ENGO
86,Asociación Cluster de Industrias de Medio Ambiente de Euskadi,Non-governmental organizations,Constituency - Business and Industry,Sra. Begoña Castillo,Bilbao,Spain,,BINGO
87,Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,Constituency - Business and Industry,Ms. Xiomara J. Paredes,San Salvador,El Salvador,,BINGO
88,Asociación de Comunidades Forestales de Petén,Non-governmental organizations,,Mr. Marcedonio Cortave,Petén,Guatemala,,not yet affiliated/no data
89,Asociación de Empresas de Energía Eléctrica,Non-governmental organizations,Constituency - Business and Industry,Mr. Luis Alberca Carpintero,Madrid,Spain,,BINGO
90,Asociación Española del Gas,Non-governmental organizations,Constituency - Business and Industry,Ms. Naiara Ortiz de Mendíbil,Barcelona,Spain,,BINGO
91,Asociación Española para la Economía Energética,Non-governmental organizations,Constituency - Research and independent,Mr. Miguel Ángel Muñoz Rodríguez,Vigo,Spain,,RINGO
92,Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,Constituency - Environmental CAN,Sra. Florencia Ortúzar,Oakland,United States of America,,ENGO
93,Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru,,IPO
94,Asociación La Ruta del Clima,Non-governmental organizations,Constituency - Environmental,Mr. Adrian Alberto Martinez Blanco,San José,Costa Rica,,ENGO
95,Asociación Nacional de Empresas de Servicios Energéticos,Non-governmental organizations,Constituency - Environmental,Mr. Luis Alvarez,Madrid,Spain,,ENGO
96,Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru,,IPO
97,Asociación Proteger,Non-governmental organizations,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina,,ENGO
98,Asociación Regional de Empresas de Petróleo y Gas Natural en Latinoamérica y el Caribe,Non-governmental organizations,Constituency - Business and Industry,Sra. Irene Alfaro Barrios,Montevideo,Uruguay,,BINGO
99,Assemblée des Régions d’Europe,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Vania Freitas,Strasbourg,France,completed manually from the UNFCCC website,LGMA
100,Assembly of First Nations,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Regina Toulouse,Ottawa,Canada,,IPO
101,Association Actions Vitales Pour Le Développement Durable,Non-governmental organizations,Constituency - Youth,Mr. Affana Affana Jean Paul Brice,Yaounde,Cameroon,,Youth
102,Association Climate-KIC,Non-governmental organizations,Constituency - Business and Industry,,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
103,Association de la Jeunesse Congolaise pour le Développement,Non-governmental organizations,Constituency - Youth,Mr. Arthur Patrice Makouantsi,Brazzaville,Congo,completed manually from the UNFCCC website,Youth
104,Association Des 3 Hérissons,Non-governmental organizations,Constituency - Environmental,Ms. Mengjiao Wang,Carpentras,France,,ENGO
105,Association des Clubs des Amis de la Nature du Cameroun,Non-governmental organizations,Constituency - Environmental,Mr. Raphael Hanmbock,Douala,Cameroon,completed manually from the UNFCCC website,ENGO
106,Association des Enseignants des Sciences de la Vie et de la Terre,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed Chaouki,Casablanca,Morocco,,ENGO
107,Association des Femmes Peules et Peuples Autochtones du Tchad,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Hindou Oumarou Ibrahim,N'Djamena,Chad,,IPO
108,Association des Jeunes pour le Développement du Ouaddai,Non-governmental organizations,Constituency - Environmental,Mr. Saleh Souleymane Abdoulaye,Ndjamena,Chad,completed manually from the UNFCCC website,ENGO
109,Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed-Awali Ouro-Djeri Djobo,Lome,Togo,,ENGO
110,Association du Gharb pour la Protection de l’Environnement,Non-governmental organizations,Constituency - Environmental,Mr. Mohammed Benyakhlef,Kenitra,Morocco,completed manually from the UNFCCC website,ENGO
111,Association Femmes Bladi pour le Développement et le Tourisme,Non-governmental organizations,Constituency - Environmental,Ms. Samia El Baouchi,Sefrou,Morocco,,ENGO
112,Association for Sustainable Development Milieukontakt Macedonia,Non-governmental organizations,Constituency - Environmental,Mr. Igor Slavkoski,Skopje,North Macedonia,completed manually from the UNFCCC website,ENGO
113,Association Française des Entreprises pour l’Environnement,Non-governmental organizations,Constituency - Business and Industry,Mr. David Laurent,Paris,France,completed manually from the UNFCCC website,BINGO
114,Association Internationale des Maires et Responsables des Capitales et Metropoles Partiellement ou Entièrement Francophones,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mme Julie Guillaume,Paris,France,completed manually from the UNFCCC website,LGMA
115,Association Jeunesse Verte du Cameroun,Non-governmental organizations,Constituency - Women and Gender,Ms. Marie Tamoifo Nkom,Yaounde,Cameroon,,Women and Gender
116,Association Marocaine pour la Protection des Aires Marines et Développement Durable,Non-governmental organizations,Constituency - Environmental,Mr. Abdechahid Loukili,Berrechid,Morocco,,ENGO
117,Association of American Geographers,Non-governmental organizations,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America,,RINGO
118,Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Clemens Marcel Kremer,Berlin,Germany,,BINGO
119,Association of Energy Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. William Kent,Atlanta,United States of America,,BINGO
120,Association pour l’Innovation et la Recherche au Service du Climat,Non-governmental organizations,Constituency - Research and independent,Ms. Aurore Aubail,Marseille,France,completed manually from the UNFCCC website,RINGO
121,Association Québécoise de Lutte contre la Pollution Atmosphérique,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alain Francois Brunel,St. Léon -de-Standon,Canada,,ENGO
122,Atelier21,Non-governmental organizations,Constituency - Environmental,Mr. Cedric Carles,Paris,France,,ENGO
123,Ateneo de Manila University,Non-governmental organizations,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines,,RINGO
124,Atlantic Council,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Gastelumendi,Washington DC,United States of America,,ENGO
125,Australian Climate Coolers Limited - 1 Million Women,Non-governmental organizations,Constituency - Environmental,Ms. Natalie Isaacs,The Rocks,Australia,,ENGO
126,Australian Conservation Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kelly-Ann O'Shanassy,Carlton,Australia,,ENGO
127,Australian Council for Educational Research,Non-governmental organizations,Constituency - Research and independent,Ms. Bethany Davies,Melbourne,Australia,,RINGO
128,Australian Rainforest Conservation Society Inc.,Non-governmental organizations,Constituency - Environmental,Ms. Aila Keto,Milton,Australia,,ENGO
129,Australian Youth Climate Coalition,Non-governmental organizations,Constituency - Youth,Ms. Hillary Eve Montague,Carlton,Australia,,Youth
130,Avaaz Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Risalat Khan,New York,United States of America,,ENGO
131,Avenir Climatique,Non-governmental organizations,Constituency - Youth,Ms. Léa Cruse,Paris,France,,Youth
132,Babatunde Development and Empowerment Initiative,Non-governmental organizations,Constituency - Youth,Mr. Ajani Wasiu Babatunde,Akure Ondo State,Nigeria,,Youth
133,Bahu Trust,Non-governmental organizations,,Mr. Kamran Shezad,Birmingham,United Kingdom of Great Britain and Northern Ireland,,not yet affiliated/no data
134,Baltic and International Maritime Council,Non-governmental organizations,Constituency - Business and Industry,Ms. Beverley Mackenzie,Bagsvaerd,Denmark,,BINGO
135,Ban Ki -moon Centre for Global Citizens,Non-governmental organizations,Constituency - Youth,Ms. Viola Christian,Vienna,Austria,completed manually from the UNFCCC website,Youth
136,Bangladesh Centre for Advanced Studies,Non-governmental organizations,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh,,RINGO
137,Bangladesh Environmental Lawyers Association,Non-governmental organizations,Constituency - Environmental CAN,Ms. Syeda Hasan,Dhaka,Bangladesh,,ENGO
138,Bangladesh Resource Centre for Indigenous Knowledge,Non-governmental organizations,Constituency - ENGO,Mr. Sukanta Kumar Sen,Dhaka,Bangladesh,,ENGO
139,Bangor University,Non-governmental organizations,Constituency - Research and independent,Ms. Alison Mawhinney,Bangor,United Kingdom of Great Britain and Northern Ireland,,RINGO
140,BankTrack,Non-governmental organizations,Constituency - Environmental,Mr. Johan Frijns,Nijmegen,Netherlands,,ENGO
141,Basel Agency for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland,,ENGO
142,Basque Centre for Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain,,RINGO
143,Bay Area Council Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Adrian Joseph Covert,San Francisco,United States of America,,BINGO
144,BBC Media Action,Non-governmental organizations,Constituency - Research and independent,Ms. Lisa Robinson,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
145,Bellona Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway,,ENGO
146,Belville Community,Non-governmental organizations,Constituency - Environmental,Ms. Adrian Scott,Greenock,United Kingdom of Great Britain and Northern Ireland,,ENGO
147,Garden Trust,Non-governmental organizations,Constituency - Environmental,Ms. Adrian Scott,Greenock,United Kingdom of Great Britain and Northern Ireland,,ENGO
148,BHP Billiton SaskPower Carbon Capture and Storage (CCS) Knowledge Centre Inc. doing business as International CCS Knowledge Centre,Non-governmental organizations,Constituency - Business and Industry,Ms. C. Beth Hardy,Regina,Canada,,BINGO
149,Biovision - Foundation for Ecological Development,Non-governmental organizations,Constituency - Environmental,Mr. Fabio Leippert,Zurich,Switzerland,,ENGO
150,BirdLife International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Rhiannon Niven,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
151,Bloomberg Philanthropies,Non-governmental organizations,Constituency - Environmental,Ms. Daphne Wang,New York City,United States of America,,ENGO
152,Blue Marine Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Crockett,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
153,Blue Ventures,Non-governmental organizations,Constituency - Environmental,Ms. Annie Tourette,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
154,Bonsucro Limited,Non-governmental organizations,Constituency - Environmental,Mr. James Jones,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
155,Boston College,Non-governmental organizations,Constituency - Research and independent,Mr. Joseph Vitale,Chestnut Hill,United States of America,,RINGO
156,Boston University,Non-governmental organizations,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America,,RINGO
157,Both ENDS Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands,,ENGO
158,Boticário Group Foundation for Nature Protection,Non-governmental organizations,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil,,ENGO
159,Bournemouth University,Non-governmental organizations,Constituency - Research and independent,Ms. Emma Jenkins,Bournemouth,United Kingdom of Great Britain and Northern Ireland,,RINGO
160,BRAC,Non-governmental organizations,Constituency - Environmental,Mr. Md. Ashadudzaman,Dhaka,Bangladesh,,ENGO
161,Brahma Kumaris World Spiritual University,Non-governmental organizations,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Mount Abu,India,,RINGO
162,Brazilian Biodiversity Fund,Non-governmental organizations,Constituency - Environmental,Mr. Fabio Heuseler Ferreira Leite,Rio de Janeiro,Brazil,,ENGO
163,Brazilian Business Council for Sustainable Development,Non-governmental organizations,Constituency - Business and Industry,Ms. Luana Maia,Rio de Janiero,Brazil,,BINGO
164,Brazilian Confederation of Agriculture and Livestock,Non-governmental organizations,,Mr. João Carlos De Petribú Dé Carli Filho,Brasilia,Brazil,,not yet affiliated/no data
165,Brazilian National Confederation of Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Davi Bomtempo,Brasília,Brazil,,BINGO
166,Brazilian Tree Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Nathalia Loures,Sao Paulo,Brazil,,BINGO
167,Bread for the World,Non-governmental organizations,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany,,ENGO
168,Bright Blue,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Hall,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
169,"Brighter Green, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America,,ENGO
170,British Beauty Council,Non-governmental organizations,Constituency - Business and Industry,Ms. Victoria Marie Brownlie,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
171,British Columbia Council for International Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada,,ENGO
172,British Institute of International and Comparative Law,Non-governmental organizations,Constituency - Research and independent,Mr. Ivano Alogna,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
173,British Lung Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Harriet Edwards,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
174,British Society of Soil Science,Non-governmental organizations,Constituency - Environmental,Ms. Sarah Garry,Milton Keynes,United Kingdom of Great Britain and Northern Ireland,,ENGO
175,British Standards Institution,Non-governmental organizations,Constituency - Business and Industry,Mr. David Francis Fatscher,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
176,Brown University - Watson Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America,,RINGO
177,Buddhist Tzu Chi Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America,,ENGO
178,Business and Industry Advisory Committee to the OECD,Non-governmental organizations,Constituency - Business and Industry,Mr. Dominik Kummerle,Paris,France,,BINGO
179,Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America,,BINGO
180,Business for Social Responsibility,Non-governmental organizations,Constituency - Business and Industry,Mr. David Da-Fan Wei,San Francisco,United States of America,,BINGO
181,Business Unity South Africa,Non-governmental organizations,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa,,BINGO
182,BusinessEurope,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium,,BINGO
183,Busworld Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Jan Deman,Roeselare,Belgium,,BINGO
184,C Team,Non-governmental organizations,Constituency - Business and Industry,Mr. Qi Gao,Bejing,China,,BINGO
185,C40 Cities Climate,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,,LGMA
186,Leadership Group,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,,LGMA
187,"Ca’ Foscari University, Venice",Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Venice,Italy,completed manually from the UNFCCC website,RINGO
188,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Non-governmental organizations,Constituency - Business and Industry,Mr. Andres Pereda,MADRID,Spain,,BINGO
189,CambiaMO s.coop.mad.,Non-governmental organizations,Constituency - Environmental,Ms. Floridea Di Ciommo,Madrid,Spain,completed manually from the UNFCCC website,ENGO
190,CAMFED,Non-governmental organizations,Constituency - Women and Gender,Ms. Catherine Boyce,Cambridge,United Kingdom of Great Britain and Northern Ireland,,Women and Gender
191,Campaign for a Hydrogen Economy,Non-governmental organizations,Constituency - Environmental,Mr. Michael Koefman,Manchester,United Kingdom of Great Britain and Northern Ireland,,ENGO
192,Canadian Association of Petroleum Producers,Non-governmental organizations,Constituency - Business and Industry,Mr. Cole Schulz,Calgary,Canada,,BINGO
193,Canadian Electricity Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Channa Perera,Ottawa,Canada,,BINGO
