,name,entity_type,constituency,coordinator,city,country,remarks,const
31,Amazon Watch,Non-governmental organizations,Constituency - Environmental,Mr. Andrew Miller,San Francisco,United States of America,,ENGO
32,American Chemical Society,Non-governmental organizations,Constituency - Research and independent,Mr. James C. Maxwell,Washington DC,United States of America,,RINGO
33,American Council on Renewable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Todd Foley,Washington DC,United States of America,,BINGO
34,American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,Constituency - ENGO,Mr. Brad Markell,Washington,United States of America,,ENGO
35,American Nuclear Society,Non-governmental organizations,Constituency - Research and independent,Ms. Aubrey Whittington,La Grange Park,United States of America,,RINGO
36,American Society of International Law,Non-governmental organizations,Constituency - ENGO,Ms. Elizabeth Andersen,Washington DC,United States of America,,ENGO
37,American Sustainable Business Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Green,Washington DC,United States of America,,BINGO
38,American University,Non-governmental organizations,Constituency - Research and independent,Ms. Sikina Jinnah,Washington,United States of America,,RINGO
39,Amigos de la Tierra Asociación Civil,Non-governmental organizations,Constituency - Environmental CAN,Ms. Laura Guadalupe Lopez Torres,Puebla,Mexico,,ENGO
40,Amour developpement environnement - Benin,Non-governmental organizations,Constituency - Farmers,M. Saturnin Azonkpin,Glazoue,Benin,,Farmers
41,An Organization for Socio-Economic Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Shamim Arfeen,Khulna,Bangladesh,,ENGO
42,Antarctic and Southern Ocean Coalition,Non-governmental organizations,Constituency - Environmental,Ms. Claire Christian,Washington DC,United States of America,,ENGO
43,Arab Forum for Environment and Development,Non-governmental organizations,Constituency - Environmental,Mr. Najib Saab,Beirut,Lebanon,,ENGO
44,Architecture 2030 Inc.,Non-governmental organizations,Constituency - Environmental,Mr. Tighe Glennon Lanning,Santa Fe,United States of America,,ENGO
45,Arizona State University,Non-governmental organizations,Constituency - Research and independent,Mr. Daniel Bodansky,Glendale,United States of America,,RINGO
46,Asahi Glass Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Junichi Shimizu,Tokyo,Japan,,ENGO
47,Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,,IPO
48,"Asia Pacific Forum on Women, Law and Development",Non-governmental organizations,Constituency - Women and Gender,Ms. Kavita Naidu,Chiangmai,Thailand,,Women and Gender
49,Asian Pacific Resource and Resource Centre for Women,Non-governmental organizations,Constituency - Women and Gender,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia,,Women and Gender
50,Asian Resource Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Mohammad Abdus Sabur,Bangkok,Thailand,,RINGO
51,Asociación AK Tenamit,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Stephen Dudenhoefer,Izabal,Guatemala,,IPO
52,Asociación Ambiente y Sociedad,Non-governmental organizations,Constituency - Environmental CAN,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,,ENGO
53,Asociación Civil Oikos,Non-governmental organizations,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru,,ENGO
54,Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,Constituency - Business and Industry2,Ms. Xiomara J. Paredes,San Salvador,El Salvador,,BINGO
55,Asociación Cubana de las Naciones Unidas,Non-governmental organizations,Constituency - Environmental,Ms. Soraya Elena Alvarez Nuñez,La Habana,Cuba,,ENGO
56,Asociación de Comunidades Forestales de Petén,Non-governmental organizations,,Mr. Marcedonio Cortave,Petén,Guatemala,,not yet affiliated/no data
57,Asociación Española de la Industria Eléctrica,Non-governmental organizations,,Ms. Marina Serrano,Madrid,Spain,completed manually,not yet affiliated/no data
58,Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,Constituency - Environmental CAN,Sra. Florencia Ortúzar,Oakland,United States of America,,ENGO
59,Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru,,IPO
60,Asociación Nacional de Empresas de Agua y Saneamiento,Non-governmental organizations,Constituency - Business and Industry,Mr. Roberto Olivares,Distrito Federal,Mexico,,BINGO
61,Asociación Nacional para la Conservación de la Naturaleza,Non-governmental organizations,Constituency - Environmental,Sra. Rita Spadafora Mejía,Panama,Panama,,ENGO
62,Asociación para la Investigación y Desarrollo Integral,Non-governmental organizations,Constituency - Environmental,Mr. Jaime Nalvarte Armas,Lima,Peru,,ENGO
63,Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru,,IPO
64,Asociación Proteger,Non-governmental organizations,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina,,ENGO
65,Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Lyndon Pishagua Chinchuya,Satipo,Peru,,IPO
66,Assemblée des départements de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Benjamin Eloire,Paris,France,,LGMA
67,Association Actions Vitales Pour Le Developpement Durable,Non-governmental organizations,Constituency - Youth,Mr. Affana Affana Jean Paul Brice,Yaounde,Cameroon,completed manually from UNFCCC website,Youth
68,Association Climate-KIC,Non-governmental organizations,Constituency - Business and Industry,Ms. Julia Franchi Scarselli,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
69,Association des clubs des amis de la nature du Cameroun,Non-governmental organizations,Constituency - Environmental,Mr. Raphaël Hanmbock,Douala,Cameroon,,ENGO
70,Association des communautés urbaines de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Philippe Angotti,Paris,France,,LGMA
71,Association des maires de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Gwenola Rabier Stephan,Paris,France,,LGMA
72,Association des Regions de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Guilhem Isaac-Georges,Paris,France,,LGMA
73,Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed-Awali Ouro-Djeri Djobo,Lome,Togo,,ENGO
74,Association for Development and Research of Sustainable Habitats,Non-governmental organizations,,,New Delhi,India,completed manually,not yet affiliated/no data
75,Association Française des Entreprises pour l'Environnement,Non-governmental organizations,Constituency - Environmental,Mr. David Laurent,Paris,France,,ENGO
76,Association française des entreprises privées,Non-governmental organizations,,Mr. Laurent Burelle,Paris,France,completed manually,not yet affiliated/no data
77,Association Française des Petits Debrouillards,Non-governmental organizations,,Ms. Ghislaine Hierso,Paris,France,completed manually,not yet affiliated/no data
78,Association Française Pour les Nations Unies - Aix-en-Provence,Non-governmental organizations,Constituency - Research and independent,Ms. Marion Claire Eugénie Lemoine ep. Schonne,Aix-en-Provence,France,,RINGO
79,Association Internationale des Maires et responsables entièrement ou partiellement Francophones,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mme Julie Guillaume,Paris,France,completed manually from UNFCCC website,LGMA
80,Association La Voûte Nubienne,Non-governmental organizations,Constituency - Environmental,Mme Cécilia Rinaudo,Carrieres Sur Seine,France,,ENGO
81,Association négaWatt,Non-governmental organizations,Constituency - Research and independent,Mr. Stéphane Chatelin,Alixan,France,,RINGO
82,Association Noé 21,Non-governmental organizations,Constituency - Environmental,Mr. Jerome Strobel,Genéve,Switzerland,,ENGO
83,Association of American Geographers,Non-governmental organizations,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America,,RINGO
84,Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Clemens Marcel Kremer,Berlin,Germany,,BINGO
85,Association of Overseas Countries and Territories of the European Union,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Nicolas Ferellec,Brussels,Belgium,,LGMA
86,"Association of Science - Technology Centers, Inc",Non-governmental organizations,Constituency - Research and independent,Mr. Walter Staveloz,Washington,United States of America,,RINGO
87,Association pour la promotion de la recherche sur l'economie de carbon,Non-governmental organizations,,,Paris,France,completed manually,not yet affiliated/no data
88,Association pour la promotion et le développement international des éco-entreprises de France,Non-governmental organizations,Constituency - Business and Industry,Ms. Florence Jasmin,Paris,France,,BINGO
89,Association Québécoise de Lutte contre la Pollution Atmosphérique,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alain Francois Brunel,St. Léon -de-Standon,Canada,,ENGO
90,Ateneo de Manila University,Non-governmental organizations,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines,,RINGO
91,Australian Climate Coolers Limited - 1 Million Women,Non-governmental organizations,Constituency - Environmental,Ms. Natalie Isaacs,The Rocks,Australia,,ENGO
92,Australian Conservation Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kelly-Ann O'Shanassy,Carlton,Australia,,ENGO
93,Australian Industry Greenhouse Network,Non-governmental organizations,Constituency - Business and Industry,Ms. Susan Smith,Kingston,Australia,,BINGO
94,Australian Industry Group,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Burn,Sydney,Australia,,BINGO
95,Australian National University,Non-governmental organizations,Constituency - Research and independent,Mr. Mark Howden,Acton,Australia,,RINGO
96,Australian Youth Climate Coalition,Non-governmental organizations,Constituency - Youth,Ms. Hillary Eve Montague,Carlton,Australia,,Youth
97,Avaaz Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Risalat Khan,New York,United States of America,,ENGO
98,Avelife (Ltd.),Non-governmental organizations,Constituency - Youth,Mr. Jin Quan Mark Cheng,Singapore,Singapore,,Youth
99,Avenir Climatique,Non-governmental organizations,Constituency - Youth,Ms. Léa Cruse,Paris,France,,Youth
100,Bangladesh Centre for Advanced Studies,Non-governmental organizations,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh,,RINGO
101,Bangladesh Environmental Lawyers Association,Non-governmental organizations,Constituency - Environmental CAN,Ms. Syeda Hasan,Dhaka,Bangladesh,,ENGO
102,Bangladesh Resource Centre for Indigenous Knowledge,Non-governmental organizations,Constituency - ENGO,Mr. Sukanta Kumar Sen,Dhaka,Bangladesh,,ENGO
103,Basel Agency for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland,,ENGO
104,Basque Centre for Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain,,RINGO
105,Bay Area Council Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Adrian Joseph Covert,San Francisco,United States of America,,BINGO
106,BBC Media Action,Non-governmental organizations,Constituency - Research and independent,Ms. Lisa Robinson,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
107,Beijing Emissions Trading Association,Non-governmental organizations,Constituency - Environmental,Ms. Ling Shu Rao,Beijing,China,completed manually,ENGO
108,Beijing NGO Association for International Exchanges,Non-governmental organizations,,Ms. Pu Jin,Beijing,China,,not yet affiliated/no data
109,Bellona Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway,,ENGO
110,Bianca Jagger Human Rights Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Bianca Jagger,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
111,BirdLife International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Julie Hammer-Monart,Cambridge,United Kingdom of Great Britain and Northern Ireland,,ENGO
112,Bizi !,Non-governmental organizations,,,Bayonne,France,completed manually,not yet affiliated/no data
113,Blue Green Alliance Foundation,Non-governmental organizations,Constituency - Trade Unions,Ms. Kelly Marie Schwinghammer,Minneapolis,United States of America,,TUNGO
114,Boston University,Non-governmental organizations,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America,,RINGO
115,Both ENDS Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands,,ENGO
116,Boticário Group Foundation for Nature Protection,Non-governmental organizations,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil,,ENGO
117,Brahma Kumaris World Spiritual University,Non-governmental organizations,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Rajasthan,India,,RINGO
118,Bread for the World,Non-governmental organizations,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany,,ENGO
119,"Brighter Green, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America,,ENGO
120,British Columbia Council for International Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada,,ENGO
121,British Council,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Carolyn Bardsley,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
122,Brown University - Watson Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America,,RINGO
123,Buddhist Tzu Chi Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America,,ENGO
124,Business and Industry Advisory Committee to the OECD,Non-governmental organizations,Constituency - Business and Industry,Mr. Dominik Kummerle,Paris,France,,BINGO
125,Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America,,BINGO
126,Business Council of Australia,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Kate Wilson,Melbourne,Australia,,BINGO
127,Business for Social Responsibility,Non-governmental organizations,Constituency - Business and Industry,Ms. Samantha Harris,San Francisco,United States of America,,BINGO
128,Business Unity South Africa,Non-governmental organizations,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa,,BINGO
129,BUSINESSEUROPE,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium,completed manually from UNFCCC website,BINGO
130,C40 Cities Climate Leadership Group,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,,LGMA
131,"Ca' Foscari University, Venice",Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Venice,Italy,,RINGO
132,Canadian Federation of Agriculture,Non-governmental organizations,Constituency - Farmers,Mr. Greg Warren Northey,Ottawa,Canada,,Farmers
133,Carbon Capture and Storage Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Judith Shapiro-Kønigshøfer,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
134,Carbon Market Institute Limited,Non-governmental organizations,Constituency - Business and Industry,Mr. Bradley Kerin,Melbourne,Australia,,BINGO
135,"Carbonfund.org Foundation, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Brian McFarland,Washington,United States of America,,ENGO
136,CARE International,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sven Harmeling,Copenhagen N,Denmark,,ENGO
137,Caritas Internationalis,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Liebsch,Citta del Vaticano,Holy See,,RINGO
138,Carnegie Institution for Washington,Non-governmental organizations,Constituency - Research and independent,Mr. Christopher Bower Field,Washington,United States of America,,RINGO
139,Carre Geo & Environnement,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ibrahim Mfondoun Mbamoko,Douala,Cameroon,,ENGO
140,CDP Worldwide,Non-governmental organizations,Constituency - Business and Industry,Ms. Jennifer Verity Gleed,London,United Kingdom of Great Britain and Northern Ireland,,BINGO
141,CECODHAS - European Liaison Committee for Social Housing,Non-governmental organizations,Constituency - Research and independent,Ms. Alice Pittini,Brussels,Belgium,,RINGO
142,CEE Bankwatch Network,Non-governmental organizations,Constituency - Environmental,Mr. Petr Hlobil,Prague 9,Czechia,,ENGO
143,Center for American Progress,Non-governmental organizations,Constituency - Research and independent,Mr. Alan Yu,Washington,United States of America,,RINGO
144,Center for Biological Diversity,Non-governmental organizations,Constituency - Environmental CAN,Ms. Andrea Weber,Tucson,United States of America,,ENGO
145,Center for Clean Air Policy,Non-governmental organizations,Constituency - Research and independent,Ms. Carolina Aguirre Echeverri,Washington DC,United States of America,,RINGO
146,Center for Climate and Energy Solutions,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Huang,Arlington,United States of America,,RINGO
147,"Center for Climate Strategies, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,,ENGO
148,Center for Environment and Sustainable Development Studies and Application,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Razavi,Tehran,Iran (Islamic Republic of),,ENGO
149,"Center for Environmental Information, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Elizabeth Thorndike,Rochester,United States of America,,ENGO
150,Center for Food Safety,Non-governmental organizations,Constituency - Environmental CJN,Ms. Debbie Barker,Washington,United States of America,,ENGO
151,Center for Global Development,Non-governmental organizations,Constituency - Research and independent,Ms. Michele de Nevers,Washington DC,United States of America,,RINGO
152,Center for International Climate and Environmental Research,Non-governmental organizations,Constituency - Research and independent,Mr. Christian Bjornaes,Oslo,Norway,,RINGO
153,Center for International Environmental Law,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sébastien Duyck,Washington,United States of America,,ENGO
154,Center for Natural Resource Studies,Non-governmental organizations,Constituency - Environmental,Mr. Anisul M. Islam,Dhaka,Bangladesh,,ENGO
155,Center for Policy Research,Non-governmental organizations,Constituency - Research and independent,Mr. Navroz Dubash,New Delhi,India,completed manually from UNFCCC website,RINGO
156,Center for Sustainable Rural Development,Non-governmental organizations,Constituency - Farmers,Mr. Thuan Van Nguyen,Hanoi,Viet Nam,,Farmers
157,Center of Life Institute,Non-governmental organizations,Constituency - Environmental,Ms. Alice Thuault,Cuiabá,Brazil,,ENGO
158,Centre d'accompagnement des autochtones pygmées et minoritaires vulnerables,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Pacifique Isumbisho Mukumba,Bukavu,Congo,,IPO
159,Centre de coopération internationale en recherche agronomique pour le développement,Non-governmental organizations,Constituency - Research and independent,Mr. Bruno Locatelli,Montpellier Cedex 5,France,completed manually from UNFCCC website,RINGO
160,Centre de développement de la région de Tensift,Non-governmental organizations,Constituency - Environmental,M. Mohammed Mesouli,Marrakech,Morocco,,ENGO
161,Centre for 21st Century Issues,Non-governmental organizations,Constituency - Women and Gender,Ms. Titilope Ngozi Akosa,Lagos,Nigeria,,Women and Gender
162,Centre for Community Economics and Development Consultants Society,Non-governmental organizations,Constituency - Farmers,Mr. Sharad Joshi,Jaipur,India,,Farmers
163,Centre for Environment and Development,Non-governmental organizations,Constituency - Environmental,Mr. Demuni Darshana Uchita de Zoysa,Nugegoda,Sri Lanka,,ENGO
164,Centre for Environmental Justice,Non-governmental organizations,Constituency - Environmental CJN,Mr. Hemantha Withanage,Colombo,Sri Lanka,,ENGO
165,Centre for European Economic Research,Non-governmental organizations,Constituency - Research and independent,Mr. Martin Kesternich,Mannheim,Germany,,RINGO
166,Centre for European Policy Studies,Non-governmental organizations,Constituency - Research and independent,Ms. Monica Alessi,Brussels,Belgium,,RINGO
167,Centre for International Governance Innovation,Non-governmental organizations,Constituency - Research and independent,Ms. Oonagh Fitzgerald,Waterloo,Canada,,RINGO
168,Centre for International Sustainable Development Law,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Reynaud,Montreal,Canada,,RINGO
169,Centre for Science and Environment,Non-governmental organizations,Constituency - Environmental CAN,Ms. Sunita Narain,New Delhi,India,,ENGO
170,Centre for Socio-Economic Development,Non-governmental organizations,Constituency - Research and independent,Ms. Lichia Saner-Yiu,Geneva 1,Switzerland,,RINGO
171,Centre international de droit comparé de l'environnement,Non-governmental organizations,Constituency - Environmental,Mr. Kablan Jean-Michel Atta,Limoges,France,completed manually from UNFCCC website,ENGO
172,Centre international de recherche sur l'environnement et le développement,Non-governmental organizations,Constituency - Research and independent,Mr. Cassen Christophe,Nogent-Sur-Marne Cedex,France,completed manually from UNFCCC website,RINGO
173,Centre patronal de l'environnement du Québec,Non-governmental organizations,Constituency - Business and Industry,Mme Hélène Lauzon,Montreal,Canada,,BINGO
174,Centre pour l'Environnement et le Développement,Non-governmental organizations,,Mr. Samuel Nguiffo,Yaounde,Cameroon,completed manually,not yet affiliated/no data
175,Centres d'Actions et de Réalisations Internationales,Non-governmental organizations,Constituency - Environmental,Mr. Raymond Patrice Burger,Viols-le-Fort,France,,ENGO
176,Centro Agronómico Tropical de Investigación y Enseñanza,Non-governmental organizations,Constituency - Research and independent,Sr. Miguel Cifuentes Jara,Turrialba,Costa Rica,,RINGO
177,Centro Alexander von Humboldt,Non-governmental organizations,Constituency - Environmental CAN,Mr. Victor Manuel Campos Cubas,Managua,Nicaragua,,ENGO
178,Centro de Apoyo a la Gestión Sustentable del Agua y el Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Paula Lady Pacheco Mollinedo,La Paz,Bolivia (Plurinational State of),,ENGO
179,Centro de Estudios Uruguayos de Tecnología Apropiada,Non-governmental organizations,Constituency - Environmental CAN,Mr. Gerardo Honty,Montevideo,Uruguay,,ENGO
180,Centro de Incidencia Ambiental de Panamá,Non-governmental organizations,Constituency - Environmental,Ms. Tania Arosemena,Panamá,Panama,,ENGO
181,Centro de Planificación y Estudio Social,Non-governmental organizations,Constituency - Research and independent,Ms. María de Lourdes Barragán Alvarado,Quito,Ecuador,,RINGO
182,Centro de Transporte Sustentable de México Asociacion Civil,Non-governmental organizations,Constituency - Environmental,Ms. Adriana de Almeida Lobo,Mexico City,Mexico,,ENGO
183,Centro Internacional de Agricultura Tropical,Non-governmental organizations,Constituency - Research and independent,Mr. Andrew James Jarvis,Cali,Colombia,,RINGO
184,Centro Mexicano de Derecho Ambiental,Non-governmental organizations,Constituency - Environmental CAN,Ms. Anaid Paola Velasco Ramirez,Mexico,Mexico,,ENGO
185,"Ceres, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Christopher Fox,Boston,United States of America,,BINGO
186,Chamber of Commerce of the United States of America,Non-governmental organizations,,Ms. Suzanne P. Clark,Washington DC,United States of America,completed manually,not yet affiliated/no data
187,Chatham House,Non-governmental organizations,Constituency - Research and independent,Mr. Robert Bailey,London,United Kingdom of Great Britain and Northern Ireland,,RINGO
188,China Association for NGO Cooperation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Wang Xiang Yi,Beijing,China,,ENGO
189,China Association for Science and Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Jiuyi Qin,Beijing,China,,RINGO
190,China Dialogue Trust,Non-governmental organizations,Constituency - ENGO,Ms. Laura Ann Woodbury,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
191,China Green Carbon Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Yeyun He,Beijing,China,,ENGO
192,China New Energy Chamber of Commerce,Non-governmental organizations,Constituency - Business and Industry,Ms. Dan Wu,Beijing,China,,BINGO
193,China NGO Network for International Exchanges,Non-governmental organizations,Constituency - Environmental,Ms. Fan Gui Fen,Beijing,China,,ENGO
194,China Science and Technology Exchange Center,Non-governmental organizations,Constituency - Research and independent,Ms. Jiying Chen,Beijing,China,,RINGO
195,CHIRAPAQ - Centro de Culturas Indígenas del Perú,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Celia Acasio Rodriguez,Lima,Peru,,IPO
196,Christian Aid,Non-governmental organizations,Constituency - Environmental CAN,Ms. Katherine Kramer,London,United Kingdom of Great Britain and Northern Ireland,,ENGO
197,Church of the Brethren,Non-governmental organizations,Constituency - ENGO,Ms. Nancy J. Miner,Elgin,United States of America,,ENGO
198,Citizen's Movement for Environmental Justice,Non-governmental organizations,Constituency - Environmental,Mr. Hong Cheol Kim,Seoul,Republic of Korea,,ENGO
