,organization,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,most_prevalent_topic,entity_type,coordinator,city,country,constituency,const
10,Adelphi Research,8.607992640463635e-06,2.114589506163611e-06,2.158043344024918e-06,0.012664295732975,0.2747060358524322,3.1127408419706626e-06,4.463374716578983e-05,0.0172545332461595,0.1207859069108963,8.947135211201385e-05,4.746743070427328e-05,8.848140168993268e-06,0.0007001541671343,0.3706402778625488,0.1510840207338333,0.0002208328805863,2.0974819108232623e-06,0.0517354123294353,14,Non-governmental organizations,Mr. Dennis Taenzler,Berlin,Germany,Constituency - Research and independent,RINGO
11,"Advocates for the Environment, Inc.",1.2036233783874197e-05,2.956751586680184e-06,3.0175112897268264e-06,0.2129519283771515,2.3008446078165438e-05,4.3524291868379805e-06,6.241326627787203e-05,0.0925854966044426,0.019131327047944,0.0435492880642414,6.636998296016827e-05,1.2372022865747567e-05,0.0002511426864657,0.583631694316864,0.0313619785010814,0.016283493489027,2.9328305117815034e-06,6.417487747967243e-05,14,Non-governmental organizations,Mr. Dean Wallraff,Shadow Hills,United States of America,Constituency - Environmental,ENGO
12,Africa Centre for Citizens Orientation,1.5511264791712165e-05,3.810407179116737e-06,3.888709215971176e-06,0.0020791324786841,0.0059903389774262,5.609036634268705e-06,0.0090119391679763,0.0001783867191988,0.0734839886426925,0.3034426271915436,0.0871540382504463,0.0072596557438373,0.1160663142800331,0.2800208926200866,0.0871412754058837,0.0280561167746782,3.779579856200144e-06,8.270787657238543e-05,10,Non-governmental organizations,Mr. Peter Olugbenga Adeleye,Kurudu,Nigeria,Constituency - Environmental,ENGO
13,Africa Youths International Development Foundation,1.929318750626408e-05,4.739452833746327e-06,4.836846073885681e-06,0.0003439899592194,3.688082870212384e-05,6.976620170462411e-06,0.2230111509561538,0.0002211182145401,0.0259361062198877,0.2267447859048843,0.0625732764601707,1.9831431927741505e-05,0.0354105271399021,0.3097171187400818,0.1111549735069274,0.0046868184581398,4.701108991866931e-06,0.0001028719125315,14,Non-governmental organizations,Mr. Tunji John Asaolu,Abuja,Nigeria,Constituency - Youth,Youth
14,African Centre for Technology Studies,0.0362986288964748,1.7790607671486214e-06,1.81561961198895e-06,0.000126276834635,1.3844052773492876e-05,2.6188322408415843e-06,0.0038573665078729,8.35144892334938e-05,0.0873283222317695,0.0074408967047929,0.1406970173120498,7.444176844728645e-06,0.0001527057902421,0.1896629333496093,0.5212833881378174,0.0027184558566659,1.764667558745714e-06,0.0103212585672736,15,Non-governmental organizations,Mr. Kennedy Liti Mbeva,Nairobi,Kenya,Constituency - Environmental,ENGO
15,African Centre of Meteorological Application for Development,1.2065694136254024e-05,2.9639884360221917e-06,3.024897068826249e-06,0.0002156353730242,0.0009674489847384,4.363082098279847e-06,6.25688408035785e-05,0.0137180490419268,0.0362853780388832,0.0020693333353847,0.0989654213190078,1.2402304491843095e-05,0.1434475183486938,0.2614544034004211,0.1402327567338943,0.3000762164592743,2.9400089260889217e-06,0.0024675149470567,16,Intergovernmental organizations,Ms. Safia Alfa,Niamey,Niger,,not yet affiliated/no data
16,African Climate Change Research Centre,6.844919425930129e-06,1.6814833543321583e-06,1.7160369907287532e-06,0.0307128895074129,1.3084738384350205e-05,2.4751950604695594e-06,0.0959498211741447,0.0166285689920187,0.0534638538956642,0.0023292386904358,0.0589374266564846,7.0358805714931805e-06,0.0001641127601033,0.4256440699100494,0.2913439869880676,0.0247549936175346,1.6678795873303898e-06,3.649627979029901e-05,14,Non-governmental organizations,Mr. Nura Jibo,Dutse,Nigeria,Constituency - Research and independent,RINGO
17,African Development Bank Group,1.100561894418206e-05,2.703576456042356e-06,2.759133622021181e-06,0.0163235198706388,2.1038324121036567e-05,3.979747816629242e-06,0.0057292939163744,0.0042509022168815,0.0002321562787983,0.037052821367979,0.3674205839633941,1.1312655260553584e-05,0.021143976598978,0.147640198469162,0.2129682451486587,0.0715047642588615,2.6817037905857437e-06,0.1156780198216438,11,Intergovernmental organizations,Ms. Louise Helen Brown,Tunis,Tunisia,,not yet affiliated/no data
18,African Forest Forum,7.763506800984032e-06,1.9071381984758773e-06,1.946329120983137e-06,0.0001350425882264,1.4840708900010212e-05,2.807366172419279e-06,0.2657142281532287,9.019641584018244e-05,0.000171610241523,0.0480195060372352,0.1014750599861145,7.98009477875894e-06,0.0349949523806571,0.0398026742041111,0.4018236398696899,0.107692576944828,1.891708848233975e-06,4.139335214858875e-05,15,Non-governmental organizations,Mr. Godwin Kowero,Nairobi,Kenya,Constituency - Environmental,ENGO
19,African Union Commission,2.503709538359544e-06,6.150468152554822e-07,6.276857220655074e-07,0.0260305032134056,0.0010362167377024,9.053678127202148e-07,0.0083065805956721,0.0162560995668172,0.0038938713259994,0.1187875345349311,0.2708481550216675,2.5735585040820297e-06,0.1862681806087494,0.0962917283177375,0.0276279151439666,0.2446320503950119,6.100708560552448e-07,1.3350335393624846e-05,11,Intergovernmental organizations,Mr. Harsen Nyambe Nyambe,Addis Ababa,Ethiopia,,not yet affiliated/no data
20,African Wildlife Foundation,0.0396685376763343,1.167611003438651e-06,1.1916049516003111e-06,0.1557698547840118,9.085956662602255e-06,1.718759335744835e-06,0.0757199451327323,5.514394069905393e-05,0.0643119290471077,0.0186320934444665,0.1076070368289947,4.885669568466256e-06,0.0021761257667094,0.4117349088191986,0.0064601111225783,0.1099461540579795,1.1581646504055243e-06,0.0078989528119564,14,Non-governmental organizations,Mr. Charly Facheux,Nairobi,Kenya,Constituency - Environmental,ENGO
21,"African, Caribbean and Pacific Group of States",0.0025584828108549,1.0176441946896375e-06,1.0385563200543402e-06,0.118222951889038,7.918964911368676e-06,1.498003484812216e-06,2.1482355805346746e-05,0.0054969820193946,0.0018255808390676,0.036547340452671,0.3545795977115631,4.258158696757164e-06,0.0265454184263944,0.0343475043773651,0.05978749319911,0.3567502796649933,1.0094111075886758e-06,0.0033000884577631,16,Intergovernmental organizations,Mr. Israel Olusola Ojo,Brussels,Belgium,,not yet affiliated/no data
22,Agriconsulting S.p.A.,8.468647138215601e-06,2.080358626699308e-06,2.123109197782469e-06,0.0001554727787151,1.6188652807613835e-05,3.062352107008337e-06,0.0612504854798316,0.0174586251378059,0.0313956998288631,0.0888171792030334,0.0070961690507829,8.704906576895155e-06,0.0001729992509353,0.1517965644598007,0.1180712804198265,0.3993135690689087,2.063527972495649e-06,0.1244292482733726,16,Non-governmental organizations,Mr. Giorgio Andreoli,Rome,Italy,Constituency - Business and Industry,BINGO
23,Air and Waste Management Association,9.024344763020054e-06,2.216868324467214e-06,2.2624237772106426e-06,0.0120454877614974,1.725092442939058e-05,3.2632981401548022e-06,4.67927566205617e-05,0.068766251206398,0.150305762887001,9.351802873425186e-05,4.9760179535951465e-05,9.276107448386028e-06,0.2579674422740936,0.3211675584316253,0.1341633200645446,0.0543067753314971,2.198933088948252e-06,0.0010418030433356,14,Non-governmental organizations,Ms. Stephanie Glyptis,Pittsburgh,United States of America,Constituency - Environmental,ENGO
24,All China Environment Federation,7.940826435515191e-06,1.950697424035752e-06,1.9907831756427186e-06,0.0001423905632691,1.5179671208898071e-05,2.871486458388972e-06,0.0258484054356813,0.0153348688036203,0.0032309137750416,0.0433828867971897,0.0068061402998864,8.162361154973041e-06,0.0016089249402284,0.1108230799436569,0.1720462888479232,0.6206937432289124,1.934915644596913e-06,4.234064545016736e-05,16,Non-governmental organizations,Ms. Xiaoyi Gao,Beijing,China,Constituency - Environmental,ENGO
25,All India Women’s Conference,0.0114714298397302,5.9342019085306674e-06,6.056146958144382e-06,0.1202952116727829,4.617796366801485e-05,8.735327355680056e-06,0.0001252620131708,0.0109278550371527,0.0274611804634332,0.1235148012638092,0.0001332092360826,2.483065691194497e-05,0.5489116311073303,0.1482137739658355,0.0081473886966705,0.0005718658794648,5.886191956960829e-06,0.0001287986815441,13,Non-governmental organizations,Mrs. Sheela Kakde,Delhi,India,,not yet affiliated/no data
26,Alliance to Save Energy,5.421993591880892e-06,1.3319354366103653e-06,1.359306111226033e-06,9.6281073638238e-05,1.0364674380980432e-05,1.9606500245572533e-06,2.811275771819055e-05,0.5804747343063354,0.0163799673318862,0.0120881609618663,2.9897651984356344e-05,5.573257112700958e-06,0.0001160316969617,0.3514419496059418,0.0391666553914547,0.0001219196346937,1.3211597433837596e-06,2.8910773835377768e-05,8,Non-governmental organizations,Ms. Laura Van Wie McGrory,Washington,United States of America,Constituency - Business and Industry,BINGO
27,Amazon Environmental Research Institute,2.5678677047835663e-05,6.308075171546079e-06,6.43770317765302e-06,0.0274654384702444,4.908732080366463e-05,9.28568078961689e-06,0.1020911857485771,0.0326245054602623,0.0061893640086054,0.2921424508094787,0.0001416190207237,2.639506601553876e-05,0.0032388227991759,0.1542686820030212,0.3739370703697204,0.0076344958506524,6.257040695345495e-06,0.0001369369856547,15,Non-governmental organizations,Ms. Gabriela Savian,Belem,Brazil,Constituency - Environmental,ENGO
28,Amazon Institute of People and the Environment,2.5367160560563207e-05,6.231549832591554e-06,6.35960532235913e-06,0.000476539513329,4.84918273286894e-05,0.1804210096597671,0.1637145727872848,0.0002937247336376,0.0527115054428577,0.101822055876255,0.0001398986350977,2.607485839689616e-05,0.2113750129938125,0.1725810766220092,0.0667780041694641,0.0391877442598342,6.181134267535526e-06,0.0103801544755697,13,Non-governmental organizations,Sra. Brenda Brito do Carmo,Belém,Brazil,Constituency - Research and independent,RINGO
29,Amazon Watch,5.653019343299093e-06,1.3886880196878335e-06,1.4172248938848495e-06,0.255731999874115,1.0806303180288523e-05,2.0441914330149302e-06,0.0125386007130146,0.0372496210038661,0.0017396898474544,0.168276160955429,3.1172505259746686e-05,5.810727998323273e-06,0.0001400956680299,0.5130847692489624,0.000116724979307,0.003981651738286,1.3774530316368327e-06,0.0070809936150908,14,Non-governmental organizations,Mr. Andrew Miller,San Francisco,United States of America,Constituency - Environmental,ENGO
30,American Anthropological Association,8.995772986963857e-06,2.2098492991062813e-06,2.2552608243131544e-06,0.0672788247466087,1.7196305634570308e-05,3.2529662803426618e-06,4.6643621317343786e-05,0.0001036773028317,0.3013476133346557,0.1979510188102722,4.960970909451135e-05,9.246738045476375e-06,0.2350032478570938,0.1491478234529495,0.0266175735741853,0.0223606750369071,2.19197090700618e-06,4.796545545104891e-05,9,Non-governmental organizations,Ms. Julie Raymond,Arlington,United States of America,Constituency - Environmental,ENGO
31,American Chemical Society,5.618330760626122e-06,1.3801665090795725e-06,1.408528305546497e-06,0.000101064077171,1.073999283107696e-05,2.031647682088078e-06,2.9132821509847417e-05,0.0139946965500712,0.3649882674217224,5.839360164827667e-05,3.0980503652244806e-05,5.775071713287616e-06,0.0221182759851217,0.3583252429962158,0.062411855906248,0.1539834439754486,1.3690005289390683e-06,0.0239303223788738,9,Non-governmental organizations,Mr. James C. Maxwell,Washington DC,United States of America,Constituency - Research and independent,RINGO
32,American Federation of Labor and Congress of Industrial Organizations,5.2340437832754105e-06,1.2857648243880249e-06,1.3121867823429056e-06,0.3731992840766907,1.000539032247616e-05,1.892685418170004e-06,0.0082254596054553,0.0574780479073524,0.0934969931840896,0.0402593202888965,2.8863176339655183e-05,5.380064067139756e-06,0.1996911913156509,0.206500619649887,0.0001083161114365,0.0103266844525933,1.2753625924233347e-06,0.0106588201597332,4,Non-governmental organizations,Mr. Brad Markell,Washington,United States of America,Constituency - ENGO,ENGO
33,American Sustainable Business Council,4.3390832615841646e-06,1.0659140343705076e-06,1.0878180773943311e-06,0.0769777297973632,8.294585313706193e-06,1.5690583268224143e-06,2.2501082639792003e-05,0.0474800653755664,0.040359940379858,4.504161552176811e-05,2.3926877474877983e-05,4.460135642148089e-06,0.0449172779917717,0.3762217760086059,0.2842884361743927,0.00011213014659,1.057290432981972e-06,0.1295293718576431,14,Non-governmental organizations,Mr. Michael Green,Washington DC,United States of America,Constituency - Business and Industry,BINGO
34,American University,3.62593709724024e-06,8.907267101676553e-07,9.090307457881864e-07,0.1891016215085983,6.931335974513786e-06,1.3111771295371e-06,1.8801285477820784e-05,0.009016809053719,0.6125630736351013,0.0050880718044936,0.0632235631346702,3.727094053829205e-06,0.0040722084231674,0.0668439194560051,7.547659333795309e-05,0.0396019555628299,8.835204425849952e-07,0.0103762261569499,9,Non-governmental organizations,Ms. Sikina Jinnah,Washington,United States of America,Constituency - Research and independent,RINGO
35,American University of Beirut,7.863204700697679e-06,1.931629412865732e-06,1.971323399629909e-06,0.0341283604502677,1.5031290786282623e-05,2.8434178602765314e-06,0.0041762464679777,0.0028395245317369,0.5189670920372009,0.0065350835211575,0.0391330495476722,8.082573913270608e-06,0.3145477473735809,0.0125232646241784,0.0001577834336785,0.0629837736487388,1.916001792778843e-06,0.0039684758521616,9,Non-governmental organizations,Ms. Rana El Hajj,Beirut,Lebanon,Constituency - Research and independent,RINGO
36,Amnesty International,4.456058377400041e-06,1.0946495194730232e-06,1.117144051931973e-06,0.182420328259468,0.006622314453125,1.6113577885334962e-06,0.0018737096106633,5.148850323166698e-05,0.0056778904981911,0.2504043579101562,0.0109761077910661,4.580374479701277e-06,0.1825576871633529,0.2882545292377472,9.552561823511496e-05,0.0710283666849136,1.085793428501347e-06,2.375867188675329e-05,14,Non-governmental organizations,Mr. Ashfaq Khalfan,London,United Kingdom of Great Britain and Northern Ireland,Constituency - Research and independent,RINGO
37,An Organization for Socio-Economic Development,0.0247083771973848,1.2238657518537366e-06,1.2490155540945125e-06,0.0152144292369484,9.523711923975496e-06,1.801568032533396e-06,2.583533569122665e-05,0.014417266473174,0.0129712456837296,0.1845305860042572,0.1123538017272949,5.121057711221511e-06,0.0154814925044775,0.3985279202461242,0.190112829208374,0.0237349886447191,1.2139641967223724e-06,0.0079010901972651,14,Non-governmental organizations,Mr. Shamim Arfeen,Khulna,Bangladesh,Constituency - Environmental CAN,ENGO
38,Antarctic and Southern Ocean Coalition,0.2477238923311233,5.821473223477369e-06,5.941101790085668e-06,0.1818083226680755,4.530074875219725e-05,8.569388228352182e-06,0.0140932016074657,0.0063373590819537,0.0444118902087211,0.0525140762329101,0.020852830260992,2.4358963855775077e-05,0.0005130842910148,0.3996502757072449,0.000462537020212,0.0314104594290256,5.77437594984076e-06,0.0001263497542822,14,Non-governmental organizations,Ms. Claire Christian,"Washington, DC",United States of America,Constituency - Environmental,ENGO
39,Architecture 2030 Inc.,4.518379682849627e-06,1.109959043787967e-06,1.1327681477268925e-06,0.031744685024023,8.637328392069321e-06,1.6338938166882144e-06,2.34289782383712e-05,0.3288388848304748,0.0771324709057807,4.678999175666832e-05,2.49155218625674e-05,4.644434284273302e-06,0.038466453552246,0.1058309078216552,0.3412595391273498,0.07658501714468,1.1009790341631742e-06,2.409251464996487e-05,15,Non-governmental organizations,Mr. Tighe Glennon Lanning,Santa Fe,United States of America,Constituency - Environmental,ENGO
40,Arizona State University,3.0467529086308787e-06,7.484476896024717e-07,7.638279271304782e-07,0.223579466342926,5.824168511026073e-06,1.1017380074918035e-06,0.0012473879614844,0.0070880614221096,0.5962425470352173,0.0126509312540292,0.0023442520759999,3.1317517823481467e-06,0.0086698774248361,0.1237075254321098,7.051241846056655e-05,0.0243678502738475,7.423925012517429e-07,1.6245419828919694e-05,9,Non-governmental organizations,Mr. Daniel Bodansky,Glendale,United States of America,Constituency - Research and independent,RINGO
41,"Asheville-Buncombe Sustainable Community Initiatives, Inc.",6.6020766098517925e-06,1.6218278915403062e-06,1.6551556427657488e-06,0.1249549910426139,1.2620519555639476e-05,2.387380618529278e-06,3.42382954841014e-05,0.0886470898985862,0.0875675454735755,0.0066009550355374,3.640792419901118e-05,6.786262474633986e-06,0.000356337375706,0.5387856364250183,0.103882297873497,0.0171007048338651,1.6087067251646658e-06,0.0320005007088184,14,Non-governmental organizations,Ms. Virginie Fayolle,Asheville,United States of America,Constituency - Environmental,ENGO
42,Asia Indigenous Peoples Pact Foundation,9.673252861830406e-06,2.3762752334732795e-06,2.425106458758819e-06,0.0001718456478556,1.849137515819166e-05,3.497950274322648e-06,0.0382001139223575,0.0001111197343561,0.0002322383224964,0.5195663571357727,0.0432268977165222,9.943119039235173e-06,0.1378893852233886,0.1239534392952919,0.1347018778324127,0.0018463848391547,2.3570503344672038e-06,5.157826308277436e-05,10,Non-governmental organizations,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand,Constituency - Indigenous peoples,IPO
43,"Asia Pacific Forum on Women, Law and Development",2.1157793526072052e-05,5.197500740905525e-06,5.304307251208229e-06,0.0003629376005847,4.044520755996928e-05,7.650881343579385e-06,0.0001097068088711,0.000240844048676,0.0004261519061401,0.5223739743232727,0.0555433891713619,2.174805740651209e-05,0.0308405011892318,0.2504896223545074,0.1202607676386833,0.0191326327621936,5.155451162863756e-06,0.0001128160001826,10,Non-governmental organizations,Ms. Kavita Naidu,Chiangmai,Thailand,Constituency - Women and Gender,Women and Gender
44,Asia-Europe Foundation,5.439098913484486e-06,1.3361375295062317e-06,1.36359449243173e-06,9.346400474896654e-05,1.0397373443993274e-05,1.966835498024011e-06,2.82014261756558e-05,6.218402268132195e-05,0.0164598878473043,0.0094004916027188,0.0565908215939998,5.590839919022983e-06,0.1555075496435165,0.1536617279052734,0.2135034799575805,0.3946357369422912,1.3253277302283095e-06,2.90010775643168e-05,16,Non-governmental organizations,Ms. Grazyna Pulawska,Singapore,Singapore,Constituency - Research and independent,RINGO
45,Asian Development Bank,0.0018868513870984,2.010826392506715e-06,2.0521479200397152e-06,0.0899112075567245,1.5647576219635084e-05,2.959998255391838e-06,0.0010846951045095,0.0291823539882898,0.0715128183364868,0.0043670791201293,0.1876887381076812,8.413960131292697e-06,0.236711099743843,0.0649996474385261,0.0111679509282112,0.0484026223421096,1.994558033402427e-06,0.2530518472194671,18,Intergovernmental organizations,Ms. Preety Malhotra Bhandari,Mandaluyong City,Philippines,,not yet affiliated/no data
46,Asian Institute of Technology,9.399750524607953e-06,2.3090883587428834e-06,2.3565389710711315e-06,0.0102566862478852,1.7968550309888087e-05,3.399049091967754e-06,4.874400110566057e-05,0.0001085774274542,0.414378821849823,0.0532782711088657,0.0385508984327316,9.661986950959545e-06,0.0053716772235929,0.0795922428369522,0.2328718304634094,0.1560236066579818,2.290407110194792e-06,0.0094712730497121,9,Non-governmental organizations,Mr. Said Irandoust,"Pathumthani, Bangkok",Thailand,Constituency - ENGO,ENGO
47,Asian Pacific Resource and Resource Centre for Women,1.9460072508081797e-05,4.780448762176093e-06,4.878684649156639e-06,0.0003593779110815,3.719984670169652e-05,7.036967417661799e-06,0.0001009160114335,0.0002225558273494,0.0370992310345172,0.4307010769844055,0.0783579722046852,2.00029735424323e-05,0.1034101247787475,0.2479672133922577,0.0921575427055358,0.0094220852479338,4.741773409477901e-06,0.0001037596011883,10,Non-governmental organizations,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia,Constituency - Women and Gender,Women and Gender
48,Asian Resource Foundation,0.0020890701562166,4.497930149227614e-06,4.590360731526744e-06,0.0028662653639912,0.1910493224859237,6.621091415581759e-06,9.494701953371988e-05,0.0002088641922455,0.0476530157029628,0.2855437994003296,0.0737513303756713,1.882082324300427e-05,0.1216997653245925,0.2222859859466552,0.0237088110297918,0.0289122443646192,4.461540356714977e-06,9.763117122929545e-05,10,Non-governmental organizations,Mr. Mohammad Abdus Sabur,Bangkok,Thailand,Constituency - Research and independent,RINGO
49,Asociacion para la Naturaleza y Desarrollo Sostenible,4.267105759936385e-05,1.0482325706107076e-05,1.069773225026438e-05,0.0007333559333346,8.156993135344237e-05,1.5430305211339146e-05,0.3066923320293426,0.0004872134304605,0.0555143617093563,0.2049240916967392,0.0002352925366722,4.3861506128450856e-05,0.0009240953950211,0.3339785933494568,0.0623669885098934,0.0337010733783245,1.039751987264026e-05,0.0002275094593642,14,Non-governmental organizations,Mr. Alejandro Argumedo,Cusco,Peru,Constituency - Indigenous peoples,IPO
50,Asociación AK Tenamit,6.942043000890408e-06,1.7053420151569298e-06,1.740385982884618e-06,0.0697996765375137,1.327039899479132e-05,2.5103158804995478e-06,0.0880402699112892,0.0047258334234356,0.131617322564125,0.2520152926445007,3.828052649623714e-05,7.13571353117004e-06,0.0579440928995609,0.3953736126422882,0.0001458971091778,0.0002277186140418,1.6915453215915477e-06,3.7015262932982296e-05,14,Non-governmental organizations,Mr. Stephen Dudenhoefer,Izabal,Guatemala,Constituency - Indigenous peoples,IPO
51,Asociación Ambientalista SUSTENTA,7.977806490089279e-06,1.959781684490736e-06,2.0000543372589163e-06,0.0770678594708442,0.0017402202356606,2.884858986362815e-06,4.137035284657031e-05,0.0358981378376483,0.0511521436274051,0.22755828499794,0.0051455334760248,8.200372576538939e-06,0.0021548389922827,0.370572030544281,0.104292444884777,0.1137467920780181,1.943926463354728e-06,0.0106053510680794,14,Non-governmental organizations,Mr. Jesus Martinez Linares,Chiclana,Spain,Constituency - Environmental,ENGO
52,Asociación Ambiente y Sociedad,7.397883109661052e-06,1.817321049202292e-06,1.8546661522123031e-06,0.0061329849995672,1.4141782230581155e-05,2.675152472875197e-06,0.0072720567695796,8.581738802604377e-05,0.0505460761487484,0.4916014969348907,4.0797462133923545e-05,7.604270194860874e-06,0.0011718273162841,0.1500183641910553,0.2510717809200287,0.0188585370779037,1.802618385227106e-06,0.0231629889458417,10,Non-governmental organizations,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,Constituency - Environmental CAN,ENGO
53,Asociación Civil Oikos,0.0001887514663394,4.636759331333451e-05,4.732042361865752e-05,0.053088940680027,0.1183957532048225,6.825452146586031e-05,0.0009787158342078,0.0021414121147245,0.0042581274174153,0.4861684143543243,0.0010412202682346,0.0001940172951435,0.195847600698471,0.1275977194309234,0.0044036684557795,0.0044814068824052,4.599246312864125e-05,0.0010062918299809,10,Non-governmental organizations,Mr. Eric Chavez,Lima,Peru,Constituency - Environmental,ENGO
54,Asociación Cluster de Industrias de Medio Ambiente de Euskadi,1.9623097614385188e-05,4.82049654237926e-06,4.919555522064911e-06,0.0193685535341501,0.0116474367678165,7.095919045241317e-06,0.0001017482863971,0.2015705108642578,0.0277668144553899,0.2627586722373962,0.0001082004091585,2.017054612224456e-05,0.0052877706475555,0.0509866848587989,0.0946886762976646,0.3118085861206054,4.781496954819886e-06,0.0138449287042021,16,Non-governmental organizations,Sra. Begoña Castillo,Bilbao,Spain,Constituency - Business and Industry,BINGO
