Official Name,City,Country,Phone,Fax,Email,Coordinator
Nordic Council (NR),Copenhagen,Denmark,+45 3396 0400,,rad@norden.org,Ms. Mette Gervin Damsgaard
Nordic Council of Ministers (NCM),,Finland,(358-40) 154-9701,(358-9) 1603-9381,outi.leskela@ymparisto.fi,Ms. Anna Maria Gran
Nordic Development Fund (NDF),Helsinki,Finland,(358-10) 61-8002,(358-9) 622-1491,info.ndf@ndf.fi,Ms. Leena Klossner
Nordic Environment Finance Corporation (NEFCO),Helsinki,Finland,(358-10) 61-8003,(358-9) 63-0976,helle.lindegaard@nefco.fi,Ms. Helle Lindegaard
Nordic Investment Bank (NIB),Helsinki,Finland,+358 10 618 001,+358 10 618 0725,info@nib.int,Mr. Jukka Ahonen
Observatoire du Sahara et du Sahel (OSS),Tunis,Tunisia,(216-71) 20-6633,(216-71) 20-6636,nikola.rass@oss.org.tn,Mr. Nabil Ben Khatra
Organisation for Economic Co-operation and Development (OECD),Paris,France,(33-1) 4524-8200,(33-1) 4524-8500,webmaster@oecd.org,Ms. Jane Ellis
Organisation Internationale de la Francophonie (OIF/IFDD),Quebec,Canada,(1-418) 692-5644,(1-418) 692-5644,ifdd@francophonie.org,Mr. Issa Bado
Organisation of Eastern Caribbean States (OECS),Castries,Saint Lucia,(1-758) 455-6327,(1-758) 453-1628,oesec@oecs.org,Mr. Eustace Crispin d'Auvergne
Organisation of Islamic Conference Standing Committee on Scientific and Technological Cooperation (COMSTECH),Islamabad,Pakistan,(92-51)922-0681-3,(92-51)921-1115,astcogen@comstech.org,Mr. Mohammed Mahesar
Organizacion Latino Americana de Energia (OLADE),Quito,Ecuador,(593-2) 253-1674 / 75 / 79,(593-3) 253-1691,secretaria.ejecutiva@olade.org,Ms. Lennys Rivera
Organization of American States (OAS),Washington,United States of America,1-202}458-3000,(1-202)458-3560,cspringer@oas.org,Mr. Cletus Springer
Organization of Arab Petroleum Exporting Countries (OAPEC),Kuwait,Kuwait,(965) 2495-9000,(965) 2495-9755,oapec@oapecorg.org,Mr. AbdulKareem Kh Ayed
Organization of the Petroleum Exporting Countries (OPEC),Vienna,Austria,(43-1) 21 112 2205,(43-1) 216 43 20,ekaditi@opec.org,Ms. Eleni Kaditi
Pacific Islands Development Forum (PIDF),Suva,Fiji,+679-331 1518,+679-331 1529,secretariat@pidf.int,Ms. Arti Swastika Chand
Pacific Islands Forum Secretariat (PIFS),Suva,Fiji,(67-9) 331-2600,(67-9) 322-0249,info@forumsec.org,Mr. Scott Hook
Pan African Agency of the Great Green Wall (PAGGW),Nouakchott,Mauritania,+22245290752,,diabdoulaye79@yahoo.fr,Mr. Abakar Mahamat Zougoulou
Parliamentary Assembly of the Mediterranean (PAM),St. Julians,Malta,(356) 2248-4200,(356) 2248-4215,secretariat@pam.int,Mr. Valerio Carafa
Permanent Court of Arbitration (PCA),The Hague,Netherlands,(31-70)302-4165,(31-70)302-4167,bureau@pca-cpa.org,Ms. Judith Levine
Permanent Secretariat of the Alpine Convention (Alpine Convention),Innsbruck,Austria,+43 512 588589 12,+43 512 588589 20,info@alpconv.org,Ms. Nathalie Morelle
Regional Center for Renewable Energy and Energy Efficiency (RCREEE),Cairo,Egypt,+20224154755,,laura.wiehler@rcreee.org,Mr. Ahmed Badr
Regional Community Forestry Training Center for Asia and the Pacific (RECOFTC),Bangkok,Thailand,(66-2) 940-5700,(66-2) 561-4880,info@recoftc.org,Ms. Jennifer Jadin
Regional Environmental Center for Central and Eastern Europe (REC),Szentendre,Hungary,(36-26) 50-4000,(36-26) 31-1294,ocs@rec.org,Mr. Eduardas Kazakevicius
Regional Organization for the Protection of the Marine Environment (ROPME)H.E. ,Safat,Kuwait,(965)531-2140/1/2/3/4,(965)532-4172/533-5243,ropme@qualitynet.net,Mr. Abdul Rahman Al-Awadi
Secretaría General de la Comunidad Andina (SGCAN),Lima,Peru,(51-1) 710-6400,,correspondencia@comunidadandina.org,Ms. Bettina Milagros Mendoza Salinas
Secretaria General Iberoamericana (SEGIB),Madrid,Spain,(34) 9-1590-1980,(34) 9-1590-1982,secretaria@segib.org,Ms. Maria Salvadora Ortiz
Secrétariat général de l'union du Maghreb Arabe (UMA),Rabat,Morocco,(212-37) 537 68 1371,(212-37) 537 68 1377,sg.uma@maghrebarabe.org,Mme Faouzia Chakiri
Secretariat of the Pacific Community (SPC),Noumea,France,+687 262000,+687 263818,raphaelb@spc.int,Ms. Sylvie Michelle Goyet
Secretariat of the Pacific Regional Environment Programme (SPREP),Apia,Samoa,(68-5) 2-1929,(68-5) 2-0231,sprep@sprep.org,Mr. Kosi Murray Latu
South Asia Co-operative Environment Programme (SACEP),Colombo 06,Sri Lanka,(94-11) 250 4708,(94-11) 258-9369,secretariat@sacep.org,Ms. Jacintha Silverine Tissera
South Asian Association for Regional Cooperation (SAARC),Kathmandu,Nepal,(977-1) 422-1785 / 8929,(977-1) 422-7033 / 3991,saarc@saarc-sec.org,Mr. Pema Dorji
South Centre,Geneva,Switzerland,(41-22) 791-8050,(41-22) 798-8531,south@southcentre.org,Mr. Luis Fernando Rosales
Southern African Development Community (SADC),Gaborone,Botswana,(267) 395-1863,(267) 397-2848,registry@sadc.int,Ms. Sibongile Winnie Mavimbela
Technical Centre for Agricultural and Rural Cooperation EU-ACP (CTA),Wageningen,Netherlands,+31 317 467100,+31 317 460067,Ajayi@cta.int,Mr. Oluyede Clifford Ajayi
The European Organisation for the Exploitation of Meteorological Satellites (EUMETSAT),Darmstadt,Germany,(49-6151) 8077,(49-6151) 80-7555,paul.counet@eumetsat.int,Mr. Paul Counet
The OPEC Fund for International Development (The OPEC Fund),Vienna,Austria,(43-1) 5156 4317,(43-1) 513-9238,spes@ofid.org,Mr. Mohammad Mazraati
The Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden (PERSGA),Jeddah 21583,Saudi Arabia,(966-2) 657-3224,(966-2) 652-1901,info@persga.org,Mr. Ziad Abu Gararah
Union Economique et Monétaire Ouest Africaine (UEMOA),Ouagadougou 01,Burkina Faso,(226) 5031-8873,(226) 5031-8872,commission@uemoa.int,Mme Zourata Lompo Née Ouédraogo
Union for the Mediterranean (UfM),Barcelona,Spain,+34935214100,,info@ufmsecretariat.org,Mr. Arnault Graves
University for Peace (UPEACE),Ciudad Colón,Costa Rica,(506) 2205-9000,,pcarazo@upeace.org,Sra. Maria Pia Carazo Ortiz
