"entity_id","name","entity_type","country","area","area_unit","area_year","density","density_unit","density_year","population","population_year","employee_range","employees_year","revenue_year","revenue_currency","business_activity","climate_action_timeframe","themes","commitment_type","commit_text","cooperative_description","climate_action_type","cross_cutting_themes","sdgs","dataprovider_link","dataprovider_name"
2026,"Hana Financial Group","Investor","Republic of Korea","","",NA,"","",NA,"",NA,"",NA,2017,"USD","Banks, Diverse Financials, and Insurance","Long term",NA,"Individual actions","Reduce operational CO2e emissions by 52.5% from 2015 to 2040","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/22507","CDP"
2059,"Hang Seng Bank","Investor","China","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions from purchased utilities by 20% from 2015 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8057","CDP"
2091,"Hannon Armstrong Sustainable Infrastructure Capital, Inc","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/57411","CDP"
2091,"Hannon Armstrong Sustainable Infrastructure Capital, Inc","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Industry","Cooperative actions","Business Ambition for 1.5 °C","Set Science Based Targets aligned with a 1.5ºC trajectory for a net-zero future","Emission Reduction","Mitigation","",NA,NA
2091,"Hannon Armstrong Sustainable Infrastructure Capital, Inc","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Climate Ambition Alliance: Net Zero 2050","Commit to achieve net zero CO2 emissions by 2050","Emission Reduction","Mitigation","",NA,NA
2091,"Hannon Armstrong Sustainable Infrastructure Capital, Inc","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","Science Based Targets initiative","Adopt a science-based GHG emissions reduction target","Emission Reduction","Mitigation","",NA,NA
2091,"Hannon Armstrong Sustainable Infrastructure Capital, Inc","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Cooperative initiative participation",NA,"Cooperative actions","Implement the Recommendations of the Task Force on Climate-Related Financial Disclosures","Implement the TCFD recommendations for reporting climate-related financial information","Policy Establishment","Finance;;Disclosure","",NA,NA
2102,"Hannover Rück SE","Investor","Germany","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce operational CO2e emissions by 100% from 2007 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8082","CDP"
2219,"Healthpeak Properties, Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Medium term",NA,"Individual actions","Set an internal carbon price by 2021","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/23217","CDP"
2219,"Healthpeak Properties, Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of specific operations by 15% from 2011 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/23217","CDP"
2219,"Healthpeak Properties, Inc.","Investor","United States of America","","",NA,"","",NA,"",NA,"",NA,NA,"","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce specific operational CO2e emissions by 15% from 2011 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/23217","CDP"
2316,"Helvetia Group","Investor","Switzerland","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","No target",NA,"Individual actions","Internal carbon price in use","","Carbon Price Establishment","Finance","Climate Action","https://www.cdp.net/en/responses/8261","CDP"
2316,"Helvetia Group","Investor","Switzerland","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions from operations and upstream activities by 10% from 2012 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8261","CDP"
2316,"Helvetia Group","Investor","Switzerland","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Short term",NA,"Individual actions","Reduce CO2e emissions intensity of operations and upstream activities by 20% from 2012 to 2020","","Emission Reduction","Mitigation","Climate Action","https://www.cdp.net/en/responses/8261","CDP"
2316,"Helvetia Group","Investor","Switzerland","","",NA,"","",NA,"",NA,"1,000 to 10,000",2017,2017,"USD","Banks, Diverse Financials, and Insurance","Cooperative initiative participation","Energy","Cooperative actions","RE100","Procure 100% of electricity from renewable sources","Renewable Energy","Mitigation","",NA,NA
